Fecha,Último,Apertura,Máximo,Mínimo,% var.
Mar 2026,"2.954,321","2.945,910","2.959,762","2.942,585","0,30%"
Feb 2026,"2.945,385","2.927,803","2.945,385","2.925,298","0,60%"
Ene 2026,"2.927,820","2.910,060","2.927,837","2.909,221","0,62%"
Dic 2025,"2.909,641","2.906,148","2.909,714","2.905,388","0,09%"
Nov 2025,"2.906,915","2.900,014","2.909,167","2.899,050","0,25%"
Oct 2025,"2.899,532","2.891,400","2.900,088","2.889,205","0,32%"
Sep 2025,"2.890,272","2.874,092","2.890,272","2.873,506","0,52%"
Ago 2025,"2.875,262","2.856,242","2.877,477","2.855,896","0,72%"
Jul 2025,"2.854,634","2.840,140","2.854,634","2.833,276","0,50%"
Jun 2025,"2.840,407","2.834,587","2.842,257","2.832,932","0,26%"
May 2025,"2.832,932","2.832,330","2.835,213","2.829,466","0,04%"
Abr 2025,"2.831,769","2.809,538","2.831,769","2.809,538","0,89%"
Mar 2025,"2.806,765","2.786,913","2.806,765","2.786,913","0,78%"
Feb 2025,"2.785,143","2.764,089","2.785,143","2.764,089","0,79%"
Ene 2025,"2.763,338","2.744,554","2.768,438","2.744,554","0,78%"
Dic 2024,"2.742,050","2.738,776","2.748,417","2.738,776","0,17%"
Nov 2024,"2.737,301","2.709,436","2.739,173","2.709,436","1,10%"
Oct 2024,"2.707,620","2.731,616","2.735,680","2.707,620","-0,79%"
Sep 2024,"2.729,131","2.695,071","2.729,131","2.693,612","1,32%"
Ago 2024,"2.693,681","2.658,240","2.694,096","2.658,240","1,40%"
Jul 2024,"2.656,444","2.625,519","2.656,444","2.625,048","1,22%"
Jun 2024,"2.624,422","2.604,976","2.625,522","2.604,976","0,73%"
May 2024,"2.605,383","2.580,632","2.610,148","2.580,632","1,09%"
Abr 2024,"2.577,405","2.569,274","2.579,018","2.568,422","0,32%"
Mar 2024,"2.569,265","2.543,735","2.569,265","2.542,638","0,89%"
Feb 2024,"2.546,638","2.530,072","2.550,177","2.530,072","0,83%"
Ene 2024,"2.525,776","2.514,600","2.525,776","2.504,243","0,48%"
Dic 2023,"2.513,605","2.473,607","2.514,604","2.473,607","1,77%"
Nov 2023,"2.469,952","2.426,499","2.469,952","2.426,499","1,73%"
Oct 2023,"2.428,056","2.427,260","2.441,615","2.423,025","-0,04%"
Sep 2023,"2.428,933","2.442,979","2.448,016","2.428,933","-0,52%"
Ago 2023,"2.441,626","2.430,515","2.441,626","2.428,883","0,66%"
Jul 2023,"2.425,663","2.423,452","2.428,208","2.416,469","0,15%"
Jun 2023,"2.422,061","2.383,413","2.423,813","2.383,413","1,64%"
May 2023,"2.383,069","2.388,500","2.394,680","2.377,843","-0,14%"
Abr 2023,"2.386,338","2.404,961","2.411,472","2.386,338","-0,55%"
Mar 2023,"2.399,537","2.376,783","2.399,780","2.374,223","1,07%"
Feb 2023,"2.374,051","2.375,704","2.375,943","2.369,105","-0,13%"
