Fecha,Último,Apertura,Máximo,Mínimo,% var.
Mar 2026,"2.199,067","2.209,014","2.219,645","2.199,067","-0,44%"
Feb 2026,"2.208,753","2.197,091","2.208,753","2.193,947","0,53%"
Ene 2026,"2.197,081","2.181,892","2.197,953","2.179,664","0,71%"
Dic 2025,"2.181,678","2.178,230","2.182,718","2.172,793","0,10%"
Nov 2025,"2.179,566","2.159,624","2.179,566","2.158,146","0,94%"
Oct 2025,"2.159,372","2.150,674","2.159,929","2.144,734","0,37%"
Sep 2025,"2.151,378","2.130,560","2.151,378","2.130,560","1,00%"
Ago 2025,"2.130,071","2.104,147","2.130,670","2.103,903","1,24%"
Jul 2025,"2.103,903","2.077,303","2.105,240","2.076,802","1,09%"
Jun 2025,"2.081,189","2.060,091","2.081,189","2.060,091","1,01%"
May 2025,"2.060,445","2.066,797","2.066,797","2.058,294","-0,29%"
Abr 2025,"2.066,496","2.039,755","2.066,496","2.039,755","1,44%"
Mar 2025,"2.037,083","2.016,382","2.037,083","2.014,054","1,09%"
Feb 2025,"2.015,061","2.015,573","2.020,006","2.010,352","0,03%"
Ene 2025,"2.014,441","1.995,121","2.017,052","1.988,822","1,14%"
Dic 2024,"1.991,684","2.016,514","2.020,558","1.991,484","-1,15%"
Nov 2024,"2.014,776","1.987,683","2.014,776","1.987,683","1,45%"
Oct 2024,"1.985,949","2.014,659","2.016,545","1.985,949","-1,14%"
Sep 2024,"2.008,812","1.961,235","2.008,812","1.959,710","2,53%"
Ago 2024,"1.959,193","1.918,603","1.959,193","1.918,603","2,17%"
Jul 2024,"1.917,575","1.886,369","1.917,575","1.885,886","1,64%"
Jun 2024,"1.886,659","1.876,926","1.894,650","1.876,926","0,50%"
May 2024,"1.877,366","1.868,032","1.884,673","1.868,032","0,72%"
Abr 2024,"1.863,974","1.892,550","1.893,607","1.851,863","-1,44%"
Mar 2024,"1.891,131","1.871,352","1.891,131","1.869,397","0,92%"
Feb 2024,"1.873,841","1.861,882","1.885,860","1.861,882","0,95%"
Ene 2024,"1.856,284","1.843,715","1.856,284","1.831,692","0,55%"
Dic 2023,"1.846,187","1.805,480","1.848,866","1.804,687","2,54%"
Nov 2023,"1.800,372","1.738,248","1.800,372","1.737,156","3,16%"
Oct 2023,"1.745,223","1.758,407","1.776,548","1.741,096","-0,87%"
Sep 2023,"1.760,540","1.791,259","1.793,198","1.760,540","-1,66%"
Ago 2023,"1.790,340","1.796,227","1.805,266","1.777,752","-0,17%"
Jul 2023,"1.793,379","1.797,962","1.801,775","1.788,968","-0,32%"
Jun 2023,"1.799,110","1.766,796","1.801,897","1.766,796","1,82%"
May 2023,"1.766,878","1.778,759","1.784,536","1.763,911","-0,52%"
Abr 2023,"1.776,203","1.786,272","1.792,195","1.774,061","-0,36%"
Mar 2023,"1.782,687","1.755,041","1.785,853","1.747,665","1,68%"
Feb 2023,"1.753,183","1.765,440","1.765,440","1.746,957","-0,91%"
Ene 2023,"1.769,276","1.756,544","1.770,722","1.754,258","0,76%"
Dic 2022,"1.755,986","1.747,876","1.759,141","1.747,118","0,49%"
Nov 2022,"1.747,412","1.693,224","1.753,194","1.693,224","3,10%"
Oct 2022,"1.694,917","1.679,464","1.694,917","1.672,352","0,82%"
Sep 2022,"1.681,134","1.695,332","1.716,440","1.681,134","-0,96%"
Ago 2022,"1.697,451","1.709,748","1.713,799","1.686,443","-0,72%"
Jul 2022,"1.709,681","1.682,507","1.709,681","1.682,507","1,78%"
Jun 2022,"1.679,728","1.662,134","1.682,444","1.656,218","1,04%"
May 2022,"1.662,516","1.648,655","1.662,516","1.637,241","0,66%"
Abr 2022,"1.651,640","1.608,102","1.651,640","1.608,102","3,04%"
Mar 2022,"1.602,855","1.590,280","1.620,835","1.590,280","0,72%"
Feb 2022,"1.591,338","1.571,269","1.591,338","1.571,269","1,60%"
Ene 2022,"1.566,295","1.572,737","1.580,621","1.564,876","-0,50%"
Dic 2021,"1.574,144","1.560,140","1.574,801","1.551,378","0,75%"
Nov 2021,"1.562,488","1.528,729","1.564,084","1.528,729","2,31%"
Oct 2021,"1.527,226","1.542,759","1.544,659","1.481,197","-1,08%"
Sep 2021,"1.543,956","1.582,613","1.582,613","1.536,880","-2,29%"
Ago 2021,"1.580,185","1.557,355","1.580,185","1.557,355","1,46%"
Jul 2021,"1.557,380","1.572,742","1.587,950","1.542,954","-1,22%"
Jun 2021,"1.576,648","1.597,816","1.606,322","1.576,266","-1,04%"
May 2021,"1.593,179","1.610,070","1.632,521","1.586,895","-1,16%"
Abr 2021,"1.611,808","1.644,906","1.654,629","1.611,808","-2,06%"
Mar 2021,"1.645,771","1.681,054","1.691,728","1.645,771","-1,88%"
Feb 2021,"1.677,386","1.690,769","1.714,896","1.677,386","-0,95%"
Ene 2021,"1.693,417","1.658,926","1.693,417","1.658,837","2,17%"
Dic 2020,"1.657,373","1.659,337","1.661,244","1.651,035","-0,12%"
Nov 2020,"1.659,298","1.637,459","1.661,770","1.637,459","1,33%"
Oct 2020,"1.637,580","1.619,376","1.637,580","1.617,335","0,92%"
Sep 2020,"1.622,631","1.646,715","1.647,831","1.622,631","-1,08%"
Ago 2020,"1.640,343","1.614,233","1.640,343","1.614,233","1,46%"
Jul 2020,"1.616,694","1.622,488","1.631,437","1.605,015","-0,58%"
Jun 2020,"1.626,168","1.624,811","1.626,168","1.598,160","0,13%"
May 2020,"1.624,060","1.585,854","1.624,491","1.585,854","2,93%"
Abr 2020,"1.577,809","1.529,748","1.577,809","1.529,748","3,23%"
Mar 2020,"1.528,444","1.562,110","1.590,048","1.518,514","-2,53%"
Feb 2020,"1.568,088","1.593,864","1.598,046","1.568,088","-1,60%"
Ene 2020,"1.593,522","1.573,843","1.594,499","1.573,843","1,34%"
