Fecha,Último,Apertura,Máximo,Mínimo,% var.
Mar 2026,"1.841,013","1.836,051","1.841,013","1.835,059","0,29%"
Feb 2026,"1.835,777","1.828,318","1.835,777","1.828,042","0,42%"
Ene 2026,"1.828,180","1.821,531","1.828,180","1.821,026","0,38%"
Dic 2025,"1.821,279","1.815,866","1.821,279","1.815,866","0,30%"
Nov 2025,"1.815,804","1.811,613","1.815,804","1.811,103","0,25%"
Oct 2025,"1.811,358","1.804,815","1.811,358","1.804,796","0,38%"
Sep 2025,"1.804,552","1.797,073","1.804,552","1.796,182","0,43%"
Ago 2025,"1.796,862","1.788,207","1.796,862","1.787,578","0,52%"
Jul 2025,"1.787,578","1.780,572","1.787,578","1.780,572","0,40%"
Jun 2025,"1.780,453","1.773,680","1.780,453","1.773,286","0,42%"
May 2025,"1.773,062","1.767,438","1.773,062","1.767,152","0,33%"
Abr 2025,"1.767,152","1.756,749","1.767,152","1.756,749","0,64%"
Mar 2025,"1.755,962","1.745,752","1.755,962","1.745,752","0,60%"
Feb 2025,"1.745,411","1.736,977","1.745,411","1.736,977","0,51%"
Ene 2025,"1.736,522","1.728,946","1.737,103","1.728,946","0,47%"
Dic 2024,"1.728,357","1.720,941","1.728,357","1.720,941","0,46%"
Nov 2024,"1.720,398","1.710,479","1.720,398","1.710,479","0,61%"
Oct 2024,"1.710,032","1.706,145","1.710,319","1.706,145","0,25%"
Sep 2024,"1.705,720","1.694,577","1.705,720","1.694,577","0,70%"
Ago 2024,"1.693,901","1.682,247","1.693,901","1.682,247","0,71%"
Jul 2024,"1.681,877","1.670,208","1.681,877","1.670,208","0,71%"
Jun 2024,"1.669,941","1.659,849","1.670,369","1.659,849","0,59%"
May 2024,"1.660,170","1.648,105","1.660,579","1.648,105","0,77%"
Abr 2024,"1.647,443","1.638,406","1.647,443","1.638,406","0,57%"
Mar 2024,"1.638,053","1.626,858","1.638,053","1.626,855","0,66%"
Feb 2024,"1.627,251","1.616,232","1.627,251","1.616,232","0,75%"
Ene 2024,"1.615,113","1.602,972","1.615,113","1.602,972","0,78%"
Dic 2023,"1.602,682","1.587,395","1.602,682","1.587,395","1,01%"
Nov 2023,"1.586,637","1.573,846","1.586,637","1.573,846","0,82%"
Oct 2023,"1.573,766","1.565,918","1.573,766","1.565,918","0,51%"
Sep 2023,"1.565,753","1.562,284","1.567,888","1.562,284","0,25%"
Ago 2023,"1.561,860","1.551,181","1.561,860","1.551,181","0,77%"
Jul 2023,"1.549,932","1.535,624","1.549,932","1.535,624","0,95%"
Jun 2023,"1.535,366","1.516,639","1.535,366","1.516,639","1,27%"
May 2023,"1.516,123","1.505,364","1.516,123","1.505,364","0,74%"
Abr 2023,"1.505,042","1.497,346","1.505,042","1.497,346","0,52%"
Mar 2023,"1.497,297","1.485,226","1.497,479","1.485,226","0,85%"
Feb 2023,"1.484,677","1.477,226","1.484,677","1.477,165","0,53%"
