Fecha,Último,Apertura,Máximo,Mínimo,% var.
Mar 2026,"2.109,853","2.103,236","2.113,349","2.100,780","0,33%"
Feb 2026,"2.102,835","2.089,539","2.102,835","2.089,508","0,64%"
Ene 2026,"2.089,523","2.076,028","2.089,523","2.075,375","0,67%"
Dic 2025,"2.075,702","2.072,391","2.075,702","2.071,876","0,13%"
Nov 2025,"2.072,911","2.067,200","2.074,325","2.066,458","0,29%"
Oct 2025,"2.066,830","2.060,219","2.067,117","2.058,681","0,36%"
Sep 2025,"2.059,388","2.047,077","2.059,388","2.046,579","0,56%"
Ago 2025,"2.047,883","2.033,533","2.049,083","2.033,340","0,76%"
Jul 2025,"2.032,362","2.021,244","2.032,362","2.016,757","0,54%"
Jun 2025,"2.021,408","2.016,521","2.022,591","2.015,779","0,29%"
May 2025,"2.015,522","2.014,067","2.016,303","2.012,587","0,09%"
Abr 2025,"2.013,642","1.997,071","2.013,642","1.997,071","0,93%"
Mar 2025,"1.995,073","1.980,128","1.995,073","1.980,128","0,82%"
Feb 2025,"1.978,844","1.963,187","1.978,844","1.963,187","0,83%"
Ene 2025,"1.962,628","1.948,517","1.966,069","1.948,517","0,82%"
Dic 2024,"1.946,713","1.943,621","1.950,771","1.943,621","0,21%"
Nov 2024,"1.942,549","1.922,065","1.943,826","1.922,065","1,14%"
Oct 2024,"1.920,726","1.936,932","1.939,942","1.920,726","-0,75%"
Sep 2024,"1.935,145","1.910,314","1.935,145","1.909,356","1,35%"
Ago 2024,"1.909,304","1.883,439","1.909,548","1.883,439","1,44%"
Jul 2024,"1.882,142","1.859,472","1.882,142","1.859,309","1,26%"
Jun 2024,"1.858,670","1.844,218","1.859,401","1.844,218","0,77%"
May 2024,"1.844,482","1.826,232","1.847,807","1.826,232","1,13%"
Abr 2024,"1.823,920","1.817,266","1.824,536","1.817,266","0,37%"
Mar 2024,"1.817,231","1.798,369","1.817,231","1.797,621","0,94%"
Feb 2024,"1.800,392","1.787,909","1.802,750","1.787,909","0,87%"
Ene 2024,"1.784,845","1.776,039","1.784,845","1.769,035","0,54%"
Dic 2023,"1.775,308","1.746,249","1.775,985","1.746,249","1,82%"
Nov 2023,"1.743,641","1.712,172","1.743,641","1.712,172","1,77%"
Oct 2023,"1.713,243","1.711,861","1.722,425","1.709,011","0,01%"
Sep 2023,"1.713,013","1.722,115","1.725,893","1.713,013","-0,47%"
Ago 2023,"1.721,128","1.712,224","1.721,128","1.711,743","0,72%"
Jul 2023,"1.708,772","1.706,280","1.710,284","1.701,795","0,21%"
Jun 2023,"1.705,267","1.677,104","1.706,467","1.677,104","1,70%"
May 2023,"1.676,830","1.679,632","1.684,143","1.673,055","-0,07%"
