Fecha,Último,Apertura,Máximo,Mínimo,% var.
24.03.2026,"2.954,321","2.962,115","2.962,115","2.954,321","0,00%"
23.03.2026,"2.954,321","2.954,321","2.954,354","2.954,094","-0,00%"
22.03.2026,"2.954,354","2.954,354","2.954,354","2.954,094","0,00%"
21.03.2026,"2.954,224","2.954,224","2.954,224","2.954,224","0,00%"
20.03.2026,"2.954,094","2.954,094","2.954,094","2.954,094","0,05%"
19.03.2026,"2.952,611","2.952,611","2.953,348","2.952,611","-0,02%"
18.03.2026,"2.953,348","2.953,348","2.953,348","2.953,348","-0,03%"
17.03.2026,"2.954,285","2.954,285","2.954,468","2.954,285","-0,01%"
16.03.2026,"2.954,468","2.954,468","2.956,167","2.954,468","-0,04%"
15.03.2026,"2.955,573","2.955,573","2.956,167","2.955,301","0,00%"
14.03.2026,"2.955,437","2.955,437","2.955,437","2.955,437","0,00%"
13.03.2026,"2.955,301","2.955,301","2.955,301","2.955,301","-0,03%"
12.03.2026,"2.956,167","2.956,167","2.957,135","2.956,167","-0,03%"
11.03.2026,"2.957,135","2.957,135","2.957,264","2.957,135","-0,00%"
10.03.2026,"2.957,264","2.957,264","2.957,264","2.957,264","-0,08%"
09.03.2026,"2.959,762","2.959,762","2.959,762","2.955,874","0,10%"
08.03.2026,"2.956,916","2.956,916","2.956,916","2.955,874","0,02%"
07.03.2026,"2.956,395","2.956,395","2.956,395","2.956,395","0,02%"
06.03.2026,"2.955,874","2.955,874","2.955,874","2.955,874","0,10%"
05.03.2026,"2.953,044","2.953,044","2.953,044","2.951,347","0,06%"
04.03.2026,"2.951,347","2.951,347","2.951,347","2.948,880","0,08%"
03.03.2026,"2.948,880","2.948,880","2.948,880","2.948,208","0,02%"
02.03.2026,"2.948,208","2.948,208","2.948,208","2.942,585","0,08%"
01.03.2026,"2.945,910","2.945,910","2.945,910","2.942,585","0,02%"
28.02.2026,"2.945,385","2.945,385","2.945,385","2.945,385","0,02%"
27.02.2026,"2.944,862","2.944,862","2.944,862","2.944,862","0,08%"
26.02.2026,"2.942,585","2.942,585","2.942,585","2.941,382","0,04%"
25.02.2026,"2.941,382","2.941,382","2.941,382","2.941,382","0,00%"
24.02.2026,"2.941,296","2.941,296","2.941,296","2.941,222","0,00%"
23.02.2026,"2.941,222","2.941,222","2.941,222","2.939,840","0,01%"
22.02.2026,"2.940,887","2.940,887","2.940,887","2.939,840","0,02%"
21.02.2026,"2.940,363","2.940,363","2.940,363","2.940,363","0,02%"
20.02.2026,"2.939,840","2.939,840","2.939,840","2.939,840","0,01%"
19.02.2026,"2.939,400","2.939,400","2.939,400","2.939,235","0,01%"
18.02.2026,"2.939,235","2.939,235","2.939,235","2.938,210","0,03%"
17.02.2026,"2.938,210","2.938,210","2.938,210","2.937,159","0,04%"
16.02.2026,"2.937,159","2.937,159","2.937,159","2.935,442","0,02%"
15.02.2026,"2.936,484","2.936,484","2.936,484","2.935,442","0,02%"
14.02.2026,"2.935,963","2.935,963","2.935,963","2.935,963","0,02%"
13.02.2026,"2.935,442","2.935,442","2.935,442","2.935,442","0,02%"
11.02.2026,"2.934,999","2.934,999","2.934,999","2.932,368","0,09%"
10.02.2026,"2.932,368","2.932,368","2.932,368","2.928,933","0,12%"
09.02.2026,"2.928,933","2.928,933","2.931,136","2.928,712","0,01%"
08.02.2026,"2.928,712","2.928,712","2.931,136","2.928,712","-0,00%"
07.02.2026,"2.928,730","2.928,730","2.928,730","2.928,730","-0,00%"
06.02.2026,"2.928,749","2.928,749","2.928,749","2.928,749","-0,08%"
05.02.2026,"2.931,136","2.931,136","2.931,136","2.929,611","0,05%"
04.02.2026,"2.929,611","2.929,611","2.929,611","2.929,384","0,01%"
03.02.2026,"2.929,384","2.929,384","2.929,384","2.929,011","0,01%"
02.02.2026,"2.929,011","2.929,011","2.929,011","2.925,298","0,04%"
01.02.2026,"2.927,803","2.927,803","2.927,837","2.925,298","-0,00%"
31.01.2026,"2.927,820","2.927,820","2.927,820","2.927,820","-0,00%"
30.01.2026,"2.927,837","2.927,837","2.927,837","2.927,837","0,09%"
29.01.2026,"2.925,298","2.925,298","2.925,298","2.923,071","0,08%"
28.01.2026,"2.923,071","2.923,071","2.923,071","2.921,097","0,07%"
27.01.2026,"2.921,097","2.921,097","2.921,097","2.921,097","0,05%"
26.01.2026,"2.919,732","2.919,732","2.920,203","2.919,732","-0,02%"
25.01.2026,"2.920,184","2.920,184","2.920,203","2.920,184","-0,00%"
24.01.2026,"2.920,193","2.920,193","2.920,193","2.920,193","-0,00%"
23.01.2026,"2.920,203","2.920,203","2.920,203","2.920,203","-0,01%"
22.01.2026,"2.920,458","2.920,458","2.920,458","2.920,108","0,01%"
21.01.2026,"2.920,108","2.920,108","2.920,108","2.920,108","-0,00%"
20.01.2026,"2.920,221","2.920,221","2.920,221","2.919,822","0,01%"
19.01.2026,"2.919,822","2.919,822","2.919,822","2.919,822","0,04%"
18.01.2026,"2.918,614","2.918,614","2.918,616","2.918,148","-0,00%"
17.01.2026,"2.918,615","2.918,615","2.918,615","2.918,615","-0,00%"
16.01.2026,"2.918,616","2.918,616","2.918,616","2.918,616","0,02%"
15.01.2026,"2.918,148","2.918,148","2.918,148","2.918,148","0,07%"
14.01.2026,"2.916,000","2.916,000","2.916,000","2.916,000","0,09%"
13.01.2026,"2.913,500","2.913,500","2.913,500","2.913,500","-0,02%"
12.01.2026,"2.914,103","2.914,103","2.914,103","2.914,103","0,01%"
11.01.2026,"2.913,850","2.913,850","2.913,850","2.913,840","0,00%"
10.01.2026,"2.913,845","2.913,845","2.913,845","2.913,845","0,00%"
09.01.2026,"2.913,840","2.913,840","2.913,840","2.913,840","0,01%"
