Fecha,Último,Apertura,Máximo,Mínimo,% var.
24.03.2026,"2.199,067","2.201,680","2.201,680","2.199,067","0,00%"
23.03.2026,"2.199,067","2.199,067","2.202,010","2.199,067","-0,13%"
22.03.2026,"2.202,010","2.202,010","2.202,010","2.201,836","0,00%"
21.03.2026,"2.201,923","2.201,923","2.201,923","2.201,923","0,00%"
20.03.2026,"2.201,836","2.201,836","2.201,836","2.201,836","-0,35%"
19.03.2026,"2.209,480","2.209,480","2.212,733","2.209,480","-0,15%"
18.03.2026,"2.212,733","2.212,733","2.212,733","2.212,660","0,00%"
17.03.2026,"2.212,660","2.212,660","2.212,660","2.211,260","0,06%"
16.03.2026,"2.211,260","2.211,260","2.212,266","2.211,260","-0,05%"
15.03.2026,"2.212,266","2.212,266","2.212,266","2.211,606","0,00%"
14.03.2026,"2.212,180","2.212,180","2.212,180","2.212,180","0,00%"
13.03.2026,"2.212,095","2.212,095","2.212,095","2.212,095","0,02%"
12.03.2026,"2.211,606","2.211,606","2.212,445","2.211,606","-0,04%"
11.03.2026,"2.212,445","2.212,445","2.213,687","2.212,445","-0,06%"
10.03.2026,"2.213,687","2.213,687","2.219,645","2.213,687","-0,27%"
09.03.2026,"2.219,645","2.219,645","2.219,645","2.208,421","0,19%"
08.03.2026,"2.215,509","2.215,509","2.215,509","2.208,421","0,01%"
07.03.2026,"2.215,245","2.215,245","2.215,245","2.215,245","0,01%"
06.03.2026,"2.214,980","2.214,980","2.214,980","2.214,980","0,30%"
05.03.2026,"2.208,421","2.208,403","2.208,488","2.208,403","-0,00%"
04.03.2026,"2.208,488","2.208,488","2.208,488","2.206,885","0,07%"
03.03.2026,"2.206,885","2.206,885","2.208,258","2.206,885","-0,06%"
02.03.2026,"2.208,258","2.208,258","2.209,014","2.205,267","-0,03%"
01.03.2026,"2.209,014","2.209,014","2.209,014","2.205,267","0,01%"
28.02.2026,"2.208,753","2.208,753","2.208,753","2.208,753","0,01%"
27.02.2026,"2.208,490","2.208,490","2.208,490","2.208,490","0,15%"
26.02.2026,"2.205,267","2.205,267","2.205,267","2.204,956","0,01%"
25.02.2026,"2.204,956","2.204,956","2.204,956","2.204,956","0,00%"
24.02.2026,"2.204,885","2.204,885","2.204,885","2.202,852","0,09%"
23.02.2026,"2.202,852","2.202,852","2.202,852","2.201,021","0,06%"
22.02.2026,"2.201,546","2.201,546","2.201,546","2.201,021","0,01%"
21.02.2026,"2.201,283","2.201,283","2.201,283","2.201,283","0,01%"
20.02.2026,"2.201,021","2.201,021","2.201,021","2.201,021","0,13%"
19.02.2026,"2.198,074","2.198,074","2.198,074","2.197,916","0,01%"
18.02.2026,"2.197,916","2.197,916","2.198,341","2.197,916","-0,02%"
17.02.2026,"2.198,341","2.198,341","2.198,341","2.197,884","0,02%"
16.02.2026,"2.197,884","2.197,884","2.197,884","2.195,166","0,10%"
15.02.2026,"2.195,698","2.195,698","2.195,698","2.195,166","0,01%"
14.02.2026,"2.195,432","2.195,432","2.195,432","2.195,432","0,01%"
13.02.2026,"2.195,166","2.195,166","2.195,166","2.195,166","-0,18%"
11.02.2026,"2.199,164","2.199,164","2.199,164","2.193,947","0,24%"
10.02.2026,"2.193,947","2.193,947","2.195,669","2.193,947","-0,08%"
09.02.2026,"2.195,669","2.195,669","2.195,669","2.195,102","0,02%"
08.02.2026,"2.195,126","2.195,126","2.195,587","2.195,102","0,00%"
07.02.2026,"2.195,114","2.195,114","2.195,114","2.195,114","0,00%"
06.02.2026,"2.195,102","2.195,102","2.195,102","2.195,102","-0,02%"
05.02.2026,"2.195,587","2.195,587","2.195,587","2.195,172","0,02%"
04.02.2026,"2.195,172","2.195,172","2.199,956","2.195,172","-0,22%"
03.02.2026,"2.199,956","2.199,956","2.199,956","2.198,795","0,05%"
02.02.2026,"2.198,795","2.198,795","2.198,795","2.197,071","0,08%"
01.02.2026,"2.197,091","2.197,091","2.197,091","2.197,071","0,00%"
31.01.2026,"2.197,081","2.197,081","2.197,081","2.197,081","0,00%"
30.01.2026,"2.197,071","2.197,071","2.197,071","2.197,071","-0,04%"
29.01.2026,"2.197,884","2.197,884","2.197,884","2.197,167","0,03%"
28.01.2026,"2.197,167","2.197,167","2.197,167","2.195,987","0,05%"
27.01.2026,"2.195,987","2.195,987","2.195,987","2.195,987","0,02%"
26.01.2026,"2.195,503","2.195,503","2.197,295","2.195,503","-0,08%"
25.01.2026,"2.197,295","2.197,295","2.197,295","2.197,272","0,00%"
24.01.2026,"2.197,284","2.197,284","2.197,284","2.197,284","0,00%"
23.01.2026,"2.197,272","2.197,272","2.197,272","2.197,272","-0,03%"
22.01.2026,"2.197,953","2.197,953","2.197,953","2.197,953","0,14%"
21.01.2026,"2.194,920","2.194,920","2.196,146","2.194,920","-0,06%"
20.01.2026,"2.196,146","2.196,146","2.196,146","2.196,146","-0,02%"
19.01.2026,"2.196,674","2.196,674","2.196,674","2.196,674","0,05%"
18.01.2026,"2.195,622","2.195,622","2.195,622","2.193,007","0,00%"
17.01.2026,"2.195,608","2.195,608","2.195,608","2.195,608","0,00%"
16.01.2026,"2.195,593","2.195,593","2.195,593","2.195,593","0,12%"
15.01.2026,"2.193,007","2.193,007","2.193,007","2.193,007","0,05%"
14.01.2026,"2.191,850","2.191,850","2.191,850","2.191,850","0,05%"
13.01.2026,"2.190,734","2.190,734","2.190,734","2.190,734","0,07%"
12.01.2026,"2.189,268","2.189,268","2.189,268","2.189,268","-0,03%"
11.01.2026,"2.189,875","2.189,875","2.189,875","2.189,840","0,00%"
10.01.2026,"2.189,857","2.189,857","2.189,857","2.189,857","0,00%"
09.01.2026,"2.189,840","2.189,840","2.189,840","2.189,840","-0,01%"
08.01.2026,"2.189,989","2.189,989","2.189,989","2.189,989","0,05%"
07.01.2026,"2.188,844","2.188,844","2.188,844","2.188,844","-0,05%"
06.01.2026,"2.189,923","2.189,923","2.189,923","2.189,923","0,05%"
05.01.2026,"2.188,739","2.188,739","2.188,739","2.188,739","0,40%"
04.01.2026,"2.180,094","2.180,094","2.180,094","2.179,664","0,01%"
03.01.2026,"2.179,879","2.179,879","2.179,879","2.179,879","0,01%"
02.01.2026,"2.179,664","2.179,664","2.179,664","2.179,664","-0,10%"
01.01.2026,"2.181,892","2.181,892","2.181,892","2.181,464","0,01%"
31.12.2025,"2.181,678","2.181,678","2.181,678","2.181,678","0,01%"
30.12.2025,"2.181,464","2.181,464","2.181,464","2.181,464","-0,06%"
29.12.2025,"2.182,718","2.182,718","2.182,718","2.179,619","0,12%"
28.12.2025,"2.180,049","2.180,049","2.180,049","2.179,619","0,01%"
27.12.2025,"2.179,834","2.179,834","2.179,834","2.179,834","0,01%"
26.12.2025,"2.179,619","2.179,619","2.179,619","2.179,619","0,11%"
25.12.2025,"2.177,167","2.177,167","2.177,167","2.176,951","0,01%"
24.12.2025,"2.176,951","2.176,951","2.176,951","2.176,951","0,07%"
23.12.2025,"2.175,534","2.175,534","2.175,534","2.175,510","0,00%"
22.12.2025,"2.175,510","2.175,510","2.175,510","2.174,657","0,02%"
21.12.2025,"2.175,084","2.175,084","2.175,084","2.174,657","0,01%"
20.12.2025,"2.174,871","2.174,871","2.174,871","2.174,871","0,01%"
19.12.2025,"2.174,657","2.174,657","2.174,657","2.174,657","-0,00%"
18.12.2025,"2.174,716","2.174,716","2.174,716","2.174,074","0,03%"
17.12.2025,"2.174,074","2.174,074","2.174,074","2.174,074","0,06%"
16.12.2025,"2.172,793","2.172,793","2.172,793","2.172,793","-0,06%"
15.12.2025,"2.174,173","2.174,173","2.174,173","2.174,173","-0,10%"
14.12.2025,"2.176,254","2.176,254","2.176,254","2.175,829","0,01%"
13.12.2025,"2.176,042","2.176,042","2.176,042","2.176,042","0,01%"
12.12.2025,"2.175,829","2.175,829","2.175,829","2.175,829","-0,01%"
11.12.2025,"2.175,995","2.175,995","2.176,770","2.175,995","-0,04%"
10.12.2025,"2.176,770","2.176,770","2.177,167","2.176,770","-0,02%"
09.12.2025,"2.177,167","2.177,167","2.178,170","2.175,409","-0,05%"
08.12.2025,"2.178,170","2.178,170","2.178,170","2.175,409","0,00%"
07.12.2025,"2.178,076","2.178,076","2.178,076","2.178,076","0,00%"
06.12.2025,"2.177,982","2.177,982","2.177,982","2.177,982","0,00%"
05.12.2025,"2.177,888","2.177,888","2.177,888","2.177,888","0,11%"
04.12.2025,"2.175,409","2.175,409","2.175,409","2.175,409","-0,01%"
03.12.2025,"2.175,675","2.175,675","2.175,675","2.175,675","-0,11%"
02.12.2025,"2.178,077","2.178,077","2.178,230","2.178,077","-0,01%"
01.12.2025,"2.178,230","2.178,230","2.178,230","2.178,230","-0,06%"
30.11.2025,"2.179,566","2.179,566","2.179,566","2.179,375","0,00%"
29.11.2025,"2.179,470","2.179,470","2.179,470","2.179,470","0,00%"
28.11.2025,"2.179,375","2.179,375","2.179,375","2.179,375","0,03%"
27.11.2025,"2.178,815","2.178,815","2.178,815","2.176,412","0,11%"
26.11.2025,"2.176,412","2.176,412","2.177,154","2.176,412","-0,03%"
25.11.2025,"2.177,154","2.177,154","2.177,154","2.173,280","0,18%"
24.11.2025,"2.173,280","2.173,280","2.173,280","2.173,280","0,03%"
23.11.2025,"2.172,618","2.172,618","2.172,618","2.167,766","0,00%"
22.11.2025,"2.172,521","2.172,521","2.172,521","2.172,521","0,00%"
21.11.2025,"2.172,424","2.172,424","2.172,424","2.172,424","0,21%"
20.11.2025,"2.167,766","2.167,766","2.167,766","2.167,766","-0,16%"
19.11.2025,"2.171,180","2.171,180","2.171,180","2.171,180","0,08%"
18.11.2025,"2.169,511","2.169,511","2.169,511","2.169,511","0,04%"
17.11.2025,"2.168,740","2.168,740","2.168,740","2.168,740","0,11%"
16.11.2025,"2.166,377","2.166,377","2.166,377","2.163,441","0,00%"
15.11.2025,"2.166,276","2.166,276","2.166,276","2.166,276","0,00%"
14.11.2025,"2.166,175","2.166,175","2.166,175","2.166,175","0,13%"
13.11.2025,"2.163,441","2.163,441","2.163,441","2.163,441","-0,32%"
12.11.2025,"2.170,454","2.170,454","2.170,454","2.170,454","0,11%"
11.11.2025,"2.168,119","2.168,119","2.168,119","2.168,119","0,05%"
10.11.2025,"2.167,083","2.167,083","2.167,083","2.167,083","0,11%"
09.11.2025,"2.164,614","2.164,614","2.164,614","2.158,146","0,01%"
08.11.2025,"2.164,365","2.164,365","2.164,365","2.164,365","0,01%"
07.11.2025,"2.164,114","2.164,114","2.164,114","2.164,114","0,28%"
06.11.2025,"2.158,146","2.158,146","2.159,945","2.158,146","-0,08%"
05.11.2025,"2.159,945","2.159,945","2.159,945","2.159,945","0,06%"
04.11.2025,"2.158,611","2.158,611","2.158,611","2.158,611","-0,08%"
03.11.2025,"2.160,252","2.160,252","2.160,252","2.160,252","0,02%"
02.11.2025,"2.159,876","2.159,876","2.159,876","2.159,120","0,01%"
01.11.2025,"2.159,624","2.159,624","2.159,624","2.159,624","0,01%"
31.10.2025,"2.159,372","2.159,372","2.159,372","2.159,372","0,01%"
30.10.2025,"2.159,120","2.159,120","2.159,120","2.159,120","-0,04%"
29.10.2025,"2.159,929","2.159,929","2.159,929","2.159,929","0,10%"
28.10.2025,"2.157,860","2.157,860","2.157,860","2.157,860","0,08%"
27.10.2025,"2.156,042","2.156,042","2.156,042","2.156,042","-0,02%"
26.10.2025,"2.156,578","2.156,578","2.156,578","2.156,075","0,01%"
25.10.2025,"2.156,326","2.156,326","2.156,326","2.156,326","0,01%"
24.10.2025,"2.156,075","2.156,075","2.156,075","2.156,075","0,04%"
23.10.2025,"2.155,182","2.155,182","2.155,182","2.155,182","-0,04%"
22.10.2025,"2.155,981","2.155,981","2.155,981","2.155,981","-0,05%"
21.10.2025,"2.157,166","2.157,166","2.157,166","2.157,166","-0,06%"
20.10.2025,"2.158,456","2.158,456","2.158,456","2.158,456","0,03%"
19.10.2025,"2.157,889","2.157,889","2.157,889","2.157,385","0,01%"
18.10.2025,"2.157,637","2.157,637","2.157,637","2.157,637","0,01%"
17.10.2025,"2.157,385","2.157,385","2.157,385","2.157,385","0,04%"
16.10.2025,"2.156,510","2.156,510","2.156,510","2.156,510","-0,02%"
15.10.2025,"2.157,048","2.157,048","2.157,048","2.157,048","0,02%"
14.10.2025,"2.156,600","2.156,600","2.156,600","2.156,600","0,33%"
13.10.2025,"2.149,511","2.149,511","2.149,511","2.149,511","0,20%"
12.10.2025,"2.145,238","2.145,238","2.145,238","2.144,734","0,01%"
11.10.2025,"2.144,986","2.144,986","2.144,986","2.144,986","0,01%"
10.10.2025,"2.144,734","2.144,734","2.144,734","2.144,734","-0,04%"
09.10.2025,"2.145,538","2.145,538","2.145,538","2.145,538","-0,27%"
08.10.2025,"2.151,397","2.151,397","2.151,397","2.151,397","0,00%"
07.10.2025,"2.151,338","2.151,338","2.151,338","2.151,338","-0,02%"
06.10.2025,"2.151,727","2.151,727","2.151,727","2.151,727","-0,01%"
05.10.2025,"2.151,853","2.151,853","2.151,853","2.150,520","0,00%"
04.10.2025,"2.151,757","2.151,757","2.151,757","2.151,757","0,00%"
03.10.2025,"2.151,660","2.151,660","2.151,660","2.151,660","0,05%"
