Fecha,Último,Apertura,Máximo,Mínimo,% var.
24.03.2026,"2.115,447","2.115,447","2.115,447","2.115,447","0,27%"
23.03.2026,"2.109,853","2.109,853","2.109,853","2.108,521","0,00%"
22.03.2026,"2.109,849","2.109,849","2.109,849","2.108,521","0,01%"
21.03.2026,"2.109,728","2.109,728","2.109,728","2.109,728","0,01%"
20.03.2026,"2.109,607","2.109,607","2.109,607","2.109,607","0,05%"
19.03.2026,"2.108,521","2.108,521","2.109,019","2.108,521","-0,02%"
18.03.2026,"2.109,019","2.109,019","2.109,660","2.109,019","-0,03%"
17.03.2026,"2.109,660","2.109,660","2.109,763","2.109,660","-0,00%"
16.03.2026,"2.109,763","2.109,763","2.110,865","2.109,763","-0,04%"
15.03.2026,"2.110,524","2.110,524","2.110,865","2.110,275","0,01%"
14.03.2026,"2.110,400","2.110,400","2.110,400","2.110,400","0,01%"
13.03.2026,"2.110,275","2.110,275","2.110,275","2.110,275","-0,03%"
12.03.2026,"2.110,865","2.110,865","2.111,529","2.110,865","-0,03%"
11.03.2026,"2.111,529","2.111,529","2.111,529","2.111,529","-0,00%"
10.03.2026,"2.111,593","2.111,593","2.113,349","2.111,593","-0,08%"
09.03.2026,"2.113,349","2.113,349","2.113,349","2.110,489","0,10%"
08.03.2026,"2.111,289","2.111,289","2.111,289","2.110,489","0,02%"
07.03.2026,"2.110,889","2.110,889","2.110,889","2.110,889","0,02%"
06.03.2026,"2.110,489","2.110,489","2.110,489","2.110,489","0,10%"
05.03.2026,"2.108,441","2.108,441","2.108,441","2.108,441","0,06%"
04.03.2026,"2.107,202","2.107,202","2.107,202","2.105,412","0,08%"
03.03.2026,"2.105,412","2.105,412","2.105,412","2.104,906","0,02%"
02.03.2026,"2.104,906","2.104,906","2.104,906","2.100,780","0,08%"
01.03.2026,"2.103,236","2.103,236","2.103,236","2.100,780","0,02%"
28.02.2026,"2.102,835","2.102,835","2.102,835","2.102,835","0,02%"
27.02.2026,"2.102,433","2.102,433","2.102,433","2.102,433","0,08%"
26.02.2026,"2.100,780","2.100,780","2.100,780","2.099,893","0,04%"
25.02.2026,"2.099,893","2.099,893","2.099,893","2.099,893","0,00%"
24.02.2026,"2.099,804","2.099,804","2.099,804","2.099,723","0,00%"
23.02.2026,"2.099,723","2.099,723","2.099,723","2.098,654","0,01%"
22.02.2026,"2.099,457","2.099,457","2.099,457","2.098,654","0,02%"
21.02.2026,"2.099,055","2.099,055","2.099,055","2.099,055","0,02%"
20.02.2026,"2.098,654","2.098,654","2.098,654","2.098,654","0,02%"
19.02.2026,"2.098,313","2.098,313","2.098,313","2.098,167","0,01%"
18.02.2026,"2.098,167","2.098,167","2.098,167","2.097,407","0,04%"
17.02.2026,"2.097,407","2.097,407","2.097,407","2.096,630","0,04%"
16.02.2026,"2.096,630","2.096,630","2.096,630","2.095,321","0,02%"
15.02.2026,"2.096,120","2.096,120","2.096,120","2.095,321","0,02%"
14.02.2026,"2.095,721","2.095,721","2.095,721","2.095,721","0,02%"
13.02.2026,"2.095,321","2.095,321","2.095,321","2.095,321","0,02%"
11.02.2026,"2.094,950","2.094,950","2.094,950","2.093,044","0,09%"
10.02.2026,"2.093,044","2.093,044","2.093,044","2.090,566","0,12%"
09.02.2026,"2.090,566","2.090,566","2.092,028","2.090,351","0,01%"
08.02.2026,"2.090,380","2.090,380","2.092,028","2.090,351","0,00%"
07.02.2026,"2.090,365","2.090,365","2.090,365","2.090,365","0,00%"
06.02.2026,"2.090,351","2.090,351","2.090,351","2.090,351","-0,08%"
05.02.2026,"2.092,028","2.092,028","2.092,028","2.090,912","0,05%"
04.02.2026,"2.090,912","2.090,912","2.090,912","2.090,722","0,01%"
03.02.2026,"2.090,722","2.090,722","2.090,722","2.090,428","0,01%"
02.02.2026,"2.090,428","2.090,428","2.090,428","2.089,508","0,04%"
01.02.2026,"2.089,539","2.089,539","2.089,539","2.089,508","0,00%"
31.01.2026,"2.089,523","2.089,523","2.089,523","2.089,523","0,00%"
30.01.2026,"2.089,508","2.089,508","2.089,508","2.089,508","0,09%"
29.01.2026,"2.087,668","2.087,668","2.087,668","2.086,052","0,08%"
28.01.2026,"2.086,052","2.086,052","2.086,052","2.086,052","0,07%"
27.01.2026,"2.084,615","2.084,615","2.084,615","2.084,615","0,05%"
26.01.2026,"2.083,614","2.083,614","2.083,909","2.083,614","-0,01%"
25.01.2026,"2.083,909","2.083,909","2.083,909","2.083,867","0,00%"
24.01.2026,"2.083,888","2.083,888","2.083,888","2.083,888","0,00%"
23.01.2026,"2.083,867","2.083,867","2.083,867","2.083,867","-0,01%"
22.01.2026,"2.084,022","2.084,022","2.084,022","2.084,022","0,01%"
21.01.2026,"2.083,745","2.083,745","2.083,798","2.083,745","-0,00%"
20.01.2026,"2.083,798","2.083,798","2.083,798","2.083,798","0,01%"
19.01.2026,"2.083,486","2.083,486","2.083,486","2.083,486","0,04%"
18.01.2026,"2.082,597","2.082,597","2.082,597","2.082,182","0,00%"
17.01.2026,"2.082,570","2.082,570","2.082,570","2.082,570","0,00%"
16.01.2026,"2.082,543","2.082,543","2.082,543","2.082,543","0,02%"
15.01.2026,"2.082,182","2.082,182","2.082,182","2.082,182","0,07%"
14.01.2026,"2.080,622","2.080,622","2.080,622","2.080,622","0,09%"
13.01.2026,"2.078,811","2.078,811","2.078,811","2.078,811","-0,02%"
12.01.2026,"2.079,213","2.079,213","2.079,213","2.079,213","0,01%"
11.01.2026,"2.079,005","2.079,005","2.079,005","2.078,944","0,00%"
10.01.2026,"2.078,975","2.078,975","2.078,975","2.078,975","0,00%"
09.01.2026,"2.078,944","2.078,944","2.078,944","2.078,944","0,02%"
08.01.2026,"2.078,626","2.078,626","2.078,626","2.078,626","0,01%"
07.01.2026,"2.078,371","2.078,371","2.078,371","2.078,371","0,01%"
06.01.2026,"2.078,102","2.078,102","2.078,996","2.078,102","-0,04%"
05.01.2026,"2.078,996","2.078,996","2.078,996","2.078,996","0,10%"
04.01.2026,"2.076,816","2.076,816","2.076,816","2.075,375","0,02%"
03.01.2026,"2.076,490","2.076,490","2.076,490","2.076,490","0,02%"
02.01.2026,"2.076,163","2.076,163","2.076,163","2.076,163","0,01%"
01.01.2026,"2.076,028","2.076,028","2.076,028","2.075,375","0,02%"
31.12.2025,"2.075,702","2.075,702","2.075,702","2.075,702","0,02%"
30.12.2025,"2.075,375","2.075,375","2.075,375","2.075,375","-0,01%"
29.12.2025,"2.075,626","2.075,626","2.075,672","2.075,021","-0,00%"
28.12.2025,"2.075,672","2.075,672","2.075,672","2.075,021","0,02%"
27.12.2025,"2.075,346","2.075,346","2.075,346","2.075,346","0,02%"
26.12.2025,"2.075,021","2.075,021","2.075,021","2.075,021","0,04%"
25.12.2025,"2.074,210","2.074,210","2.074,210","2.073,884","0,02%"
24.12.2025,"2.073,884","2.073,884","2.073,884","2.073,884","-0,01%"
23.12.2025,"2.074,042","2.074,042","2.074,042","2.073,834","0,01%"
22.12.2025,"2.073,834","2.073,834","2.075,435","2.073,834","-0,08%"
21.12.2025,"2.075,435","2.075,435","2.075,435","2.074,789","0,02%"
20.12.2025,"2.075,112","2.075,112","2.075,112","2.075,112","0,02%"
19.12.2025,"2.074,789","2.074,789","2.074,789","2.074,789","0,01%"
18.12.2025,"2.074,672","2.074,672","2.074,672","2.074,672","-0,00%"
17.12.2025,"2.074,715","2.074,715","2.074,715","2.074,715","0,04%"
16.12.2025,"2.073,840","2.073,840","2.073,840","2.073,840","0,03%"
15.12.2025,"2.073,151","2.073,151","2.073,151","2.073,151","-0,03%"
14.12.2025,"2.073,737","2.073,737","2.073,737","2.072,996","0,02%"
13.12.2025,"2.073,417","2.073,417","2.073,417","2.073,417","0,02%"
12.12.2025,"2.073,097","2.073,097","2.073,097","2.073,097","0,00%"
11.12.2025,"2.072,996","2.072,996","2.072,996","2.072,180","0,04%"
10.12.2025,"2.072,180","2.072,180","2.072,641","2.072,180","-0,02%"
09.12.2025,"2.072,641","2.072,641","2.073,386","2.072,641","-0,04%"
08.12.2025,"2.073,386","2.073,386","2.073,386","2.072,972","0,01%"
07.12.2025,"2.073,248","2.073,248","2.073,248","2.073,248","0,01%"
06.12.2025,"2.073,110","2.073,110","2.073,110","2.073,110","0,01%"
05.12.2025,"2.072,972","2.072,972","2.072,972","2.072,972","-0,02%"
