Fecha,Último,Apertura,Máximo,Mínimo,% var.
Mar 2026,"4.899,187","5.177,124","5.263,424","4.862,705","-5,37%"
Feb 2026,"5.177,372","5.445,541","5.522,724","5.149,434","-4,93%"
Ene 2026,"5.445,803","4.987,072","5.532,346","4.972,085","9,19%"
Dic 2025,"4.987,312","4.840,901","5.017,103","4.834,416","3,19%"
Nov 2025,"4.833,283","4.497,744","4.833,747","4.443,792","7,46%"
Oct 2025,"4.497,949","4.246,851","4.498,153","4.142,302","5,60%"
Sep 2025,"4.259,423","4.220,708","4.359,851","4.208,908","1,20%"
Ago 2025,"4.208,908","3.902,608","4.216,021","3.902,277","7,33%"
Jul 2025,"3.921,394","3.952,291","4.010,729","3.871,594","-1,25%"
Jun 2025,"3.971,052","3.880,992","3.996,236","3.858,550","2,41%"
May 2025,"3.877,619","3.849,934","4.073,702","3.835,444","0,71%"
Abr 2025,"3.850,119","3.645,430","3.850,577","3.397,476","6,19%"
Mar 2025,"3.625,592","3.518,675","3.652,786","3.484,214","3,68%"
Feb 2025,"3.497,007","3.412,334","3.510,687","3.412,334","4,33%"
Ene 2025,"3.351,871","3.194,360","3.357,835","3.181,431","4,96%"
Dic 2024,"3.193,414","3.145,929","3.244,996","3.145,627","1,31%"
Nov 2024,"3.152,272","3.138,532","3.179,867","3.106,353","-1,36%"
Oct 2024,"3.195,802","3.133,665","3.239,963","3.058,916","2,02%"
Sep 2024,"3.132,417","3.094,037","3.132,417","2.978,837","1,13%"
Ago 2024,"3.097,423","3.115,213","3.118,008","2.935,127","-0,94%"
Jul 2024,"3.126,826","3.085,564","3.185,340","3.077,016","-0,10%"
Jun 2024,"3.129,838","3.172,823","3.208,905","3.080,273","-2,07%"
May 2024,"3.196,022","3.153,588","3.247,096","3.109,272","3,94%"
Abr 2024,"3.074,888","3.206,800","3.233,953","3.038,912","-2,71%"
Mar 2024,"3.160,684","3.069,961","3.160,684","3.019,743","3,31%"
Feb 2024,"3.059,330","2.885,719","3.086,393","2.885,719","4,48%"
Ene 2024,"2.928,130","3.017,955","3.024,089","2.837,990","-3,82%"
Dic 2023,"3.044,463","2.829,111","3.044,463","2.829,111","8,04%"
Nov 2023,"2.817,857","2.662,628","2.850,070","2.650,570","3,35%"
Oct 2023,"2.726,394","2.853,595","2.877,283","2.701,635","-4,41%"
Sep 2023,"2.852,254","2.949,732","2.949,732","2.821,576","-3,84%"
Ago 2023,"2.966,276","3.101,408","3.140,194","2.947,523","-4,23%"
Jul 2023,"3.097,238","2.810,000","3.139,118","2.810,000","11,48%"
Jun 2023,"2.778,338","2.729,897","2.835,157","2.676,091","1,63%"
May 2023,"2.733,734","2.657,915","2.774,582","2.637,232","2,97%"
Abr 2023,"2.654,947","2.623,076","2.691,663","2.572,222","1,17%"
Mar 2023,"2.624,172","2.634,992","2.675,793","2.530,519","0,12%"
Feb 2023,"2.621,083","2.622,416","2.679,988","2.581,091","-0,36%"
Ene 2023,"2.630,554","2.590,854","2.630,807","2.506,727","1,81%"
Dic 2022,"2.583,779","2.580,417","2.601,934","2.522,522","0,81%"
Nov 2022,"2.562,938","2.541,527","2.642,202","2.532,760","0,88%"
Oct 2022,"2.540,631","2.477,689","2.576,302","2.428,635","1,31%"
Sep 2022,"2.507,760","2.693,179","2.830,689","2.507,760","-6,70%"
Ago 2022,"2.687,956","2.567,432","2.687,956","2.527,871","5,11%"
Jul 2022,"2.557,224","2.424,610","2.557,224","2.392,735","5,51%"
Jun 2022,"2.423,694","2.635,521","2.635,521","2.399,655","-8,11%"
May 2022,"2.637,635","2.303,245","2.637,889","2.265,867","14,23%"
Abr 2022,"2.309,063","2.361,739","2.405,313","2.268,350","-2,50%"
Mar 2022,"2.368,150","2.142,461","2.399,869","2.135,551","12,35%"
Feb 2022,"2.107,813","2.186,478","2.230,921","2.095,381","-4,00%"
Ene 2022,"2.195,724","2.092,324","2.220,577","2.075,052","6,42%"
Dic 2021,"2.063,297","2.193,572","2.193,572","1.973,620","-7,54%"
Nov 2021,"2.231,615","1.973,052","2.328,094","1.972,767","13,00%"
Oct 2021,"1.974,925","2.099,916","2.110,321","1.937,973","-5,62%"
Sep 2021,"2.092,469","2.173,417","2.173,417","2.072,718","-2,80%"
Ago 2021,"2.152,637","2.047,840","2.152,844","2.027,214","5,12%"
Jul 2021,"2.047,840","2.091,139","2.103,871","2.002,851","-2,53%"
Jun 2021,"2.101,051","2.074,627","2.141,334","2.014,987","3,25%"
May 2021,"2.034,941","2.170,630","2.276,752","1.964,385","-8,54%"
Abr 2021,"2.224,947","2.374,260","2.422,798","2.224,947","-6,17%"
Mar 2021,"2.371,255","2.210,290","2.371,255","2.210,078","7,12%"
Feb 2021,"2.213,670","2.079,642","2.251,121","2.079,442","3,72%"
Ene 2021,"2.134,182","2.021,697","2.252,968","2.021,697","5,03%"
Dic 2020,"2.031,880","2.003,373","2.038,814","1.966,123","1,19%"
Nov 2020,"2.007,972","1.733,473","2.034,703","1.726,945","14,24%"
Oct 2020,"1.757,611","1.760,022","1.867,017","1.757,611","-1,35%"
Sep 2020,"1.781,626","1.908,718","1.908,718","1.746,092","-8,84%"
Ago 2020,"1.954,457","1.957,777","1.992,407","1.940,416","-0,84%"
Jul 2020,"1.971,047","1.975,678","2.118,121","1.933,867","-1,24%"
Jun 2020,"1.995,734","1.808,103","2.022,219","1.807,930","10,07%"
May 2020,"1.813,164","1.934,733","1.946,729","1.774,382","-2,53%"
Abr 2020,"1.860,251","1.636,151","1.925,681","1.636,151","16,01%"
Mar 2020,"1.603,563","2.007,163","2.105,967","1.446,848","-22,34%"
Feb 2020,"2.064,766","2.195,546","2.250,344","2.064,766","-6,32%"
Ene 2020,"2.204,147","2.258,615","2.398,502","2.204,056","-1,28%"
