Fecha,Último,Apertura,Máximo,Mínimo,% var.
Mar 2026,"3.761,450","3.858,859","3.859,016","3.761,450","-2,53%"
Feb 2026,"3.858,950","3.831,251","3.859,016","3.787,816","0,72%"
Ene 2026,"3.831,338","3.778,846","3.840,661","3.764,624","1,39%"
Dic 2025,"3.778,976","3.756,790","3.784,381","3.710,898","0,62%"
Nov 2025,"3.755,863","3.755,337","3.767,899","3.678,995","0,01%"
Oct 2025,"3.755,391","3.703,876","3.755,446","3.648,858","1,71%"
Sep 2025,"3.692,173","3.607,730","3.692,173","3.594,718","2,71%"
Ago 2025,"3.594,740","3.475,644","3.603,164","3.475,644","1,99%"
Jul 2025,"3.524,513","3.375,573","3.525,950","3.375,573","4,15%"
Jun 2025,"3.384,225","3.290,090","3.386,067","3.290,090","2,65%"
May 2025,"3.296,837","3.192,941","3.330,301","3.192,941","3,25%"
Abr 2025,"3.192,958","3.158,728","3.192,958","3.010,014","1,30%"
Mar 2025,"3.151,979","3.219,478","3.219,478","3.093,335","-1,94%"
Feb 2025,"3.214,392","3.276,164","3.288,512","3.184,605","-1,61%"
Ene 2025,"3.267,129","3.192,000","3.274,422","3.185,613","2,16%"
Dic 2024,"3.198,202","3.199,625","3.253,837","3.189,179","0,08%"
Nov 2024,"3.195,652","3.156,039","3.223,830","3.122,890","1,63%"
Oct 2024,"3.144,469","3.050,445","3.167,826","3.030,247","3,06%"
Sep 2024,"3.051,173","3.013,717","3.061,473","3.004,481","0,73%"
Ago 2024,"3.029,019","3.026,188","3.040,762","2.907,488","-0,07%"
Jul 2024,"3.031,013","3.010,234","3.058,069","2.999,010","0,27%"
Jun 2024,"3.022,846","2.933,642","3.022,846","2.902,655","3,29%"
May 2024,"2.926,588","2.953,558","2.975,896","2.908,276","-0,33%"
Abr 2024,"2.936,356","3.083,885","3.085,910","2.907,237","-4,41%"
Mar 2024,"3.071,814","3.008,421","3.071,814","2.957,066","1,75%"
Feb 2024,"3.018,862","2.838,907","3.018,995","2.833,550","6,56%"
Ene 2024,"2.832,913","2.750,431","2.832,913","2.728,636","2,31%"
Dic 2023,"2.769,073","2.615,093","2.772,041","2.603,849","5,92%"
Nov 2023,"2.614,397","2.532,832","2.648,680","2.506,819","1,66%"
Oct 2023,"2.571,653","2.593,816","2.686,464","2.569,826","-1,35%"
Sep 2023,"2.606,971","2.604,823","2.657,178","2.589,973","0,04%"
Ago 2023,"2.605,940","2.623,004","2.664,937","2.549,912","-0,28%"
Jul 2023,"2.613,163","2.452,087","2.621,510","2.452,087","6,71%"
Jun 2023,"2.448,938","2.388,313","2.480,274","2.380,945","2,55%"
May 2023,"2.388,027","2.396,185","2.404,951","2.356,663","0,28%"
Abr 2023,"2.381,399","2.367,706","2.440,939","2.367,706","1,04%"
Mar 2023,"2.356,817","2.433,509","2.433,509","2.331,845","-1,66%"
Feb 2023,"2.396,544","2.476,006","2.476,006","2.371,980","-3,47%"
Ene 2023,"2.482,572","2.426,423","2.482,666","2.411,800","1,66%"
Dic 2022,"2.441,949","2.521,167","2.532,096","2.419,695","-3,33%"
Nov 2022,"2.526,169","2.426,838","2.584,831","2.417,719","3,05%"
Oct 2022,"2.451,505","2.474,746","2.512,166","2.390,563","-2,22%"
Sep 2022,"2.507,096","2.524,022","2.587,617","2.478,574","-1,84%"
Ago 2022,"2.554,068","2.586,695","2.690,594","2.554,068","-1,57%"
Jul 2022,"2.594,883","2.572,593","2.744,085","2.569,396","1,37%"
Jun 2022,"2.559,932","2.489,542","2.570,088","2.426,995","3,89%"
May 2022,"2.464,085","2.500,839","2.524,547","2.402,660","-1,37%"
Abr 2022,"2.498,208","2.511,289","2.524,322","2.453,819","0,75%"
Mar 2022,"2.479,595","2.542,048","2.542,048","2.370,286","-1,44%"
Feb 2022,"2.515,944","2.598,040","2.715,503","2.505,666","-2,45%"
Ene 2022,"2.579,068","2.817,778","2.837,026","2.579,068","-8,48%"
Dic 2021,"2.818,042","2.771,142","2.841,299","2.742,396","2,09%"
Nov 2021,"2.760,345","2.733,720","2.827,224","2.733,532","1,01%"
Oct 2021,"2.732,648","2.680,254","2.767,983","2.657,841","1,84%"
Sep 2021,"2.683,183","2.719,121","2.746,237","2.648,481","-1,29%"
Ago 2021,"2.718,155","2.646,330","2.718,284","2.636,640","2,83%"
Jul 2021,"2.643,434","2.648,268","2.655,471","2.610,571","0,05%"
Jun 2021,"2.642,238","2.594,847","2.658,057","2.587,947","1,86%"
May 2021,"2.594,092","2.535,768","2.594,092","2.485,155","2,19%"
Abr 2021,"2.538,456","2.551,495","2.577,994","2.521,288","-0,76%"
Mar 2021,"2.557,996","2.524,464","2.595,076","2.507,960","0,74%"
Feb 2021,"2.539,265","2.537,399","2.660,572","2.535,996","-1,79%"
Ene 2021,"2.585,573","2.436,186","2.616,457","2.430,080","6,95%"
Dic 2020,"2.417,563","2.484,465","2.484,465","2.397,451","-2,41%"
Nov 2020,"2.477,179","2.268,059","2.495,555","2.267,913","8,10%"
Oct 2020,"2.291,506","2.302,129","2.423,228","2.291,506","-0,47%"
Sep 2020,"2.302,260","2.379,412","2.379,412","2.282,845","-2,83%"
Ago 2020,"2.369,282","2.232,996","2.384,169","2.232,996","5,20%"
Jul 2020,"2.252,100","2.245,481","2.302,212","2.245,332","0,24%"
Jun 2020,"2.246,820","2.113,134","2.276,943","2.111,483","5,68%"
May 2020,"2.126,065","2.121,199","2.129,667","2.038,116","1,18%"
Abr 2020,"2.101,361","1.943,277","2.112,814","1.943,277","9,14%"
Mar 2020,"1.925,381","2.296,944","2.374,037","1.804,143","-18,15%"
Feb 2020,"2.352,274","2.415,825","2.464,746","2.352,274","-2,62%"
Ene 2020,"2.415,443","2.334,459","2.447,254","2.334,323","3,95%"
