Fecha,Último,Apertura,Máximo,Mínimo,% var.
Mar 2026,"2.938,232","2.953,141","2.960,451","2.938,232","-0,49%"
Feb 2026,"2.952,786","2.938,593","2.952,786","2.930,183","0,48%"
Ene 2026,"2.938,573","2.908,191","2.938,573","2.906,344","1,05%"
Dic 2025,"2.907,931","2.894,172","2.908,322","2.887,916","0,48%"
Nov 2025,"2.894,167","2.877,364","2.894,167","2.873,691","0,60%"
Oct 2025,"2.877,035","2.863,556","2.877,035","2.855,416","0,56%"
Sep 2025,"2.860,983","2.834,009","2.860,983","2.829,402","1,07%"
Ago 2025,"2.830,607","2.792,324","2.830,607","2.792,169","1,22%"
Jul 2025,"2.796,517","2.755,387","2.796,517","2.755,387","1,48%"
Jun 2025,"2.755,678","2.735,133","2.755,678","2.735,133","0,74%"
May 2025,"2.735,473","2.721,021","2.741,202","2.719,886","0,55%"
Abr 2025,"2.720,616","2.694,489","2.720,616","2.688,408","1,15%"
Mar 2025,"2.689,604","2.681,203","2.691,469","2.668,598","0,43%"
Feb 2025,"2.678,080","2.677,742","2.692,733","2.673,363","0,13%"
Ene 2025,"2.674,708","2.647,131","2.679,858","2.639,990","1,26%"
Dic 2024,"2.641,497","2.664,896","2.674,357","2.641,047","-0,81%"
Nov 2024,"2.663,050","2.624,057","2.663,050","2.622,539","1,56%"
Oct 2024,"2.622,080","2.636,021","2.640,871","2.617,691","-0,31%"
Sep 2024,"2.630,177","2.572,294","2.630,177","2.572,294","2,19%"
Ago 2024,"2.573,883","2.530,321","2.573,883","2.525,508","1,74%"
Jul 2024,"2.529,921","2.492,223","2.529,921","2.483,695","1,50%"
Jun 2024,"2.492,535","2.477,594","2.495,478","2.477,516","0,58%"
May 2024,"2.478,100","2.467,980","2.486,073","2.467,980","0,74%"
Abr 2024,"2.459,973","2.498,223","2.499,417","2.447,050","-1,38%"
Mar 2024,"2.494,452","2.463,845","2.494,452","2.460,881","1,12%"
Feb 2024,"2.466,735","2.427,505","2.469,736","2.427,505","1,69%"
Ene 2024,"2.425,757","2.427,359","2.428,604","2.401,356","-0,05%"
Dic 2023,"2.426,908","2.355,414","2.428,159","2.355,414","3,40%"
Nov 2023,"2.347,098","2.263,320","2.347,098","2.256,115","3,15%"
Oct 2023,"2.275,344","2.296,259","2.317,843","2.270,097","-1,10%"
Sep 2023,"2.300,616","2.330,498","2.333,996","2.300,616","-1,26%"
Ago 2023,"2.329,937","2.338,127","2.355,236","2.317,504","-0,25%"
Jul 2023,"2.335,684","2.310,617","2.338,628","2.309,630","1,03%"
Jun 2023,"2.311,764","2.267,393","2.319,831","2.267,393","1,94%"
May 2023,"2.267,729","2.278,880","2.283,125","2.266,305","-0,31%"
Abr 2023,"2.274,884","2.285,378","2.302,137","2.274,167","-0,18%"
Mar 2023,"2.279,045","2.263,518","2.286,931","2.247,573","1,03%"
Feb 2023,"2.255,806","2.280,335","2.280,335","2.246,362","-1,25%"
Ene 2023,"2.284,422","2.261,366","2.284,422","2.258,852","1,06%"
Dic 2022,"2.260,493","2.248,552","2.270,636","2.247,005","0,63%"
Nov 2022,"2.246,370","2.170,002","2.254,235","2.170,002","3,38%"
Oct 2022,"2.173,011","2.153,676","2.174,542","2.148,730","0,63%"
Sep 2022,"2.159,374","2.183,454","2.206,000","2.159,374","-1,18%"
Ago 2022,"2.185,101","2.199,927","2.208,014","2.182,909","-0,57%"
Jul 2022,"2.197,604","2.170,444","2.201,905","2.170,444","1,40%"
Jun 2022,"2.167,353","2.145,106","2.170,196","2.128,220","1,35%"
May 2022,"2.138,390","2.118,263","2.138,390","2.095,177","0,89%"
Abr 2022,"2.119,567","2.079,861","2.119,567","2.079,861","2,58%"
Mar 2022,"2.066,238","2.066,807","2.078,360","2.059,594","-0,01%"
Feb 2022,"2.066,492","2.061,029","2.092,353","2.060,017","0,58%"
Ene 2022,"2.054,532","2.100,634","2.104,643","2.054,532","-2,22%"
