Fecha,Último,Apertura,Máximo,Mínimo,% var.
Mar 2026,"9.679,770","9.648,061","9.697,345","9.637,509","0,35%"
Feb 2026,"9.646,296","9.595,079","9.646,296","9.595,079","0,53%"
Ene 2026,"9.595,185","9.536,134","9.595,285","9.533,396","0,63%"
Dic 2025,"9.534,765","9.523,007","9.535,718","9.520,227","0,10%"
Nov 2025,"9.525,210","9.499,426","9.535,001","9.496,222","0,29%"
Oct 2025,"9.497,823","9.467,747","9.500,625","9.463,853","0,35%"
Sep 2025,"9.465,053","9.412,644","9.465,053","9.407,388","0,55%"
Ago 2025,"9.413,350","9.356,580","9.421,981","9.355,328","0,67%"
Jul 2025,"9.351,052","9.300,761","9.351,052","9.279,523","0,52%"
Jun 2025,"9.302,862","9.278,699","9.308,890","9.272,298","0,33%"
May 2025,"9.272,298","9.272,577","9.283,620","9.259,649","0,02%"
Abr 2025,"9.270,655","9.195,823","9.270,655","9.195,823","0,91%"
Mar 2025,"9.187,061","9.117,622","9.187,061","9.117,622","0,83%"
Feb 2025,"9.111,292","9.042,580","9.111,292","9.042,580","0,80%"
Ene 2025,"9.038,615","8.967,815","9.050,744","8.967,815","0,86%"
Dic 2024,"8.961,599","8.949,851","8.980,814","8.949,851","0,19%"
Nov 2024,"8.944,757","8.849,360","8.949,433","8.849,360","1,13%"
Oct 2024,"8.844,886","8.920,545","8.933,665","8.844,886","-0,75%"
Sep 2024,"8.911,813","8.795,371","8.911,813","8.793,365","1,36%"
Ago 2024,"8.791,983","8.668,351","8.792,784","8.668,351","1,49%"
Jul 2024,"8.662,711","8.557,587","8.662,711","8.557,587","1,28%"
Jun 2024,"8.553,186","8.494,405","8.559,213","8.494,405","0,66%"
May 2024,"8.496,869","8.407,169","8.511,003","8.407,169","1,21%"
Abr 2024,"8.395,240","8.391,789","8.416,144","8.360,128","0,05%"
Mar 2024,"8.390,680","8.283,217","8.390,680","8.281,627","1,20%"
Feb 2024,"8.291,557","8.216,686","8.306,088","8.216,686","0,94%"
Ene 2024,"8.214,738","8.199,008","8.214,738","8.146,586","0,27%"
Dic 2023,"8.192,839","8.060,819","8.198,460","8.060,819","1,85%"
Nov 2023,"8.043,878","7.855,501","8.043,878","7.853,967","2,37%"
Oct 2023,"7.857,509","7.867,053","7.912,131","7.849,816","-0,26%"
Sep 2023,"7.878,142","7.928,511","7.947,442","7.878,142","-0,58%"
Ago 2023,"7.923,960","7.879,125","7.923,960","7.876,687","0,74%"
Jul 2023,"7.865,664","7.857,962","7.875,967","7.821,339","0,18%"
Jun 2023,"7.851,794","7.744,788","7.861,971","7.744,788","1,32%"
May 2023,"7.749,274","7.778,805","7.789,219","7.732,450","-0,34%"
Abr 2023,"7.775,474","7.818,798","7.847,728","7.773,081","-0,27%"
Mar 2023,"7.796,769","7.712,218","7.796,792","7.703,266","1,26%"
Feb 2023,"7.699,884","7.697,862","7.699,884","7.668,876","-0,04%"
Ene 2023,"7.703,195","7.627,969","7.703,195","7.627,969","1,07%"
Dic 2022,"7.621,410","7.570,298","7.621,410","7.560,951","0,67%"
Nov 2022,"7.570,488","7.380,891","7.584,913","7.380,891","2,66%"
Oct 2022,"7.374,625","7.314,375","7.374,625","7.285,602","0,68%"
Sep 2022,"7.324,716","7.378,447","7.440,413","7.324,716","-0,82%"
Ago 2022,"7.385,272","7.442,730","7.456,229","7.361,503","-0,67%"
Jul 2022,"7.435,001","7.320,143","7.445,440","7.320,143","1,59%"
Jun 2022,"7.318,629","7.239,966","7.318,629","7.236,467","1,00%"
May 2022,"7.246,327","7.175,672","7.246,327","7.137,915","0,91%"
Abr 2022,"7.180,724","6.964,120","7.180,724","6.964,120","3,31%"
Mar 2022,"6.950,820","6.874,009","7.002,093","6.874,009","1,16%"
Feb 2022,"6.870,877","6.785,085","6.870,877","6.785,085","1,42%"
Ene 2022,"6.774,354","6.768,959","6.818,529","6.752,007","0,09%"
Dic 2021,"6.768,183","6.724,623","6.768,230","6.691,253","0,57%"
Nov 2021,"6.730,146","6.634,484","6.730,146","6.634,442","1,51%"
Oct 2021,"6.629,962","6.691,316","6.691,316","6.522,697","-1,07%"
Sep 2021,"6.701,654","6.831,405","6.831,405","6.696,758","-1,83%"
Ago 2021,"6.826,413","6.737,503","6.826,413","6.737,503","1,28%"
Jul 2021,"6.740,056","6.811,655","6.811,655","6.737,005","-1,31%"
Jun 2021,"6.829,512","6.854,555","6.873,865","6.828,059","-0,19%"
May 2021,"6.842,717","6.892,168","6.942,149","6.832,725","-1,25%"
Abr 2021,"6.929,338","7.028,598","7.049,169","6.929,338","-1,48%"
Mar 2021,"7.033,186","7.098,776","7.123,165","7.033,186","-0,85%"
Feb 2021,"7.093,685","7.087,721","7.157,240","7.087,721","0,09%"
Ene 2021,"7.087,425","7.017,478","7.087,425","7.016,906","1,00%"
Dic 2020,"7.017,316","7.024,637","7.033,164","7.015,919","-0,08%"
Nov 2020,"7.023,091","6.958,182","7.023,880","6.958,182","0,98%"
Oct 2020,"6.954,808","6.898,589","6.954,808","6.894,380","0,72%"
Sep 2020,"6.904,900","6.940,868","6.947,282","6.904,900","-0,23%"
Ago 2020,"6.921,014","6.848,495","6.921,014","6.848,495","1,03%"
Jul 2020,"6.850,446","6.860,149","6.877,635","6.826,011","-0,22%"
Jun 2020,"6.865,521","6.880,512","6.886,180","6.827,648","-0,15%"
May 2020,"6.875,500","6.771,788","6.881,165","6.771,788","1,79%"
Abr 2020,"6.754,530","6.656,828","6.772,282","6.656,828","1,47%"
Mar 2020,"6.656,649","6.697,308","6.786,735","6.631,059","-0,85%"
Feb 2020,"6.713,726","6.774,399","6.784,818","6.713,726","-0,87%"
Ene 2020,"6.772,758","6.718,869","6.775,376","6.718,869","0,84%"
