Fecha,Último,Apertura,Máximo,Mínimo,% var.
24.03.2026,"3.761,450","3.766,926","3.766,926","3.761,450","0,00%"
23.03.2026,"3.761,450","3.761,450","3.782,266","3.761,450","-0,55%"
22.03.2026,"3.782,091","3.782,091","3.782,266","3.782,091","-0,00%"
21.03.2026,"3.782,183","3.782,183","3.782,183","3.782,183","-0,00%"
20.03.2026,"3.782,266","3.782,266","3.782,266","3.782,266","-0,74%"
19.03.2026,"3.810,294","3.810,294","3.828,406","3.810,294","-0,47%"
18.03.2026,"3.828,406","3.828,406","3.828,406","3.828,406","0,15%"
17.03.2026,"3.822,659","3.822,659","3.822,659","3.805,439","0,45%"
16.03.2026,"3.805,439","3.805,439","3.812,401","3.799,596","0,15%"
15.03.2026,"3.799,596","3.799,596","3.812,401","3.799,596","-0,00%"
14.03.2026,"3.799,667","3.799,667","3.799,667","3.799,667","-0,00%"
13.03.2026,"3.799,744","3.799,744","3.799,744","3.799,744","-0,33%"
12.03.2026,"3.812,401","3.812,401","3.812,401","3.809,439","0,08%"
11.03.2026,"3.809,439","3.809,439","3.821,193","3.809,439","-0,31%"
10.03.2026,"3.821,193","3.821,193","3.821,193","3.821,193","-0,10%"
09.03.2026,"3.825,195","3.825,195","3.843,947","3.825,195","-0,48%"
08.03.2026,"3.843,820","3.843,820","3.843,947","3.843,820","-0,00%"
07.03.2026,"3.843,899","3.843,899","3.843,899","3.843,899","-0,00%"
06.03.2026,"3.843,947","3.843,947","3.843,947","3.843,947","0,33%"
05.03.2026,"3.831,285","3.831,285","3.831,285","3.826,981","0,11%"
04.03.2026,"3.826,981","3.826,981","3.834,806","3.826,981","-0,20%"
03.03.2026,"3.834,806","3.834,806","3.851,582","3.834,806","-0,44%"
02.03.2026,"3.851,582","3.851,582","3.859,016","3.845,588","-0,19%"
01.03.2026,"3.858,859","3.858,859","3.859,016","3.845,588","-0,00%"
28.02.2026,"3.858,950","3.858,950","3.858,950","3.858,950","-0,00%"
27.02.2026,"3.859,016","3.859,016","3.859,016","3.859,016","0,35%"
26.02.2026,"3.845,588","3.845,588","3.847,106","3.845,588","-0,04%"
25.02.2026,"3.847,106","3.847,106","3.847,106","3.835,872","0,29%"
24.02.2026,"3.835,872","3.835,872","3.835,872","3.825,025","0,28%"
23.02.2026,"3.825,025","3.825,025","3.830,544","3.825,025","-0,14%"
22.02.2026,"3.830,361","3.830,361","3.830,544","3.830,361","-0,00%"
21.02.2026,"3.830,461","3.830,461","3.830,461","3.830,461","-0,00%"
20.02.2026,"3.830,544","3.830,544","3.830,544","3.830,544","0,42%"
19.02.2026,"3.814,494","3.814,494","3.817,939","3.814,494","-0,09%"
18.02.2026,"3.817,939","3.817,939","3.817,939","3.811,063","0,18%"
17.02.2026,"3.811,063","3.811,063","3.811,063","3.797,875","0,35%"
16.02.2026,"3.797,875","3.797,875","3.805,326","3.797,875","-0,19%"
15.02.2026,"3.805,159","3.805,159","3.805,326","3.805,159","-0,00%"
14.02.2026,"3.805,238","3.805,238","3.805,238","3.805,238","-0,00%"
13.02.2026,"3.805,326","3.805,326","3.805,326","3.805,326","-0,57%"
11.02.2026,"3.827,144","3.827,144","3.827,144","3.816,685","0,27%"
10.02.2026,"3.816,685","3.816,685","3.816,685","3.814,345","0,06%"
09.02.2026,"3.814,345","3.814,345","3.814,345","3.787,816","0,50%"
08.02.2026,"3.795,484","3.795,484","3.795,650","3.787,816","-0,00%"
07.02.2026,"3.795,567","3.795,567","3.795,567","3.795,567","-0,00%"
06.02.2026,"3.795,650","3.795,650","3.795,650","3.795,650","0,21%"
05.02.2026,"3.787,816","3.787,816","3.799,667","3.787,816","-0,31%"
04.02.2026,"3.799,667","3.799,667","3.822,078","3.799,667","-0,59%"
03.02.2026,"3.822,078","3.822,078","3.843,997","3.822,078","-0,57%"
02.02.2026,"3.843,997","3.843,997","3.843,997","3.817,281","0,33%"
01.02.2026,"3.831,251","3.831,251","3.831,421","3.817,281","-0,00%"
31.01.2026,"3.831,338","3.831,338","3.831,338","3.831,338","-0,00%"
30.01.2026,"3.831,421","3.831,421","3.831,421","3.831,421","0,37%"
29.01.2026,"3.817,281","3.817,281","3.834,370","3.817,281","-0,45%"
28.01.2026,"3.834,370","3.834,370","3.834,370","3.834,370","-0,16%"
27.01.2026,"3.840,661","3.840,661","3.840,661","3.840,661","0,65%"
26.01.2026,"3.815,875","3.815,875","3.821,458","3.815,875","-0,14%"
25.01.2026,"3.821,293","3.821,293","3.821,458","3.821,293","-0,00%"
24.01.2026,"3.821,380","3.821,380","3.821,380","3.821,380","-0,00%"
23.01.2026,"3.821,458","3.821,458","3.821,458","3.821,458","0,01%"
22.01.2026,"3.821,169","3.821,169","3.821,169","3.792,842","0,75%"
21.01.2026,"3.792,842","3.792,842","3.792,842","3.792,842","-0,67%"
20.01.2026,"3.818,331","3.818,331","3.818,331","3.818,331","-0,04%"
19.01.2026,"3.819,802","3.819,802","3.819,802","3.819,802","-0,31%"
18.01.2026,"3.831,763","3.831,763","3.831,945","3.826,799","-0,00%"
17.01.2026,"3.831,854","3.831,854","3.831,854","3.831,854","0,13%"
15.01.2026,"3.826,799","3.826,799","3.826,799","3.826,799","0,62%"
14.01.2026,"3.803,333","3.803,333","3.803,333","3.803,333","-0,43%"
13.01.2026,"3.819,919","3.819,919","3.819,919","3.819,919","0,06%"
12.01.2026,"3.817,569","3.817,569","3.817,569","3.817,569","-0,19%"
11.01.2026,"3.824,722","3.824,722","3.824,903","3.824,722","-0,00%"
10.01.2026,"3.824,812","3.824,812","3.824,812","3.824,812","-0,00%"
09.01.2026,"3.824,903","3.824,903","3.824,903","3.824,903","0,25%"
08.01.2026,"3.815,298","3.815,298","3.822,863","3.815,298","-0,20%"
07.01.2026,"3.822,863","3.822,863","3.822,863","3.822,863","0,02%"
06.01.2026,"3.821,960","3.821,960","3.821,960","3.821,960","0,12%"
05.01.2026,"3.817,457","3.817,457","3.817,457","3.817,457","1,40%"
04.01.2026,"3.764,624","3.764,624","3.779,069","3.764,624","-0,00%"
03.01.2026,"3.764,707","3.764,707","3.764,707","3.764,707","-0,00%"
02.01.2026,"3.764,790","3.764,790","3.764,790","3.764,790","-0,37%"
01.01.2026,"3.778,846","3.778,846","3.779,069","3.778,846","-0,00%"
31.12.2025,"3.778,976","3.778,976","3.778,976","3.778,976","-0,00%"
30.12.2025,"3.779,069","3.779,069","3.779,069","3.779,069","-0,14%"
29.12.2025,"3.784,381","3.784,381","3.784,381","3.764,849","0,52%"
28.12.2025,"3.764,849","3.764,849","3.765,631","3.764,849","-0,02%"
27.12.2025,"3.765,555","3.765,555","3.765,555","3.765,555","-0,00%"
26.12.2025,"3.765,631","3.765,631","3.765,631","3.765,631","0,26%"
25.12.2025,"3.755,701","3.755,701","3.755,799","3.755,701","-0,00%"
24.12.2025,"3.755,799","3.755,799","3.755,799","3.755,799","0,03%"
23.12.2025,"3.754,576","3.754,576","3.754,576","3.751,802","0,07%"
22.12.2025,"3.751,802","3.751,802","3.751,802","3.728,924","0,61%"
21.12.2025,"3.728,924","3.728,924","3.729,077","3.728,924","-0,00%"
20.12.2025,"3.729,000","3.729,000","3.729,000","3.729,000","-0,00%"
19.12.2025,"3.729,077","3.729,077","3.729,077","3.729,077","0,15%"
18.12.2025,"3.723,336","3.723,336","3.723,336","3.723,336","0,34%"
17.12.2025,"3.710,898","3.710,898","3.710,898","3.710,898","-0,23%"
16.12.2025,"3.719,272","3.719,272","3.719,272","3.719,272","-0,41%"
15.12.2025,"3.734,427","3.734,427","3.753,724","3.734,427","-0,06%"
14.12.2025,"3.736,646","3.736,646","3.753,724","3.736,646","-0,00%"
13.12.2025,"3.736,717","3.736,717","3.736,717","3.736,717","-0,00%"
12.12.2025,"3.736,788","3.736,788","3.736,788","3.736,788","-0,45%"
11.12.2025,"3.753,724","3.753,724","3.754,429","3.753,724","-0,02%"
10.12.2025,"3.754,429","3.754,429","3.764,930","3.754,429","-0,28%"
09.12.2025,"3.764,930","3.764,930","3.764,930","3.762,395","0,07%"
08.12.2025,"3.762,395","3.762,395","3.762,646","3.762,395","-0,00%"
07.12.2025,"3.762,485","3.762,485","3.762,485","3.762,485","-0,00%"
06.12.2025,"3.762,566","3.762,566","3.762,566","3.762,566","-0,00%"
05.12.2025,"3.762,646","3.762,646","3.762,646","3.762,646","0,54%"
04.12.2025,"3.742,294","3.742,294","3.742,294","3.742,294","0,06%"
03.12.2025,"3.740,086","3.740,086","3.740,086","3.740,086","-0,19%"
02.12.2025,"3.747,082","3.747,082","3.756,790","3.747,082","-0,26%"
01.12.2025,"3.756,790","3.756,790","3.756,790","3.756,790","0,02%"
30.11.2025,"3.755,863","3.755,863","3.756,028","3.748,909","-0,00%"
29.11.2025,"3.755,941","3.755,941","3.755,941","3.755,941","-0,00%"
28.11.2025,"3.756,028","3.756,028","3.756,028","3.756,028","0,19%"
27.11.2025,"3.748,909","3.748,909","3.748,909","3.744,111","0,13%"
26.11.2025,"3.744,111","3.744,111","3.744,111","3.722,764","0,57%"
25.11.2025,"3.722,764","3.722,764","3.722,764","3.709,681","0,35%"
24.11.2025,"3.709,681","3.709,681","3.709,681","3.678,995","0,83%"
23.11.2025,"3.678,995","3.678,995","3.679,160","3.678,995","-0,00%"
22.11.2025,"3.679,078","3.679,078","3.679,078","3.679,078","-0,00%"
21.11.2025,"3.679,160","3.679,160","3.679,160","3.679,160","-0,32%"
20.11.2025,"3.690,997","3.690,997","3.690,997","3.690,997","0,06%"
19.11.2025,"3.688,651","3.688,651","3.688,651","3.688,651","0,18%"
18.11.2025,"3.681,963","3.681,963","3.681,963","3.681,963","-0,37%"
17.11.2025,"3.695,472","3.695,472","3.695,472","3.695,472","-0,79%"
16.11.2025,"3.724,951","3.724,951","3.725,125","3.724,400","-0,00%"
15.11.2025,"3.725,033","3.725,033","3.725,033","3.725,033","-0,00%"
14.11.2025,"3.725,125","3.725,125","3.725,125","3.725,125","0,02%"
13.11.2025,"3.724,400","3.724,400","3.724,400","3.724,400","-1,15%"
12.11.2025,"3.767,899","3.767,899","3.767,899","3.767,899","0,31%"
11.11.2025,"3.756,368","3.756,368","3.756,368","3.756,368","0,29%"
10.11.2025,"3.745,564","3.745,564","3.745,564","3.745,564","0,72%"
