Fecha,Último,Apertura,Máximo,Mínimo,% var.
24.03.2026,"2.938,232","2.944,312","2.944,312","2.938,232","0,00%"
23.03.2026,"2.938,232","2.938,232","2.944,854","2.938,232","-0,22%"
22.03.2026,"2.944,854","2.944,854","2.944,854","2.944,610","0,00%"
21.03.2026,"2.944,734","2.944,734","2.944,734","2.944,734","0,00%"
20.03.2026,"2.944,610","2.944,610","2.944,610","2.944,610","-0,24%"
19.03.2026,"2.951,612","2.951,612","2.954,825","2.951,612","-0,11%"
18.03.2026,"2.954,825","2.954,825","2.954,825","2.954,825","0,07%"
17.03.2026,"2.952,826","2.952,826","2.952,826","2.950,110","0,09%"
16.03.2026,"2.950,110","2.950,110","2.956,484","2.950,110","-0,11%"
15.03.2026,"2.953,433","2.953,433","2.956,484","2.953,188","0,00%"
14.03.2026,"2.953,308","2.953,308","2.953,308","2.953,308","0,00%"
13.03.2026,"2.953,188","2.953,188","2.953,188","2.953,188","-0,11%"
12.03.2026,"2.956,484","2.956,484","2.956,484","2.956,073","0,01%"
11.03.2026,"2.956,073","2.956,073","2.956,073","2.955,245","0,03%"
10.03.2026,"2.955,245","2.955,245","2.955,245","2.955,245","-0,15%"
09.03.2026,"2.959,761","2.959,761","2.960,451","2.959,745","-0,02%"
08.03.2026,"2.960,451","2.960,451","2.960,451","2.959,745","0,01%"
07.03.2026,"2.960,098","2.960,098","2.960,098","2.960,098","0,01%"
06.03.2026,"2.959,745","2.959,745","2.959,745","2.959,745","0,19%"
05.03.2026,"2.954,131","2.954,131","2.954,131","2.949,015","0,17%"
04.03.2026,"2.949,015","2.949,015","2.951,329","2.949,015","-0,08%"
03.03.2026,"2.951,329","2.951,329","2.953,247","2.951,329","-0,06%"
02.03.2026,"2.953,247","2.953,247","2.953,247","2.948,256","0,00%"
01.03.2026,"2.953,141","2.953,141","2.953,141","2.948,256","0,01%"
28.02.2026,"2.952,786","2.952,786","2.952,786","2.952,786","0,01%"
27.02.2026,"2.952,416","2.952,416","2.952,416","2.952,416","0,14%"
26.02.2026,"2.948,256","2.948,256","2.948,256","2.947,568","0,02%"
25.02.2026,"2.947,568","2.947,568","2.947,568","2.945,479","0,07%"
24.02.2026,"2.945,479","2.945,479","2.945,479","2.943,403","0,07%"
23.02.2026,"2.943,403","2.943,403","2.943,403","2.941,541","0,04%"
22.02.2026,"2.942,251","2.942,251","2.942,251","2.941,541","0,01%"
21.02.2026,"2.941,901","2.941,901","2.941,901","2.941,901","0,01%"
20.02.2026,"2.941,541","2.941,541","2.941,541","2.941,541","0,10%"
19.02.2026,"2.938,568","2.938,568","2.938,568","2.937,898","0,02%"
18.02.2026,"2.937,898","2.937,898","2.937,898","2.937,724","0,01%"
17.02.2026,"2.937,724","2.937,724","2.937,724","2.934,792","0,10%"
16.02.2026,"2.934,792","2.934,792","2.935,842","2.934,792","-0,04%"
15.02.2026,"2.935,842","2.935,842","2.935,842","2.935,112","0,01%"
14.02.2026,"2.935,474","2.935,474","2.935,474","2.935,474","0,01%"
13.02.2026,"2.935,112","2.935,112","2.935,112","2.935,112","-0,12%"
11.02.2026,"2.938,493","2.938,493","2.938,493","2.933,880","0,16%"
10.02.2026,"2.933,880","2.933,880","2.933,880","2.932,523","0,05%"
09.02.2026,"2.932,523","2.932,523","2.933,155","2.930,183","0,08%"
08.02.2026,"2.930,225","2.930,225","2.933,155","2.930,183","0,00%"
07.02.2026,"2.930,204","2.930,204","2.930,204","2.930,204","0,00%"
06.02.2026,"2.930,183","2.930,183","2.930,183","2.930,183","-0,10%"
05.02.2026,"2.933,155","2.933,155","2.934,034","2.933,155","-0,03%"
04.02.2026,"2.934,034","2.934,034","2.936,740","2.934,034","-0,09%"
03.02.2026,"2.936,740","2.936,740","2.940,879","2.936,740","-0,14%"
02.02.2026,"2.940,879","2.940,879","2.940,879","2.938,552","0,08%"
01.02.2026,"2.938,593","2.938,593","2.938,593","2.938,552","0,00%"
31.01.2026,"2.938,573","2.938,573","2.938,573","2.938,573","0,00%"
30.01.2026,"2.938,552","2.938,552","2.938,552","2.938,552","0,13%"
29.01.2026,"2.934,708","2.934,708","2.934,708","2.934,316","0,01%"
28.01.2026,"2.934,316","2.934,316","2.934,316","2.934,316","0,06%"
27.01.2026,"2.932,599","2.932,599","2.932,599","2.932,599","0,13%"
26.01.2026,"2.928,929","2.928,929","2.930,688","2.928,929","-0,06%"
25.01.2026,"2.930,688","2.930,688","2.930,688","2.930,634","0,00%"
24.01.2026,"2.930,664","2.930,664","2.930,664","2.930,664","0,00%"
23.01.2026,"2.930,634","2.930,634","2.930,634","2.930,634","0,03%"
22.01.2026,"2.929,737","2.929,737","2.929,737","2.923,205","0,22%"
21.01.2026,"2.923,205","2.923,205","2.923,205","2.923,205","-0,16%"
20.01.2026,"2.927,812","2.927,812","2.927,812","2.927,812","-0,01%"
19.01.2026,"2.928,052","2.928,052","2.928,052","2.928,052","-0,00%"
18.01.2026,"2.928,096","2.928,096","2.928,096","2.925,268","0,00%"
17.01.2026,"2.928,067","2.928,067","2.928,067","2.928,067","0,10%"
15.01.2026,"2.925,268","2.925,268","2.925,268","2.925,268","0,12%"
14.01.2026,"2.921,660","2.921,660","2.921,660","2.921,660","-0,02%"
13.01.2026,"2.922,211","2.922,211","2.922,211","2.922,211","0,04%"
12.01.2026,"2.921,138","2.921,138","2.921,138","2.921,138","-0,03%"
11.01.2026,"2.922,031","2.922,031","2.922,031","2.921,967","0,00%"
10.01.2026,"2.921,999","2.921,999","2.921,999","2.921,999","0,00%"
09.01.2026,"2.921,967","2.921,967","2.921,967","2.921,967","0,03%"
08.01.2026,"2.921,035","2.921,035","2.921,109","2.921,035","-0,00%"
07.01.2026,"2.921,109","2.921,109","2.921,109","2.921,109","0,01%"
06.01.2026,"2.920,671","2.920,671","2.920,671","2.920,671","0,06%"
05.01.2026,"2.918,845","2.918,845","2.918,845","2.918,845","0,41%"
04.01.2026,"2.906,928","2.906,928","2.908,191","2.906,344","0,01%"
03.01.2026,"2.906,637","2.906,637","2.906,637","2.906,637","0,01%"
02.01.2026,"2.906,344","2.906,344","2.906,344","2.906,344","-0,06%"
01.01.2026,"2.908,191","2.908,191","2.908,191","2.907,646","0,01%"
31.12.2025,"2.907,931","2.907,931","2.907,931","2.907,931","0,01%"
30.12.2025,"2.907,646","2.907,646","2.907,646","2.907,646","-0,02%"
29.12.2025,"2.908,322","2.908,322","2.908,322","2.902,381","0,20%"
28.12.2025,"2.902,539","2.902,539","2.902,682","2.902,381","-0,00%"
27.12.2025,"2.902,682","2.902,682","2.902,682","2.902,682","0,01%"
26.12.2025,"2.902,381","2.902,381","2.902,381","2.902,381","0,14%"
25.12.2025,"2.898,333","2.898,333","2.898,333","2.898,050","0,01%"
24.12.2025,"2.898,050","2.898,050","2.898,050","2.898,050","0,05%"
23.12.2025,"2.896,659","2.896,659","2.897,122","2.896,659","-0,02%"
22.12.2025,"2.897,122","2.897,122","2.897,122","2.890,346","0,21%"
21.12.2025,"2.890,935","2.890,935","2.890,935","2.890,346","0,01%"
20.12.2025,"2.890,642","2.890,642","2.890,642","2.890,642","0,01%"
19.12.2025,"2.890,346","2.890,346","2.890,346","2.890,346","0,07%"
