Fecha,Último,Apertura,Máximo,Mínimo,% var.
24.03.2026,"9.679,770","9.707,150","9.707,150","9.679,770","0,00%"
23.03.2026,"9.679,770","9.679,770","9.679,818","9.678,938","-0,00%"
22.03.2026,"9.679,818","9.679,818","9.679,818","9.678,938","0,00%"
21.03.2026,"9.679,378","9.679,378","9.679,378","9.679,378","0,00%"
20.03.2026,"9.678,938","9.678,938","9.678,938","9.678,938","0,04%"
19.03.2026,"9.675,193","9.675,193","9.677,354","9.675,193","-0,02%"
18.03.2026,"9.677,354","9.677,354","9.677,354","9.677,354","-0,03%"
17.03.2026,"9.679,930","9.679,930","9.680,512","9.679,930","-0,01%"
16.03.2026,"9.680,512","9.680,512","9.687,740","9.680,512","-0,05%"
15.03.2026,"9.685,030","9.685,030","9.687,740","9.684,143","0,00%"
14.03.2026,"9.684,587","9.684,587","9.684,587","9.684,587","0,00%"
13.03.2026,"9.684,143","9.684,143","9.684,143","9.684,143","-0,04%"
12.03.2026,"9.687,740","9.687,740","9.690,565","9.687,740","-0,03%"
11.03.2026,"9.690,565","9.690,565","9.690,565","9.690,343","0,00%"
10.03.2026,"9.690,343","9.690,343","9.690,343","9.690,343","-0,07%"
09.03.2026,"9.697,345","9.697,345","9.697,345","9.684,807","0,09%"
08.03.2026,"9.688,287","9.688,287","9.688,287","9.684,807","0,02%"
07.03.2026,"9.686,547","9.686,547","9.686,547","9.686,547","0,02%"
06.03.2026,"9.684,807","9.684,807","9.684,807","9.684,807","0,11%"
05.03.2026,"9.674,029","9.674,029","9.674,029","9.666,786","0,07%"
04.03.2026,"9.666,786","9.666,786","9.666,786","9.658,815","0,08%"
03.03.2026,"9.658,815","9.658,815","9.658,815","9.654,961","0,04%"
02.03.2026,"9.654,961","9.654,961","9.654,961","9.637,509","0,07%"
01.03.2026,"9.648,061","9.648,061","9.648,061","9.637,509","0,02%"
28.02.2026,"9.646,296","9.646,296","9.646,296","9.646,296","0,02%"
27.02.2026,"9.644,534","9.644,534","9.644,534","9.644,534","0,07%"
26.02.2026,"9.637,509","9.637,509","9.637,509","9.634,246","0,03%"
