Fecha,Último,Apertura,Máximo,Mínimo,% var.
Mar 2026,"2.134,898","2.123,703","2.134,898","2.121,083","0,55%"
Feb 2026,"2.123,299","2.110,216","2.123,299","2.109,600","0,62%"
Ene 2026,"2.110,206","2.098,111","2.110,206","2.097,462","0,59%"
Dic 2025,"2.097,787","2.093,230","2.097,787","2.092,344","0,20%"
Nov 2025,"2.093,548","2.085,921","2.095,206","2.085,162","0,38%"
Oct 2025,"2.085,542","2.079,316","2.086,044","2.078,583","0,33%"
Sep 2025,"2.078,594","2.066,732","2.078,594","2.065,234","0,58%"
Ago 2025,"2.066,546","2.052,574","2.067,302","2.052,335","0,75%"
Jul 2025,"2.051,124","2.039,381","2.051,124","2.035,960","0,56%"
Jun 2025,"2.039,630","2.032,642","2.040,206","2.031,435","0,40%"
May 2025,"2.031,435","2.030,717","2.032,875","2.028,684","0,06%"
Abr 2025,"2.030,287","2.013,505","2.030,287","2.013,505","0,93%"
Mar 2025,"2.011,549","1.995,931","2.011,549","1.995,931","0,87%"
Feb 2025,"1.994,296","1.978,054","1.994,296","1.978,054","0,87%"
Ene 2025,"1.977,007","1.962,162","1.979,544","1.962,162","0,86%"
Dic 2024,"1.960,175","1.956,970","1.964,459","1.956,970","0,23%"
Nov 2024,"1.955,739","1.932,977","1.956,638","1.932,977","1,23%"
Oct 2024,"1.932,011","1.948,319","1.951,841","1.932,011","-0,75%"
Sep 2024,"1.946,612","1.920,894","1.946,612","1.920,451","1,39%"
Ago 2024,"1.920,016","1.894,998","1.920,291","1.894,998","1,43%"
Jul 2024,"1.892,995","1.870,563","1.892,995","1.870,563","1,23%"
Jun 2024,"1.869,942","1.855,265","1.869,943","1.855,265","0,75%"
May 2024,"1.855,990","1.834,962","1.858,409","1.834,962","1,30%"
Abr 2024,"1.832,245","1.828,242","1.834,637","1.824,533","0,22%"
Mar 2024,"1.828,138","1.804,920","1.828,138","1.804,920","1,19%"
Feb 2024,"1.806,570","1.791,191","1.809,948","1.791,191","0,89%"
Ene 2024,"1.790,593","1.789,343","1.790,955","1.776,950","0,17%"
Dic 2023,"1.787,538","1.754,920","1.788,249","1.754,920","1,90%"
Nov 2023,"1.754,183","1.705,714","1.754,183","1.705,714","2,84%"
Oct 2023,"1.705,807","1.712,176","1.722,005","1.705,214","-0,46%"
Sep 2023,"1.713,696","1.726,137","1.730,988","1.713,696","-0,71%"
Ago 2023,"1.725,871","1.715,246","1.725,871","1.714,320","0,82%"
Jul 2023,"1.711,868","1.709,363","1.712,887","1.700,636","0,15%"
Jun 2023,"1.709,296","1.684,204","1.710,775","1.684,204","1,43%"
May 2023,"1.685,239","1.695,245","1.697,748","1.682,031","-0,52%"
Abr 2023,"1.694,091","1.703,447","1.709,175","1.693,784","-0,26%"
Mar 2023,"1.698,422","1.678,476","1.698,422","1.674,983","1,33%"
Feb 2023,"1.676,165","1.675,215","1.676,165","1.667,776","-0,02%"
Ene 2023,"1.676,540","1.664,421","1.676,540","1.664,421","0,82%"
Dic 2022,"1.662,885","1.650,084","1.662,885","1.650,084","0,68%"
Nov 2022,"1.651,720","1.606,357","1.652,270","1.606,357","2,88%"
Oct 2022,"1.605,533","1.590,662","1.605,533","1.584,234","0,83%"
Sep 2022,"1.592,353","1.600,742","1.615,348","1.592,353","-0,60%"
Ago 2022,"1.601,951","1.611,539","1.614,993","1.597,218","-0,50%"
Jul 2022,"1.610,037","1.588,836","1.610,711","1.588,836","1,37%"
Jun 2022,"1.588,257","1.570,196","1.588,393","1.570,196","1,11%"
May 2022,"1.570,832","1.552,806","1.570,832","1.545,923","1,13%"
