Fecha,Último,Apertura,Máximo,Mínimo,% var.
Mar 2026,"2.563,131","2.554,171","2.607,858","2.536,361","0,35%"
Feb 2026,"2.554,107","2.542,931","2.554,107","2.510,608","0,43%"
Ene 2026,"2.543,051","2.562,448","2.569,386","2.529,911","-0,76%"
Dic 2025,"2.562,444","2.575,874","2.577,667","2.545,981","-0,44%"
Nov 2025,"2.573,769","2.581,744","2.581,766","2.540,106","-0,31%"
Oct 2025,"2.581,721","2.562,531","2.581,721","2.531,630","0,70%"
Sep 2025,"2.563,745","2.526,317","2.563,745","2.520,031","1,72%"
Ago 2025,"2.520,285","2.459,513","2.527,945","2.459,202","1,45%"
Jul 2025,"2.484,163","2.387,001","2.486,442","2.387,001","3,64%"
Jun 2025,"2.396,895","2.357,845","2.396,895","2.356,079","1,70%"
May 2025,"2.356,871","2.318,942","2.367,877","2.313,081","1,64%"
Abr 2025,"2.318,885","2.289,931","2.318,885","2.243,143","1,32%"
Mar 2025,"2.288,681","2.304,677","2.316,530","2.248,866","-0,69%"
Feb 2025,"2.304,597","2.356,613","2.356,613","2.299,437","-1,89%"
Ene 2025,"2.349,084","2.319,859","2.363,413","2.319,658","1,16%"
Dic 2024,"2.322,240","2.319,168","2.344,433","2.314,293","0,37%"
Nov 2024,"2.313,617","2.272,324","2.320,981","2.256,733","1,99%"
Oct 2024,"2.268,425","2.212,029","2.282,904","2.208,819","2,30%"
Sep 2024,"2.217,528","2.200,524","2.227,371","2.194,236","0,94%"
Ago 2024,"2.196,927","2.207,005","2.212,209","2.145,224","-0,59%"
Jul 2024,"2.209,960","2.179,487","2.218,585","2.167,040","0,82%"
Jun 2024,"2.192,010","2.129,129","2.192,010","2.125,416","3,31%"
May 2024,"2.121,740","2.132,596","2.145,364","2.111,813","-0,16%"
Abr 2024,"2.125,236","2.187,552","2.187,819","2.111,669","-2,81%"
Mar 2024,"2.186,776","2.137,481","2.186,776","2.121,330","2,04%"
Feb 2024,"2.142,990","2.045,484","2.142,990","2.038,516","4,83%"
Ene 2024,"2.044,166","2.007,992","2.044,166","1.982,708","1,46%"
Dic 2023,"2.014,757","1.931,714","2.016,015","1.925,026","4,57%"
Nov 2023,"1.926,640","1.834,911","1.926,640","1.834,911","4,53%"
Oct 2023,"1.843,137","1.892,927","1.920,417","1.843,137","-2,99%"
Sep 2023,"1.899,862","1.927,710","1.940,403","1.895,814","-1,55%"
Ago 2023,"1.929,856","1.943,413","1.962,605","1.905,900","-0,27%"
Jul 2023,"1.935,101","1.885,785","1.942,855","1.885,785","2,70%"
Jun 2023,"1.884,162","1.848,082","1.893,034","1.847,587","1,88%"
May 2023,"1.849,423","1.856,944","1.858,739","1.843,502","-0,12%"
Abr 2023,"1.851,590","1.840,422","1.879,055","1.840,422","0,82%"
Mar 2023,"1.836,458","1.863,839","1.863,839","1.818,544","-0,62%"
Feb 2023,"1.847,979","1.885,552","1.885,552","1.830,496","-2,01%"
Ene 2023,"1.885,792","1.884,115","1.890,496","1.872,886","-0,14%"
Dic 2022,"1.888,363","1.953,533","1.953,533","1.877,526","-3,03%"
Nov 2022,"1.947,393","1.907,671","1.975,212","1.890,720","1,89%"
Oct 2022,"1.911,194","1.918,050","1.930,780","1.869,203","-1,33%"
Sep 2022,"1.936,998","1.931,682","1.963,862","1.922,560","-0,47%"
Ago 2022,"1.946,182","1.971,403","2.009,871","1.946,182","-1,20%"
Jul 2022,"1.969,759","1.935,495","2.045,559","1.935,495","2,60%"
Jun 2022,"1.919,797","1.897,321","1.936,498","1.856,107","1,55%"
May 2022,"1.890,545","1.884,353","1.912,749","1.855,095","-0,83%"
Abr 2022,"1.906,345","1.885,433","1.909,741","1.878,684","0,98%"
Mar 2022,"1.887,909","1.884,139","1.887,909","1.842,394","0,21%"
Feb 2022,"1.883,932","1.900,110","1.941,690","1.854,642","-0,51%"
