Fecha,Último,Apertura,Máximo,Mínimo,% var.
Mar 2026,"2.256,757","2.245,631","2.257,006","2.242,953","0,51%"
Feb 2026,"2.245,234","2.232,226","2.245,234","2.231,329","0,58%"
Ene 2026,"2.232,246","2.220,363","2.232,266","2.219,737","0,55%"
Dic 2025,"2.220,050","2.216,139","2.220,050","2.215,170","0,16%"
Nov 2025,"2.216,506","2.209,309","2.218,474","2.208,565","0,34%"
Oct 2025,"2.208,937","2.203,248","2.209,591","2.202,441","0,29%"
Sep 2025,"2.202,513","2.190,815","2.202,513","2.189,317","0,54%"
Ago 2025,"2.190,648","2.176,731","2.191,869","2.175,223","0,71%"
Jul 2025,"2.175,223","2.163,659","2.175,223","2.159,585","0,52%"
Jun 2025,"2.163,953","2.157,366","2.164,682","2.156,174","0,36%"
May 2025,"2.156,174","2.156,269","2.158,354","2.153,490","0,02%"
Abr 2025,"2.155,841","2.138,872","2.155,841","2.138,872","0,89%"
Mar 2025,"2.136,823","2.121,161","2.136,823","2.121,161","0,82%"
Feb 2025,"2.119,453","2.102,969","2.119,453","2.102,969","0,84%"
Ene 2025,"2.101,886","2.086,959","2.104,784","2.086,959","0,82%"
Dic 2024,"2.084,875","2.082,320","2.089,946","2.082,320","0,18%"
Nov 2024,"2.081,039","2.057,604","2.082,052","2.057,604","1,19%"
Oct 2024,"2.056,632","2.074,898","2.078,536","2.056,632","-0,79%"
Sep 2024,"2.073,109","2.046,474","2.073,109","2.045,919","1,35%"
Ago 2024,"2.045,567","2.019,740","2.045,888","2.019,740","1,38%"
Jul 2024,"2.017,634","1.994,569","2.017,634","1.994,569","1,19%"
Jun 2024,"1.993,934","1.979,040","1.993,962","1.979,040","0,71%"
May 2024,"1.979,840","1.958,211","1.982,475","1.958,211","1,25%"
Abr 2024,"1.955,339","1.951,893","1.958,453","1.947,375","0,18%"
Mar 2024,"1.951,809","1.927,757","1.951,809","1.927,757","1,15%"
Feb 2024,"1.929,546","1.913,852","1.933,339","1.913,852","0,85%"
Ene 2024,"1.913,239","1.912,713","1.914,358","1.899,181","0,13%"
Dic 2023,"1.910,810","1.876,662","1.911,596","1.876,662","1,86%"
Nov 2023,"1.875,900","1.824,793","1.875,900","1.824,793","2,79%"
Oct 2023,"1.824,916","1.832,508","1.842,625","1.824,383","-0,50%"
Sep 2023,"1.834,161","1.848,209","1.853,201","1.834,161","-0,75%"
Ago 2023,"1.847,950","1.837,379","1.847,950","1.835,758","0,77%"
Jul 2023,"1.833,786","1.831,804","1.835,480","1.822,128","0,11%"
Jun 2023,"1.831,758","1.805,586","1.833,368","1.805,586","1,39%"
May 2023,"1.806,719","1.818,219","1.820,779","1.803,355","-0,57%"
Abr 2023,"1.817,006","1.827,742","1.833,637","1.816,711","-0,29%"
Mar 2023,"1.822,376","1.801,714","1.822,376","1.797,718","1,28%"
Feb 2023,"1.799,259","1.798,904","1.799,259","1.790,523","-0,06%"
Ene 2023,"1.800,352","1.788,072","1.800,352","1.788,072","0,78%"
Dic 2022,"1.786,446","1.773,398","1.786,446","1.773,398","0,63%"
Nov 2022,"1.775,181","1.727,161","1.776,088","1.727,161","2,83%"
Oct 2022,"1.726,321","1.710,988","1.726,321","1.703,911","0,79%"
Sep 2022,"1.712,830","1.722,538","1.738,113","1.712,830","-0,64%"
Ago 2022,"1.723,862","1.734,917","1.738,540","1.718,911","-0,55%"
Jul 2022,"1.733,324","1.711,179","1.734,097","1.711,179","1,33%"
Jun 2022,"1.710,579","1.691,799","1.710,749","1.691,708","1,07%"
May 2022,"1.692,507","1.673,773","1.692,507","1.666,125","1,09%"
Abr 2022,"1.674,329","1.634,782","1.674,329","1.634,782","2,75%"
Mar 2022,"1.629,570","1.613,963","1.635,843","1.613,963","1,01%"
Feb 2022,"1.613,281","1.591,370","1.613,281","1.591,370","1,53%"
Ene 2022,"1.588,925","1.587,682","1.596,055","1.582,882","0,10%"
Dic 2021,"1.587,334","1.576,756","1.587,334","1.567,294","0,79%"
Nov 2021,"1.574,873","1.547,105","1.576,623","1.547,105","1,94%"
Oct 2021,"1.544,973","1.562,245","1.562,434","1.514,993","-1,24%"
Sep 2021,"1.564,358","1.591,077","1.591,077","1.561,251","-1,59%"
Ago 2021,"1.589,573","1.568,314","1.589,573","1.568,314","1,31%"
Jul 2021,"1.568,943","1.586,356","1.586,356","1.568,943","-1,36%"
Jun 2021,"1.590,589","1.600,901","1.604,547","1.590,200","-0,45%"
May 2021,"1.597,834","1.608,503","1.621,266","1.595,231","-1,26%"
Abr 2021,"1.618,227","1.642,292","1.647,860","1.618,227","-1,53%"
Mar 2021,"1.643,369","1.657,833","1.664,441","1.643,369","-0,84%"
Feb 2021,"1.657,220","1.652,986","1.674,077","1.652,986","0,30%"
Ene 2021,"1.652,293","1.630,549","1.652,293","1.630,053","1,40%"
Dic 2020,"1.629,476","1.627,986","1.630,255","1.626,729","0,12%"
Nov 2020,"1.627,573","1.608,333","1.628,097","1.608,333","1,24%"
Oct 2020,"1.607,643","1.590,518","1.607,643","1.589,282","0,96%"
Sep 2020,"1.592,423","1.603,865","1.605,347","1.592,423","-0,32%"
Ago 2020,"1.597,596","1.574,422","1.597,596","1.574,422","1,43%"
Jul 2020,"1.575,005","1.579,604","1.584,570","1.566,888","-0,43%"
Jun 2020,"1.581,848","1.586,800","1.588,013","1.570,935","-0,28%"
May 2020,"1.586,269","1.562,695","1.589,104","1.562,695","1,78%"
Abr 2020,"1.558,571","1.540,026","1.558,571","1.539,995","1,19%"
Mar 2020,"1.540,238","1.554,568","1.573,298","1.538,494","-1,33%"
Feb 2020,"1.560,946","1.578,100","1.580,202","1.560,946","-1,05%"
Ene 2020,"1.577,465","1.565,826","1.578,248","1.565,826","0,77%"
