Fecha,Último,Apertura,Máximo,Mínimo,% var.
Mar 2026,"2.575,260","2.564,741","2.619,122","2.546,661","0,42%"
Feb 2026,"2.564,611","2.551,570","2.564,611","2.519,472","0,51%"
Ene 2026,"2.551,622","2.568,994","2.576,444","2.538,101","-0,67%"
Dic 2025,"2.568,919","2.580,261","2.582,624","2.551,506","-0,36%"
Nov 2025,"2.578,083","2.584,017","2.584,110","2.543,667","-0,23%"
Oct 2025,"2.583,923","2.562,610","2.583,923","2.532,333","0,79%"
Sep 2025,"2.563,753","2.524,319","2.563,753","2.517,831","1,81%"
Ago 2025,"2.518,223","2.455,481","2.525,669","2.455,305","1,54%"
Jul 2025,"2.480,023","2.381,065","2.482,230","2.381,065","3,73%"
Jun 2025,"2.390,869","2.350,114","2.390,869","2.348,546","1,78%"
May 2025,"2.349,006","2.309,312","2.359,133","2.303,995","1,72%"
Abr 2025,"2.309,193","2.278,549","2.309,193","2.232,359","1,40%"
Mar 2025,"2.277,242","2.291,149","2.303,121","2.236,829","-0,60%"
Feb 2025,"2.291,006","2.340,983","2.340,983","2.285,814","-1,82%"
Ene 2025,"2.333,440","2.302,516","2.347,159","2.302,506","1,24%"
Dic 2024,"2.304,816","2.299,881","2.326,016","2.296,239","0,46%"
Nov 2024,"2.294,314","2.251,643","2.300,548","2.236,438","2,08%"
Oct 2024,"2.247,656","2.189,861","2.261,508","2.186,922","2,39%"
Sep 2024,"2.195,245","2.176,805","2.204,808","2.170,822","1,01%"
Ago 2024,"2.173,187","2.181,368","2.187,706","2.120,768","-0,51%"
Jul 2024,"2.184,229","2.152,287","2.192,334","2.140,755","0,91%"
Jun 2024,"2.164,594","2.100,892","2.164,594","2.097,515","3,39%"
May 2024,"2.093,543","2.102,531","2.115,639","2.083,236","-0,08%"
Abr 2024,"2.095,218","2.154,827","2.155,267","2.081,331","-2,73%"
Mar 2024,"2.154,004","2.103,838","2.154,004","2.088,854","2,12%"
Feb 2024,"2.109,202","2.011,695","2.109,202","2.004,897","4,92%"
Ene 2024,"2.010,344","1.973,096","2.010,344","1.948,571","1,55%"
Dic 2023,"1.979,689","1.896,637","1.980,817","1.890,277","4,66%"
Nov 2023,"1.891,603","1.800,110","1.891,603","1.800,110","4,62%"
Oct 2023,"1.808,131","1.855,400","1.883,272","1.808,131","-2,90%"
Sep 2023,"1.862,145","1.887,941","1.901,153","1.858,127","-1,47%"
Ago 2023,"1.889,991","1.901,599","1.920,535","1.866,325","-0,18%"
Jul 2023,"1.893,414","1.843,745","1.900,896","1.843,745","2,79%"
Jun 2023,"1.842,107","1.805,397","1.850,477","1.804,964","1,96%"
May 2023,"1.806,659","1.812,465","1.815,411","1.800,184","-0,03%"
Abr 2023,"1.807,190","1.794,912","1.833,142","1.794,912","0,90%"
Mar 2023,"1.790,997","1.816,207","1.816,207","1.772,622","-0,54%"
Feb 2023,"1.800,703","1.835,956","1.835,956","1.783,473","-1,93%"
Ene 2023,"1.836,140","1.833,000","1.840,217","1.823,025","-0,05%"
Dic 2022,"1.837,082","1.898,973","1.898,973","1.826,489","-2,95%"
Nov 2022,"1.892,953","1.852,767","1.919,573","1.836,857","1,99%"
Oct 2022,"1.856,087","1.861,317","1.874,902","1.814,561","-1,25%"
Sep 2022,"1.879,653","1.873,005","1.904,886","1.864,466","-0,39%"
Ago 2022,"1.887,013","1.909,844","1.948,339","1.887,013","-1,11%"
Jul 2022,"1.908,200","1.873,518","1.980,871","1.873,518","2,69%"
Jun 2022,"1.858,271","1.835,057","1.874,385","1.796,032","1,63%"
May 2022,"1.828,453","1.820,967","1.848,661","1.793,283","-0,74%"
Abr 2022,"1.842,169","1.820,564","1.844,521","1.815,339","1,06%"
Mar 2022,"1.822,905","1.817,720","1.822,905","1.778,177","0,30%"
Feb 2022,"1.817,470","1.831,772","1.872,319","1.789,067","-0,44%"
Ene 2022,"1.825,434","1.910,059","1.921,910","1.807,255","-4,71%"
Dic 2021,"1.915,617","1.869,690","1.922,940","1.854,191","2,02%"
Nov 2021,"1.877,694","1.848,655","1.894,034","1.842,160","1,78%"
Oct 2021,"1.844,860","1.843,166","1.849,538","1.818,724","0,23%"
Sep 2021,"1.840,581","1.867,278","1.867,278","1.831,756","-1,40%"
Ago 2021,"1.866,764","1.824,717","1.866,764","1.818,700","2,23%"
Jul 2021,"1.826,123","1.818,072","1.831,675","1.803,504","0,43%"
Jun 2021,"1.818,385","1.808,976","1.832,924","1.802,006","0,59%"
May 2021,"1.807,756","1.777,108","1.807,756","1.772,615","1,53%"
Abr 2021,"1.780,547","1.794,370","1.806,205","1.780,547","-0,97%"
Mar 2021,"1.797,927","1.784,353","1.815,781","1.777,066","0,82%"
Feb 2021,"1.783,293","1.791,271","1.852,286","1.783,293","-1,78%"
Ene 2021,"1.815,566","1.749,184","1.825,635","1.742,599","4,18%"
Dic 2020,"1.742,638","1.758,244","1.758,529","1.730,542","-0,67%"
Nov 2020,"1.754,410","1.649,537","1.764,055","1.649,537","5,97%"
Oct 2020,"1.655,519","1.651,084","1.705,919","1.651,084","0,13%"
Sep 2020,"1.653,379","1.710,836","1.710,836","1.646,772","-3,11%"
Ago 2020,"1.706,423","1.641,743","1.709,654","1.641,743","3,19%"
Jul 2020,"1.653,699","1.641,736","1.667,181","1.641,623","0,05%"
Jun 2020,"1.652,953","1.610,570","1.658,232","1.607,080","2,52%"
May 2020,"1.612,322","1.596,720","1.614,646","1.573,996","1,40%"
Abr 2020,"1.590,083","1.515,040","1.590,083","1.515,040","5,95%"
Mar 2020,"1.500,793","1.668,101","1.693,531","1.463,655","-10,51%"
Feb 2020,"1.677,078","1.735,342","1.747,898","1.677,078","-3,24%"
Ene 2020,"1.733,153","1.702,147","1.751,106","1.702,146","1,95%"
