Fecha,Último,Apertura,Máximo,Mínimo,% var.
Jun 2024,"1.600,762","1.596,596","1.600,762","1.596,596","0,45%"
May 2024,"1.593,526","1.587,498","1.596,271","1.587,498","0,52%"
Abr 2024,"1.585,280","1.592,107","1.606,152","1.579,491","-0,42%"
Mar 2024,"1.591,958","1.570,931","1.591,958","1.569,930","1,22%"
Feb 2024,"1.572,720","1.554,837","1.573,770","1.550,515","1,52%"
Ene 2024,"1.549,168","1.555,205","1.556,044","1.537,524","-0,25%"
Dic 2023,"1.553,001","1.510,706","1.554,124","1.510,706","2,91%"
Nov 2023,"1.509,136","1.432,104","1.509,136","1.432,104","5,34%"
Oct 2023,"1.432,616","1.462,977","1.463,314","1.431,001","-2,10%"
Sep 2023,"1.463,318","1.501,033","1.502,541","1.463,318","-2,43%"
Ago 2023,"1.499,698","1.509,354","1.517,602","1.488,558","-0,52%"
Jul 2023,"1.507,511","1.507,868","1.511,795","1.499,162","-0,14%"
Jun 2023,"1.509,609","1.484,496","1.511,126","1.484,496","1,65%"
May 2023,"1.485,107","1.496,985","1.499,732","1.483,223","-0,70%"
Abr 2023,"1.495,631","1.502,248","1.512,438","1.494,104","-0,19%"
Mar 2023,"1.498,528","1.480,057","1.501,431","1.470,744","1,52%"
Feb 2023,"1.476,084","1.490,958","1.490,958","1.470,516","-1,06%"
Ene 2023,"1.491,973","1.489,904","1.495,990","1.487,049","0,29%"
Dic 2022,"1.487,585","1.489,010","1.497,761","1.482,453","-0,21%"
Nov 2022,"1.490,672","1.437,110","1.491,366","1.436,827","3,70%"
Oct 2022,"1.437,470","1.427,689","1.437,470","1.419,769","0,46%"
Sep 2022,"1.430,849","1.439,381","1.456,540","1.430,849","-0,69%"
Ago 2022,"1.440,793","1.454,480","1.457,447","1.436,553","-0,84%"
Jul 2022,"1.453,027","1.431,945","1.453,027","1.431,945","1,62%"
Jun 2022,"1.429,853","1.419,215","1.431,935","1.409,468","0,86%"
May 2022,"1.417,609","1.395,458","1.417,609","1.386,248","1,44%"
Abr 2022,"1.397,448","1.372,219","1.400,508","1.372,219","2,14%"
Mar 2022,"1.368,156","1.354,697","1.374,036","1.354,697","1,04%"
Feb 2022,"1.354,126","1.335,268","1.354,126","1.335,268","1,57%"
Ene 2022,"1.333,135","1.332,587","1.339,254","1.327,989","0,05%"
Dic 2021,"1.332,403","1.321,753","1.332,403","1.311,506","0,93%"
Nov 2021,"1.320,175","1.291,024","1.322,341","1.291,024","2,40%"
Oct 2021,"1.289,250","1.315,667","1.315,667","1.255,331","-2,15%"
Sep 2021,"1.317,567","1.347,380","1.347,406","1.313,531","-2,05%"
Ago 2021,"1.345,147","1.331,933","1.345,147","1.331,933","0,95%"
Jul 2021,"1.332,468","1.346,268","1.346,268","1.328,607","-1,28%"
Jun 2021,"1.349,765","1.365,364","1.368,960","1.349,450","-0,92%"
May 2021,"1.362,351","1.369,574","1.384,353","1.360,491","-1,16%"
Abr 2021,"1.378,377","1.401,087","1.408,366","1.378,377","-1,73%"
Mar 2021,"1.402,648","1.425,323","1.432,829","1.402,648","-1,53%"
Feb 2021,"1.424,374","1.426,916","1.451,213","1.424,374","-0,11%"
Ene 2021,"1.425,904","1.401,151","1.425,904","1.400,881","1,92%"
Dic 2020,"1.399,099","1.392,366","1.399,099","1.391,028","0,50%"
Nov 2020,"1.392,159","1.374,807","1.392,955","1.374,807","1,31%"
Oct 2020,"1.374,204","1.359,161","1.374,204","1.357,768","0,93%"
Sep 2020,"1.361,513","1.378,375","1.379,523","1.361,513","-0,78%"
Ago 2020,"1.372,220","1.352,123","1.372,220","1.352,123","1,42%"
Jul 2020,"1.353,016","1.356,322","1.361,856","1.343,296","-0,38%"
Jun 2020,"1.358,210","1.360,122","1.360,258","1.343,636","-0,07%"
May 2020,"1.359,112","1.338,685","1.362,657","1.336,510","1,77%"
Abr 2020,"1.335,527","1.311,401","1.335,527","1.311,401","1,77%"
Mar 2020,"1.312,358","1.329,675","1.345,579","1.310,540","-1,56%"
Feb 2020,"1.333,115","1.347,913","1.349,904","1.333,115","-1,07%"
Ene 2020,"1.347,474","1.335,466","1.348,090","1.335,466","0,93%"
