Fecha,Último,Apertura,Máximo,Mínimo,% var.
24.03.2026,"2.134,898","2.134,898","2.134,898","2.129,726","0,24%"
23.03.2026,"2.129,726","2.129,726","2.129,726","2.129,476","0,00%"
22.03.2026,"2.129,712","2.129,712","2.129,712","2.129,476","0,01%"
21.03.2026,"2.129,594","2.129,594","2.129,594","2.129,594","0,01%"
20.03.2026,"2.129,476","2.129,476","2.129,476","2.129,476","0,03%"
19.03.2026,"2.128,834","2.128,834","2.129,818","2.128,834","-0,05%"
18.03.2026,"2.129,818","2.129,818","2.130,535","2.129,818","-0,03%"
17.03.2026,"2.130,535","2.130,535","2.130,758","2.130,535","-0,01%"
16.03.2026,"2.130,758","2.130,758","2.132,460","2.130,758","-0,04%"
15.03.2026,"2.131,642","2.131,642","2.132,460","2.131,405","0,01%"
14.03.2026,"2.131,523","2.131,523","2.131,523","2.131,523","0,01%"
13.03.2026,"2.131,405","2.131,405","2.131,405","2.131,405","-0,05%"
12.03.2026,"2.132,460","2.132,460","2.133,386","2.132,460","-0,04%"
11.03.2026,"2.133,386","2.133,386","2.133,386","2.133,080","0,01%"
10.03.2026,"2.133,080","2.133,080","2.133,080","2.133,080","-0,08%"
09.03.2026,"2.134,695","2.134,695","2.134,695","2.132,113","0,08%"
08.03.2026,"2.132,911","2.132,911","2.132,911","2.132,113","0,02%"
07.03.2026,"2.132,512","2.132,512","2.132,512","2.132,512","0,02%"
06.03.2026,"2.132,113","2.132,113","2.132,113","2.132,113","0,12%"
05.03.2026,"2.129,539","2.129,539","2.129,539","2.128,150","0,07%"
04.03.2026,"2.128,150","2.128,150","2.128,150","2.126,475","0,08%"
03.03.2026,"2.126,475","2.126,475","2.126,475","2.125,436","0,05%"
02.03.2026,"2.125,436","2.125,436","2.125,436","2.122,895","0,08%"
01.03.2026,"2.123,703","2.123,703","2.123,703","2.121,083","0,02%"
28.02.2026,"2.123,299","2.123,299","2.123,299","2.123,299","0,02%"
27.02.2026,"2.122,895","2.122,895","2.122,895","2.122,895","0,09%"
26.02.2026,"2.121,083","2.121,083","2.121,083","2.119,782","0,06%"
25.02.2026,"2.119,782","2.119,782","2.119,782","2.119,782","0,01%"
