Fecha,Último,Apertura,Máximo,Mínimo,% var.
24.03.2026,"2.563,131","2.563,131","2.563,131","2.556,146","0,27%"
23.03.2026,"2.556,146","2.556,146","2.576,682","2.556,146","-0,79%"
22.03.2026,"2.576,532","2.576,532","2.576,682","2.576,532","-0,00%"
21.03.2026,"2.576,607","2.576,607","2.576,607","2.576,607","-0,00%"
20.03.2026,"2.576,682","2.576,682","2.576,682","2.576,682","-0,42%"
19.03.2026,"2.587,533","2.587,533","2.588,254","2.587,533","-0,03%"
18.03.2026,"2.588,254","2.588,254","2.588,254","2.575,173","0,51%"
17.03.2026,"2.575,173","2.575,173","2.575,173","2.570,595","0,18%"
16.03.2026,"2.570,595","2.570,595","2.585,618","2.570,595","-0,35%"
15.03.2026,"2.579,592","2.579,592","2.585,618","2.579,592","-0,00%"
14.03.2026,"2.579,669","2.579,669","2.579,669","2.579,669","-0,00%"
13.03.2026,"2.579,746","2.579,746","2.579,746","2.579,746","-0,23%"
12.03.2026,"2.585,618","2.585,618","2.585,618","2.575,352","0,40%"
11.03.2026,"2.575,352","2.575,352","2.575,352","2.562,653","0,50%"
10.03.2026,"2.562,653","2.562,653","2.595,333","2.562,653","-1,26%"
09.03.2026,"2.595,333","2.595,333","2.607,858","2.595,333","-0,48%"
08.03.2026,"2.607,858","2.607,858","2.607,858","2.607,807","0,00%"
07.03.2026,"2.607,833","2.607,833","2.607,833","2.607,833","0,00%"
06.03.2026,"2.607,807","2.607,807","2.607,807","2.607,807","0,58%"
05.03.2026,"2.592,774","2.592,774","2.592,774","2.567,564","0,98%"
04.03.2026,"2.567,564","2.567,564","2.593,237","2.567,564","-0,99%"
03.03.2026,"2.593,237","2.593,237","2.593,237","2.567,977","0,98%"
02.03.2026,"2.567,977","2.567,977","2.567,977","2.554,079","0,54%"
01.03.2026,"2.554,171","2.554,171","2.554,171","2.536,361","0,00%"
28.02.2026,"2.554,107","2.554,107","2.554,107","2.554,107","0,00%"
27.02.2026,"2.554,079","2.554,079","2.554,079","2.554,079","0,70%"
26.02.2026,"2.536,361","2.536,361","2.536,361","2.524,238","0,48%"
25.02.2026,"2.524,238","2.524,238","2.524,238","2.524,238","-0,26%"
24.02.2026,"2.530,861","2.530,861","2.536,931","2.530,861","-0,24%"
23.02.2026,"2.536,931","2.536,931","2.536,931","2.530,808","0,24%"
22.02.2026,"2.530,854","2.530,854","2.530,854","2.530,808","0,00%"
21.02.2026,"2.530,831","2.530,831","2.530,831","2.530,831","0,00%"
20.02.2026,"2.530,808","2.530,808","2.530,808","2.530,808","-0,11%"
19.02.2026,"2.533,642","2.533,642","2.533,642","2.519,475","0,56%"
18.02.2026,"2.519,475","2.519,475","2.528,565","2.519,475","-0,36%"
17.02.2026,"2.528,565","2.528,565","2.528,565","2.519,823","0,35%"
16.02.2026,"2.519,823","2.519,823","2.521,542","2.513,549","-0,07%"
