Fecha,Último,Apertura,Máximo,Mínimo,% var.
24.03.2026,"2.256,757","2.256,757","2.256,757","2.251,321","0,24%"
23.03.2026,"2.251,321","2.251,321","2.251,336","2.251,148","-0,00%"
22.03.2026,"2.251,336","2.251,336","2.251,336","2.251,148","0,00%"
21.03.2026,"2.251,242","2.251,242","2.251,242","2.251,242","0,00%"
20.03.2026,"2.251,148","2.251,148","2.251,148","2.251,148","0,03%"
19.03.2026,"2.250,501","2.250,501","2.251,572","2.250,501","-0,05%"
18.03.2026,"2.251,572","2.251,572","2.251,572","2.251,572","-0,04%"
17.03.2026,"2.252,361","2.252,361","2.252,628","2.252,361","-0,01%"
16.03.2026,"2.252,628","2.252,628","2.254,551","2.252,628","-0,04%"
15.03.2026,"2.253,592","2.253,592","2.254,551","2.253,404","0,00%"
14.03.2026,"2.253,499","2.253,499","2.253,499","2.253,499","0,00%"
13.03.2026,"2.253,404","2.253,404","2.253,404","2.253,404","-0,05%"
12.03.2026,"2.254,551","2.254,551","2.255,560","2.254,551","-0,04%"
11.03.2026,"2.255,560","2.255,560","2.255,560","2.255,268","0,01%"
10.03.2026,"2.255,268","2.255,268","2.257,006","2.255,268","-0,08%"
09.03.2026,"2.257,006","2.257,006","2.257,006","2.254,369","0,08%"
08.03.2026,"2.255,150","2.255,150","2.255,150","2.254,369","0,02%"
07.03.2026,"2.254,760","2.254,760","2.254,760","2.254,760","0,02%"
06.03.2026,"2.254,369","2.254,369","2.254,369","2.254,369","0,12%"
05.03.2026,"2.251,678","2.251,678","2.251,678","2.250,240","0,06%"
04.03.2026,"2.250,240","2.250,240","2.250,240","2.248,500","0,08%"
03.03.2026,"2.248,500","2.248,500","2.248,500","2.247,432","0,05%"
02.03.2026,"2.247,432","2.247,432","2.247,432","2.244,837","0,08%"
01.03.2026,"2.245,631","2.245,631","2.245,631","2.242,953","0,02%"
28.02.2026,"2.245,234","2.245,234","2.245,234","2.245,234","0,02%"
27.02.2026,"2.244,837","2.244,837","2.244,837","2.244,837","0,08%"
26.02.2026,"2.242,953","2.242,953","2.242,953","2.241,607","0,06%"
25.02.2026,"2.241,607","2.241,607","2.241,607","2.241,607","0,01%"
24.02.2026,"2.241,322","2.241,322","2.241,322","2.241,254","0,00%"
23.02.2026,"2.241,254","2.241,254","2.241,254","2.240,137","0,01%"
22.02.2026,"2.240,931","2.240,931","2.240,931","2.240,137","0,02%"
21.02.2026,"2.240,534","2.240,534","2.240,534","2.240,534","0,02%"
20.02.2026,"2.240,137","2.240,137","2.240,137","2.240,137","0,02%"
19.02.2026,"2.239,643","2.239,643","2.239,643","2.239,460","0,01%"
18.02.2026,"2.239,460","2.239,460","2.239,460","2.238,219","0,06%"
17.02.2026,"2.238,219","2.238,219","2.238,219","2.237,691","0,02%"
16.02.2026,"2.237,691","2.237,691","2.237,691","2.235,844","0,01%"
15.02.2026,"2.237,424","2.237,424","2.237,424","2.235,844","0,02%"
14.02.2026,"2.237,027","2.237,027","2.237,027","2.237,027","0,02%"
13.02.2026,"2.236,630","2.236,630","2.236,630","2.236,630","0,04%"
12.02.2026,"2.235,844","2.235,844","2.236,130","2.235,844","-0,01%"
11.02.2026,"2.236,130","2.236,130","2.236,130","2.234,250","0,08%"
10.02.2026,"2.234,250","2.234,250","2.234,250","2.231,329","0,13%"
09.02.2026,"2.231,329","2.231,329","2.234,064","2.231,329","-0,01%"
08.02.2026,"2.231,549","2.231,549","2.234,064","2.231,549","-0,00%"
07.02.2026,"2.231,570","2.231,570","2.231,570","2.231,570","-0,00%"
06.02.2026,"2.231,591","2.231,591","2.231,591","2.231,591","-0,11%"
05.02.2026,"2.234,064","2.234,064","2.234,064","2.233,112","0,04%"
04.02.2026,"2.233,112","2.233,112","2.233,112","2.233,033","0,00%"
03.02.2026,"2.233,033","2.233,033","2.233,033","2.232,951","0,00%"
02.02.2026,"2.232,951","2.232,951","2.232,951","2.232,226","0,03%"
01.02.2026,"2.232,226","2.232,226","2.232,266","2.232,226","-0,00%"
31.01.2026,"2.232,246","2.232,246","2.232,246","2.232,246","-0,00%"
