Fecha,Último,Apertura,Máximo,Mínimo,% var.
24.03.2026,"2.575,260","2.575,260","2.575,260","2.568,177","0,28%"
23.03.2026,"2.568,177","2.568,177","2.599,447","2.568,177","-0,79%"
22.03.2026,"2.588,595","2.588,595","2.599,447","2.588,595","-0,00%"
21.03.2026,"2.588,603","2.588,603","2.588,603","2.588,603","-0,00%"
20.03.2026,"2.588,612","2.588,612","2.588,612","2.588,612","-0,42%"
19.03.2026,"2.599,447","2.599,447","2.600,104","2.599,447","-0,03%"
18.03.2026,"2.600,104","2.600,104","2.600,104","2.586,896","0,51%"
17.03.2026,"2.586,896","2.586,896","2.586,896","2.582,231","0,18%"
16.03.2026,"2.582,231","2.582,231","2.597,054","2.582,231","-0,35%"
15.03.2026,"2.591,202","2.591,202","2.597,054","2.591,202","-0,00%"
14.03.2026,"2.591,212","2.591,212","2.591,212","2.591,212","-0,00%"
13.03.2026,"2.591,222","2.591,222","2.591,222","2.591,222","-0,22%"
12.03.2026,"2.597,054","2.597,054","2.597,054","2.586,676","0,40%"
11.03.2026,"2.586,676","2.586,676","2.586,676","2.573,854","0,50%"
10.03.2026,"2.573,854","2.573,854","2.606,611","2.573,854","-1,26%"
09.03.2026,"2.606,611","2.606,611","2.619,122","2.606,611","-0,48%"
08.03.2026,"2.619,122","2.619,122","2.619,122","2.618,937","0,00%"
07.03.2026,"2.619,029","2.619,029","2.619,029","2.619,029","0,00%"
06.03.2026,"2.618,937","2.618,937","2.618,937","2.618,937","0,58%"
05.03.2026,"2.603,773","2.603,773","2.603,773","2.578,389","0,98%"
04.03.2026,"2.578,389","2.578,389","2.604,103","2.578,389","-0,99%"
03.03.2026,"2.604,103","2.604,103","2.604,103","2.578,670","0,99%"
02.03.2026,"2.578,670","2.578,670","2.578,670","2.564,517","0,54%"
01.03.2026,"2.564,741","2.564,741","2.564,741","2.546,661","0,01%"
28.02.2026,"2.564,611","2.564,611","2.564,611","2.564,611","0,00%"
27.02.2026,"2.564,517","2.564,517","2.564,517","2.564,517","0,70%"
26.02.2026,"2.546,661","2.546,661","2.546,661","2.534,424","0,48%"
25.02.2026,"2.534,424","2.534,424","2.534,424","2.534,424","-0,26%"
24.02.2026,"2.541,008","2.541,008","2.547,036","2.541,008","-0,24%"
23.02.2026,"2.547,036","2.547,036","2.547,036","2.540,688","0,24%"
22.02.2026,"2.540,871","2.540,871","2.540,871","2.540,688","0,00%"
21.02.2026,"2.540,779","2.540,779","2.540,779","2.540,779","0,00%"
20.02.2026,"2.540,688","2.540,688","2.540,688","2.540,688","-0,11%"
19.02.2026,"2.543,466","2.543,466","2.543,466","2.529,177","0,56%"
18.02.2026,"2.529,177","2.529,177","2.538,235","2.529,177","-0,36%"
17.02.2026,"2.538,235","2.538,235","2.538,235","2.529,392","0,35%"
16.02.2026,"2.529,392","2.529,392","2.531,050","2.522,826","-0,07%"
15.02.2026,"2.531,050","2.531,050","2.531,050","2.522,826","0,00%"
14.02.2026,"2.530,959","2.530,959","2.530,959","2.530,959","0,00%"
