Fecha,Último,Apertura,Máximo,Mínimo,% var.
07.06.2024,"1.600,762","1.600,762","1.600,762","1.600,762","0,00%"
06.06.2024,"1.600,762","1.600,762","1.600,762","1.600,762","0,00%"
05.06.2024,"1.600,762","1.600,762","1.600,762","1.600,762","0,00%"
04.06.2024,"1.600,762","1.600,762","1.600,762","1.600,762","0,00%"
03.06.2024,"1.600,762","1.600,762","1.600,762","1.600,762","0,00%"
02.06.2024,"1.600,762","1.600,762","1.600,762","1.600,762","0,01%"
01.06.2024,"1.600,533","1.600,533","1.600,533","1.600,533","0,01%"
31.05.2024,"1.600,302","1.600,302","1.600,302","1.600,302","0,23%"
30.05.2024,"1.596,596","1.596,596","1.596,596","1.596,596","0,19%"
29.05.2024,"1.593,526","1.593,526","1.593,526","1.593,526","-0,06%"
28.05.2024,"1.594,506","1.594,506","1.594,506","1.594,506","-0,06%"
27.05.2024,"1.595,411","1.595,411","1.595,411","1.595,411","0,05%"
26.05.2024,"1.594,556","1.594,556","1.594,556","1.594,556","0,02%"
25.05.2024,"1.594,316","1.594,316","1.594,316","1.594,316","0,02%"
24.05.2024,"1.594,075","1.594,075","1.594,075","1.594,075","0,04%"
23.05.2024,"1.593,428","1.593,428","1.593,428","1.593,428","0,02%"
22.05.2024,"1.593,129","1.593,129","1.593,129","1.593,129","0,26%"
21.05.2024,"1.589,057","1.589,057","1.589,057","1.589,057","0,02%"
20.05.2024,"1.588,811","1.588,811","1.588,811","1.588,811","-0,10%"
19.05.2024,"1.590,422","1.590,422","1.590,422","1.590,422","0,02%"
18.05.2024,"1.590,172","1.590,172","1.590,172","1.590,172","0,02%"
17.05.2024,"1.589,921","1.589,921","1.589,921","1.589,921","-0,07%"
16.05.2024,"1.591,058","1.591,058","1.591,058","1.591,058","-0,11%"
15.05.2024,"1.592,770","1.592,770","1.592,770","1.592,770","0,09%"
14.05.2024,"1.591,366","1.591,366","1.591,366","1.591,366","-0,13%"
13.05.2024,"1.593,408","1.593,408","1.593,408","1.593,408","-0,02%"
12.05.2024,"1.593,723","1.593,723","1.593,723","1.593,723","0,02%"
11.05.2024,"1.593,469","1.593,469","1.593,469","1.593,469","0,02%"
10.05.2024,"1.593,214","1.593,214","1.593,214","1.593,214","-0,17%"
09.05.2024,"1.595,874","1.595,874","1.595,874","1.595,874","-0,02%"
08.05.2024,"1.596,271","1.596,271","1.596,271","1.596,271","0,11%"
07.05.2024,"1.594,490","1.594,490","1.594,490","1.594,490","0,17%"
06.05.2024,"1.591,716","1.591,716","1.591,716","1.591,716","0,04%"
05.05.2024,"1.591,046","1.591,046","1.591,046","1.591,046","0,02%"
04.05.2024,"1.590,792","1.590,792","1.590,792","1.590,792","0,02%"
03.05.2024,"1.590,539","1.590,539","1.590,539","1.590,539","-0,03%"
02.05.2024,"1.590,982","1.590,982","1.590,982","1.590,982","0,13%"
01.05.2024,"1.588,939","1.588,939","1.588,939","1.588,939","0,02%"
30.04.2024,"1.588,684","1.588,684","1.588,684","1.588,684","0,07%"
29.04.2024,"1.587,498","1.587,498","1.587,498","1.587,498","0,14%"
28.04.2024,"1.585,280","1.585,280","1.585,280","1.585,280","0,02%"
27.04.2024,"1.585,022","1.585,022","1.585,022","1.585,022","0,02%"
26.04.2024,"1.584,764","1.584,764","1.584,764","1.584,764","0,16%"
25.04.2024,"1.582,231","1.582,231","1.582,231","1.582,231","-0,16%"
24.04.2024,"1.584,790","1.584,790","1.584,790","1.584,790","0,06%"
23.04.2024,"1.583,829","1.583,829","1.583,829","1.583,829","0,18%"
22.04.2024,"1.580,962","1.580,962","1.580,962","1.580,962","0,06%"
21.04.2024,"1.580,005","1.580,005","1.580,005","1.580,005","0,02%"
20.04.2024,"1.579,748","1.579,748","1.579,748","1.579,748","0,02%"
19.04.2024,"1.579,491","1.579,491","1.579,491","1.579,491","-0,17%"
18.04.2024,"1.582,156","1.582,156","1.582,156","1.582,156","-0,19%"
17.04.2024,"1.585,129","1.585,129","1.585,129","1.585,129","-0,17%"
16.04.2024,"1.587,843","1.587,843","1.587,843","1.587,843","-0,05%"
15.04.2024,"1.588,579","1.588,579","1.588,579","1.588,579","-1,09%"
14.04.2024,"1.606,152","1.606,152","1.606,152","1.606,152","0,02%"
13.04.2024,"1.605,899","1.605,899","1.605,899","1.605,899","0,02%"
12.04.2024,"1.605,646","1.605,646","1.605,646","1.605,646","1,05%"
11.04.2024,"1.588,933","1.588,933","1.588,933","1.588,933","0,04%"
10.04.2024,"1.588,231","1.588,231","1.588,231","1.588,231","-0,03%"
09.04.2024,"1.588,709","1.588,709","1.588,709","1.588,709","0,09%"
08.04.2024,"1.587,346","1.587,346","1.587,346","1.587,346","-0,14%"
07.04.2024,"1.589,640","1.589,640","1.589,640","1.589,640","0,02%"
06.04.2024,"1.589,336","1.589,336","1.589,336","1.589,336","0,02%"
05.04.2024,"1.589,033","1.589,033","1.589,033","1.589,033","0,10%"
04.04.2024,"1.587,404","1.587,404","1.587,404","1.587,404","-0,25%"
03.04.2024,"1.591,401","1.591,401","1.591,401","1.591,401","0,01%"
02.04.2024,"1.591,293","1.591,293","1.591,293","1.591,293","-0,09%"
01.04.2024,"1.592,732","1.592,732","1.592,732","1.592,732","-0,02%"
31.03.2024,"1.593,005","1.593,005","1.593,005","1.593,005","0,02%"
30.03.2024,"1.592,705","1.592,705","1.592,705","1.592,705","0,02%"
29.03.2024,"1.592,406","1.592,406","1.592,406","1.592,406","0,02%"
28.03.2024,"1.592,107","1.592,107","1.592,107","1.592,107","0,01%"
27.03.2024,"1.591,958","1.591,958","1.591,958","1.591,958","0,20%"
26.03.2024,"1.588,845","1.588,845","1.588,845","1.588,845","0,06%"
25.03.2024,"1.587,875","1.587,875","1.587,875","1.587,875","0,02%"
24.03.2024,"1.587,617","1.587,617","1.587,617","1.587,617","0,02%"
23.03.2024,"1.587,319","1.587,319","1.587,319","1.587,319","0,02%"
22.03.2024,"1.587,021","1.587,021","1.587,021","1.587,021","0,11%"
21.03.2024,"1.585,328","1.585,328","1.585,328","1.585,328","0,08%"
20.03.2024,"1.584,124","1.584,124","1.584,124","1.584,124","0,26%"
19.03.2024,"1.580,019","1.580,019","1.580,019","1.580,019","0,20%"
18.03.2024,"1.576,892","1.576,892","1.576,892","1.576,892","-0,01%"
17.03.2024,"1.577,105","1.577,105","1.577,105","1.577,105","0,02%"
16.03.2024,"1.576,814","1.576,814","1.576,814","1.576,814","0,02%"
15.03.2024,"1.576,523","1.576,523","1.576,523","1.576,523","-0,18%"
14.03.2024,"1.579,375","1.579,375","1.579,375","1.579,375","-0,12%"
13.03.2024,"1.581,292","1.581,292","1.581,292","1.581,292","-0,09%"
12.03.2024,"1.582,687","1.582,687","1.582,687","1.582,687","0,04%"
11.03.2024,"1.582,042","1.582,042","1.582,042","1.582,042","0,02%"
10.03.2024,"1.581,783","1.581,783","1.581,783","1.581,783","0,02%"
09.03.2024,"1.581,492","1.581,492","1.581,492","1.581,492","0,02%"
08.03.2024,"1.581,157","1.581,157","1.581,157","1.581,157","0,03%"
07.03.2024,"1.580,762","1.580,762","1.580,762","1.580,762","0,26%"
06.03.2024,"1.576,720","1.576,720","1.576,720","1.576,720","0,20%"
05.03.2024,"1.573,532","1.573,532","1.573,532","1.573,532","0,04%"
04.03.2024,"1.572,951","1.572,951","1.572,951","1.572,951","-0,06%"
03.03.2024,"1.573,838","1.573,838","1.573,838","1.573,838","0,02%"
02.03.2024,"1.573,498","1.573,498","1.573,498","1.573,498","0,02%"
01.03.2024,"1.573,157","1.573,157","1.573,157","1.573,157","0,21%"
29.02.2024,"1.569,930","1.569,930","1.569,930","1.569,930","-0,06%"
28.02.2024,"1.570,931","1.570,931","1.570,931","1.570,931","-0,11%"
27.02.2024,"1.572,720","1.572,720","1.572,720","1.572,720","-0,01%"
26.02.2024,"1.572,939","1.572,939","1.572,939","1.572,939","-0,05%"
25.02.2024,"1.573,770","1.573,770","1.573,770","1.573,770","0,02%"
24.02.2024,"1.573,426","1.573,426","1.573,426","1.573,426","0,02%"
23.02.2024,"1.573,081","1.573,081","1.573,081","1.573,081","0,02%"
22.02.2024,"1.572,834","1.572,834","1.572,834","1.572,834","0,18%"
21.02.2024,"1.569,951","1.569,951","1.569,951","1.569,951","0,01%"
20.02.2024,"1.569,785","1.569,785","1.569,785","1.569,785","0,04%"
19.02.2024,"1.569,085","1.569,085","1.569,085","1.569,085","-0,02%"
18.02.2024,"1.569,340","1.569,340","1.569,340","1.569,340","0,02%"
17.02.2024,"1.568,996","1.568,996","1.568,996","1.568,996","0,02%"
16.02.2024,"1.568,652","1.568,652","1.568,652","1.568,652","-0,02%"
15.02.2024,"1.568,936","1.568,936","1.568,936","1.568,936","0,20%"
14.02.2024,"1.565,852","1.565,852","1.565,852","1.565,852","-0,10%"
13.02.2024,"1.567,358","1.567,358","1.567,358","1.567,358","-0,15%"
12.02.2024,"1.569,675","1.569,675","1.569,675","1.569,675","0,10%"
11.02.2024,"1.568,097","1.568,097","1.568,097","1.568,097","0,02%"
10.02.2024,"1.567,754","1.567,754","1.567,754","1.567,754","0,02%"
09.02.2024,"1.567,411","1.567,411","1.567,411","1.567,411","0,17%"
08.02.2024,"1.564,760","1.564,760","1.564,760","1.564,760","0,19%"
07.02.2024,"1.561,846","1.561,846","1.561,846","1.561,846","0,16%"
06.02.2024,"1.559,390","1.559,390","1.559,390","1.559,390","-0,04%"
05.02.2024,"1.560,017","1.560,017","1.560,017","1.560,017","0,02%"
04.02.2024,"1.559,689","1.559,689","1.559,689","1.559,689","-0,00%"
03.02.2024,"1.559,697","1.559,697","1.559,697","1.559,697","-0,00%"
02.02.2024,"1.559,706","1.559,706","1.559,706","1.559,706","0,13%"
01.02.2024,"1.557,709","1.557,709","1.557,709","1.557,709","0,46%"
31.01.2024,"1.550,515","1.550,515","1.550,515","1.550,515","-0,28%"
30.01.2024,"1.554,837","1.554,837","1.554,837","1.554,837","0,37%"
29.01.2024,"1.549,168","1.549,168","1.549,168","1.549,168","0,29%"
28.01.2024,"1.544,683","1.544,683","1.544,683","1.544,683","-0,00%"
27.01.2024,"1.544,690","1.544,690","1.544,690","1.544,690","-0,00%"
26.01.2024,"1.544,698","1.544,698","1.544,698","1.544,698","0,07%"
25.01.2024,"1.543,545","1.543,545","1.543,545","1.543,545","0,14%"
24.01.2024,"1.541,449","1.541,449","1.541,449","1.541,449","0,15%"
23.01.2024,"1.539,147","1.539,147","1.539,147","1.539,147","0,11%"
22.01.2024,"1.537,524","1.537,524","1.537,524","1.537,524","-0,03%"
21.01.2024,"1.537,961","1.537,961","1.537,961","1.537,961","0,00%"
20.01.2024,"1.537,961","1.537,961","1.537,961","1.537,961","0,00%"
19.01.2024,"1.537,961","1.537,961","1.537,961","1.537,961","-0,02%"
18.01.2024,"1.538,211","1.538,211","1.538,211","1.538,211","-0,10%"
17.01.2024,"1.539,802","1.539,802","1.539,802","1.539,802","-0,15%"
16.01.2024,"1.542,112","1.542,112","1.542,112","1.542,112","-0,11%"
15.01.2024,"1.543,828","1.543,828","1.543,828","1.543,828","0,14%"
14.01.2024,"1.541,606","1.541,606","1.541,606","1.541,606","0,00%"
13.01.2024,"1.541,592","1.541,592","1.541,592","1.541,592","0,00%"
12.01.2024,"1.541,578","1.541,578","1.541,578","1.541,578","0,06%"
11.01.2024,"1.540,689","1.540,689","1.540,689","1.540,689","0,03%"
10.01.2024,"1.540,296","1.540,296","1.540,296","1.540,296","0,07%"
09.01.2024,"1.539,152","1.539,152","1.539,152","1.539,152","0,03%"
08.01.2024,"1.538,720","1.538,720","1.538,720","1.538,720","-0,20%"
07.01.2024,"1.541,748","1.541,748","1.541,748","1.541,748","0,02%"
06.01.2024,"1.541,432","1.541,432","1.541,432","1.541,432","0,02%"
05.01.2024,"1.541,115","1.541,115","1.541,115","1.541,115","-0,04%"
04.01.2024,"1.541,807","1.541,807","1.541,807","1.541,807","-0,27%"
03.01.2024,"1.545,933","1.545,933","1.545,933","1.545,933","-0,31%"
02.01.2024,"1.550,782","1.550,782","1.550,782","1.550,782","-0,34%"
01.01.2024,"1.556,044","1.556,044","1.556,044","1.556,044","0,02%"
31.12.2023,"1.555,765","1.555,765","1.555,765","1.555,765","0,02%"
30.12.2023,"1.555,485","1.555,485","1.555,485","1.555,485","0,02%"
29.12.2023,"1.555,205","1.555,205","1.555,205","1.555,205","0,14%"
28.12.2023,"1.553,001","1.553,001","1.553,001","1.553,001","-0,07%"
27.12.2023,"1.554,124","1.554,124","1.554,124","1.554,124","0,23%"
