"Fecha","Último","Apertura","Máximo","Mínimo","% var."
"Mar 2026","4,365","4,431","4,431","4,359","-1,48%"
"Feb 2026","4,431","4,399","4,431","4,393","0,72%"
"Ene 2026","4,399","4,369","4,400","4,368","0,68%"
"Dic 2025","4,370","4,354","4,370","4,345","0,15%"
"Nov 2025","4,363","4,347","4,364","4,332","0,36%"
"Oct 2025","4,347","4,326","4,355","4,324","0,54%"
"Sep 2025","4,324","4,291","4,329","4,282","0,71%"
"Ago 2025","4,293","4,253","4,293","4,252","1,15%"
"Jul 2025","4,245","4,232","4,246","4,220","0,37%"
"Jun 2025","4,229","4,156","4,229","4,156","1,67%"
"May 2025","4,160","4,138","4,160","4,119","0,52%"
"Abr 2025","4,138","4,141","4,145","4,052","0,00%"
"Mar 2025","4,138","4,141","4,146","4,127","-0,04%"
"Feb 2025","4,140","4,094","4,140","4,090","1,50%"
"Ene 2025","4,078","4,059","4,078","4,026","0,57%"
"Dic 2024","4,055","4,089","4,102","4,055","-0,70%"
"Nov 2024","4,084","4,063","4,084","4,055","0,49%"
"Oct 2024","4,064","4,124","4,126","4,064","-1,37%"
"Sep 2024","4,121","4,070","4,122","4,069","1,15%"
"Ago 2024","4,074","4,010","4,078","4,010","1,62%"
"Jul 2024","4,009","3,967","4,014","3,955","0,98%"
"Jun 2024","3,970","3,939","3,980","3,939","0,74%"
"May 2024","3,941","3,912","3,970","3,911","0,98%"
"Abr 2024","3,902","3,977","3,977","3,899","-1,77%"
"Mar 2024","3,973","3,932","3,973","3,932","1,04%"
"Feb 2024","3,932","3,943","3,962","3,919","-0,09%"
"Ene 2024","3,936","3,964","3,964","3,926","-0,80%"
"Dic 2023","3,967","3,831","3,967","3,831","3,95%"
"Nov 2023","3,817","3,677","3,817","3,675","4,10%"
"Oct 2023","3,666","3,724","3,724","3,652","-1,58%"
"Sep 2023","3,725","3,807","3,809","3,725","-1,86%"
"Ago 2023","3,796","3,829","3,835","3,754","-0,98%"
"Jul 2023","3,833","3,809","3,844","3,771","0,62%"
"Jun 2023","3,810","3,756","3,810","3,756","1,53%"
"May 2023","3,752","3,802","3,811","3,750","-1,32%"
"Abr 2023","3,803","3,762","3,810","3,762","1,29%"
"Mar 2023","3,754","3,734","3,762","3,722","0,41%"
"Feb 2023","3,739","3,806","3,832","3,727","-1,85%"
"Ene 2023","3,809","3,709","3,813","3,708","2,70%"
"Dic 2022","3,709","3,707","3,765","3,707","0,04%"
"Nov 2022","3,708","3,608","3,711","3,581","3,28%"
"Oct 2022","3,590","3,610","3,633","3,548","-0,52%"
"Sep 2022","3,609","3,759","3,759","3,605","-4,17%"
"Ago 2022","3,766","3,781","3,816","3,766","-0,09%"
"Jul 2022","3,769","3,716","3,769","3,702","1,16%"
"Jun 2022","3,726","3,849","3,849","3,726","-2,99%"
"May 2022","3,841","3,870","3,870","3,797","-0,99%"
"Abr 2022","3,879","3,956","3,964","3,879","-1,70%"
"Mar 2022","3,946","3,999","4,005","3,914","-1,43%"
"Feb 2022","4,004","4,068","4,071","4,004","-1,69%"
"Ene 2022","4,072","4,120","4,120","4,072","-1,17%"
"Dic 2021","4,121","4,090","4,122","4,090","0,67%"
"Nov 2021","4,094","4,131","4,142","4,094","-1,03%"
"Oct 2021","4,136","4,149","4,151","4,119","-0,55%"
"Sep 2021","4,159","4,169","4,188","4,159","-0,09%"
"Ago 2021","4,162","4,175","4,176","4,157","-0,18%"
"Jul 2021","4,170","4,163","4,175","4,161","0,28%"
"Jun 2021","4,158","4,135","4,161","4,135","0,57%"
"May 2021","4,135","4,120","4,135","4,116","0,41%"
"Abr 2021","4,118","4,083","4,122","4,083","0,83%"
"Mar 2021","4,084","4,109","4,119","4,072","-0,98%"
"Feb 2021","4,124","4,091","4,158","4,091","0,76%"
"Ene 2021","4,094","4,085","4,117","4,085","0,47%"
"Dic 2020","4,075","4,001","4,075","4,000","1,95%"
"Nov 2020","3,997","3,832","3,997","3,832","4,13%"
"Oct 2020","3,838","3,813","3,882","3,813","0,93%"
"Sep 2020","3,803","3,867","3,882","3,797","-1,23%"
"Ago 2020","3,850","3,821","3,851","3,821","0,99%"
"Jul 2020","3,812","3,705","3,812","3,690","2,56%"
"Jun 2020","3,717","3,654","3,761","3,654","2,02%"
"May 2020","3,644","3,510","3,644","3,506","4,50%"
"Abr 2020","3,487","3,349","3,537","3,332","4,70%"
"Mar 2020","3,330","3,826","3,849","3,148","-13,62%"
"Feb 2020","3,855","3,872","3,908","3,855","-0,42%"
"Ene 2020","3,871","3,859","3,887","3,859","0,39%"
"Dic 2019","3,856","3,796","3,857","3,795","1,58%"
"Nov 2019","3,796","3,791","3,796","3,778","0,07%"
"Oct 2019","3,794","3,776","3,794","3,758","0,49%"
"Sep 2019","3,775","3,760","3,783","3,757","0,52%"
"Ago 2019","3,756","3,758","3,758","3,722","-0,13%"
"Jul 2019","3,761","3,740","3,761","3,740","0,62%"
"Jun 2019","3,738","3,669","3,742","3,659","1,76%"
"May 2019","3,673","3,690","3,696","3,670","-0,55%"
"Abr 2019","3,693","3,649","3,693","3,649","1,28%"
"Mar 2019","3,646","3,622","3,647","3,613","0,76%"
"Feb 2019","3,619","3,560","3,619","3,560","1,80%"
"Ene 2019","3,555","3,430","3,555","3,430","3,62%"
"Dic 2018","3,431","3,503","3,515","3,430","-1,90%"
"Nov 2018","3,497","3,542","3,563","3,497","-1,25%"
"Oct 2018","3,542","3,603","3,607","3,542","-1,65%"
"Sep 2018","3,601","3,589","3,601","3,578","0,32%"
"Ago 2018","3,589","3,577","3,591","3,568","0,35%"
"Jul 2018","3,577","3,541","3,577","3,536","0,88%"
"Jun 2018","3,546","3,544","3,567","3,544","0,06%"
"May 2018","3,544","3,582","3,582","3,544","-1,16%"
"Abr 2018","3,585","3,562","3,603","3,559","0,67%"
"Mar 2018","3,562","3,585","3,585","3,562","-0,54%"
"Feb 2018","3,581","3,624","3,624","3,562","-1,36%"
"Ene 2018","3,630","3,598","3,633","3,598","0,99%"
"Dic 2017","3,595","3,591","3,595","3,586","0,15%"
"Nov 2017","3,589","3,593","3,597","3,562","-0,18%"
"Oct 2017","3,595","3,580","3,596","3,579","0,52%"
"Sep 2017","3,577","3,554","3,577","3,554","0,70%"
"Ago 2017","3,552","3,554","3,559","3,536","-0,02%"
"Jul 2017","3,553","3,513","3,553","3,504","1,23%"
