"Fecha","Último","Apertura","Máximo","Mínimo","% var."
"Mar 2026","3,964","4,024","4,024","3,958","-1,50%"
"Feb 2026","4,024","3,997","4,024","3,991","0,67%"
"Ene 2026","3,997","3,971","3,998","3,970","0,65%"
"Dic 2025","3,971","3,958","3,971","3,951","0,11%"
"Nov 2025","3,967","3,946","1.515,110","2,442","0,28%"
"Oct 2025","3,956","3,936","3,956","3,934","0,55%"
"Sep 2025","3,934","3,906","3,939","3,898","0,67%"
"Ago 2025","3,908","3,872","3,908","3,872","1,12%"
"Jul 2025","3,865","3,855","3,866","3,843","0,33%"
"Jun 2025","3,852","3,787","3,852","3,787","1,63%"
"May 2025","3,790","3,772","3,790","3,754","0,48%"
"Abr 2025","3,772","3,776","3,780","3,694","-0,03%"
"Mar 2025","3,773","3,777","3,783","3,764","-0,08%"
"Feb 2025","3,776","3,736","3,776","3,733","1,46%"
"Ene 2025","3,722","3,705","3,722","3,675","0,53%"
"Dic 2024","3,702","3,734","3,747","3,702","-0,74%"
"Nov 2024","3,730","3,712","3,730","3,704","0,45%"
"Oct 2024","3,713","3,770","3,771","3,713","-1,41%"
"Sep 2024","3,766","3,721","3,767","3,720","1,12%"
"Ago 2024","3,725","3,668","3,728","3,668","1,58%"
"Jul 2024","3,667","3,630","3,672","3,619","0,94%"
"Jun 2024","3,633","3,606","3,642","3,606","0,70%"
"May 2024","3,608","3,582","3,634","3,581","0,95%"
"Abr 2024","3,573","3,643","3,643","3,571","-1,82%"
"Mar 2024","3,639","3,603","3,641","3,603","1,00%"
"Feb 2024","3,603","3,615","3,632","3,592","-0,13%"
"Ene 2024","3,608","3,636","3,636","3,599","-0,84%"
"Dic 2023","3,639","3,515","3,639","3,515","3,92%"
"Nov 2023","3,501","3,374","3,501","3,373","4,04%"
"Oct 2023","3,365","3,419","3,419","3,352","-1,60%"
"Sep 2023","3,420","3,497","3,499","3,420","-1,90%"
"Ago 2023","3,486","3,518","3,524","3,448","-1,02%"
"Jul 2023","3,522","3,501","3,532","3,465","0,59%"
"Jun 2023","3,501","3,453","3,501","3,453","1,48%"
"May 2023","3,450","3,498","3,506","3,449","-1,36%"
"Abr 2023","3,498","3,462","3,506","3,462","1,25%"
"Mar 2023","3,455","3,438","3,462","3,426","0,37%"
"Feb 2023","3,442","3,504","3,528","3,431","-1,88%"
"Ene 2023","3,508","3,417","3,512","3,416","2,67%"
"Dic 2022","3,417","3,416","3,469","3,415","0,00%"
"Nov 2022","3,417","3,326","3,420","3,302","3,24%"
"Oct 2022","3,310","3,329","3,350","3,271","-0,55%"
"Sep 2022","3,328","3,468","3,468","3,325","-4,20%"
"Ago 2022","3,474","3,490","3,522","3,474","-0,13%"
"Jul 2022","3,479","3,432","3,479","3,417","1,10%"
"Jun 2022","3,441","3,555","3,555","3,441","-3,03%"
"May 2022","3,548","3,577","3,577","3,508","-1,03%"
"Abr 2022","3,585","3,657","3,664","3,585","-1,73%"
"Mar 2022","3,648","3,698","3,704","3,620","-1,47%"
"Feb 2022","3,703","3,764","3,766","3,703","-1,72%"
"Ene 2022","3,768","3,813","3,813","3,768","-1,21%"
"Dic 2021","3,814","3,787","3,816","3,787","0,63%"
"Nov 2021","3,790","3,826","3,836","3,790","-1,06%"
"Oct 2021","3,831","3,845","3,846","3,816","-0,58%"
"Sep 2021","3,853","3,865","3,881","3,853","-0,12%"
"Ago 2021","3,858","3,872","3,872","3,854","-0,22%"
"Jul 2021","3,867","3,862","3,872","3,860","0,24%"
"Jun 2021","3,858","3,837","3,861","3,837","0,53%"
"May 2021","3,837","3,825","3,838","3,819","0,38%"
"Abr 2021","3,823","3,792","3,827","3,792","0,79%"
"Mar 2021","3,793","3,817","3,826","3,782","-1,03%"
"Feb 2021","3,832","3,803","3,864","3,802","0,71%"
"Ene 2021","3,805","3,799","3,827","3,799","0,41%"
"Dic 2020","3,790","3,723","3,790","3,722","1,89%"
"Nov 2020","3,719","3,568","3,719","3,568","4,08%"
"Oct 2020","3,573","3,552","3,615","3,552","0,87%"
"Sep 2020","3,543","3,605","3,618","3,537","-1,29%"
"Ago 2020","3,589","3,563","3,591","3,563","0,94%"
"Jul 2020","3,555","3,457","3,555","3,443","2,50%"
"Jun 2020","3,469","3,411","3,510","3,411","1,97%"
"May 2020","3,402","3,279","3,402","3,275","4,45%"
"Abr 2020","3,257","3,131","3,305","3,114","4,64%"
"Mar 2020","3,112","3,578","3,599","2,943","-13,66%"
"Feb 2020","3,605","3,623","3,655","3,605","-0,47%"
"Ene 2020","3,622","3,612","3,638","3,612","0,33%"
"Dic 2019","3,610","3,556","3,611","3,554","1,53%"
"Nov 2019","3,556","3,553","3,556","3,539","0,02%"
"Oct 2019","3,555","3,540","3,555","3,523","0,42%"
"Sep 2019","3,540","3,527","3,548","3,524","0,47%"
"Ago 2019","3,524","3,528","3,528","3,493","-0,19%"
"Jul 2019","3,530","3,513","3,530","3,512","0,58%"
"Jun 2019","3,510","3,448","3,515","3,438","1,69%"
"May 2019","3,452","3,470","3,475","3,450","-0,60%"
"Abr 2019","3,472","3,433","3,473","3,433","1,22%"
"Mar 2019","3,430","3,409","3,431","3,400","0,70%"
"Feb 2019","3,406","3,352","3,406","3,352","1,75%"
"Ene 2019","3,348","3,232","3,348","3,231","3,56%"
"Dic 2018","3,233","3,303","3,313","3,232","-1,95%"
"Nov 2018","3,297","3,341","3,361","3,297","-1,30%"
"Oct 2018","3,341","3,401","3,404","3,341","-1,71%"
"Sep 2018","3,399","3,389","3,399","3,378","0,27%"
"Ago 2018","3,389","3,379","3,391","3,370","0,29%"
"Jul 2018","3,379","3,348","3,379","3,342","0,82%"
"Jun 2018","3,352","3,352","3,372","3,352","0,00%"
"May 2018","3,352","3,390","3,390","3,352","-1,22%"
"Abr 2018","3,393","3,373","3,410","3,370","0,62%"
"Mar 2018","3,372","3,397","3,397","3,372","-0,59%"
"Feb 2018","3,392","3,435","3,435","3,375","-1,42%"
"Ene 2018","3,441","3,412","3,444","3,412","0,93%"
"Dic 2017","3,409","3,408","3,409","3,401","0,10%"
"Nov 2017","3,406","3,411","3,415","3,380","-0,23%"
"Oct 2017","3,414","3,401","3,415","3,400","0,46%"
"Sep 2017","3,398","3,378","3,399","3,378","0,64%"
