"Fecha","Último","Apertura","Máximo","Mínimo","% var."
"Mar 2026","4,434","4,500","4,500","4,428","-1,47%"
"Feb 2026","4,500","4,468","4,500","4,462","0,72%"
"Ene 2026","4,468","4,437","4,469","4,435","0,70%"
"Dic 2025","4,437","4,420","4,437","4,412","0,17%"
"Nov 2025","4,430","4,413","4,431","4,398","0,38%"
"Oct 2025","4,413","4,391","4,421","4,389","0,55%"
"Sep 2025","4,389","4,355","4,394","4,346","0,73%"
"Ago 2025","4,357","4,316","4,357","4,315","1,16%"
"Jul 2025","4,307","4,294","4,309","4,282","0,38%"
"Jun 2025","4,291","4,216","4,291","4,216","1,68%"
"May 2025","4,220","4,198","4,220","4,178","0,53%"
"Abr 2025","4,198","4,200","4,204","4,110","0,02%"
"Mar 2025","4,197","4,199","4,205","4,186","-0,03%"
"Feb 2025","4,198","4,151","4,198","4,148","1,51%"
"Ene 2025","4,136","4,115","4,136","4,082","0,58%"
"Dic 2024","4,112","4,145","4,159","4,112","-0,68%"
"Nov 2024","4,140","4,119","4,140","4,110","0,50%"
"Oct 2024","4,120","4,180","4,182","4,120","-1,36%"
"Sep 2024","4,176","4,125","4,177","4,123","1,17%"
"Ago 2024","4,128","4,063","4,132","4,063","1,63%"
"Jul 2024","4,062","4,019","4,067","4,008","0,99%"
"Jun 2024","4,022","3,990","4,032","3,990","0,75%"
"May 2024","3,992","3,962","4,021","3,961","1,00%"
"Abr 2024","3,953","4,028","4,028","3,949","-1,76%"
"Mar 2024","4,024","3,982","4,024","3,982","1,05%"
"Feb 2024","3,982","3,992","4,011","3,968","-0,08%"
"Ene 2024","3,985","4,013","4,013","3,975","-0,79%"
"Dic 2023","4,017","3,878","4,017","3,878","3,97%"
"Nov 2023","3,863","3,721","3,863","3,719","4,10%"
"Oct 2023","3,711","3,769","3,769","3,696","-1,55%"
"Sep 2023","3,770","3,853","3,855","3,770","-1,85%"
"Ago 2023","3,841","3,874","3,880","3,799","-0,97%"
"Jul 2023","3,878","3,853","3,889","3,815","0,64%"
"Jun 2023","3,854","3,799","3,854","3,799","1,53%"
"May 2023","3,796","3,845","3,855","3,793","-1,31%"
"Abr 2023","3,846","3,805","3,853","3,805","1,30%"
"Mar 2023","3,797","3,776","3,804","3,763","0,42%"
"Feb 2023","3,781","3,848","3,874","3,768","-1,84%"
"Ene 2023","3,851","3,750","3,855","3,750","2,71%"
"Dic 2022","3,750","3,747","3,806","3,747","0,05%"
"Nov 2022","3,748","3,646","3,750","3,619","3,30%"
"Oct 2022","3,628","3,648","3,671","3,586","-0,50%"
"Sep 2022","3,646","3,798","3,798","3,643","-4,16%"
"Ago 2022","3,805","3,819","3,856","3,805","-0,08%"
"Jul 2022","3,807","3,754","3,807","3,739","1,15%"
"Jun 2022","3,764","3,888","3,888","3,764","-2,97%"
"May 2022","3,880","3,909","3,909","3,835","-0,98%"
"Abr 2022","3,918","3,995","4,003","3,918","-1,68%"
"Mar 2022","3,985","4,037","4,044","3,953","-1,42%"
"Feb 2022","4,043","4,108","4,110","4,043","-1,68%"
"Ene 2022","4,112","4,160","4,160","4,112","-1,16%"
"Dic 2021","4,160","4,129","4,162","4,129","0,68%"
"Nov 2021","4,132","4,170","4,180","4,132","-1,01%"
"Oct 2021","4,174","4,187","4,189","4,157","-0,53%"
"Sep 2021","4,197","4,207","4,226","4,197","-0,07%"
"Ago 2021","4,200","4,212","4,213","4,195","-0,17%"
"Jul 2021","4,207","4,200","4,213","4,198","0,28%"
"Jun 2021","4,195","4,171","4,198","4,170","0,59%"
"May 2021","4,171","4,155","4,171","4,151","0,44%"
"Abr 2021","4,153","4,118","4,157","4,118","0,84%"
"Mar 2021","4,118","4,143","4,153","4,106","-0,98%"
"Feb 2021","4,159","4,126","4,193","4,125","0,75%"
"Ene 2021","4,128","4,120","4,152","4,120","0,45%"
"Dic 2020","4,110","4,035","4,110","4,035","1,94%"
"Nov 2020","4,031","3,866","4,031","3,866","4,12%"
"Oct 2020","3,872","3,847","3,916","3,847","0,91%"
"Sep 2020","3,837","3,902","3,917","3,831","-1,24%"
"Ago 2020","3,885","3,856","3,886","3,856","0,98%"
"Jul 2020","3,848","3,740","3,848","3,725","2,55%"
"Jun 2020","3,752","3,689","3,796","3,688","2,01%"
"May 2020","3,678","3,544","3,678","3,540","4,49%"
"Abr 2020","3,520","3,382","3,572","3,364","4,68%"
"Mar 2020","3,362","3,864","3,886","3,179","-13,63%"
"Feb 2020","3,893","3,911","3,947","3,893","-0,43%"
"Ene 2020","3,910","3,898","3,926","3,898","0,37%"
"Dic 2019","3,895","3,835","3,896","3,833","1,56%"
"Nov 2019","3,835","3,830","3,835","3,817","0,07%"
"Oct 2019","3,833","3,815","3,833","3,797","0,47%"
"Sep 2019","3,815","3,799","3,823","3,797","0,51%"
"Ago 2019","3,796","3,799","3,799","3,762","-0,14%"
"Jul 2019","3,801","3,781","3,801","3,781","0,62%"
"Jun 2019","3,778","3,710","3,783","3,699","1,73%"
"May 2019","3,713","3,731","3,737","3,711","-0,56%"
"Abr 2019","3,734","3,690","3,734","3,690","1,28%"
"Mar 2019","3,687","3,663","3,688","3,654","0,74%"
"Feb 2019","3,660","3,601","3,660","3,601","1,79%"
"Ene 2019","3,596","3,470","3,596","3,469","3,61%"
"Dic 2018","3,471","3,545","3,556","3,470","-1,92%"
"Nov 2018","3,539","3,584","3,606","3,539","-1,26%"
"Oct 2018","3,584","3,647","3,650","3,584","-1,67%"
"Sep 2018","3,644","3,633","3,644","3,621","0,31%"
"Ago 2018","3,633","3,621","3,634","3,612","0,34%"
"Jul 2018","3,621","3,585","3,621","3,580","0,86%"
"Jun 2018","3,590","3,588","3,611","3,588","0,05%"
"May 2018","3,588","3,627","3,627","3,588","-1,17%"
"Abr 2018","3,631","3,607","3,648","3,605","0,66%"
"Mar 2018","3,607","3,631","3,631","3,607","-0,55%"
"Feb 2018","3,627","3,671","3,671","3,608","-1,38%"
"Ene 2018","3,678","3,645","3,681","3,645","0,97%"
"Dic 2017","3,642","3,639","3,642","3,633","0,14%"
"Nov 2017","3,637","3,641","3,645","3,609","-0,19%"
"Oct 2017","3,644","3,628","3,645","3,628","0,50%"
"Sep 2017","3,625","3,603","3,626","3,603","0,68%"
"Ago 2017","3,601","3,603","3,608","3,584","-0,04%"
"Jul 2017","3,602","3,562","3,602","3,553","1,22%"
