"Fecha","Último","Apertura","Máximo","Mínimo","% var."
"Mar 2026","3.137,874","3.182,737","3.185,000","3.128,288","-1,41%"
"Feb 2026","3.182,673","3.123,115","3.182,673","3.109,229","1,90%"
"Ene 2026","3.123,213","3.001,845","3.153,275","3.000,350","4,04%"
"Dic 2025","3.001,819","2.983,652","3.006,177","2.965,748","0,57%"
"Nov 2025","2.984,904","2.988,907","2.989,806","2.933,513","-0,13%"
"Oct 2025","2.988,860","2.970,261","2.997,040","2.947,346","0,62%"
"Sep 2025","2.970,388","2.898,526","2.970,388","2.892,302","2,68%"
"Ago 2025","2.892,774","2.810,997","2.892,774","2.810,737","2,03%"
"Jul 2025","2.835,279","2.766,630","2.840,755","2.766,630","2,28%"
"Jun 2025","2.772,074","2.742,391","2.772,074","2.738,444","1,14%"
"May 2025","2.740,740","2.715,831","2.743,833","2.698,515","0,92%"
"Abr 2025","2.715,720","2.681,397","2.715,720","2.650,771","1,06%"
"Mar 2025","2.687,367","2.658,167","2.687,367","2.622,994","1,35%"
"Feb 2025","2.651,512","2.692,592","2.692,592","2.647,065","-1,10%"
"Ene 2025","2.681,038","2.655,380","2.692,422","2.655,380","1,04%"
"Dic 2024","2.653,429","2.663,095","2.679,934","2.651,454","-0,26%"
"Nov 2024","2.660,353","2.615,077","2.663,662","2.599,079","2,02%"
"Oct 2024","2.607,725","2.574,142","2.628,273","2.574,142","1,25%"
"Sep 2024","2.575,583","2.564,740","2.593,500","2.564,740","0,35%"
"Ago 2024","2.566,579","2.595,593","2.595,593","2.540,017","-1,13%"
"Jul 2024","2.595,817","2.554,093","2.595,817","2.544,164","1,25%"
"Jun 2024","2.563,818","2.523,997","2.563,818","2.516,718","1,59%"
"May 2024","2.523,807","2.532,638","2.545,635","2.523,807","0,04%"
"Abr 2024","2.522,820","2.604,196","2.604,448","2.519,145","-3,05%"
"Mar 2024","2.602,126","2.569,110","2.602,126","2.556,996","1,06%"
"Feb 2024","2.574,794","2.490,466","2.574,794","2.490,459","3,37%"
