"Fecha","Último","Apertura","Máximo","Mínimo","% var."
"Mar 2026","3.186,875","3.182,733","3.199,239","3.178,848","0,15%"
"Feb 2026","3.182,199","3.163,574","3.182,199","3.163,269","0,59%"
"Ene 2026","3.163,611","3.144,099","3.163,650","3.143,262","0,63%"
"Dic 2025","3.143,681","3.130,406","3.143,681","3.128,772","0,39%"
"Nov 2025","3.131,345","3.115,267","3.132,491","3.114,245","0,53%"
"Oct 2025","3.114,754","3.110,095","3.116,819","3.108,145","0,19%"
"Sep 2025","3.108,923","3.091,146","3.108,923","3.088,253","0,60%"
"Ago 2025","3.090,291","3.072,668","3.094,987","3.072,214","0,73%"
"Jul 2025","3.068,042","3.043,138","3.068,042","3.039,175","0,83%"
"Jun 2025","3.042,749","3.028,608","3.043,456","3.026,810","0,53%"
"May 2025","3.026,810","3.031,436","3.032,242","3.019,901","-0,13%"
"Abr 2025","3.030,848","3.002,505","3.030,848","3.002,505","1,07%"
"Mar 2025","2.998,756","2.973,647","2.998,756","2.973,647","0,90%"
"Feb 2025","2.971,919","2.944,929","2.971,919","2.944,929","0,92%"
"Ene 2025","2.944,823","2.924,446","2.949,691","2.924,446","0,82%"
"Dic 2024","2.920,983","2.932,910","2.944,164","2.920,298","-0,31%"
"Nov 2024","2.929,966","2.894,458","2.932,028","2.894,458","1,29%"
"Oct 2024","2.892,613","2.936,222","2.942,683","2.892,613","-1,28%"
"Sep 2024","2.930,088","2.878,095","2.930,088","2.877,277","1,87%"
"Ago 2024","2.876,296","2.822,713","2.877,356","2.822,713","1,99%"
"Jul 2024","2.820,216","2.776,863","2.820,216","2.776,863","1,60%"
"Jun 2024","2.775,746","2.755,683","2.781,502","2.755,683","0,71%"
"May 2024","2.756,290","2.722,277","2.765,010","2.722,277","1,42%"
"Abr 2024","2.717,787","2.722,973","2.736,860","2.701,048","-0,22%"
"Mar 2024","2.723,696","2.698,623","2.731,247","2.698,623","0,82%"
"Feb 2024","2.701,601","2.683,247","2.714,718","2.683,247","0,72%"
"Ene 2024","2.682,157","2.686,567","2.688,805","2.660,114","-0,05%"
"Dic 2023","2.683,399","2.632,011","2.686,125","2.632,011","2,20%"
"Nov 2023","2.625,669","2.544,752","2.625,669","2.543,507","3,13%"
"Oct 2023","2.545,904","2.572,388","2.582,807","2.543,582","-1,17%"
"Sep 2023","2.575,989","2.611,595","2.618,057","2.575,989","-1,29%"
"Ago 2023","2.609,627","2.605,788","2.617,656","2.592,556","0,29%"
"Jul 2023","2.601,998","2.611,386","2.616,396","2.592,695","-0,36%"
"Jun 2023","2.611,478","2.570,635","2.613,875","2.570,635","1,51%"
"May 2023","2.572,624","2.596,109","2.600,164","2.567,898","-0,84%"
"Abr 2023","2.594,505","2.611,295","2.622,758","2.591,787","-0,35%"
"Mar 2023","2.603,494","2.575,264","2.603,494","2.565,468","1,21%"
"Feb 2023","2.572,258","2.582,208","2.582,208","2.560,143","-0,47%"
"Ene 2023","2.584,430","2.570,574","2.586,587","2.569,020","0,71%"
"Dic 2022","2.566,182","2.547,900","2.566,182","2.544,432","0,69%"
"Nov 2022","2.548,506","2.464,498","2.553,727","2.464,498","3,48%"
"Oct 2022","2.462,885","2.440,362","2.462,885","2.426,864","0,79%"
"Sep 2022","2.443,586","2.471,155","2.506,721","2.443,586","-1,18%"
"Ago 2022","2.472,825","2.501,233","2.509,091","2.454,840","-1,07%"
"Jul 2022","2.499,592","2.459,785","2.499,592","2.459,785","1,65%"
"Jun 2022","2.458,990","2.433,974","2.461,176","2.429,162","0,84%"
"May 2022","2.438,498","2.409,502","2.438,498","2.393,998","1,14%"
"Abr 2022","2.411,025","2.337,919","2.411,025","2.337,919","3,32%"
"Mar 2022","2.333,660","2.315,523","2.358,268","2.315,523","0,81%"
"Feb 2022","2.314,909","2.271,778","2.314,909","2.271,778","2,08%"
"Ene 2022","2.267,795","2.272,541","2.286,234","2.261,671","-0,33%"
"Dic 2021","2.275,325","2.265,429","2.275,325","2.244,852","0,33%"
"Nov 2021","2.267,895","2.226,509","2.267,895","2.226,170","2,08%"
"Oct 2021","2.221,759","2.249,493","2.249,493","2.163,679","-1,34%"
"Sep 2021","2.251,882","2.296,530","2.296,530","2.248,207","-1,78%"
"Ago 2021","2.292,607","2.260,383","2.292,607","2.260,383","1,35%"
"Jul 2021","2.262,096","2.290,802","2.290,802","2.251,934","-1,54%"
"Jun 2021","2.297,576","2.331,477","2.336,760","2.296,952","-1,31%"
"May 2021","2.328,104","2.343,179","2.368,869","2.324,055","-1,20%"
"Abr 2021","2.356,381","2.388,168","2.398,253","2.356,381","-1,38%"
"Mar 2021","2.389,265","2.419,564","2.431,397","2.389,265","-1,20%"
"Feb 2021","2.418,206","2.416,189","2.451,316","2.416,189","0,15%"
"Ene 2021","2.414,631","2.367,198","2.414,631","2.367,074","2,10%"
"Dic 2020","2.365,059","2.353,132","2.365,836","2.351,671","0,52%"
"Nov 2020","2.352,772","2.325,625","2.354,863","2.325,625","1,20%"
"Oct 2020","2.324,898","2.299,712","2.324,898","2.297,368","0,95%"
"Sep 2020","2.303,099","2.328,339","2.330,586","2.303,099","-0,59%"
"Ago 2020","2.316,775","2.272,854","2.316,775","2.272,854","1,85%"
"Jul 2020","2.274,625","2.272,097","2.286,137","2.254,917","0,04%"
"Jun 2020","2.273,827","2.272,229","2.279,639","2.245,519","0,14%"
"May 2020","2.270,588","2.239,589","2.277,173","2.239,589","1,50%"
"Abr 2020","2.237,121","2.199,289","2.237,121","2.199,289","1,59%"
"Mar 2020","2.202,125","2.258,282","2.287,612","2.201,565","-2,79%"
"Feb 2020","2.265,314","2.299,330","2.303,384","2.265,314","-1,44%"
"Ene 2020","2.298,433","2.275,754","2.300,219","2.275,754","1,06%"
"Dic 2019","2.274,285","2.229,112","2.274,285","2.214,203","2,00%"
"Nov 2019","2.229,781","2.314,970","2.314,970","2.183,539","-3,99%"
"Oct 2019","2.322,465","2.378,679","2.398,612","2.322,465","-2,36%"
"Sep 2019","2.378,536","2.373,627","2.384,362","2.371,686","0,12%"
"Ago 2019","2.375,624","2.339,018","2.375,688","2.339,018","1,64%"
"Jul 2019","2.337,305","2.298,473","2.337,305","2.296,723","1,79%"
"Jun 2019","2.296,287","2.261,455","2.306,010","2.261,455","1,79%"
"May 2019","2.255,868","2.233,175","2.255,868","2.232,286","1,06%"
"Abr 2019","2.232,286","2.213,782","2.236,143","2.213,141","0,80%"
"Mar 2019","2.214,571","2.186,129","2.214,571","2.184,479","1,25%"
"Feb 2019","2.187,237","2.177,726","2.187,731","2.177,726","0,51%"
"Ene 2019","2.176,054","2.162,346","2.176,054","2.162,346","0,67%"
"Dic 2018","2.161,550","2.153,989","2.161,550","2.153,989","0,42%"
"Nov 2018","2.152,489","2.146,994","2.153,438","2.146,994","0,26%"
"Oct 2018","2.146,994","2.157,820","2.161,490","2.144,021","-0,43%"
"Sep 2018","2.156,204","2.155,516","2.161,795","2.155,516","0,03%"
"Ago 2018","2.155,516","2.147,625","2.163,719","2.147,625","0,37%"
"Jul 2018","2.147,625","2.136,364","2.147,625","2.136,364","0,49%"
"Jun 2018","2.137,208","2.127,186","2.138,176","2.127,186","0,47%"
