"Fecha","Último","Apertura","Máximo","Mínimo","% var."
"Mar 2026","6,177","6,760","6,812","6,029","-8,64%"
"Feb 2026","6,761","6,635","6,812","6,470","1,90%"
"Ene 2026","6,635","5,607","6,677","5,607","18,32%"
"Dic 2025","5,608","5,648","5,820","5,476","0,26%"
"Nov 2025","5,593","5,365","5,613","5,322","4,26%"
"Oct 2025","5,365","5,347","5,365","5,010","0,31%"
"Sep 2025","5,349","5,050","5,380","5,025","5,68%"
"Ago 2025","5,061","4,655","5,062","4,655","8,53%"
"Jul 2025","4,664","4,962","5,013","4,622","-4,21%"
"Jun 2025","4,869","4,685","4,869","4,685","2,35%"
"May 2025","4,757","4,536","4,800","4,485","4,87%"
"Abr 2025","4,536","4,256","4,536","3,899","5,36%"
"Mar 2025","4,305","4,189","4,427","4,095","2,22%"
"Feb 2025","4,212","4,105","4,351","4,105","2,57%"
"Ene 2025","4,106","3,866","4,106","3,843","5,57%"
"Dic 2024","3,889","4,102","4,218","3,877","-7,11%"
"Nov 2024","4,187","4,357","4,405","4,187","-5,16%"
"Oct 2024","4,415","4,617","4,617","4,411","-3,82%"
"Sep 2024","4,590","4,577","4,623","4,450","-0,68%"
"Ago 2024","4,622","4,461","4,798","4,280","3,17%"
"Jul 2024","4,480","4,470","4,733","4,394","0,68%"
"Jun 2024","4,450","4,813","4,813","4,380","-9,13%"
"May 2024","4,897","5,018","5,102","4,897","-0,66%"
"Abr 2024","4,929","5,200","5,249","4,869","-4,72%"
"Mar 2024","5,174","5,144","5,174","4,990","1,91%"
"Feb 2024","5,077","5,100","5,195","5,064","-0,85%"
"Ene 2024","5,120","5,246","5,246","4,957","-2,84%"
"Dic 2023","5,270","4,902","5,270","4,878","8,30%"
"Nov 2023","4,866","4,416","4,917","4,412","10,58%"
"Oct 2023","4,400","4,595","4,600","4,326","-3,17%"
"Sep 2023","4,545","4,933","4,933","4,545","-6,62%"
"Ago 2023","4,867","5,065","5,150","4,716","-5,27%"
"Jul 2023","5,137","4,884","5,137","4,854","4,28%"
"Jun 2023","4,926","4,614","5,036","4,488","8,17%"
"May 2023","4,554","4,421","4,665","4,384","4,26%"
"Abr 2023","4,369","4,362","4,574","4,328","1,78%"
"Mar 2023","4,292","4,399","4,513","4,153","-4,23%"
"Feb 2023","4,482","4,668","4,678","4,445","-5,34%"
"Ene 2023","4,734","4,305","4,735","4,075","9,63%"
"Dic 2022","4,319","4,284","4,462","4,093","0,43%"
"Nov 2022","4,300","4,449","4,755","4,267","-1,93%"
"Oct 2022","4,384","4,116","4,577","4,079","6,94%"
"Sep 2022","4,100","4,479","4,479","4,085","-8,71%"
"Ago 2022","4,491","4,121","4,531","4,095","11,48%"
"Jul 2022","4,029","4,059","4,059","3,719","-1,27%"
"Jun 2022","4,080","4,915","4,915","4,070","-14,36%"
"May 2022","4,764","4,563","4,765","4,248","4,64%"
"Abr 2022","4,553","5,133","5,265","4,520","-9,93%"
"Mar 2022","5,055","4,517","5,077","4,479","10,36%"
"Feb 2022","4,581","4,352","4,628","4,351","5,57%"
"Ene 2022","4,339","4,064","4,339","4,031","6,27%"
"Dic 2021","4,083","3,926","4,120","3,906","0,98%"
"Nov 2021","4,043","4,218","4,326","4,002","-5,36%"
"Oct 2021","4,273","4,504","4,571","4,242","-8,55%"
"Sep 2021","4,672","5,126","5,126","4,541","-6,81%"
"Ago 2021","5,013","5,358","5,410","4,840","-5,19%"
"Jul 2021","5,288","5,545","5,546","5,190","-5,08%"
"Jun 2021","5,571","5,148","5,572","5,148","9,63%"
"May 2021","5,082","5,008","5,186","4,925","1,54%"
"Abr 2021","5,005","4,518","5,005","4,518","10,08%"
"Mar 2021","4,546","4,558","4,688","4,406","-3,65%"
"Feb 2021","4,718","4,690","4,855","4,583","1,74%"
"Ene 2021","4,638","4,854","5,054","4,638","-3,07%"
"Dic 2020","4,785","4,441","4,911","4,381","7,96%"
"Nov 2020","4,432","3,715","4,432","3,653","19,59%"
"Oct 2020","3,706","3,678","3,983","3,649","-0,40%"
"Sep 2020","3,721","3,945","4,069","3,702","-5,29%"
"Ago 2020","3,928","4,254","4,254","3,928","-6,68%"
"Jul 2020","4,210","3,814","4,215","3,752","10,14%"
"Jun 2020","3,822","3,546","4,078","3,546","6,38%"
"May 2020","3,593","3,318","3,593","3,041","20,61%"
"Abr 2020","2,979","3,090","3,232","2,845","-8,77%"
"Mar 2020","3,265","4,936","5,040","2,692","-36,26%"
"Feb 2020","5,123","5,741","5,770","5,123","-11,25%"
"Ene 2020","5,772","5,820","5,941","5,664","0,13%"
"Dic 2019","5,764","5,253","5,780","5,252","10,34%"
"Nov 2019","5,224","5,544","5,574","5,195","-6,41%"
"Oct 2019","5,582","5,241","5,582","5,093","7,47%"
"Sep 2019","5,194","5,134","5,287","5,129","3,13%"
"Ago 2019","5,037","5,595","5,595","4,962","-9,57%"
"Jul 2019","5,570","5,390","5,704","5,390","2,97%"
"Jun 2019","5,410","4,982","5,494","4,982","9,96%"
"May 2019","4,920","5,130","5,154","4,753","-4,55%"
"Abr 2019","5,154","5,044","5,286","5,044","3,84%"
"Mar 2019","4,963","5,443","5,456","4,963","-9,01%"
"Feb 2019","5,455","5,398","5,572","5,297","2,39%"
"Ene 2019","5,328","4,761","5,392","4,759","13,25%"
"Dic 2018","4,704","4,870","4,914","4,688","-1,89%"
"Nov 2018","4,795","4,959","5,164","4,693","-3,30%"
"Oct 2018","4,959","4,842","5,196","4,835","3,62%"
"Sep 2018","4,785","4,681","4,785","4,484","2,23%"
"Ago 2018","4,681","5,076","5,129","4,645","-7,79%"
"Jul 2018","5,076","4,592","5,081","4,568","11,48%"
"Jun 2018","4,553","4,816","4,931","4,553","-5,46%"
"May 2018","4,816","5,665","5,665","4,816","-15,65%"
"Abr 2018","5,710","5,658","5,805","5,625","1,00%"
"Mar 2018","5,653","5,791","5,831","5,649","-3,85%"
"Feb 2018","5,880","5,779","5,886","5,379","1,07%"
"Ene 2018","5,817","5,173","5,905","5,172","12,55%"
"Dic 2017","5,169","4,925","5,169","4,875","2,95%"
"Nov 2017","5,021","5,094","5,139","4,815","-2,14%"
"Oct 2017","5,130","5,267","5,448","5,130","-0,67%"
"Sep 2017","5,165","5,061","5,397","5,061","2,60%"
"Ago 2017","5,034","4,788","5,069","4,788","5,48%"
"Jul 2017","4,773","4,371","4,773","4,371","9,99%"
