"Fecha","Último","Apertura","Máximo","Mínimo","% var."
"Mar 2026","1,411","1,544","1,556","1,378","-8,62%"
"Feb 2026","1,544","1,515","1,556","1,478","1,92%"
"Ene 2026","1,515","1,280","1,525","1,280","18,35%"
"Dic 2025","1,280","1,289","1,328","1,250","0,27%"
"Nov 2025","1,277","1,224","1,281","1,214","4,30%"
"Oct 2025","1,224","1,220","1,224","1,143","0,34%"
"Sep 2025","1,220","1,152","1,227","1,146","5,69%"
"Ago 2025","1,154","1,061","1,154","1,061","8,58%"
"Jul 2025","1,063","1,131","1,143","1,054","-4,19%"
"Jun 2025","1,110","1,067","1,110","1,067","2,38%"
"May 2025","1,084","1,033","1,094","1,022","4,90%"
"Abr 2025","1,033","0,969","1,033","0,888","5,40%"
"Mar 2025","0,980","0,954","1,008","0,932","2,21%"
"Feb 2025","0,959","0,934","0,990","0,934","2,64%"
"Ene 2025","0,934","0,880","0,934","0,874","5,59%"
"Dic 2024","0,885","0,933","0,959","0,882","-7,08%"
"Nov 2024","0,952","0,991","1,002","0,952","-5,13%"
"Oct 2024","1,004","1,049","1,049","1,003","-3,79%"
"Sep 2024","1,043","1,040","1,051","1,012","-0,65%"
"Ago 2024","1,050","1,013","1,090","0,973","3,19%"
"Jul 2024","1,018","1,015","1,075","0,998","0,70%"
"Jun 2024","1,011","1,093","1,093","0,995","-9,10%"
"May 2024","1,112","1,139","1,158","1,112","-0,63%"
"Abr 2024","1,119","1,180","1,191","1,105","-4,69%"
"Mar 2024","1,174","1,167","1,174","1,132","1,94%"
"Feb 2024","1,152","1,156","1,178","1,149","-0,82%"
"Ene 2024","1,161","1,189","1,189","1,124","-2,81%"
"Dic 2023","1,195","1,111","1,195","1,106","8,33%"
"Nov 2023","1,103","1,001","1,115","1,000","10,60%"
"Oct 2023","0,997","1,041","1,042","0,980","-3,13%"
"Sep 2023","1,029","1,117","1,117","1,029","-6,60%"
"Ago 2023","1,102","1,147","1,166","1,068","-5,24%"
"Jul 2023","1,163","1,105","1,163","1,099","4,30%"
"Jun 2023","1,115","1,044","1,140","1,015","8,20%"
"May 2023","1,031","1,000","1,055","0,992","4,27%"
"Abr 2023","0,988","0,986","1,035","0,979","1,83%"
"Mar 2023","0,970","0,994","1,020","0,939","-4,20%"
"Feb 2023","1,013","1,055","1,057","1,005","-5,33%"
"Ene 2023","1,070","0,973","1,070","0,921","9,68%"
"Dic 2022","0,976","0,968","1,008","0,924","0,46%"
"Nov 2022","0,971","1,005","1,074","0,964","-1,90%"
"Oct 2022","0,990","0,929","1,033","0,921","6,97%"
"Sep 2022","0,925","1,011","1,011","0,922","-8,68%"
"Ago 2022","1,013","0,930","1,022","0,924","11,52%"
"Jul 2022","0,909","0,915","0,915","0,839","-1,25%"
"Jun 2022","0,920","1,108","1,108","0,918","-14,33%"
"May 2022","1,074","1,028","1,074","0,958","4,68%"
"Abr 2022","1,026","1,157","1,186","1,019","-9,91%"
"Mar 2022","1,139","1,018","1,144","1,009","10,39%"
"Feb 2022","1,032","0,980","1,042","0,980","5,61%"
"Ene 2022","0,977","0,915","0,977","0,908","6,30%"
"Dic 2021","0,919","0,884","0,927","0,879","1,00%"
"Nov 2021","0,910","0,949","0,973","0,901","-5,30%"
"Oct 2021","0,961","1,013","1,028","0,954","-8,52%"
"Sep 2021","1,051","1,152","1,152","1,021","-6,80%"
"Ago 2021","1,127","1,204","1,216","1,088","-5,15%"
"Jul 2021","1,189","1,246","1,246","1,166","-5,07%"
"Jun 2021","1,252","1,156","1,252","1,156","9,68%"
"May 2021","1,141","1,125","1,165","1,106","1,58%"
"Abr 2021","1,124","1,014","1,124","1,014","10,11%"
"Mar 2021","1,021","1,023","1,052","0,989","-3,62%"
"Feb 2021","1,059","1,052","1,089","1,028","1,76%"
"Ene 2021","1,041","1,089","1,134","1,041","-3,04%"
"Dic 2020","1,073","0,996","1,102","0,982","7,99%"
"Nov 2020","0,994","0,833","0,994","0,819","19,63%"
"Oct 2020","0,831","0,824","0,893","0,818","-0,37%"
"Sep 2020","0,834","0,884","0,912","0,830","-5,25%"
"Ago 2020","0,880","0,953","0,953","0,880","-6,66%"
"Jul 2020","0,943","0,854","0,944","0,840","10,17%"
"Jun 2020","0,856","0,794","0,913","0,794","6,42%"
"May 2020","0,804","0,743","0,804","0,681","20,64%"
"Abr 2020","0,667","0,691","0,723","0,637","-8,73%"
"Mar 2020","0,730","1,104","1,127","0,602","-36,24%"
"Feb 2020","1,146","1,284","1,290","1,146","-11,23%"
"Ene 2020","1,291","1,301","1,328","1,266","0,16%"
"Dic 2019","1,288","1,174","1,292","1,174","10,37%"
"Nov 2019","1,167","1,238","1,245","1,161","-6,38%"
"Oct 2019","1,247","1,170","1,247","1,138","7,51%"
"Sep 2019","1,160","1,146","1,180","1,145","3,16%"
"Ago 2019","1,124","1,249","1,249","1,108","-9,55%"
"Jul 2019","1,243","1,203","1,273","1,202","2,99%"
"Jun 2019","1,207","1,111","1,226","1,111","9,99%"
"May 2019","1,097","1,144","1,149","1,060","-4,52%"
"Abr 2019","1,149","1,125","1,179","1,124","3,87%"
"Mar 2019","1,107","1,213","1,216","1,107","-8,98%"
"Feb 2019","1,216","1,203","1,242","1,180","2,42%"
"Ene 2019","1,187","1,060","1,201","1,060","13,28%"
"Dic 2018","1,048","1,084","1,094","1,044","-1,86%"
"Nov 2018","1,068","1,104","1,150","1,045","-3,27%"
"Oct 2018","1,104","1,077","1,156","1,076","3,65%"
"Sep 2018","1,065","1,041","1,065","0,998","2,27%"
"Ago 2018","1,041","1,129","1,141","1,033","-7,76%"
"Jul 2018","1,129","1,021","1,130","1,016","11,51%"
"Jun 2018","1,012","1,071","1,096","1,012","-5,44%"
"May 2018","1,071","1,259","1,259","1,071","-15,61%"
"Abr 2018","1,269","1,257","1,290","1,250","1,03%"
"Mar 2018","1,256","1,286","1,295","1,255","-3,83%"
"Feb 2018","1,306","1,283","1,307","1,194","1,10%"
"Ene 2018","1,292","1,148","1,311","1,148","12,59%"
"Dic 2017","1,147","1,093","1,147","1,082","2,98%"
"Nov 2017","1,114","1,130","1,140","1,068","-2,12%"
"Oct 2017","1,138","1,168","1,208","1,138","-0,64%"
"Sep 2017","1,145","1,122","1,197","1,122","2,63%"
"Ago 2017","1,116","1,061","1,124","1,061","5,50%"
"Jul 2017","1,058","0,968","1,058","0,968","10,03%"
