"Fecha","Último","Apertura","Máximo","Mínimo","% var."
"Mar 2026","1,444","1,550","1,560","1,403","-6,88%"
"Feb 2026","1,550","1,467","1,560","1,440","5,69%"
"Ene 2026","1,467","1,382","1,493","1,382","6,11%"
"Dic 2025","1,382","1,367","1,382","1,326","1,12%"
"Nov 2025","1,367","1,414","1,414","1,337","-3,33%"
"Oct 2025","1,414","1,380","1,428","1,341","3,30%"
"Sep 2025","1,369","1,292","1,380","1,289","6,07%"
"Ago 2025","1,291","1,244","1,305","1,244","2,63%"
"Jul 2025","1,258","1,245","1,289","1,237","1,23%"
"Jun 2025","1,242","1,178","1,246","1,173","5,88%"
"May 2025","1,173","1,121","1,195","1,121","4,68%"
"Abr 2025","1,121","1,143","1,143","1,001","-1,68%"
"Mar 2025","1,140","1,160","1,188","1,127","-2,88%"
"Feb 2025","1,174","1,122","1,184","1,111","5,61%"
"Ene 2025","1,111","1,123","1,124","1,074","-1,65%"
"Dic 2024","1,130","1,130","1,170","1,130","0,15%"
"Nov 2024","1,128","1,169","1,191","1,123","-4,13%"
"Oct 2024","1,177","1,216","1,245","1,176","-2,39%"
"Sep 2024","1,206","1,123","1,206","1,087","7,35%"
"Ago 2024","1,123","1,108","1,134","1,069","0,89%"
"Jul 2024","1,113","1,145","1,182","1,112","-2,70%"
"Jun 2024","1,144","1,126","1,157","1,115","0,88%"
"May 2024","1,134","1,107","1,165","1,100","3,42%"
"Abr 2024","1,097","1,096","1,111","1,063","0,00%"
"Mar 2024","1,097","1,076","1,106","1,076","1,14%"
"Feb 2024","1,084","1,039","1,090","1,035","3,74%"
"Ene 2024","1,045","1,082","1,082","1,019","-3,06%"
"Dic 2023","1,078","1,048","1,078","1,035","2,84%"
"Nov 2023","1,048","0,989","1,051","0,983","6,99%"
"Oct 2023","0,980","1,024","1,031","0,980","-3,95%"
"Sep 2023","1,020","1,057","1,066","1,018","-3,35%"
"Ago 2023","1,055","1,117","1,120","1,030","-4,34%"
"Jul 2023","1,103","1,062","1,106","1,058","3,33%"
"Jun 2023","1,068","1,051","1,107","1,039","1,25%"
"May 2023","1,054","1,076","1,080","1,048","-1,56%"
"Abr 2023","1,071","1,106","1,111","1,058","-2,28%"
"Mar 2023","1,096","1,084","1,112","1,057","1,22%"
"Feb 2023","1,083","1,175","1,176","1,083","-9,21%"
"Ene 2023","1,193","1,072","1,193","1,072","10,98%"
"Dic 2022","1,075","1,057","1,100","1,057","3,66%"
"Nov 2022","1,037","0,935","1,067","0,935","9,40%"
"Oct 2022","0,948","0,981","1,013","0,933","-4,27%"
"Sep 2022","0,990","1,096","1,102","0,990","-10,02%"
"Ago 2022","1,100","1,122","1,133","1,098","-2,45%"
"Jul 2022","1,128","1,150","1,150","1,103","-2,87%"
"Jun 2022","1,161","1,159","1,187","1,123","1,38%"
"May 2022","1,145","1,169","1,171","1,092","-0,22%"
"Abr 2022","1,148","1,249","1,263","1,134","-7,27%"
"Mar 2022","1,238","1,302","1,302","1,148","-3,90%"
"Feb 2022","1,288","1,318","1,365","1,288","-2,84%"
"Ene 2022","1,326","1,403","1,417","1,326","-5,05%"
"Dic 2021","1,396","1,410","1,438","1,367","-0,92%"
"Nov 2021","1,409","1,446","1,469","1,409","-2,77%"
"Oct 2021","1,449","1,406","1,463","1,384","2,24%"
"Sep 2021","1,418","1,447","1,485","1,408","-1,49%"
"Ago 2021","1,439","1,455","1,488","1,395","-1,80%"
"Jul 2021","1,465","1,545","1,546","1,434","-5,26%"
"Jun 2021","1,547","1,536","1,559","1,510","1,13%"
"May 2021","1,530","1,543","1,543","1,461","-1,52%"
"Abr 2021","1,553","1,498","1,553","1,497","4,28%"
"Mar 2021","1,490","1,561","1,593","1,469","-7,38%"
"Feb 2021","1,608","1,557","1,710","1,556","2,13%"
"Ene 2021","1,575","1,469","1,652","1,469","9,40%"
"Dic 2020","1,439","1,384","1,439","1,367","4,69%"
"Nov 2020","1,375","1,280","1,387","1,280","6,08%"
"Oct 2020","1,296","1,230","1,312","1,230","5,86%"
"Sep 2020","1,224","1,279","1,289","1,213","-2,00%"
"Ago 2020","1,249","1,208","1,249","1,208","3,63%"
"Jul 2020","1,206","1,107","1,210","1,103","8,74%"
"Jun 2020","1,109","1,002","1,110","1,002","11,19%"
"May 2020","0,997","1,004","1,019","0,976","1,31%"
"Abr 2020","0,984","0,920","0,990","0,916","6,15%"
"Mar 2020","0,927","1,055","1,091","0,864","-13,94%"
"Feb 2020","1,077","1,095","1,138","1,077","-3,49%"
"Ene 2020","1,116","1,129","1,166","1,116","-1,06%"
"Dic 2019","1,128","1,080","1,128","1,075","3,37%"
"Nov 2019","1,092","1,070","1,105","1,070","1,90%"
"Oct 2019","1,071","1,027","1,073","1,023","3,05%"
"Sep 2019","1,039","1,018","1,058","1,008","3,29%"
"Ago 2019","1,006","1,066","1,066","0,994","-5,91%"
"Jul 2019","1,069","1,078","1,090","1,063","-0,98%"
"Jun 2019","1,080","1,013","1,080","1,013","5,91%"
"May 2019","1,020","1,102","1,115","1,015","-8,07%"
"Abr 2019","1,109","1,095","1,129","1,095","2,09%"
"Mar 2019","1,087","1,091","1,104","1,063","-0,67%"
"Feb 2019","1,094","1,071","1,096","1,066","3,12%"
"Ene 2019","1,061","1,015","1,067","0,992","5,17%"
"Dic 2018","1,009","1,053","1,075","1,004","-4,13%"
"Nov 2018","1,052","0,984","1,052","0,984","6,90%"
"Oct 2018","0,984","1,127","1,127","0,980","-12,83%"
"Sep 2018","1,129","1,155","1,314","1,097","-2,22%"
