"Fecha","Último","Apertura","Máximo","Mínimo","% var."
"Mar 2026","3.877,308","4.090,957","4.112,317","3.798,600","-5,23%"
"Feb 2026","4.091,420","4.341,247","4.416,699","4.036,407","-5,77%"
"Ene 2026","4.341,725","3.797,996","4.374,920","3.772,683","14,30%"
"Dic 2025","3.798,425","3.660,698","3.798,854","3.643,600","3,93%"
"Nov 2025","3.654,967","3.419,117","3.655,780","3.403,509","6,89%"
"Oct 2025","3.419,507","3.224,235","3.419,902","3.138,855","5,54%"
"Sep 2025","3.240,080","3.139,887","3.293,672","3.139,887","3,87%"
"Ago 2025","3.119,329","2.870,837","3.121,921","2.870,175","8,71%"
"Jul 2025","2.869,452","2.938,897","2.961,077","2.787,628","-2,72%"
"Jun 2025","2.949,799","2.901,635","2.964,863","2.877,097","0,94%"
"May 2025","2.922,278","2.879,236","3.028,688","2.879,236","1,48%"
"Abr 2025","2.879,571","2.700,343","2.887,796","2.531,896","6,87%"
"Mar 2025","2.694,442","2.561,010","2.717,358","2.540,034","6,43%"
"Feb 2025","2.531,542","2.441,235","2.535,730","2.441,235","5,93%"
"Ene 2025","2.389,778","2.287,235","2.389,778","2.276,102","4,51%"
"Dic 2024","2.286,747","2.231,935","2.291,301","2.231,441","2,34%"
"Nov 2024","2.234,542","2.196,002","2.240,620","2.195,030","-0,12%"
"Oct 2024","2.237,333","2.167,403","2.261,882","2.108,281","4,00%"
"Sep 2024","2.151,260","2.154,179","2.159,454","2.076,388","-0,44%"
"Ago 2024","2.160,683","2.191,902","2.191,902","2.077,814","-1,98%"
"Jul 2024","2.204,228","2.147,241","2.239,408","2.133,550","1,44%"
"Jun 2024","2.172,883","2.206,436","2.209,570","2.144,464","-2,30%"
"May 2024","2.223,991","2.222,448","2.261,732","2.215,923","1,50%"
"Abr 2024","2.191,085","2.266,573","2.309,295","2.168,486","-2,91%"
"Mar 2024","2.256,828","2.186,784","2.256,828","2.183,307","3,26%"
"Feb 2024","2.185,597","2.106,626","2.209,735","2.092,361","2,71%"
"Ene 2024","2.127,888","2.182,060","2.182,755","2.075,086","-3,80%"
"Dic 2023","2.211,910","2.019,155","2.211,910","2.019,155","10,18%"
"Nov 2023","2.007,564","1.918,271","2.035,169","1.908,389","2,60%"
"Oct 2023","1.956,769","2.045,596","2.057,972","1.931,263","-4,82%"
"Sep 2023","2.055,885","2.125,923","2.157,521","2.031,930","-3,71%"
"Ago 2023","2.135,029","2.178,296","2.214,479","2.114,798","-1,91%"
"Jul 2023","2.176,656","2.007,742","2.206,237","2.007,742","9,49%"
"Jun 2023","1.987,996","1.930,361","2.009,085","1.890,726","3,37%"
"May 2023","1.923,107","1.895,672","1.959,318","1.884,716","1,64%"
"Abr 2023","1.892,045","1.866,579","1.929,754","1.827,842","0,97%"
"Mar 2023","1.873,872","1.892,101","1.924,233","1.828,614","-0,44%"
"Feb 2023","1.882,084","1.891,670","1.930,399","1.858,646","-0,96%"
"Ene 2023","1.900,347","1.872,358","1.900,700","1.812,888","1,65%"
"Dic 2022","1.869,454","1.869,264","1.879,218","1.803,136","0,66%"
"Nov 2022","1.857,263","1.846,250","1.916,333","1.838,762","0,68%"
"Oct 2022","1.844,711","1.791,918","1.855,052","1.746,252","1,67%"
"Sep 2022","1.814,393","1.947,005","2.041,798","1.814,393","-6,66%"
"Ago 2022","1.943,783","1.841,843","1.943,783","1.807,546","5,65%"
"Jul 2022","1.839,914","1.771,872","1.846,156","1.749,615","3,75%"
"Jun 2022","1.773,371","1.926,670","1.926,670","1.751,381","-7,80%"
"May 2022","1.923,297","1.726,827","1.923,657","1.693,506","10,17%"
"Abr 2022","1.745,810","1.828,120","1.862,804","1.716,896","-4,63%"
"Mar 2022","1.830,490","1.685,708","1.870,971","1.676,677","10,30%"
"Feb 2022","1.659,540","1.736,375","1.762,821","1.654,434","-4,70%"
"Ene 2022","1.741,319","1.635,308","1.766,426","1.626,021","8,21%"
"Dic 2021","1.609,244","1.706,273","1.706,273","1.546,222","-7,70%"
"Nov 2021","1.743,410","1.578,225","1.813,187","1.577,784","10,06%"
"Oct 2021","1.584,078","1.737,809","1.745,144","1.544,967","-8,50%"
"Sep 2021","1.731,298","1.855,245","1.855,245","1.721,194","-5,77%"
"Ago 2021","1.837,282","1.768,947","1.837,625","1.732,075","5,44%"
"Jul 2021","1.742,532","1.829,366","1.841,641","1.732,434","-5,41%"
"Jun 2021","1.842,118","1.832,597","1.898,391","1.762,857","3,29%"
"May 2021","1.783,404","1.912,235","2.014,988","1.730,490","-9,53%"
"Abr 2021","1.971,158","2.066,783","2.150,824","1.971,158","-4,64%"
"Mar 2021","2.067,134","1.904,206","2.067,134","1.903,852","8,52%"
"Feb 2021","1.904,917","1.784,190","1.929,131","1.783,859","4,34%"
"Ene 2021","1.825,622","1.732,549","1.916,389","1.732,387","5,22%"
"Dic 2020","1.735,121","1.699,102","1.735,494","1.671,879","2,22%"
"Nov 2020","1.697,370","1.473,077","1.712,287","1.458,287","13,88%"
"Oct 2020","1.490,466","1.516,141","1.569,006","1.490,466","-2,70%"
"Sep 2020","1.531,772","1.636,119","1.636,119","1.507,141","-8,39%"
"Ago 2020","1.672,009","1.657,535","1.696,138","1.655,668","-0,09%"
"Jul 2020","1.673,521","1.680,608","1.794,585","1.641,432","-1,23%"
"Jun 2020","1.694,315","1.541,245","1.722,444","1.540,958","10,25%"
"May 2020","1.536,801","1.658,733","1.676,147","1.521,955","-3,97%"
"Abr 2020","1.600,296","1.368,040","1.644,391","1.368,040","19,21%"
"Mar 2020","1.342,447","1.746,893","1.836,637","1.217,560","-25,58%"
"Feb 2020","1.803,885","1.951,103","1.999,915","1.803,885","-8,07%"
"Ene 2020","1.962,308","2.013,265","2.134,285","1.961,651","-1,77%"
"Dic 2019","1.997,723","1.939,676","2.087,491","1.917,469","3,20%"
"Nov 2019","1.935,768","2.153,692","2.153,692","1.896,897","-13,16%"
"Oct 2019","2.229,192","2.365,074","2.408,345","2.229,192","-3,63%"
"Sep 2019","2.313,064","2.195,248","2.318,698","2.174,624","7,23%"
"Ago 2019","2.157,143","2.330,739","2.330,739","2.134,086","-7,42%"
"Jul 2019","2.330,115","2.369,279","2.376,852","2.320,118","-1,71%"
"Jun 2019","2.370,659","2.266,295","2.372,743","2.266,295","5,08%"
"May 2019","2.256,089","2.486,266","2.487,121","2.256,089","-9,18%"
"Abr 2019","2.484,168","2.521,193","2.533,167","2.481,844","-0,59%"
"Mar 2019","2.498,982","2.607,818","2.607,818","2.488,221","-5,77%"
"Feb 2019","2.652,031","2.656,405","2.683,618","2.604,511","-0,42%"
"Ene 2019","2.663,200","2.547,672","2.704,701","2.543,186","5,22%"
"Dic 2018","2.530,960","2.550,998","2.569,977","2.508,681","-0,24%"
"Nov 2018","2.537,036","2.498,115","2.589,856","2.498,115","1,56%"
"Oct 2018","2.498,115","2.633,053","2.666,125","2.498,115","-5,53%"
"Sep 2018","2.644,337","2.587,253","2.691,601","2.535,562","2,21%"
"Ago 2018","2.587,253","2.632,515","2.656,507","2.581,520","-1,72%"
"Jul 2018","2.632,515","2.594,090","2.671,655","2.565,993","1,86%"
"Jun 2018","2.584,360","2.738,219","2.742,361","2.584,360","-5,62%"
"May 2018","2.738,219","2.868,848","2.890,394","2.738,219","-4,88%"
"Abr 2018","2.878,578","2.800,124","2.878,578","2.799,351","3,81%"
"Mar 2018","2.773,017","2.892,191","2.892,790","2.773,017","-4,53%"
"Feb 2018","2.904,456","2.977,790","2.995,927","2.831,873","-3,00%"
"Ene 2018","2.994,209","2.843,186","2.994,209","2.842,430","5,81%"
"Dic 2017","2.829,762","2.512,563","2.845,805","2.445,017","11,99%"
"Nov 2017","2.526,854","2.827,968","2.827,968","2.526,854","-10,49%"
"Oct 2017","2.822,957","2.734,533","2.822,957","2.734,029","3,90%"
"Sep 2017","2.717,083","2.631,366","2.720,400","2.611,937","3,28%"
"Ago 2017","2.630,739","2.602,108","2.630,739","2.566,777","0,72%"
"Jul 2017","2.611,834","2.434,444","2.612,315","2.434,444","6,50%"
