"Fecha","Último","Apertura","Máximo","Mínimo","% var."
"Mar 2026","4.898,789","5.165,156","5.191,527","4.797,319","-5,16%"
"Feb 2026","5.165,543","5.474,692","5.570,873","5.094,914","-5,65%"
"Ene 2026","5.475,086","4.781,732","5.514,794","4.750,410","14,49%"
"Dic 2025","4.782,090","4.603,399","4.782,447","4.584,709","4,05%"
"Nov 2025","4.596,015","4.294,661","4.596,685","4.275,548","7,01%"
"Oct 2025","4.294,985","4.045,454","4.295,316","3.939,990","5,65%"
"Sep 2025","4.065,179","3.935,830","4.131,467","3.935,830","3,97%"
"Ago 2025","3.909,911","3.594,301","3.912,709","3.593,748","8,84%"
"Jul 2025","3.592,430","3.675,140","3.703,302","3.489,588","-2,61%"
"Jun 2025","3.688,632","3.624,509","3.704,768","3.596,754","1,07%"
"May 2025","3.649,579","3.590,243","3.781,320","3.590,243","1,64%"
"Abr 2025","3.590,523","3.361,367","3.599,704","3.152,416","7,06%"
"Mar 2025","3.353,893","3.183,422","3.382,064","3.157,813","6,59%"
"Feb 2025","3.146,671","3.029,971","3.150,427","3.029,971","6,09%"
"Ene 2025","2.965,991","2.835,256","2.965,991","2.823,173","4,64%"
"Dic 2024","2.834,604","2.763,813","2.839,173","2.763,413","2,45%"
"Nov 2024","2.766,936","2.717,465","2.773,720","2.716,677","-0,06%"
"Oct 2024","2.768,504","2.678,691","2.798,774","2.606,219","4,13%"
"Sep 2024","2.658,639","2.659,497","2.666,316","2.564,537","-0,33%"
"Ago 2024","2.667,425","2.703,817","2.703,817","2.563,477","-1,89%"
"Jul 2024","2.718,927","2.646,862","2.761,583","2.630,387","1,51%"
"Jun 2024","2.678,367","2.716,815","2.721,403","2.643,135","-2,19%"
"May 2024","2.738,326","2.733,289","2.783,199","2.725,473","1,62%"
"Abr 2024","2.694,615","2.784,147","2.838,144","2.666,107","-2,79%"
"Mar 2024","2.772,072","2.683,162","2.772,072","2.679,510","3,37%"
"Feb 2024","2.681,602","2.582,125","2.710,389","2.565,048","2,82%"
"Ene 2024","2.608,086","2.672,999","2.674,260","2.542,633","-3,74%"
"Dic 2023","2.709,461","2.470,598","2.709,461","2.470,598","10,31%"
"Nov 2023","2.456,322","2.344,460","2.489,334","2.332,562","2,71%"
"Oct 2023","2.391,420","2.497,103","2.513,945","2.359,705","-4,71%"
"Sep 2023","2.509,566","2.592,370","2.632,419","2.480,230","-3,61%"
"Ago 2023","2.603,456","2.652,680","2.698,072","2.578,688","-1,78%"
