"Fecha","Último","Apertura","Máximo","Mínimo","% var."
"Mar 2026","5.047,864","5.330,586","5.367,097","4.915,351","-5,31%"
"Feb 2026","5.331,092","5.673,671","5.764,732","5.267,886","-6,05%"
"Ene 2026","5.674,158","4.985,725","5.696,181","4.942,396","13,80%"
"Dic 2025","4.986,195","4.880,715","5.035,926","4.835,369","2,39%"
"Nov 2025","4.869,587","4.590,313","4.870,553","4.561,141","6,07%"
"Oct 2025","4.590,747","4.370,887","4.591,182","4.229,547","4,35%"
"Sep 2025","4.399,351","4.289,935","4.474,620","4.265,212","3,14%"
"Ago 2025","4.265,212","3.963,339","4.266,099","3.962,640","7,43%"
"Jul 2025","3.970,148","4.075,159","4.103,585","3.866,097","-2,94%"
"Jun 2025","4.090,433","4.032,560","4.100,625","3.983,116","0,99%"
"May 2025","4.050,427","4.008,693","4.214,613","4.008,693","1,03%"
"Abr 2025","4.009,042","3.777,651","4.031,208","3.541,103","6,48%"
"Mar 2025","3.765,110","3.595,433","3.800,323","3.552,250","6,02%"
"Feb 2025","3.551,241","3.444,816","3.567,294","3.444,816","5,26%"
"Ene 2025","3.373,773","3.234,894","3.373,773","3.228,832","4,29%"
"Dic 2024","3.235,088","3.160,818","3.252,198","3.160,294","2,28%"
"Nov 2024","3.162,979","3.133,574","3.182,090","3.117,831","-0,97%"
"Oct 2024","3.193,939","3.112,324","3.231,794","3.027,959","3,36%"
"Sep 2024","3.090,182","3.084,689","3.090,182","2.969,250","0,12%"
"Ago 2024","3.086,510","3.119,563","3.119,563","2.961,805","-1,66%"
"Jul 2024","3.138,521","3.065,431","3.190,588","3.044,405","1,07%"
"Jun 2024","3.105,396","3.155,486","3.160,865","3.060,490","-2,24%"
"May 2024","3.176,554","3.200,835","3.253,942","3.176,554","1,04%"
"Abr 2024","3.143,831","3.265,791","3.317,276","3.108,349","-3,33%"
"Mar 2024","3.252,075","3.167,834","3.252,075","3.144,618","2,81%"
"Feb 2024","3.163,335","3.020,371","3.189,864","3.014,739","3,51%"
"Ene 2024","3.056,005","3.132,880","3.132,880","2.973,654","-3,28%"
"Dic 2023","3.159,747","2.927,122","3.159,747","2.927,122","8,51%"
"Nov 2023","2.911,822","2.775,893","2.951,627","2.760,708","2,69%"
"Oct 2023","2.835,590","2.959,453","2.984,813","2.798,961","-4,48%"
"Sep 2023","2.968,714","3.071,179","3.097,108","2.933,037","-3,72%"
"Ago 2023","3.083,560","3.194,320","3.229,674","3.059,671","-3,29%"
"Jul 2023","3.188,296","2.920,044","3.231,506","2.920,044","10,30%"
"Jun 2023","2.890,550","2.802,452","2.929,922","2.744,448","3,45%"
"May 2023","2.794,255","2.766,595","2.881,642","2.751,014","1,10%"
"Abr 2023","2.763,745","2.726,033","2.811,268","2.678,289","1,17%"
"Mar 2023","2.731,901","2.759,290","2.804,364","2.662,395","-0,47%"
"Feb 2023","2.744,829","2.757,449","2.811,813","2.711,768","-0,85%"
"Ene 2023","2.768,226","2.723,847","2.768,526","2.636,704","1,87%"
"Dic 2022","2.717,325","2.727,844","2.745,270","2.635,550","0,27%"
"Nov 2022","2.709,941","2.725,648","2.826,812","2.704,735","-0,51%"
"Oct 2022","2.723,938","2.654,072","2.741,967","2.579,911","1,41%"
"Sep 2022","2.686,146","2.899,157","3.034,385","2.686,146","-7,12%"
"Ago 2022","2.891,919","2.751,345","2.891,919","2.699,593","5,27%"
"Jul 2022","2.747,068","2.647,575","2.757,970","2.614,002","3,72%"
"Jun 2022","2.648,653","2.880,605","2.880,605","2.612,747","-8,04%"
"May 2022","2.880,218","2.587,830","2.880,535","2.538,368","9,98%"
"Abr 2022","2.618,749","2.734,983","2.784,942","2.576,331","-4,30%"
"Mar 2022","2.736,380","2.521,729","2.791,068","2.504,847","10,20%"
"Feb 2022","2.483,012","2.589,379","2.626,871","2.471,906","-4,43%"
"Ene 2022","2.598,077","2.454,951","2.635,360","2.441,262","7,54%"
"Dic 2021","2.415,864","2.542,503","2.542,503","2.315,954","-7,08%"
"Nov 2021","2.600,075","2.357,195","2.709,610","2.356,809","9,76%"
"Oct 2021","2.368,904","2.588,998","2.600,321","2.312,360","-8,16%"
"Sep 2021","2.579,429","2.755,130","2.755,130","2.563,945","-5,54%"
"Ago 2021","2.730,581","2.627,746","2.730,878","2.580,802","3,91%"
"Jul 2021","2.627,746","2.713,760","2.729,972","2.567,732","-3,67%"
"Jun 2021","2.727,726","2.707,989","2.803,142","2.607,623","3,23%"
"May 2021","2.642,444","2.821,139","2.974,927","2.563,463","-8,83%"
"Abr 2021","2.898,470","3.056,057","3.168,998","2.898,470","-5,20%"
"Mar 2021","3.057,452","2.824,968","3.057,452","2.824,659","8,11%"
"Feb 2021","2.828,049","2.646,030","2.863,339","2.645,741","4,22%"
"Ene 2021","2.713,637","2.575,417","2.861,315","2.575,417","5,16%"
"Dic 2020","2.580,495","2.516,146","2.583,818","2.471,459","2,55%"
"Nov 2020","2.516,238","2.178,183","2.543,231","2.161,950","14,27%"
"Oct 2020","2.201,999","2.217,284","2.334,414","2.201,999","-1,68%"
"Sep 2020","2.239,640","2.396,570","2.396,570","2.200,880","-8,72%"
"Ago 2020","2.453,602","2.449,049","2.498,659","2.440,845","-0,62%"
"Jul 2020","2.468,963","2.475,538","2.646,884","2.420,676","-1,14%"
"Jun 2020","2.497,353","2.272,181","2.534,866","2.271,929","10,01%"
"May 2020","2.270,131","2.445,002","2.457,856","2.246,367","-3,47%"
"Abr 2020","2.351,772","2.033,507","2.413,987","2.033,507","17,90%"
"Mar 2020","1.994,801","2.556,880","2.687,352","1.806,205","-24,44%"
"Feb 2020","2.640,183","2.836,734","2.914,630","2.640,183","-7,33%"
"Ene 2020","2.849,111","2.924,787","3.094,544","2.849,111","-1,65%"
"Dic 2019","2.896,878","2.819,998","3.026,610","2.787,060","3,11%"
"Nov 2019","2.809,481","3.028,333","3.042,137","2.751,878","-10,16%"
"Oct 2019","3.127,250","3.303,550","3.354,638","3.127,250","-3,14%"
"Sep 2019","3.228,766","3.076,023","3.233,592","3.046,054","6,95%"
"Ago 2019","3.019,024","3.217,217","3.217,217","2.983,605","-6,11%"
"Jul 2019","3.215,566","3.271,689","3.278,113","3.197,646","-1,68%"
"Jun 2019","3.270,491","3.136,164","3.279,740","3.136,164","4,76%"
"May 2019","3.121,816","3.413,256","3.413,256","3.121,816","-8,38%"
"Abr 2019","3.407,197","3.483,523","3.501,198","3.407,197","-1,37%"
"Mar 2019","3.454,630","3.608,940","3.608,940","3.439,997","-5,76%"
"Feb 2019","3.665,947","3.648,640","3.684,896","3.603,047","0,20%"
"Ene 2019","3.658,593","3.482,083","3.699,109","3.481,322","5,65%"
"Dic 2018","3.463,022","3.509,795","3.527,689","3.435,313","-0,72%"
"Nov 2018","3.488,214","3.435,865","3.576,871","3.435,865","1,52%"
"Oct 2018","3.435,865","3.628,890","3.666,632","3.435,865","-5,86%"
"Sep 2018","3.649,587","3.587,797","3.718,618","3.515,330","1,72%"
"Ago 2018","3.587,797","3.665,435","3.702,302","3.575,156","-2,12%"
"Jul 2018","3.665,435","3.620,089","3.715,234","3.586,538","1,81%"
"Jun 2018","3.600,436","3.769,405","3.795,544","3.600,436","-4,48%"
"May 2018","3.769,405","3.954,914","3.977,452","3.769,405","-4,89%"
"Abr 2018","3.963,399","3.857,617","3.968,450","3.856,993","3,78%"
"Mar 2018","3.819,220","3.947,688","3.947,990","3.800,498","-3,78%"
"Feb 2018","3.969,324","4.084,225","4.104,404","3.863,307","-3,37%"
"Ene 2018","4.107,856","3.891,562","4.107,856","3.890,945","6,05%"
"Dic 2017","3.873,578","3.480,308","3.902,312","3.392,365","10,50%"
"Nov 2017","3.505,508","3.906,373","3.906,373","3.505,508","-10,08%"
"Oct 2017","3.898,554","3.735,955","3.898,554","3.735,552","4,99%"
"Sep 2017","3.713,398","3.594,108","3.713,398","3.569,224","3,28%"
"Ago 2017","3.595,476","3.525,499","3.597,939","3.499,327","1,70%"
"Jul 2017","3.535,263","3.295,146","3.535,645","3.295,146","6,47%"
