"Fecha","Último","Apertura","Máximo","Mínimo","% var."
"Mar 2026","3.027,536","3.022,300","3.033,781","3.019,718","0,19%"
"Feb 2026","3.021,768","3.003,308","3.021,768","3.003,308","0,61%"
"Ene 2026","3.003,345","2.988,453","3.003,382","2.987,627","0,51%"
"Dic 2025","2.988,041","2.978,832","2.988,041","2.977,867","0,27%"
"Nov 2025","2.980,080","2.972,127","2.982,240","2.971,156","0,28%"
"Oct 2025","2.971,640","2.962,949","2.972,809","2.961,475","0,31%"
"Sep 2025","2.962,317","2.947,045","2.962,317","2.944,978","0,53%"
"Ago 2025","2.946,802","2.926,818","2.949,078","2.926,354","0,74%"
"Jul 2025","2.925,211","2.907,421","2.925,211","2.902,599","0,60%"
"Jun 2025","2.907,687","2.898,369","2.909,539","2.896,536","0,38%"
"May 2025","2.896,536","2.897,095","2.899,776","2.892,854","0,00%"
"Abr 2025","2.896,521","2.872,380","2.896,521","2.872,380","0,95%"
"Mar 2025","2.869,346","2.851,746","2.869,346","2.851,746","0,69%"
"Feb 2025","2.849,669","2.824,874","2.849,669","2.824,874","0,93%"
"Ene 2025","2.823,522","2.801,260","2.827,635","2.801,260","0,88%"
"Dic 2024","2.798,815","2.796,009","2.805,085","2.796,009","0,15%"
"Nov 2024","2.794,529","2.763,303","2.795,882","2.763,303","1,18%"
"Oct 2024","2.761,916","2.786,582","2.792,288","2.761,916","-0,80%"
"Sep 2024","2.784,123","2.749,987","2.784,123","2.748,740","1,28%"
"Ago 2024","2.748,931","2.710,227","2.749,341","2.710,227","1,50%"
"Jul 2024","2.708,313","2.674,877","2.708,313","2.674,877","1,28%"
"Jun 2024","2.674,002","2.653,246","2.675,224","2.653,246","0,75%"
"May 2024","2.654,073","2.626,545","2.659,430","2.626,545","1,19%"
"Abr 2024","2.622,965","2.620,174","2.632,470","2.609,300","0,09%"
"Mar 2024","2.620,605","2.593,523","2.620,684","2.593,523","0,97%"
"Feb 2024","2.595,386","2.576,020","2.601,522","2.576,020","0,80%"
"Ene 2024","2.574,898","2.570,468","2.574,898","2.552,588","0,26%"
"Dic 2023","2.568,229","2.521,665","2.569,294","2.521,665","2,01%"
"Nov 2023","2.517,513","2.463,093","2.517,513","2.462,118","2,14%"
"Oct 2023","2.464,808","2.472,751","2.488,608","2.462,506","-0,39%"
"Sep 2023","2.474,342","2.500,385","2.505,932","2.474,342","-1,00%"
"Ago 2023","2.499,421","2.481,717","2.499,421","2.481,717","0,89%"
"Jul 2023","2.477,267","2.475,941","2.480,976","2.463,599","0,12%"
"Jun 2023","2.474,273","2.440,335","2.476,274","2.440,335","1,34%"
"May 2023","2.441,633","2.453,113","2.457,514","2.436,550","-0,44%"
"Abr 2023","2.452,399","2.467,696","2.477,199","2.451,009","-0,30%"
"Mar 2023","2.459,830","2.441,212","2.459,830","2.434,169","0,87%"
"Feb 2023","2.438,619","2.433,200","2.438,619","2.425,075","0,17%"
"Ene 2023","2.434,551","2.411,422","2.434,551","2.411,422","1,10%"
"Dic 2022","2.408,163","2.392,828","2.408,163","2.389,450","0,63%"
"Nov 2022","2.393,194","2.333,272","2.398,543","2.333,272","2,69%"
"Oct 2022","2.330,508","2.314,070","2.331,090","2.304,535","0,58%"
"Sep 2022","2.316,969","2.341,074","2.363,252","2.316,969","-1,11%"
"Ago 2022","2.343,052","2.360,944","2.366,391","2.333,771","-0,69%"
"Jul 2022","2.359,266","2.320,385","2.359,864","2.320,385","1,70%"
"Jun 2022","2.319,721","2.295,817","2.320,219","2.295,817","0,86%"
"May 2022","2.299,969","2.278,319","2.299,969","2.265,441","0,92%"
"Abr 2022","2.278,990","2.215,986","2.279,226","2.215,986","2,97%"
"Mar 2022","2.213,265","2.190,249","2.227,702","2.190,249","1,08%"
"Feb 2022","2.189,700","2.156,792","2.189,700","2.156,792","1,68%"
"Ene 2022","2.153,450","2.154,629","2.167,803","2.149,390","-0,05%"
"Dic 2021","2.154,539","2.143,076","2.154,539","2.130,329","0,45%"
"Nov 2021","2.144,851","2.115,610","2.144,851","2.115,610","1,51%"
"Oct 2021","2.112,993","2.128,700","2.128,700","2.069,369","-0,84%"
"Sep 2021","2.130,831","2.170,629","2.170,629","2.129,771","-1,70%"
"Ago 2021","2.167,710","2.134,854","2.167,710","2.134,854","1,49%"
"Jul 2021","2.135,889","2.163,903","2.163,903","2.133,149","-1,60%"
"Jun 2021","2.170,571","2.191,102","2.194,624","2.169,998","-0,74%"
"May 2021","2.186,756","2.202,895","2.218,708","2.183,960","-1,34%"
"Abr 2021","2.216,441","2.248,843","2.255,708","2.216,441","-1,50%"
"Mar 2021","2.250,130","2.272,476","2.282,059","2.250,130","-0,95%"
"Feb 2021","2.271,783","2.265,009","2.294,767","2.265,009","0,31%"
"Ene 2021","2.264,737","2.232,996","2.264,737","2.232,854","1,44%"
"Dic 2020","2.232,611","2.229,106","2.234,206","2.228,129","0,17%"
"Nov 2020","2.228,756","2.203,657","2.229,436","2.203,657","1,20%"
"Oct 2020","2.202,400","2.184,158","2.202,400","2.182,483","0,71%"
"Sep 2020","2.186,874","2.199,723","2.201,589","2.186,874","-0,32%"
"Ago 2020","2.193,891","2.170,573","2.193,891","2.170,573","1,02%"
"Jul 2020","2.171,721","2.172,667","2.178,395","2.159,766","-0,12%"
"Jun 2020","2.174,295","2.176,256","2.176,256","2.156,427","-0,19%"
"May 2020","2.178,507","2.152,520","2.182,401","2.152,520","1,41%"
"Abr 2020","2.148,112","2.099,621","2.148,112","2.099,621","2,21%"
"Mar 2020","2.101,616","2.134,003","2.158,897","2.099,289","-1,81%"
"Feb 2020","2.140,265","2.160,855","2.163,455","2.140,265","-0,91%"
"Ene 2020","2.159,910","2.139,925","2.160,909","2.139,925","0,99%"
"Dic 2019","2.138,720","2.105,623","2.138,720","2.099,634","1,55%"
"Nov 2019","2.106,013","2.133,028","2.133,028","2.053,297","-1,45%"
"Oct 2019","2.137,101","2.169,743","2.182,499","2.137,101","-1,46%"
"Sep 2019","2.168,707","2.162,409","2.168,829","2.162,409","0,25%"
"Ago 2019","2.163,255","2.142,730","2.163,255","2.142,730","1,00%"
"Jul 2019","2.141,797","2.120,798","2.141,797","2.119,866","1,05%"
"Jun 2019","2.119,457","2.099,200","2.126,364","2.099,200","1,10%"
"May 2019","2.096,473","2.079,363","2.096,473","2.078,963","0,84%"
"Abr 2019","2.078,963","2.062,818","2.080,954","2.062,818","0,75%"
