"Fecha","Último","Apertura","Máximo","Mínimo","% var."
"Mar 2026","1.666,335","1.758,362","1.770,188","1.621,858","-5,24%"
"Feb 2026","1.758,457","1.871,216","1.899,540","1.737,180","-6,03%"
"Ene 2026","1.871,300","1.643,230","1.879,549","1.629,150","13,87%"
"Dic 2025","1.643,317","1.606,572","1.658,412","1.592,692","2,53%"
"Nov 2025","1.602,843","1.509,119","1.603,029","1.499,714","6,20%"
"Oct 2025","1.509,200","1.435,151","1.509,281","1.389,371","4,48%"
"Sep 2025","1.444,438","1.406,835","1.468,728","1.406,835","3,27%"
"Ago 2025","1.398,670","1.298,077","1.398,806","1.297,955","7,57%"
"Jul 2025","1.300,254","1.333,001","1.342,465","1.266,020","-2,82%"
"Jun 2025","1.337,942","1.317,495","1.340,229","1.302,465","1,10%"
"May 2025","1.323,355","1.308,720","1.376,523","1.308,720","1,11%"
"Abr 2025","1.308,780","1.232,941","1.316,557","1.156,070","6,51%"
"Mar 2025","1.228,798","1.172,439","1.240,146","1.158,596","6,12%"
"Feb 2025","1.157,981","1.122,662","1.162,642","1.122,662","5,32%"
"Ene 2025","1.099,464","1.053,070","1.099,464","1.051,538","4,40%"
"Dic 2024","1.053,090","1.028,034","1.058,492","1.027,948","2,37%"
"Nov 2024","1.028,695","1.015,936","1.034,614","1.012,225","-0,65%"
"Oct 2024","1.035,464","1.007,683","1.047,694","980,609","3,50%"
"Sep 2024","1.000,473","997,590","1.000,473","960,690","0,23%"
"Ago 2024","998,138","1.007,877","1.007,877","957,143","-1,56%"
"Jul 2024","1.013,960","989,090","1.030,486","982,467","1,20%"
"Jun 2024","1.001,944","1.016,937","1.018,963","987,374","-2,12%"
"May 2024","1.023,685","1.030,242","1.047,980","1.023,685","1,17%"
"Abr 2024","1.011,853","1.049,771","1.066,933","1.000,146","-3,20%"
"Mar 2024","1.045,320","1.017,074","1.045,320","1.009,869","2,93%"
"Feb 2024","1.015,588","968,620","1.023,770","967,009","3,63%"
"Ene 2024","980,023","1.003,910","1.003,910","953,427","-3,21%"
"Dic 2023","1.012,495","937,284","1.012,495","937,284","8,59%"
"Nov 2023","932,362","888,203","944,922","883,388","2,76%"
"Oct 2023","907,281","946,213","954,744","895,429","-4,41%"
"Sep 2023","949,151","981,299","989,917","937,721","-3,66%"
"Ago 2023","985,231","1.019,840","1.031,229","977,574","-3,21%"
"Jul 2023","1.017,891","931,606","1.031,636","931,606","10,38%"
"Jun 2023","922,173","893,428","934,550","874,958","3,52%"
"May 2023","890,792","881,300","918,198","876,424","1,18%"
"Abr 2023","880,371","867,758","895,310","853,065","1,24%"
"Mar 2023","869,605","877,674","892,099","847,292","-0,39%"
"Feb 2023","873,053","876,483","894,138","862,431","-0,78%"
"Ene 2023","879,887","865,140","879,939","837,566","1,95%"
"Dic 2022","863,047","865,729","871,326","836,778","0,35%"
"Nov 2022","860,026","864,353","896,661","858,135","-0,43%"
"Oct 2022","863,767","841,015","868,978","817,785","1,48%"
"Sep 2022","851,156","917,996","960,957","851,156","-7,05%"
"Ago 2022","915,682","870,506","915,682","854,258","5,36%"
"Jul 2022","869,131","837,054","872,559","826,460","3,79%"
"Jun 2022","837,374","910,055","910,055","825,921","-7,97%"
"May 2022","909,910","816,955","909,966","801,558","10,07%"
"Abr 2022","826,675","862,750","878,618","813,245","-4,23%"
"Mar 2022","863,170","794,833","880,247","789,589","10,29%"
"Feb 2022","782,610","815,592","827,687","779,090","-4,36%"
"Ene 2022","818,311","772,698","829,932","768,597","7,62%"
"Dic 2021","760,376","799,643","799,643","728,768","-7,01%"
"Nov 2021","817,730","740,795","852,053","740,729","9,84%"
"Oct 2021","744,457","813,043","816,619","726,526","-8,09%"
"Sep 2021","810,018","864,575","864,575","804,996","-5,47%"
"Ago 2021","856,850","823,951","856,901","809,451","3,99%"
"Jul 2021","823,951","850,292","855,414","804,914","-3,59%"
"Jun 2021","854,647","847,814","877,691","816,593","3,31%"
"May 2021","827,273","882,630","930,859","802,388","-8,77%"
"Abr 2021","906,779","955,396","991,217","906,779","-5,13%"
"Mar 2021","955,809","882,456","955,809","882,403","8,20%"
"Feb 2021","883,396","825,989","894,221","825,940","4,29%"
"Ene 2021","847,073","803,455","892,973","803,431","5,24%"
"Dic 2020","804,916","784,227","805,734","770,356","2,64%"
"Nov 2020","784,236","678,424","792,610","673,451","14,35%"
"Oct 2020","685,825","690,076","726,941","685,825","-1,61%"
"Sep 2020","697,016","745,288","745,288","684,870","-8,64%"
"Ago 2020","762,948","761,065","776,825","758,609","-0,56%"
"Jul 2020","767,234","768,672","822,058","752,081","-1,05%"
"Jun 2020","775,408","705,025","786,726","704,982","10,09%"
"May 2020","704,372","758,127","762,225","696,742","-3,40%"
"Abr 2020","729,147","630,038","748,198","630,038","17,98%"
"Mar 2020","618,031","791,590","832,085","559,448","-24,39%"
"Feb 2020","817,360","877,605","901,859","817,360","-7,27%"
"Ene 2020","881,412","904,156","956,893","881,412","-1,57%"
"Dic 2019","895,506","871,096","935,241","861,006","3,19%"
"Nov 2019","867,826","934,758","939,135","849,718","-10,09%"
"Oct 2019","965,267","1.018,881","1.035,173","965,267","-3,07%"
"Sep 2019","995,791","948,052","997,206","938,908","7,02%"
"Ago 2019","930,462","990,812","990,812","919,523","-6,04%"
"Jul 2019","990,279","1.006,793","1.008,844","984,663","-1,60%"
"Jun 2019","1.006,399","964,374","1.008,848","964,374","4,84%"
"May 2019","959,939","1.048,727","1.048,727","959,939","-8,31%"
"Abr 2019","1.046,943","1.069,578","1.075,084","1.046,943","-1,30%"
"Mar 2019","1.060,680","1.107,266","1.107,266","1.056,161","-5,69%"
"Feb 2019","1.124,728","1.118,674","1.130,514","1.105,239","0,27%"
"Ene 2019","1.121,697","1.066,739","1.133,812","1.066,611","5,73%"
"Dic 2018","1.060,873","1.074,460","1.080,044","1.052,333","-0,65%"
"Nov 2018","1.067,827","1.051,049","1.094,400","1.051,049","1,60%"
"Oct 2018","1.051,049","1.109,222","1.120,896","1.051,049","-5,78%"
"Sep 2018","1.115,520","1.095,877","1.136,452","1.073,901","1,79%"
"Ago 2018","1.095,877","1.118,736","1.130,016","1.091,558","-2,04%"
"Jul 2018","1.118,736","1.104,051","1.133,823","1.093,954","1,89%"
"Jun 2018","1.098,030","1.148,739","1.156,876","1.098,030","-4,41%"
"May 2018","1.148,739","1.204,204","1.211,246","1.148,739","-4,81%"
"Abr 2018","1.206,758","1.173,826","1.208,177","1.173,723","3,84%"
"Mar 2018","1.162,114","1.200,345","1.200,851","1.156,360","-3,71%"
"Feb 2018","1.206,894","1.241,004","1.247,197","1.174,282","-3,31%"
"Ene 2018","1.248,153","1.171,255","1.248,153","1.166,460","6,57%"
"Oct 2017","1.171,255","1.148,691","1.171,255","1.148,691","1,96%"
"Ago 2017","1.148,691","1.135,135","1.148,691","1.128,068","0,92%"
"Jul 2017","1.138,251","1.059,767","1.138,318","1.059,767","6,59%"
