"Fecha","Último","Apertura","Máximo","Mínimo","% var."
"Mar 2026","2.221,757","2.219,656","2.224,989","2.216,188","0,11%"
"Feb 2026","2.219,260","2.206,163","2.219,260","2.206,123","0,59%"
"Ene 2026","2.206,142","2.187,519","2.206,142","2.186,876","0,87%"
"Dic 2025","2.187,197","2.175,652","2.187,197","2.175,480","0,52%"
"Nov 2025","2.175,856","2.164,791","2.175,856","2.164,058","0,53%"
"Oct 2025","2.164,422","2.156,256","2.165,996","2.155,196","0,42%"
"Sep 2025","2.155,279","2.141,238","2.155,279","2.140,003","0,65%"
"Ago 2025","2.141,327","2.130,820","2.145,344","2.130,612","0,73%"
"Jul 2025","2.125,852","2.113,079","2.125,852","2.106,785","0,56%"
"Jun 2025","2.113,930","2.104,373","2.114,407","2.104,260","0,45%"
"May 2025","2.104,445","2.108,759","2.108,759","2.096,756","-0,19%"
"Abr 2025","2.108,359","2.098,333","2.113,677","2.097,193","0,60%"
"Mar 2025","2.095,692","2.075,388","2.095,692","2.075,388","0,99%"
"Feb 2025","2.075,163","2.054,534","2.075,163","2.054,534","1,02%"
"Ene 2025","2.054,191","2.036,868","2.057,528","2.036,868","0,99%"
"Dic 2024","2.033,994","2.037,717","2.046,161","2.033,435","-0,07%"
"Nov 2024","2.035,333","2.012,199","2.039,570","2.012,199","1,21%"
"Oct 2024","2.011,034","2.037,322","2.042,343","2.011,034","-0,99%"
"Sep 2024","2.031,201","1.989,739","2.031,201","1.989,290","2,19%"
"Ago 2024","1.987,649","1.946,057","1.988,061","1.946,057","2,23%"
"Jul 2024","1.944,199","1.914,939","1.944,199","1.914,939","1,60%"
"Jun 2024","1.913,589","1.896,085","1.917,395","1.896,085","0,94%"
"May 2024","1.895,719","1.867,863","1.902,866","1.867,863","1,69%"
"Abr 2024","1.864,247","1.867,967","1.878,502","1.849,792","-0,24%"
"Mar 2024","1.868,755","1.856,369","1.880,728","1.856,369","0,58%"
"Feb 2024","1.858,043","1.846,646","1.866,677","1.846,646","0,66%"
"Ene 2024","1.845,944","1.845,245","1.846,902","1.830,285","0,15%"
"Dic 2023","1.843,220","1.806,462","1.843,352","1.806,462","2,27%"
"Nov 2023","1.802,338","1.757,051","1.802,338","1.756,705","2,52%"
"Oct 2023","1.758,082","1.779,161","1.790,726","1.756,393","-1,30%"
"Sep 2023","1.781,326","1.814,958","1.818,919","1.781,326","-1,74%"
"Ago 2023","1.812,871","1.807,125","1.816,731","1.799,098","0,48%"
"Jul 2023","1.804,241","1.810,719","1.814,228","1.799,150","-0,35%"
"Jun 2023","1.810,631","1.781,745","1.812,267","1.781,745","1,56%"
"May 2023","1.782,836","1.796,625","1.799,507","1.779,590","-0,69%"
"Abr 2023","1.795,189","1.805,561","1.813,190","1.792,942","-0,27%"
"Mar 2023","1.799,990","1.778,240","1.799,990","1.770,636","1,35%"
"Feb 2023","1.776,024","1.785,801","1.785,801","1.768,940","-0,65%"
"Ene 2023","1.787,729","1.775,852","1.787,907","1.774,379","0,79%"
"Dic 2022","1.773,661","1.760,857","1.773,661","1.758,271","0,80%"
"Nov 2022","1.759,664","1.692,142","1.762,463","1.692,142","4,06%"
"Oct 2022","1.690,940","1.674,187","1.690,940","1.664,146","0,88%"
"Sep 2022","1.676,209","1.691,473","1.719,631","1.676,209","-0,96%"
"Ago 2022","1.692,495","1.707,970","1.713,593","1.679,840","-0,83%"
"Jul 2022","1.706,589","1.676,883","1.706,833","1.676,883","1,81%"
"Jun 2022","1.676,297","1.655,197","1.677,753","1.654,587","1,05%"
"May 2022","1.658,820","1.635,608","1.658,820","1.625,843","1,39%"
"Abr 2022","1.636,022","1.584,641","1.636,022","1.584,641","3,45%"
"Mar 2022","1.581,432","1.568,855","1.601,779","1.568,855","0,86%"
