"Fecha","Último","Apertura","Máximo","Mínimo","% var."
"Mar 2026","2.126,869","2.122,771","2.131,023","2.120,888","0,21%"
"Feb 2026","2.122,375","2.108,785","2.122,375","2.108,785","0,64%"
"Ene 2026","2.108,788","2.097,642","2.108,791","2.097,016","0,55%"
"Dic 2025","2.097,329","2.090,178","2.097,329","2.089,524","0,30%"
"Nov 2025","2.091,031","2.084,788","2.092,386","2.084,061","0,32%"
"Oct 2025","2.084,424","2.077,644","2.085,152","2.076,633","0,35%"
"Sep 2025","2.077,178","2.065,812","2.077,178","2.064,295","0,56%"
"Ago 2025","2.065,619","2.050,937","2.066,898","2.049,788","0,77%"
"Jul 2025","2.049,788","2.036,652","2.049,788","2.033,609","0,64%"
"Jun 2025","2.036,816","2.029,666","2.037,979","2.028,801","0,41%"
"May 2025","2.028,557","2.028,062","2.030,095","2.025,560","0,05%"
"Abr 2025","2.027,638","2.010,099","2.027,638","2.010,099","0,98%"
"Mar 2025","2.007,954","1.994,938","2.007,954","1.994,938","0,73%"
"Feb 2025","1.993,463","1.975,533","1.993,463","1.975,533","0,96%"
"Ene 2025","1.974,567","1.958,354","1.977,291","1.958,354","0,92%"
"Dic 2024","1.956,623","1.954,020","1.960,620","1.954,020","0,19%"
"Nov 2024","1.952,965","1.930,530","1.953,868","1.930,530","1,21%"
"Oct 2024","1.929,540","1.946,092","1.950,183","1.929,540","-0,76%"
"Sep 2024","1.944,354","1.919,947","1.944,354","1.919,139","1,31%"
"Ago 2024","1.919,189","1.891,547","1.919,454","1.891,547","1,53%"
"Jul 2024","1.890,190","1.866,222","1.890,190","1.866,222","1,32%"
"Jun 2024","1.865,591","1.850,543","1.866,402","1.850,543","0,78%"
"May 2024","1.851,099","1.831,299","1.854,795","1.831,299","1,22%"
"Abr 2024","1.828,783","1.826,218","1.834,989","1.819,057","0,13%"
"Mar 2024","1.826,498","1.807,070","1.826,498","1.807,070","1,00%"
"Feb 2024","1.808,348","1.794,305","1.812,485","1.794,305","0,83%"
"Ene 2024","1.793,504","1.789,812","1.793,504","1.777,556","0,29%"
"Dic 2023","1.788,233","1.755,253","1.788,954","1.755,253","2,05%"
"Nov 2023","1.752,344","1.713,919","1.752,344","1.713,259","2,17%"
"Oct 2023","1.715,093","1.720,055","1.731,388","1.713,435","-0,35%"
"Sep 2023","1.721,142","1.738,705","1.742,715","1.721,142","-0,97%"
"Ago 2023","1.738,016","1.725,099","1.738,016","1.725,099","0,93%"
"Jul 2023","1.721,988","1.720,537","1.724,112","1.712,205","0,15%"
"Jun 2023","1.719,359","1.695,237","1.720,731","1.695,237","1,37%"
"May 2023","1.696,120","1.703,516","1.706,665","1.692,533","-0,40%"
"Abr 2023","1.703,001","1.713,098","1.719,884","1.702,018","-0,27%"
"Mar 2023","1.707,619","1.694,137","1.707,619","1.689,434","0,90%"
"Feb 2023","1.692,319","1.688,061","1.692,319","1.682,572","0,20%"
"Ene 2023","1.688,979","1.672,384","1.688,979","1.672,384","1,13%"
"Dic 2022","1.670,104","1.658,914","1.670,104","1.656,590","0,66%"
"Nov 2022","1.659,149","1.617,063","1.662,746","1.617,063","2,73%"
"Oct 2022","1.615,111","1.603,216","1.615,497","1.596,736","0,62%"
"Sep 2022","1.605,206","1.621,393","1.636,861","1.605,206","-1,08%"
"Ago 2022","1.622,745","1.634,582","1.638,425","1.616,194","-0,65%"
"Jul 2022","1.633,402","1.605,972","1.633,781","1.605,972","1,74%"
"Jun 2022","1.605,495","1.588,445","1.605,823","1.588,445","0,89%"
"May 2022","1.591,300","1.575,801","1.591,300","1.567,066","0,95%"
"Abr 2022","1.576,248","1.532,185","1.576,359","1.532,185","3,00%"
"Mar 2022","1.530,287","1.513,842","1.539,948","1.513,842","1,11%"
"Feb 2022","1.513,446","1.490,261","1.513,446","1.490,261","1,71%"
"Ene 2022","1.487,935","1.488,293","1.497,836","1.484,788","-0,02%"
"Dic 2021","1.488,214","1.479,810","1.488,214","1.471,347","0,49%"
"Nov 2021","1.481,019","1.460,348","1.481,019","1.460,348","1,54%"
"Oct 2021","1.458,525","1.468,901","1.468,901","1.428,179","-0,80%"
"Sep 2021","1.470,355","1.497,341","1.497,341","1.469,334","-1,67%"
"Ago 2021","1.495,311","1.472,146","1.495,311","1.472,146","1,53%"
"Jul 2021","1.472,844","1.491,688","1.491,688","1.470,616","-1,57%"
"Jun 2021","1.496,268","1.509,907","1.512,417","1.495,823","-0,71%"
"May 2021","1.506,896","1.517,569","1.528,613","1.504,953","-1,31%"
"Abr 2021","1.526,867","1.548,696","1.553,543","1.526,867","-1,46%"
"Mar 2021","1.549,565","1.564,422","1.571,105","1.549,565","-0,92%"
"Feb 2021","1.563,928","1.558,803","1.579,577","1.558,803","0,34%"
"Ene 2021","1.558,599","1.536,317","1.558,599","1.536,236","1,47%"
"Dic 2020","1.535,985","1.533,037","1.536,880","1.532,566","0,21%"
"Nov 2020","1.532,780","1.515,071","1.533,214","1.515,071","1,23%"
"Oct 2020","1.514,190","1.501,157","1.514,190","1.500,022","0,74%"
"Sep 2020","1.503,007","1.511,325","1.512,748","1.503,007","-0,28%"
"Ago 2020","1.507,253","1.490,825","1.507,253","1.490,825","1,05%"
"Jul 2020","1.491,598","1.491,725","1.495,838","1.483,240","-0,08%"
"Jun 2020","1.492,811","1.493,716","1.493,743","1.480,268","-0,16%"
"May 2020","1.495,244","1.476,972","1.497,868","1.476,972","1,45%"
"Abr 2020","1.473,883","1.440,171","1.473,883","1.440,171","2,24%"
"Mar 2020","1.441,524","1.463,259","1.480,490","1.439,849","-1,77%"
"Feb 2020","1.467,536","1.481,201","1.483,146","1.467,536","-0,88%"
"Ene 2020","1.480,537","1.466,357","1.481,206","1.466,357","1,03%"
"Dic 2019","1.465,515","1.442,362","1.465,515","1.438,354","1,59%"
"Nov 2019","1.442,613","1.460,655","1.460,697","1.406,287","-1,42%"
"Oct 2019","1.463,427","1.485,259","1.494,203","1.463,427","-1,42%"
"Sep 2019","1.484,533","1.479,785","1.484,600","1.479,785","0,28%"
"Ago 2019","1.480,347","1.465,820","1.480,347","1.465,820","1,04%"
"Jul 2019","1.465,165","1.450,307","1.465,165","1.449,718","1,09%"
"Jun 2019","1.449,374","1.435,066","1.453,843","1.435,066","1,13%"
"May 2019","1.433,186","1.420,990","1.433,186","1.420,764","0,87%"
"Abr 2019","1.420,764","1.409,252","1.422,047","1.409,252","0,79%"
"Mar 2019","1.409,646","1.397,684","1.409,646","1.397,240","0,83%"
"Feb 2019","1.398,054","1.394,785","1.398,348","1.394,785","0,31%"
"Ene 2019","1.393,734","1.385,522","1.393,734","1.385,522","0,62%"
"Dic 2018","1.385,139","1.381,633","1.385,139","1.381,633","0,31%"
"Nov 2018","1.380,883","1.377,703","1.381,282","1.377,703","0,23%"
"Oct 2018","1.377,703","1.382,300","1.384,382","1.376,056","-0,27%"
"Sep 2018","1.381,486","1.379,751","1.384,086","1.379,751","0,13%"
"Ago 2018","1.379,751","1.374,963","1.384,623","1.374,963","0,35%"
"Jul 2018","1.374,963","1.368,716","1.374,963","1.368,716","0,43%"
"Jun 2018","1.369,012","1.362,194","1.369,460","1.362,194","0,50%"
"May 2018","1.362,194","1.352,359","1.362,194","1.350,922","0,68%"
"Abr 2018","1.353,048","1.351,687","1.353,797","1.351,687","0,09%"
"Mar 2018","1.351,838","1.348,271","1.351,838","1.346,950","0,23%"
"Feb 2018","1.348,735","1.340,950","1.348,979","1.340,386","0,59%"
"Ene 2018","1.340,772","1.335,135","1.340,942","1.335,050","0,46%"
"Dic 2017","1.334,600","1.326,417","1.334,600","1.325,443","0,64%"
"Nov 2017","1.326,156","1.322,743","1.330,780","1.322,743","0,28%"
"Oct 2017","1.322,435","1.329,258","1.329,502","1.317,506","-0,59%"
"Sep 2017","1.330,265","1.333,780","1.335,147","1.330,265","-0,24%"
"Ago 2017","1.333,448","1.328,221","1.333,448","1.327,657","0,44%"
"Jul 2017","1.327,564","1.329,025","1.329,511","1.324,873","-0,18%"
