"Fecha","Último","Apertura","Máximo","Mínimo","% var."
"Mar 2026","1,825","1,841","1,842","1,825","-0,90%"
"Feb 2026","1,841","1,840","1,842","1,826","0,08%"
"Ene 2026","1,840","1,821","1,839","1,821","1,06%"
"Dic 2025","1,821","1,806","1,821","1,804","0,91%"
"Nov 2025","1,804","1,808","1,808","1,801","-0,22%"
"Oct 2025","1,808","1,798","1,808","1,781","0,56%"
"Sep 2025","1,798","1,784","1,809","1,780","0,83%"
"Ago 2025","1,783","1,760","1,783","1,760","1,40%"
"Jul 2025","1,758","1,740","1,758","1,740","1,25%"
"Jun 2025","1,737","1,712","1,737","1,710","1,57%"
"May 2025","1,710","1,699","1,710","1,687","0,65%"
"Abr 2025","1,699","1,718","1,719","1,660","-1,16%"
"Mar 2025","1,719","1,722","1,725","1,712","0,00%"
"Feb 2025","1,719","1,696","1,719","1,696","1,43%"
"Ene 2025","1,695","1,680","1,695","1,675","0,95%"
"Dic 2024","1,679","1,687","1,695","1,675","-0,44%"
"Nov 2024","1,686","1,677","1,686","1,673","0,52%"
"Oct 2024","1,678","1,692","1,696","1,677","-0,74%"
"Sep 2024","1,690","1,671","1,690","1,669","1,07%"
"Ago 2024","1,672","1,639","1,672","1,639","2,16%"
"Jul 2024","1,637","1,618","1,637","1,610","1,32%"
"Jun 2024","1,615","1,599","1,618","1,599","0,70%"
"May 2024","1,604","1,582","1,609","1,582","1,49%"
"Abr 2024","1,581","1,599","1,600","1,580","-1,09%"
"Mar 2024","1,598","1,574","1,598","1,574","1,53%"
"Feb 2024","1,574","1,551","1,574","1,551","1,61%"
"Ene 2024","1,549","1,555","1,557","1,544","-0,17%"
"Dic 2023","1,552","1,494","1,552","1,494","4,09%"
"Nov 2023","1,491","1,438","1,491","1,437","3,75%"
"Oct 2023","1,437","1,468","1,468","1,434","-2,30%"
"Sep 2023","1,471","1,487","1,492","1,471","-0,89%"
"Ago 2023","1,484","1,493","1,498","1,477","-0,39%"
"Jul 2023","1,490","1,467","1,492","1,466","1,47%"
"Jun 2023","1,468","1,435","1,468","1,435","2,33%"
"May 2023","1,435","1,439","1,445","1,435","-0,49%"
"Abr 2023","1,442","1,428","1,452","1,428","1,25%"
"Mar 2023","1,424","1,450","1,450","1,424","-2,00%"
"Feb 2023","1,453","1,477","1,488","1,451","-1,60%"
"Ene 2023","1,477","1,435","1,477","1,435","2,93%"
"Dic 2022","1,435","1,397","1,437","1,397","2,85%"
"Nov 2022","1,395","1,335","1,395","1,335","4,57%"
"Oct 2022","1,334","1,357","1,361","1,323","-1,67%"
"Sep 2022","1,357","1,414","1,414","1,357","-4,41%"
"Ago 2022","1,419","1,385","1,428","1,385","3,14%"
"Jul 2022","1,376","1,399","1,399","1,352","-2,17%"
"Jun 2022","1,407","1,455","1,458","1,407","-2,79%"
"May 2022","1,447","1,478","1,478","1,439","-2,33%"
"Abr 2022","1,481","1,505","1,515","1,481","-1,20%"
"Mar 2022","1,499","1,506","1,512","1,485","-0,95%"
"Feb 2022","1,514","1,543","1,543","1,514","-2,08%"
"Ene 2022","1,546","1,566","1,566","1,546","-1,20%"
"Dic 2021","1,565","1,548","1,566","1,547","0,88%"
"Nov 2021","1,551","1,561","1,568","1,551","-0,74%"
"Oct 2021","1,563","1,576","1,576","1,558","-0,80%"
"Sep 2021","1,575","1,582","1,591","1,575","-0,36%"
"Ago 2021","1,581","1,570","1,581","1,570","0,57%"
"Jul 2021","1,572","1,566","1,574","1,566","0,53%"
"Jun 2021","1,564","1,556","1,564","1,554","0,55%"
"May 2021","1,555","1,554","1,557","1,551","0,19%"
"Abr 2021","1,552","1,558","1,568","1,550","-0,42%"
"Mar 2021","1,559","1,580","1,580","1,554","-1,07%"
"Feb 2021","1,576","1,594","1,602","1,576","-1,12%"
"Ene 2021","1,593","1,597","1,600","1,593","-0,16%"
"Dic 2020","1,596","1,565","1,596","1,565","2,07%"
"Nov 2020","1,564","1,519","1,564","1,519","2,71%"
"Oct 2020","1,522","1,500","1,529","1,500","1,51%"
"Sep 2020","1,500","1,499","1,512","1,498","0,15%"
"Ago 2020","1,497","1,475","1,498","1,475","1,63%"
"Jul 2020","1,474","1,446","1,474","1,443","1,99%"
"Jun 2020","1,445","1,389","1,446","1,389","4,17%"
"May 2020","1,387","1,324","1,387","1,324","5,29%"
"Abr 2020","1,317","1,270","1,324","1,267","3,82%"
