"Fecha","Último","Apertura","Máximo","Mínimo","% var."
"Mar 2026","1,765","1,781","1,782","1,765","-0,89%"
"Feb 2026","1,781","1,780","1,782","1,766","0,09%"
"Ene 2026","1,780","1,761","1,780","1,761","1,08%"
"Dic 2025","1,761","1,746","1,761","1,745","0,93%"
"Nov 2025","1,744","1,748","1,748","1,742","-0,22%"
"Oct 2025","1,748","1,738","1,748","1,722","0,58%"
"Sep 2025","1,738","1,724","1,749","1,721","0,85%"
"Ago 2025","1,724","1,701","1,724","1,701","1,42%"
"Jul 2025","1,699","1,681","1,699","1,681","1,22%"
"Jun 2025","1,679","1,654","1,679","1,652","1,62%"
"May 2025","1,652","1,641","1,652","1,630","0,66%"
"Abr 2025","1,641","1,660","1,661","1,604","-1,16%"
"Mar 2025","1,661","1,663","1,666","1,654","0,00%"
"Feb 2025","1,661","1,637","1,661","1,637","1,45%"
"Ene 2025","1,637","1,622","1,637","1,617","0,96%"
"Dic 2024","1,621","1,629","1,637","1,617","-0,42%"
"Nov 2024","1,628","1,619","1,628","1,615","0,54%"
"Oct 2024","1,620","1,633","1,637","1,619","-0,73%"
"Sep 2024","1,632","1,613","1,632","1,611","1,12%"
"Ago 2024","1,613","1,582","1,614","1,582","2,13%"
"Jul 2024","1,580","1,561","1,580","1,554","1,34%"
"Jun 2024","1,559","1,543","1,561","1,543","0,67%"
"May 2024","1,548","1,526","1,552","1,526","1,55%"
"Abr 2024","1,525","1,542","1,543","1,524","-1,07%"
"Mar 2024","1,541","1,518","1,541","1,518","1,54%"
"Feb 2024","1,518","1,495","1,518","1,495","1,63%"
"Ene 2024","1,494","1,499","1,501","1,489","-0,16%"
"Dic 2023","1,496","1,440","1,496","1,440","4,10%"
"Nov 2023","1,437","1,386","1,437","1,385","3,76%"
"Oct 2023","1,385","1,415","1,415","1,382","-2,29%"
"Sep 2023","1,418","1,433","1,438","1,418","-0,87%"
"Ago 2023","1,430","1,438","1,443","1,423","-0,42%"
