"Fecha","Último","Apertura","Máximo","Mínimo","% var."
"Mar 2026","2.218,870","2.338,566","2.350,332","2.172,400","-5,12%"
"Feb 2026","2.338,683","2.477,355","2.520,640","2.306,365","-5,60%"
"Ene 2026","2.477,472","2.165,348","2.496,122","2.151,323","14,41%"
"Dic 2025","2.165,457","2.082,998","2.165,565","2.075,360","4,13%"
"Nov 2025","2.079,605","1.941,859","2.079,806","1.933,360","7,09%"
"Oct 2025","1.941,958","1.828,797","1.942,060","1.781,605","5,68%"
"Sep 2025","1.837,669","1.778,906","1.867,358","1.767,148","3,99%"
"Ago 2025","1.767,148","1.623,301","1.768,281","1.622,416","8,92%"
"Jul 2025","1.622,416","1.658,542","1.671,375","1.575,854","-2,53%"
"Jun 2025","1.664,589","1.634,523","1.671,088","1.622,847","1,14%"
"May 2025","1.645,804","1.619,117","1.705,410","1.619,117","1,64%"
"Abr 2025","1.619,204","1.516,044","1.623,795","1.421,988","7,05%"
"Mar 2025","1.512,636","1.435,397","1.525,213","1.423,922","6,61%"
"Feb 2025","1.418,791","1.366,321","1.420,064","1.366,321","6,08%"
"Ene 2025","1.337,437","1.277,712","1.337,437","1.272,535","4,70%"
"Dic 2024","1.277,390","1.244,802","1.279,278","1.244,683","2,50%"
"Nov 2024","1.246,178","1.223,672","1.249,018","1.223,438","-0,04%"
"Oct 2024","1.246,624","1.205,233","1.260,223","1.172,799","4,22%"
"Sep 2024","1.196,182","1.195,774","1.198,928","1.153,390","-0,26%"
"Ago 2024","1.199,309","1.214,765","1.214,765","1.151,878","-1,82%"
"Jul 2024","1.221,572","1.189,196","1.240,523","1.181,910","1,52%"
"Jun 2024","1.203,321","1.219,754","1.222,024","1.187,434","-2,12%"
"May 2024","1.229,381","1.226,214","1.249,066","1.222,768","1,70%"
"Abr 2024","1.208,834","1.248,047","1.272,691","1.195,840","-2,72%"
"Mar 2024","1.242,603","1.201,920","1.242,603","1.200,462","3,45%"
"Feb 2024","1.201,192","1.155,717","1.213,848","1.148,361","2,90%"
"Ene 2024","1.167,308","1.196,337","1.197,020","1.137,817","-3,75%"
"Dic 2023","1.212,779","1.105,230","1.212,779","1.105,230","10,37%"
"Nov 2023","1.098,817","1.048,026","1.113,365","1.042,759","2,79%"
"Oct 2023","1.068,992","1.115,407","1.123,429","1.054,659","-4,63%"
"Sep 2023","1.120,947","1.157,165","1.175,474","1.107,816","-3,54%"
"Ago 2023","1.162,101","1.183,374","1.203,714","1.151,016","-1,72%"
"Jul 2023","1.182,407","1.089,604","1.198,326","1.089,604","9,60%"
"Jun 2023","1.078,820","1.044,025","1.089,764","1.020,682","3,73%"
"May 2023","1.040,036","1.024,183","1.059,236","1.018,520","1,75%"
"Abr 2023","1.022,159","1.008,813","1.043,267","987,225","0,93%"
"Mar 2023","1.012,691","1.020,611","1.038,205","987,672","-0,24%"
"Feb 2023","1.015,144","1.018,611","1.040,551","1.002,188","-0,79%"
"Ene 2023","1.023,218","1.006,244","1.023,280","974,590","1,85%"
"Dic 2022","1.004,620","1.002,617","1.008,020","968,125","0,85%"
"Nov 2022","996,118","988,338","1.026,502","984,640","0,88%"
"Oct 2022","987,389","957,438","991,484","933,804","1,86%"
"Sep 2022","969,385","1.038,336","1.089,301","969,385","-6,48%"
"Ago 2022","1.036,552","980,271","1.036,552","962,382","5,86%"
"Jul 2022","979,182","941,245","982,442","929,481","3,95%"
"Jun 2022","941,982","1.021,539","1.021,539","930,008","-7,62%"
"May 2022","1.019,686","913,791","1.019,749","896,837","10,38%"
"Abr 2022","923,779","965,566","984,195","908,364","-4,45%"
"Mar 2022","966,757","888,498","987,638","883,961","10,53%"
"Feb 2022","874,650","913,590","928,323","871,904","-4,53%"
"Ene 2022","916,134","858,843","928,992","854,234","8,41%"
"Dic 2021","845,101","894,364","894,364","811,544","-7,52%"
"Nov 2021","913,772","825,632","949,985","825,557","10,27%"
"Oct 2021","828,641","907,399","911,286","807,724","-8,33%"
"Sep 2021","903,942","966,888","966,888","898,214","-5,59%"
"Ago 2021","957,467","920,056","957,525","901,503","5,65%"
"Jul 2021","906,260","949,683","956,177","900,441","-5,23%"
"Jun 2021","956,243","949,444","983,779","913,889","3,50%"
"May 2021","923,900","988,957","1.042,427","896,036","-9,36%"
"Abr 2021","1.019,302","1.066,800","1.111,648","1.019,302","-4,46%"
"Mar 2021","1.066,913","980,903","1.066,913","980,844","8,73%"
"Feb 2021","981,207","917,459","993,116","917,405","4,53%"
"Ene 2021","938,705","889,390","984,817","889,363","5,41%"
"Dic 2020","890,486","870,249","890,486","856,467","2,44%"
"Nov 2020","869,307","753,156","876,837","745,829","14,08%"
"Oct 2020","762,000","773,666","801,800","762,000","-2,51%"
"Sep 2020","781,593","833,211","833,211","768,783","-8,19%"
"Ago 2020","851,275","842,581","863,180","841,949","0,07%"
"Jul 2020","850,654","852,540","910,873","833,923","-1,02%"
"Jun 2020","859,385","780,420","872,774","780,373","10,44%"
"May 2020","778,121","838,511","847,556","769,878","-3,78%"
"Abr 2020","808,693","690,109","830,297","690,109","19,42%"
"Mar 2020","677,156","879,507","924,981","613,737","-25,44%"
"Feb 2020","908,143","980,531","1.005,505","908,143","-7,91%"
"Ene 2020","986,101","1.009,802","1.071,243","985,647","-1,58%"
"Dic 2019","1.001,943","970,993","1.045,911","960,118","3,40%"
"Nov 2019","968,976","1.076,092","1.076,092","948,621","-13,00%"
"Oct 2019","1.113,745","1.179,254","1.202,420","1.113,745","-3,43%"
"Sep 2019","1.153,249","1.092,647","1.155,839","1.082,655","7,42%"
"Ago 2019","1.073,613","1.157,821","1.157,821","1.062,071","-7,24%"
"Jul 2019","1.157,439","1.174,596","1.179,316","1.152,182","-1,51%"
"Jun 2019","1.175,206","1.121,418","1.175,206","1.121,418","5,28%"
"May 2019","1.116,298","1.227,709","1.228,441","1.116,298","-9,02%"
"Abr 2019","1.226,906","1.242,761","1.249,278","1.225,449","-0,39%"
"Mar 2019","1.231,736","1.283,033","1.283,033","1.226,354","-5,59%"
"Feb 2019","1.304,703","1.304,634","1.318,414","1.280,760","-0,24%"
"Ene 2019","1.307,889","1.248,632","1.327,349","1.246,905","5,44%"
"Dic 2018","1.240,363","1.247,979","1.258,453","1.229,290","-0,06%"
"Nov 2018","1.241,071","1.219,800","1.265,314","1.219,800","1,74%"
"Oct 2018","1.219,800","1.283,099","1.299,624","1.219,800","-5,33%"
"Sep 2018","1.288,516","1.258,478","1.311,051","1.233,801","2,39%"
"Ago 2018","1.258,478","1.277,995","1.289,724","1.254,588","-1,53%"
"Jul 2018","1.277,995","1.256,883","1.296,669","1.243,662","2,07%"
"Jun 2018","1.252,090","1.324,210","1.326,632","1.252,090","-5,45%"
"May 2018","1.324,210","1.384,240","1.395,162","1.324,210","-4,65%"
