Fecha,Último,Apertura,Máximo,Mínimo,% var.
24.03.2026,"3.113,819","3.123,989","3.123,989","3.113,819","0,00%"
23.03.2026,"3.113,819","3.113,819","3.121,725","3.113,819","-0,25%"
22.03.2026,"3.121,669","3.121,669","3.121,725","3.121,669","-0,00%"
21.03.2026,"3.121,691","3.121,691","3.121,691","3.121,691","-0,00%"
20.03.2026,"3.121,725","3.121,725","3.121,725","3.121,725","-0,51%"
19.03.2026,"3.137,874","3.137,874","3.142,217","3.137,874","-0,14%"
18.03.2026,"3.142,217","3.142,217","3.142,217","3.141,985","0,01%"
17.03.2026,"3.141,985","3.141,985","3.141,985","3.135,056","0,22%"
16.03.2026,"3.135,056","3.135,056","3.144,484","3.135,056","-0,09%"
15.03.2026,"3.137,744","3.137,744","3.144,484","3.137,744","-0,00%"
14.03.2026,"3.137,773","3.137,773","3.137,773","3.137,773","-0,00%"
13.03.2026,"3.137,784","3.137,784","3.137,784","3.137,784","-0,21%"
12.03.2026,"3.144,484","3.144,484","3.144,484","3.137,891","0,21%"
11.03.2026,"3.137,891","3.137,891","3.137,891","3.128,288","0,31%"
10.03.2026,"3.128,288","3.128,288","3.150,476","3.128,288","-0,70%"
09.03.2026,"3.150,476","3.150,476","3.156,293","3.150,476","-0,18%"
08.03.2026,"3.156,293","3.156,293","3.156,293","3.156,149","0,00%"
07.03.2026,"3.156,218","3.156,218","3.156,218","3.156,218","0,00%"
06.03.2026,"3.156,149","3.156,149","3.156,149","3.156,149","0,14%"
05.03.2026,"3.151,841","3.151,841","3.151,841","3.146,702","0,16%"
04.03.2026,"3.146,702","3.146,702","3.170,287","3.146,702","-0,74%"
03.03.2026,"3.170,287","3.170,287","3.185,000","3.170,287","-0,46%"
02.03.2026,"3.185,000","3.185,000","3.185,000","3.168,409","0,07%"
01.03.2026,"3.182,737","3.182,737","3.182,737","3.168,409","0,00%"
28.02.2026,"3.182,673","3.182,673","3.182,673","3.182,673","0,00%"
27.02.2026,"3.182,577","3.182,577","3.182,577","3.182,577","0,45%"
26.02.2026,"3.168,409","3.168,409","3.168,409","3.162,924","0,17%"
25.02.2026,"3.162,924","3.162,924","3.162,924","3.162,924","0,07%"
24.02.2026,"3.160,774","3.160,774","3.160,774","3.157,942","0,09%"
23.02.2026,"3.157,942","3.157,942","3.157,942","3.152,022","0,18%"
22.02.2026,"3.152,170","3.152,170","3.152,170","3.152,022","0,00%"
21.02.2026,"3.152,096","3.152,096","3.152,096","3.152,096","0,00%"
20.02.2026,"3.152,022","3.152,022","3.152,022","3.152,022","0,27%"
19.02.2026,"3.143,420","3.143,420","3.143,420","3.134,937","0,27%"
18.02.2026,"3.134,937","3.134,937","3.135,809","3.134,937","-0,03%"
17.02.2026,"3.135,809","3.135,809","3.135,809","3.135,521","0,01%"
16.02.2026,"3.135,521","3.135,521","3.135,521","3.134,272","0,04%"
15.02.2026,"3.134,405","3.134,405","3.134,405","3.134,272","0,00%"
14.02.2026,"3.134,339","3.134,339","3.134,339","3.134,339","0,00%"
13.02.2026,"3.134,272","3.134,272","3.134,272","3.134,272","-0,32%"
11.02.2026,"3.144,277","3.144,277","3.144,277","3.131,762","0,40%"
10.02.2026,"3.131,762","3.131,762","3.131,762","3.130,466","0,04%"
