Fecha,Último,Apertura,Máximo,Mínimo,% var.
24.03.2026,5961,6191,6191,5961,"0,00%"
23.03.2026,5961,5961,6180,5961,"-3,54%"
22.03.2026,6180,6180,6180,6180,"0,00%"
21.03.2026,6180,6180,6180,6180,"0,00%"
20.03.2026,6180,6180,6180,6180,"0,05%"
19.03.2026,6177,6177,6259,6177,"-1,32%"
18.03.2026,6259,6259,6259,6259,"1,04%"
17.03.2026,6195,6195,6195,6029,"2,75%"
16.03.2026,6029,6029,6400,6029,"-1,73%"
15.03.2026,6135,6135,6400,6135,"0,00%"
14.03.2026,6135,6135,6135,6135,"0,00%"
13.03.2026,6136,6136,6136,6136,"-4,12%"
12.03.2026,6400,6400,6425,6400,"-0,39%"
11.03.2026,6425,6425,6425,6305,"1,90%"
10.03.2026,6305,6305,6305,6202,"1,65%"
09.03.2026,6202,6202,6249,6202,"-0,74%"
08.03.2026,6248,6248,6249,6248,"0,00%"
07.03.2026,6248,6248,6248,6248,"0,00%"
06.03.2026,6249,6249,6249,6249,"-3,30%"
05.03.2026,6462,6462,6462,6324,"2,19%"
04.03.2026,6324,6324,6624,6324,"-4,54%"
03.03.2026,6624,6624,6690,6624,"-0,99%"
02.03.2026,6690,6690,6812,6690,"-1,03%"
01.03.2026,6760,6760,6812,6760,"-0,01%"
28.02.2026,6761,6761,6761,6761,"0,00%"
27.02.2026,6761,6761,6761,6761,"-0,75%"
26.02.2026,6812,6812,6812,6775,"0,55%"
25.02.2026,6775,6775,6775,6775,"1,43%"
24.02.2026,6680,6680,6762,6680,"-1,22%"
23.02.2026,6762,6762,6762,6673,"1,33%"
22.02.2026,6673,6673,6674,6673,"0,00%"
21.02.2026,6674,6674,6674,6674,"0,00%"
20.02.2026,6674,6674,6674,6674,"1,02%"
19.02.2026,6607,6607,6607,6577,"0,44%"
18.02.2026,6577,6577,6597,6577,"-0,29%"
17.02.2026,6597,6597,6602,6597,"-0,09%"
16.02.2026,6602,6602,6611,6602,"-0,12%"
15.02.2026,6610,6610,6611,6610,"0,00%"
14.02.2026,6611,6611,6611,6611,"-0,01%"
13.02.2026,6611,6611,6611,6611,"-1,01%"
11.02.2026,6679,6679,6735,6679,"-0,84%"
10.02.2026,6735,6735,6735,6617,"1,79%"
09.02.2026,6617,6617,6617,6479,"2,12%"
08.02.2026,6479,6479,6495,6479,"0,00%"
07.02.2026,6479,6479,6479,6479,"0,00%"
06.02.2026,6480,6480,6480,6480,"-0,24%"
05.02.2026,6495,6495,6668,6495,"-2,58%"
04.02.2026,6668,6668,6668,6572,"1,45%"
03.02.2026,6572,6572,6572,6470,"1,57%"
02.02.2026,6470,6470,6636,6470,"-2,48%"
01.02.2026,6635,6635,6636,6635,"0,00%"
31.01.2026,6635,6635,6635,6635,"-0,01%"
30.01.2026,6636,6636,6636,6636,"-0,63%"
29.01.2026,6677,6677,6677,6618,"0,90%"
28.01.2026,6618,6618,6618,6618,"2,42%"
27.01.2026,6462,6462,6462,6462,"0,85%"
26.01.2026,6408,6408,6408,6350,"0,92%"
25.01.2026,6350,6350,6350,6350,"0,00%"
24.01.2026,6350,6350,6350,6350,"0,00%"
23.01.2026,6350,6350,6350,6350,"2,39%"
22.01.2026,6202,6202,6202,6202,"2,87%"
21.01.2026,6029,6029,6029,6029,"0,70%"
20.01.2026,5987,5987,5987,5987,"0,37%"
19.01.2026,5965,5965,5965,5965,"0,00%"
18.01.2026,5965,5964,5964,5933,"0,00%"
17.01.2026,5965,5965,5965,5965,"0,00%"
16.01.2026,5965,5965,5965,5965,"0,54%"
15.01.2026,5933,5933,5933,5933,"1,25%"
14.01.2026,5860,5860,5860,5860,"-0,54%"
13.01.2026,5892,5892,5892,5892,"0,09%"
12.01.2026,5886,5886,5886,5886,"0,73%"
11.01.2026,5844,5844,5844,5844,"0,00%"
10.01.2026,5844,5844,5844,5844,"0,00%"
09.01.2026,5844,5844,5844,5844,"1,01%"
08.01.2026,5786,5786,5786,5786,"-1,42%"
07.01.2026,5869,5869,5869,5869,"1,09%"
06.01.2026,5806,5806,5806,5668,"2,44%"
05.01.2026,5668,5668,5668,5668,"0,21%"
04.01.2026,5655,5655,5656,5655,"0,00%"
03.01.2026,5656,5656,5656,5656,"0,00%"
02.01.2026,5656,5656,5656,5656,"0,87%"
01.01.2026,5607,5607,5608,5607,"0,00%"
31.12.2025,5608,5608,5608,5608,"0,00%"
30.12.2025,5608,5608,5608,5608,"-0,74%"
29.12.2025,5650,5650,5650,5553,"1,73%"
28.12.2025,5553,5553,5554,5553,"0,00%"
27.12.2025,5553,5553,5553,5553,"0,00%"
26.12.2025,5554,5554,5554,5554,"-0,01%"
25.12.2025,5554,5554,5555,5554,"0,00%"
24.12.2025,5555,5555,5555,5555,"0,00%"
23.12.2025,5555,5555,5563,5555,"-0,15%"
22.12.2025,5563,5563,5563,5563,"0,36%"
21.12.2025,5543,5543,5544,5543,"0,00%"
20.12.2025,5544,5544,5544,5544,"0,00%"
19.12.2025,5544,5544,5544,5544,"1,24%"
18.12.2025,5476,5476,5476,5476,"-1,67%"
17.12.2025,5569,5569,5569,5569,"-2,67%"
16.12.2025,5722,5722,5722,5722,"0,13%"
15.12.2025,5714,5714,5714,5578,"0,71%"
14.12.2025,5674,5674,5674,5578,"0,00%"
13.12.2025,5674,5674,5674,5674,"0,00%"
12.12.2025,5674,5674,5674,5674,"1,73%"
11.12.2025,5578,5578,5583,5578,"-0,09%"
10.12.2025,5583,5583,5583,5579,"0,06%"
09.12.2025,5579,5579,5820,5579,"-4,11%"
08.12.2025,5818,5818,5820,5818,"0,00%"
07.12.2025,5819,5819,5819,5819,"0,00%"
06.12.2025,5819,5819,5819,5819,"0,00%"
05.12.2025,5820,5820,5820,5820,"1,34%"
04.12.2025,5743,5743,5743,5722,"0,36%"
03.12.2025,5722,5722,5722,5722,"1,71%"
02.12.2025,5626,5626,5648,5626,"-0,39%"
01.12.2025,5648,5648,5648,5593,"0,97%"
30.11.2025,5593,5593,5594,5593,"0,00%"
29.11.2025,5594,5594,5594,5594,"0,00%"
28.11.2025,5594,5594,5594,5594,"-0,33%"
27.11.2025,5613,5613,5613,5509,"1,88%"
26.11.2025,5509,5509,5509,5448,"1,13%"
25.11.2025,5448,5448,5448,5402,"0,83%"
24.11.2025,5402,5402,5437,5402,"-0,63%"
23.11.2025,5437,5437,5437,5437,"0,00%"
22.11.2025,5437,5437,5437,5437,"0,00%"
21.11.2025,5437,5437,5437,5437,"-0,84%"
20.11.2025,5484,5484,5484,5484,"0,03%"
19.11.2025,5482,5482,5482,5482,"-0,61%"
18.11.2025,5516,5516,5516,5516,"-0,67%"
17.11.2025,5553,5553,5553,5553,"0,19%"
16.11.2025,5542,5542,5613,5542,"0,00%"
15.11.2025,5542,5542,5542,5542,"0,00%"
14.11.2025,5543,5543,5543,5543,"-1,25%"
13.11.2025,5613,5613,5613,5613,"0,09%"
12.11.2025,5608,5608,5608,5608,"1,66%"
11.11.2025,5516,5516,5516,5516,"0,81%"
10.11.2025,5472,5472,5472,5472,"0,79%"
09.11.2025,5429,5429,5438,5322,"0,00%"
08.11.2025,5430,5430,5430,5430,"0,00%"
07.11.2025,5430,5430,5430,5430,"-0,15%"
06.11.2025,5438,5438,5438,5322,"2,18%"
05.11.2025,5322,5322,5322,5322,"-1,11%"
04.11.2025,5382,5382,5382,5382,"0,54%"
03.11.2025,5353,5353,5353,5353,"-0,21%"
02.11.2025,5364,5364,5365,5364,"0,00%"
01.11.2025,5365,5365,5365,5365,"0,00%"
31.10.2025,5365,5365,5365,5365,"0,00%"
30.10.2025,5365,5365,5365,5365,"0,88%"
29.10.2025,5319,5319,5319,5319,"0,41%"
28.10.2025,5297,5297,5297,5297,"0,72%"
27.10.2025,5259,5259,5259,5259,"0,01%"
26.10.2025,5259,5259,5259,5259,"0,00%"
25.10.2025,5259,5259,5259,5259,"0,00%"
24.10.2025,5259,5259,5259,5259,"1,21%"
23.10.2025,5196,5196,5196,5196,"0,14%"
22.10.2025,5189,5189,5189,5189,"-0,71%"
21.10.2025,5226,5226,5226,5226,"1,18%"
20.10.2025,5165,5165,5165,5165,"0,57%"
19.10.2025,5136,5136,5136,5136,"0,00%"
18.10.2025,5136,5136,5136,5136,"0,00%"
17.10.2025,5136,5136,5136,5136,"0,24%"
16.10.2025,5124,5124,5124,5124,"0,95%"
15.10.2025,5076,5076,5076,5076,"-0,10%"
14.10.2025,5081,5081,5081,5081,"1,43%"
13.10.2025,5010,5010,5010,5010,"-2,44%"
12.10.2025,5135,5135,5135,5135,"0,00%"
11.10.2025,5135,5135,5135,5135,"0,00%"
10.10.2025,5135,5135,5135,5135,"-0,77%"
09.10.2025,5175,5175,5175,5175,"1,34%"
08.10.2025,5107,5107,5107,5107,"-1,46%"
07.10.2025,5183,5183,5183,5183,"-0,84%"
06.10.2025,5227,5227,5227,5227,"0,30%"
05.10.2025,5211,5211,5268,5211,"0,00%"
04.10.2025,5212,5212,5212,5212,"0,00%"
03.10.2025,5212,5212,5212,5212,"-1,07%"
02.10.2025,5268,5268,5268,5268,"-1,48%"
01.10.2025,5347,5347,5347,5347,"-0,02%"
30.09.2025,5349,5349,5349,5349,"1,06%"
29.09.2025,5293,5293,5293,5293,"0,84%"
28.09.2025,5248,5248,5332,5248,"0,00%"
27.09.2025,5248,5248,5248,5248,"0,00%"
26.09.2025,5249,5249,5249,5249,"-1,57%"
25.09.2025,5332,5332,5332,5332,"-0,88%"
24.09.2025,5380,5380,5380,5380,"1,27%"
23.09.2025,5313,5313,5313,5313,"0,38%"
