Fecha,Último,Apertura,Máximo,Mínimo,% var.
24.03.2026,1362,1415,1415,1362,"0,00%"
23.03.2026,1362,1362,1412,1362,"-3,53%"
22.03.2026,1412,1412,1412,1412,"0,00%"
21.03.2026,1412,1412,1412,1412,"0,00%"
20.03.2026,1412,1412,1412,1412,"0,06%"
19.03.2026,1411,1411,1430,1411,"-1,31%"
18.03.2026,1430,1430,1430,1430,"1,04%"
17.03.2026,1416,1416,1416,1378,"2,75%"
16.03.2026,1378,1378,1462,1378,"-1,73%"
15.03.2026,1402,1402,1462,1402,"0,00%"
14.03.2026,1402,1402,1402,1402,"0,00%"
13.03.2026,1402,1402,1402,1402,"-4,12%"
12.03.2026,1462,1462,1468,1462,"-0,39%"
11.03.2026,1468,1468,1468,1441,"1,90%"
10.03.2026,1441,1441,1441,1417,"1,66%"
09.03.2026,1417,1417,1428,1417,"-0,73%"
08.03.2026,1427,1427,1428,1427,"0,00%"
07.03.2026,1428,1428,1428,1428,"0,00%"
06.03.2026,1428,1428,1428,1428,"-3,31%"
05.03.2026,1476,1476,1476,1445,"2,19%"
04.03.2026,1445,1445,1513,1445,"-4,53%"
03.03.2026,1513,1513,1528,1513,"-0,99%"
02.03.2026,1528,1528,1556,1528,"-1,04%"
01.03.2026,1544,1544,1556,1544,"0,00%"
28.02.2026,1544,1544,1544,1544,"0,00%"
27.02.2026,1544,1544,1544,1544,"-0,75%"
26.02.2026,1556,1556,1556,1548,"0,54%"
25.02.2026,1548,1548,1548,1548,"1,44%"
24.02.2026,1526,1526,1545,1526,"-1,22%"
23.02.2026,1545,1545,1545,1524,"1,33%"
22.02.2026,1524,1524,1525,1524,"0,00%"
21.02.2026,1525,1525,1525,1525,"0,00%"
20.02.2026,1525,1525,1525,1525,"1,03%"
19.02.2026,1509,1509,1509,1503,"0,44%"
18.02.2026,1503,1503,1507,1503,"-0,29%"
17.02.2026,1507,1507,1508,1507,"-0,09%"
16.02.2026,1508,1508,1510,1508,"-0,12%"
15.02.2026,1510,1510,1510,1510,"0,00%"
14.02.2026,1510,1510,1510,1510,"0,00%"
13.02.2026,1510,1510,1510,1510,"-1,01%"
11.02.2026,1526,1526,1538,1526,"-0,84%"
10.02.2026,1538,1538,1538,1511,"1,79%"
09.02.2026,1511,1511,1511,1480,"2,11%"
08.02.2026,1480,1480,1484,1480,"0,00%"
07.02.2026,1480,1480,1480,1480,"0,00%"
06.02.2026,1480,1480,1480,1480,"-0,24%"
05.02.2026,1484,1484,1523,1484,"-2,58%"
04.02.2026,1523,1523,1523,1501,"1,45%"
03.02.2026,1501,1501,1501,1478,"1,57%"
02.02.2026,1478,1478,1515,1478,"-2,48%"
01.02.2026,1515,1515,1515,1515,"0,00%"
31.01.2026,1515,1515,1515,1515,"0,00%"
30.01.2026,1515,1515,1515,1515,"-0,62%"
29.01.2026,1525,1525,1525,1511,"0,90%"
28.01.2026,1511,1511,1511,1476,"2,42%"
27.01.2026,1476,1476,1476,1476,"0,85%"
26.01.2026,1463,1463,1463,1450,"0,92%"
25.01.2026,1450,1450,1450,1450,"0,00%"
24.01.2026,1450,1450,1450,1450,"0,00%"
23.01.2026,1450,1450,1450,1450,"2,39%"
22.01.2026,1416,1416,1416,1416,"2,87%"
21.01.2026,1377,1377,1377,1377,"0,70%"
20.01.2026,1367,1367,1367,1367,"0,37%"
19.01.2026,1362,1362,1362,1362,"0,00%"
18.01.2026,1362,1362,1362,1355,"0,00%"
17.01.2026,1362,1362,1362,1362,"0,00%"
16.01.2026,1362,1362,1362,1362,"0,55%"
15.01.2026,1355,1355,1355,1355,"1,25%"
14.01.2026,1338,1338,1338,1338,"-0,54%"
13.01.2026,1345,1345,1345,1345,"0,09%"
12.01.2026,1344,1344,1344,1344,"0,73%"
11.01.2026,1334,1334,1334,1334,"0,00%"
10.01.2026,1334,1334,1334,1334,"0,00%"
09.01.2026,1334,1334,1334,1334,"1,01%"
08.01.2026,1321,1321,1321,1321,"-1,42%"
07.01.2026,1340,1340,1340,1340,"1,09%"
06.01.2026,1326,1326,1326,1294,"2,43%"
05.01.2026,1294,1294,1294,1294,"0,22%"
04.01.2026,1291,1291,1291,1291,"0,00%"
03.01.2026,1291,1291,1291,1291,"0,00%"
02.01.2026,1291,1291,1291,1291,"0,87%"
01.01.2026,1280,1280,1280,1280,"0,00%"
31.12.2025,1280,1280,1280,1280,"0,00%"
30.12.2025,1280,1280,1280,1280,"-0,74%"
29.12.2025,1290,1290,1290,1268,"1,74%"
28.12.2025,1268,1268,1268,1268,"0,00%"
27.12.2025,1268,1268,1268,1268,"0,00%"
26.12.2025,1268,1268,1268,1268,"0,00%"
25.12.2025,1268,1268,1268,1268,"0,00%"
24.12.2025,1268,1268,1268,1268,"0,00%"
23.12.2025,1268,1268,1270,1268,"-0,15%"
22.12.2025,1270,1270,1270,1270,"0,36%"
21.12.2025,1265,1265,1265,1265,"0,00%"
20.12.2025,1266,1266,1266,1266,"0,00%"
19.12.2025,1266,1266,1266,1266,"1,24%"
18.12.2025,1250,1250,1250,1250,"-1,67%"
17.12.2025,1271,1271,1271,1271,"-2,66%"
16.12.2025,1306,1306,1306,1306,"0,13%"
15.12.2025,1304,1304,1304,1304,"0,72%"
14.12.2025,1295,1295,1295,1295,"0,00%"
13.12.2025,1295,1295,1295,1295,"0,00%"
12.12.2025,1295,1295,1295,1295,"1,74%"
11.12.2025,1273,1273,1274,1273,"-0,09%"
10.12.2025,1274,1274,1274,1274,"0,07%"
09.12.2025,1273,1273,1328,1273,"-4,12%"
08.12.2025,1328,1328,1328,1328,"0,00%"
07.12.2025,1328,1328,1328,1328,"0,00%"
06.12.2025,1328,1328,1328,1328,"0,00%"
05.12.2025,1328,1328,1328,1328,"1,34%"
04.12.2025,1311,1311,1311,1311,"0,37%"
03.12.2025,1306,1306,1306,1306,"1,71%"
02.12.2025,1284,1284,1289,1284,"-0,39%"
01.12.2025,1289,1289,1289,1289,"0,97%"
30.11.2025,1277,1277,1277,1277,"0,00%"
29.11.2025,1277,1277,1277,1277,"0,00%"
28.11.2025,1277,1277,1277,1277,"-0,32%"
27.11.2025,1281,1281,1281,1257,"1,88%"
26.11.2025,1257,1257,1257,1243,"1,13%"
25.11.2025,1243,1243,1243,1233,"0,84%"
24.11.2025,1233,1233,1241,1233,"-0,63%"
23.11.2025,1241,1241,1241,1241,"0,00%"
22.11.2025,1241,1241,1241,1241,"-0,85%"
20.11.2025,1252,1252,1252,1252,"0,00%"
19.11.2025,1251,1251,1251,1251,"-0,61%"
18.11.2025,1259,1259,1259,1259,"-0,67%"
17.11.2025,1267,1267,1267,1267,"0,19%"
16.11.2025,1265,1265,1281,1265,"0,00%"
15.11.2025,1265,1265,1265,1265,"0,00%"
14.11.2025,1265,1265,1265,1265,"-1,25%"
13.11.2025,1281,1281,1281,1281,"0,09%"
12.11.2025,1280,1280,1280,1280,"1,65%"
11.11.2025,1259,1259,1259,1259,"0,81%"
10.11.2025,1249,1249,1249,1249,"0,78%"
09.11.2025,1239,1239,1241,1214,"0,00%"
08.11.2025,1239,1239,1239,1239,"0,00%"
07.11.2025,1239,1239,1239,1239,"-0,15%"
06.11.2025,1241,1241,1241,1214,"2,18%"
05.11.2025,1214,1214,1214,1214,"-1,12%"
04.11.2025,1228,1228,1228,1228,"0,54%"
03.11.2025,1222,1222,1222,1222,"-0,21%"
02.11.2025,1224,1224,1224,1224,"0,00%"
01.11.2025,1224,1224,1224,1224,"0,00%"
31.10.2025,1224,1224,1224,1224,"0,00%"
30.10.2025,1224,1224,1224,1224,"0,87%"
29.10.2025,1214,1214,1214,1214,"0,41%"
28.10.2025,1209,1209,1209,1209,"0,72%"
27.10.2025,1200,1200,1200,1200,"0,00%"
26.10.2025,1200,1200,1200,1200,"0,00%"
25.10.2025,1200,1200,1200,1200,"0,00%"
24.10.2025,1200,1200,1200,1200,"1,21%"
23.10.2025,1186,1186,1186,1186,"0,14%"
22.10.2025,1184,1184,1184,1184,"-0,70%"
21.10.2025,1192,1192,1192,1192,"1,19%"
20.10.2025,1178,1178,1178,1178,"0,56%"
19.10.2025,1172,1172,1172,1172,"0,00%"
18.10.2025,1172,1172,1172,1172,"0,00%"
17.10.2025,1172,1172,1172,1172,"0,24%"
16.10.2025,1169,1169,1169,1169,"0,95%"
15.10.2025,1158,1158,1159,1158,"-0,09%"
14.10.2025,1159,1159,1159,1159,"1,43%"
13.10.2025,1143,1143,1143,1143,"-2,43%"
12.10.2025,1171,1171,1181,1171,"0,00%"
11.10.2025,1171,1171,1171,1171,"0,00%"
10.10.2025,1172,1172,1172,1172,"-0,77%"
09.10.2025,1181,1181,1181,1165,"1,34%"
08.10.2025,1165,1165,1165,1165,"-1,46%"
07.10.2025,1182,1182,1182,1182,"-0,84%"
06.10.2025,1192,1192,1192,1192,"0,29%"
05.10.2025,1189,1189,1202,1189,"0,00%"
04.10.2025,1189,1189,1189,1189,"0,00%"
03.10.2025,1189,1189,1189,1189,"-1,07%"
02.10.2025,1202,1202,1202,1202,"-1,48%"
01.10.2025,1220,1220,1220,1220,"0,00%"
30.09.2025,1220,1220,1220,1220,"1,06%"
29.09.2025,1207,1207,1207,1207,"0,84%"
28.09.2025,1197,1197,1216,1197,"0,00%"
27.09.2025,1197,1197,1197,1197,"0,00%"
26.09.2025,1197,1197,1197,1197,"-1,57%"
25.09.2025,1216,1216,1216,1216,"-0,88%"
24.09.2025,1227,1227,1227,1227,"1,27%"
23.09.2025,1212,1212,1212,1212,"0,38%"
22.09.2025,1207,1207,1207,1207,"0,40%"
21.09.2025,1202,1202,1203,1202,"0,00%"
20.09.2025,1202,1202,1202,1202,"0,00%"
19.09.2025,1202,1202,1202,1202,"0,00%"
18.09.2025,1203,1203,1203,1203,"0,41%"
16.09.2025,1198,1198,1198,1198,"1,35%"
15.09.2025,1182,1182,1182,1182,"-0,16%"
14.09.2025,1184,1184,1184,1167,"0,00%"
13.09.2025,1184,1184,1184,1184,"0,00%"
12.09.2025,1184,1184,1184,1184,"1,45%"
11.09.2025,1167,1167,1167,1167,"0,42%"
10.09.2025,1162,1162,1162,1162,"-0,25%"
09.09.2025,1165,1165,1165,1165,"-0,32%"
08.09.2025,1168,1168,1168,1168,"1,01%"
07.09.2025,1157,1157,1157,1148,"0,00%"
06.09.2025,1157,1157,1157,1157,"0,00%"
05.09.2025,1157,1157,1157,1157,"0,79%"
04.09.2025,1148,1148,1148,1148,"0,15%"
03.09.2025,1146,1146,1146,1146,"-0,37%"
02.09.2025,1150,1150,1150,1150,"-0,12%"
01.09.2025,1152,1152,1152,1152,"-0,24%"
31.08.2025,1154,1154,1154,1139,"0,00%"
30.08.2025,1154,1154,1154,1154,"0,00%"
29.08.2025,1154,1154,1154,1154,"1,34%"
28.08.2025,1139,1139,1139,1139,"1,15%"
27.08.2025,1126,1126,1126,1126,"-0,61%"
26.08.2025,1133,1133,1135,1106,"-0,22%"
25.08.2025,1135,1135,1135,1103,"2,64%"
24.08.2025,1106,1106,1106,1106,"0,00%"
23.08.2025,1106,1106,1106,1106,"0,00%"
22.08.2025,1106,1106,1106,1106,"0,34%"
21.08.2025,1103,1103,1103,1103,"0,25%"
20.08.2025,1100,1100,1100,1100,"-2,30%"
19.08.2025,1126,1126,1126,1126,"1,35%"
18.08.2025,1111,1111,1111,1111,"-0,77%"
17.08.2025,1119,1119,1120,1119,"0,00%"
16.08.2025,1119,1119,1119,1119,"0,00%"
15.08.2025,1120,1120,1120,1120,"0,00%"
14.08.2025,1120,1120,1120,1120,"-0,49%"
13.08.2025,1125,1125,1125,1125,"2,91%"
12.08.2025,1093,1093,1093,1093,"-0,62%"
11.08.2025,1100,1100,1100,1100,"-0,20%"
10.08.2025,1102,1102,1102,1086,"0,00%"
09.08.2025,1102,1102,1102,1102,"0,00%"
08.08.2025,1102,1102,1102,1102,"1,50%"
07.08.2025,1086,1086,1086,1086,"0,82%"
