Fecha,Último,Apertura,Máximo,Mínimo,% var.
24.03.2026,2277,2281,2281,2277,"0,00%"
23.03.2026,2277,2277,2282,2277,"-0,22%"
22.03.2026,2282,2282,2282,2282,"0,00%"
21.03.2026,2282,2282,2282,2282,"0,00%"
20.03.2026,2282,2282,2282,2282,"-0,27%"
19.03.2026,2288,2288,2292,2288,"-0,18%"
18.03.2026,2292,2292,2292,2292,"0,04%"
17.03.2026,2292,2292,2292,2291,"0,04%"
16.03.2026,2291,2291,2299,2291,"-0,07%"
15.03.2026,2292,2292,2299,2292,"0,00%"
14.03.2026,2292,2292,2292,2292,"0,00%"
13.03.2026,2292,2292,2292,2292,"-0,30%"
12.03.2026,2299,2299,2299,2299,"0,00%"
11.03.2026,2299,2299,2299,2292,"0,33%"
10.03.2026,2292,2292,2295,2292,"-0,14%"
09.03.2026,2295,2295,2298,2295,"-0,12%"
08.03.2026,2298,2298,2298,2298,"0,00%"
07.03.2026,2298,2298,2298,2298,"0,00%"
06.03.2026,2298,2298,2298,2298,"-0,05%"
05.03.2026,2299,2299,2299,2295,"0,20%"
04.03.2026,2295,2295,2303,2295,"-0,36%"
03.03.2026,2303,2303,2309,2303,"-0,28%"
02.03.2026,2309,2309,2310,2309,"0,00%"
01.03.2026,2309,2309,2310,2309,"0,00%"
28.02.2026,2309,2309,2309,2309,"0,00%"
27.02.2026,2310,2310,2310,2310,"-0,03%"
26.02.2026,2310,2310,2310,2310,"0,00%"
25.02.2026,2310,2310,2310,2310,"0,06%"
24.02.2026,2309,2309,2309,2306,"0,10%"
23.02.2026,2306,2306,2306,2304,"0,08%"
22.02.2026,2304,2304,2305,2304,"0,00%"
21.02.2026,2305,2305,2305,2305,"0,00%"
20.02.2026,2305,2305,2305,2305,"0,06%"
19.02.2026,2303,2303,2303,2300,"0,13%"
18.02.2026,2300,2300,2300,2298,"0,10%"
17.02.2026,2298,2298,2298,2298,"0,00%"
16.02.2026,2297,2297,2297,2291,"0,27%"
15.02.2026,2291,2291,2292,2291,"0,00%"
14.02.2026,2291,2291,2291,2291,"0,00%"
13.02.2026,2292,2292,2292,2292,"0,05%"
11.02.2026,2290,2290,2295,2290,"-0,18%"
10.02.2026,2295,2295,2302,2295,"-0,30%"
09.02.2026,2302,2302,2310,2302,"-0,11%"
08.02.2026,2304,2304,2310,2304,"0,00%"
07.02.2026,2304,2304,2304,2304,"0,00%"
06.02.2026,2304,2304,2304,2304,"-0,24%"
05.02.2026,2310,2310,2312,2310,"-0,09%"
04.02.2026,2312,2312,2312,2311,"0,03%"
03.02.2026,2311,2311,2311,2310,"0,04%"
02.02.2026,2310,2310,2310,2308,"0,07%"
01.02.2026,2308,2308,2309,2308,"0,00%"
31.01.2026,2309,2309,2309,2309,"0,00%"
30.01.2026,2309,2309,2309,2309,"0,04%"
29.01.2026,2308,2308,2309,2308,"-0,04%"
28.01.2026,2309,2309,2309,2308,"0,00%"
