Fecha,Último,Apertura,Máximo,Mínimo,% var.
24.03.2026,"3.816,613","3.781,580","3.816,613","3.781,580","0,00%"
23.03.2026,"3.816,613","3.816,613","3.850,383","3.816,613","-0,85%"
22.03.2026,"3.849,482","3.849,482","3.850,383","3.849,482","-0,01%"
21.03.2026,"3.849,932","3.849,932","3.849,932","3.849,932","-0,01%"
20.03.2026,"3.850,383","3.850,383","3.850,383","3.850,383","-0,69%"
19.03.2026,"3.877,308","3.877,308","3.937,761","3.877,308","-1,54%"
18.03.2026,"3.937,761","3.937,761","3.937,761","3.937,761","-0,02%"
17.03.2026,"3.938,456","3.938,456","3.938,456","3.897,136","1,06%"
16.03.2026,"3.897,136","3.897,136","3.897,136","3.832,481","0,86%"
15.03.2026,"3.863,891","3.863,891","3.864,790","3.832,481","-0,01%"
14.03.2026,"3.864,340","3.864,340","3.864,340","3.864,340","-0,01%"
13.03.2026,"3.864,790","3.864,790","3.864,790","3.864,790","0,84%"
12.03.2026,"3.832,481","3.832,481","3.865,901","3.832,481","-0,86%"
11.03.2026,"3.865,901","3.865,901","3.888,622","3.865,901","-0,58%"
10.03.2026,"3.888,622","3.888,622","3.888,622","3.810,424","2,05%"
09.03.2026,"3.810,424","3.810,424","3.810,424","3.798,600","0,31%"
08.03.2026,"3.798,600","3.798,600","3.799,486","3.798,600","-0,01%"
07.03.2026,"3.799,043","3.799,043","3.799,043","3.799,043","-0,01%"
06.03.2026,"3.799,486","3.799,486","3.799,486","3.799,486","-0,78%"
05.03.2026,"3.829,271","3.829,271","3.909,396","3.829,271","-2,05%"
04.03.2026,"3.909,396","3.909,396","3.909,396","3.809,632","2,62%"
03.03.2026,"3.809,632","3.809,632","3.920,782","3.809,632","-2,83%"
02.03.2026,"3.920,782","3.920,782","4.112,317","3.920,782","-4,16%"
01.03.2026,"4.090,957","4.090,957","4.112,317","4.090,957","-0,01%"
28.02.2026,"4.091,420","4.091,420","4.091,420","4.091,420","-0,01%"
27.02.2026,"4.091,884","4.091,884","4.091,884","4.091,884","-0,50%"
26.02.2026,"4.112,317","4.112,317","4.115,824","4.112,317","-0,09%"
25.02.2026,"4.115,824","4.115,824","4.115,824","4.115,824","1,40%"
24.02.2026,"4.059,051","4.059,051","4.059,051","4.043,360","0,39%"
23.02.2026,"4.043,360","4.043,360","4.043,360","4.036,407","0,17%"
22.02.2026,"4.036,407","4.036,407","4.037,318","4.036,407","-0,01%"
21.02.2026,"4.036,862","4.036,862","4.036,862","4.036,862","-0,01%"
20.02.2026,"4.037,318","4.037,318","4.037,318","4.037,318","-0,19%"
19.02.2026,"4.044,892","4.044,892","4.071,393","4.044,892","-0,65%"
18.02.2026,"4.071,393","4.071,393","4.071,393","4.066,362","0,12%"
17.02.2026,"4.066,362","4.066,362","4.087,364","4.066,362","-0,51%"
16.02.2026,"4.087,364","4.087,364","4.087,364","4.059,815","0,68%"
15.02.2026,"4.059,815","4.059,815","4.060,728","4.059,815","-0,01%"
14.02.2026,"4.060,271","4.060,271","4.060,271","4.060,271","-0,01%"
13.02.2026,"4.060,728","4.060,728","4.060,728","4.060,728","-3,55%"
11.02.2026,"4.210,311","4.210,311","4.210,311","4.182,901","0,66%"
10.02.2026,"4.182,901","4.182,901","4.288,461","4.182,901","-2,46%"
09.02.2026,"4.288,461","4.288,461","4.288,461","4.259,517","0,68%"
08.02.2026,"4.259,517","4.259,517","4.279,217","4.259,517","-0,01%"
07.02.2026,"4.259,972","4.259,972","4.259,972","4.259,972","-0,01%"
06.02.2026,"4.260,428","4.260,428","4.260,428","4.260,428","-0,44%"
05.02.2026,"4.279,217","4.279,217","4.355,715","4.279,217","-1,76%"
04.02.2026,"4.355,715","4.355,715","4.416,699","4.355,715","-1,38%"
03.02.2026,"4.416,699","4.416,699","4.416,699","4.386,245","0,69%"
02.02.2026,"4.386,245","4.386,245","4.386,245","4.341,247","1,04%"
01.02.2026,"4.341,247","4.341,247","4.342,204","4.341,247","-0,01%"
31.01.2026,"4.341,725","4.341,725","4.341,725","4.341,725","-0,01%"
30.01.2026,"4.342,204","4.342,204","4.342,204","4.342,204","-0,75%"
29.01.2026,"4.374,920","4.374,920","4.374,920","4.365,776","0,21%"
28.01.2026,"4.365,776","4.365,776","4.365,776","4.365,776","0,03%"
27.01.2026,"4.364,604","4.364,604","4.364,604","4.364,604","0,96%"
26.01.2026,"4.322,930","4.322,930","4.322,930","4.269,602","1,25%"
