Fecha,Último,Apertura,Máximo,Mínimo,% var.
24.03.2026,"4.822,843","4.778,756","4.822,843","4.778,756","0,00%"
23.03.2026,"4.822,843","4.822,843","4.864,957","4.822,843","-0,85%"
22.03.2026,"4.864,190","4.864,190","4.864,957","4.864,190","-0,01%"
21.03.2026,"4.864,574","4.864,574","4.864,574","4.864,574","-0,01%"
20.03.2026,"4.864,957","4.864,957","4.864,957","4.864,957","-0,69%"
19.03.2026,"4.898,789","4.898,789","4.974,977","4.898,789","-1,53%"
18.03.2026,"4.974,977","4.974,977","4.974,977","4.974,977","-0,01%"
17.03.2026,"4.975,664","4.975,664","4.975,664","4.923,274","1,06%"
16.03.2026,"4.923,274","4.923,274","4.923,274","4.840,852","0,86%"
15.03.2026,"4.881,087","4.881,087","4.881,849","4.840,852","-0,01%"
14.03.2026,"4.881,468","4.881,468","4.881,468","4.881,468","-0,01%"
13.03.2026,"4.881,849","4.881,849","4.881,849","4.881,849","0,85%"
12.03.2026,"4.840,852","4.840,852","4.882,877","4.840,852","-0,86%"
11.03.2026,"4.882,877","4.882,877","4.911,387","4.882,877","-0,58%"
10.03.2026,"4.911,387","4.911,387","4.911,387","4.812,438","2,06%"
09.03.2026,"4.812,438","4.812,438","4.812,438","4.797,319","0,32%"
08.03.2026,"4.797,319","4.797,319","4.798,071","4.797,319","-0,01%"
07.03.2026,"4.797,695","4.797,695","4.797,695","4.797,695","-0,01%"
06.03.2026,"4.798,071","4.798,071","4.798,071","4.798,071","-0,77%"
05.03.2026,"4.835,499","4.835,499","4.936,489","4.835,499","-2,05%"
04.03.2026,"4.936,489","4.936,489","4.936,489","4.810,330","2,62%"
03.03.2026,"4.810,330","4.810,330","4.950,487","4.810,330","-2,83%"
02.03.2026,"4.950,487","4.950,487","5.191,527","4.950,487","-4,16%"
01.03.2026,"5.165,156","5.165,156","5.191,527","5.165,156","-0,01%"
28.02.2026,"5.165,543","5.165,543","5.165,543","5.165,543","-0,01%"
27.02.2026,"5.165,931","5.165,931","5.165,931","5.165,931","-0,49%"
26.02.2026,"5.191,527","5.191,527","5.195,755","5.191,527","-0,08%"
25.02.2026,"5.195,755","5.195,755","5.195,755","5.195,755","1,40%"
24.02.2026,"5.123,889","5.123,889","5.123,889","5.103,887","0,39%"
23.02.2026,"5.103,887","5.103,887","5.103,887","5.094,914","0,18%"
22.02.2026,"5.094,914","5.094,914","5.095,673","5.094,914","-0,01%"
21.02.2026,"5.095,293","5.095,293","5.095,293","5.095,293","-0,01%"
20.02.2026,"5.095,673","5.095,673","5.095,673","5.095,673","-0,18%"
19.02.2026,"5.105,037","5.105,037","5.138,287","5.105,037","-0,65%"
18.02.2026,"5.138,287","5.138,287","5.138,287","5.131,741","0,13%"
17.02.2026,"5.131,741","5.131,741","5.158,047","5.131,741","-0,51%"
16.02.2026,"5.158,047","5.158,047","5.158,047","5.123,084","0,68%"
15.02.2026,"5.123,084","5.123,084","5.123,844","5.123,084","-0,01%"
14.02.2026,"5.123,464","5.123,464","5.123,464","5.123,464","-0,01%"
13.02.2026,"5.123,844","5.123,844","5.123,844","5.123,844","-3,55%"
11.02.2026,"5.312,180","5.312,180","5.312,180","5.277,396","0,66%"
10.02.2026,"5.277,396","5.277,396","5.410,369","5.277,396","-2,46%"
09.02.2026,"5.410,369","5.410,369","5.410,369","5.373,646","0,68%"
08.02.2026,"5.373,646","5.373,646","5.397,878","5.373,646","-0,01%"
07.02.2026,"5.374,015","5.374,015","5.374,015","5.374,015","-0,01%"
06.02.2026,"5.374,383","5.374,383","5.374,383","5.374,383","-0,44%"
05.02.2026,"5.397,878","5.397,878","5.494,163","5.397,878","-1,75%"
04.02.2026,"5.494,163","5.494,163","5.570,873","5.494,163","-1,38%"
03.02.2026,"5.570,873","5.570,873","5.570,873","5.531,602","0,71%"
02.02.2026,"5.531,602","5.531,602","5.531,602","5.474,692","1,04%"
01.02.2026,"5.474,692","5.474,692","5.475,479","5.474,692","-0,01%"
31.01.2026,"5.475,086","5.475,086","5.475,086","5.475,086","-0,01%"
30.01.2026,"5.475,479","5.475,479","5.475,479","5.475,479","-0,71%"
29.01.2026,"5.514,794","5.514,794","5.514,794","5.503,134","0,21%"
28.01.2026,"5.503,134","5.503,134","5.503,134","5.501,035","0,04%"
27.01.2026,"5.501,035","5.501,035","5.501,035","5.501,035","0,97%"
26.01.2026,"5.448,361","5.448,361","5.448,361","5.380,943","1,25%"
25.01.2026,"5.380,943","5.380,943","5.381,710","5.380,943","-0,01%"
24.01.2026,"5.381,327","5.381,327","5.381,327","5.381,327","-0,01%"
23.01.2026,"5.381,710","5.381,710","5.381,710","5.381,710","0,18%"
22.01.2026,"5.371,904","5.371,904","5.371,904","5.371,904","1,89%"
