Fecha,Último,Apertura,Máximo,Mínimo,% var.
24.03.2026,"4.997,450","4.927,781","4.997,450","4.927,781","0,00%"
23.03.2026,"4.997,450","4.997,450","5.047,864","4.997,450","-0,79%"
22.03.2026,"5.036,998","5.036,998","5.047,864","5.036,998","-0,01%"
21.03.2026,"5.037,497","5.037,497","5.037,497","5.037,497","-0,01%"
20.03.2026,"5.037,996","5.037,996","5.037,996","5.037,996","-0,20%"
19.03.2026,"5.047,864","5.047,864","5.126,803","5.047,864","-1,54%"
18.03.2026,"5.126,803","5.126,803","5.126,803","5.126,803","-0,07%"
17.03.2026,"5.130,258","5.130,258","5.130,258","5.081,231","0,96%"
16.03.2026,"5.081,231","5.081,231","5.081,231","5.014,692","1,33%"
15.03.2026,"5.014,692","5.014,692","5.015,680","5.014,692","-0,01%"
14.03.2026,"5.015,186","5.015,186","5.015,186","5.015,186","-0,01%"
13.03.2026,"5.015,680","5.015,680","5.015,680","5.015,680","1,18%"
12.03.2026,"4.957,106","4.957,106","5.003,219","4.957,106","-0,92%"
11.03.2026,"5.003,219","5.003,219","5.039,644","5.003,219","-0,72%"
10.03.2026,"5.039,644","5.039,644","5.039,644","4.937,517","2,07%"
09.03.2026,"4.937,517","4.937,517","4.937,517","4.915,351","0,45%"
08.03.2026,"4.915,351","4.915,351","4.916,326","4.915,351","-0,01%"
07.03.2026,"4.915,838","4.915,838","4.915,838","4.915,838","-0,01%"
06.03.2026,"4.916,326","4.916,326","4.916,326","4.916,326","-1,10%"
05.03.2026,"4.971,219","4.971,219","5.089,032","4.971,219","-2,32%"
04.03.2026,"5.089,032","5.089,032","5.089,032","4.930,388","3,22%"
03.03.2026,"4.930,388","4.930,388","5.089,216","4.930,388","-3,12%"
02.03.2026,"5.089,216","5.089,216","5.367,097","5.089,216","-4,53%"
01.03.2026,"5.330,586","5.330,586","5.367,097","5.330,586","-0,01%"
28.02.2026,"5.331,092","5.331,092","5.331,092","5.331,092","-0,01%"
27.02.2026,"5.331,598","5.331,598","5.331,598","5.331,598","-0,66%"
26.02.2026,"5.367,097","5.367,097","5.371,300","5.367,097","-0,08%"
25.02.2026,"5.371,300","5.371,300","5.371,300","5.371,300","1,51%"
24.02.2026,"5.291,201","5.291,201","5.291,201","5.276,779","0,27%"
23.02.2026,"5.276,779","5.276,779","5.276,779","5.267,886","0,17%"
22.02.2026,"5.267,886","5.267,886","5.268,865","5.267,886","-0,01%"
21.02.2026,"5.268,375","5.268,375","5.268,375","5.268,375","-0,01%"
20.02.2026,"5.268,865","5.268,865","5.268,865","5.268,865","-0,69%"
19.02.2026,"5.305,397","5.305,397","5.344,704","5.305,397","-0,74%"
18.02.2026,"5.344,704","5.344,704","5.348,011","5.344,704","-0,06%"
17.02.2026,"5.348,011","5.348,011","5.377,521","5.348,011","-0,55%"
16.02.2026,"5.377,521","5.377,521","5.377,521","5.331,218","0,87%"
15.02.2026,"5.331,218","5.331,218","5.332,208","5.331,218","-0,01%"
14.02.2026,"5.331,713","5.331,713","5.331,713","5.331,713","-0,01%"
13.02.2026,"5.332,208","5.332,208","5.332,208","5.332,208","-3,45%"
11.02.2026,"5.522,808","5.522,808","5.522,808","5.481,486","0,75%"
10.02.2026,"5.481,486","5.481,486","5.614,285","5.481,486","-2,37%"
09.02.2026,"5.614,285","5.614,285","5.614,285","5.585,289","0,52%"
08.02.2026,"5.585,289","5.585,289","5.611,841","5.585,289","-0,01%"
07.02.2026,"5.585,762","5.585,762","5.585,762","5.585,762","-0,01%"
06.02.2026,"5.586,235","5.586,235","5.586,235","5.586,235","-0,46%"
05.02.2026,"5.611,841","5.611,841","5.675,493","5.611,841","-1,12%"
04.02.2026,"5.675,493","5.675,493","5.764,732","5.675,493","-1,55%"
03.02.2026,"5.764,732","5.764,732","5.764,732","5.741,051","0,41%"
02.02.2026,"5.741,051","5.741,051","5.741,051","5.673,671","1,19%"
01.02.2026,"5.673,671","5.673,671","5.674,645","5.673,671","-0,01%"
31.01.2026,"5.674,158","5.674,158","5.674,158","5.674,158","-0,01%"
30.01.2026,"5.674,645","5.674,645","5.674,645","5.674,645","-0,38%"
29.01.2026,"5.696,181","5.696,181","5.696,181","5.685,761","0,18%"
28.01.2026,"5.685,761","5.685,761","5.685,761","5.674,536","0,20%"
27.01.2026,"5.674,536","5.674,536","5.674,536","5.674,536","1,12%"
26.01.2026,"5.611,869","5.611,869","5.611,869","5.557,508","0,98%"
25.01.2026,"5.557,508","5.557,508","5.558,512","5.557,508","-0,01%"
24.01.2026,"5.558,010","5.558,010","5.558,010","5.558,010","-0,01%"
23.01.2026,"5.558,512","5.558,512","5.558,512","5.558,512","0,08%"
22.01.2026,"5.553,979","5.553,979","5.553,979","5.444,758","2,01%"
21.01.2026,"5.444,758","5.444,758","5.444,758","5.374,027","1,32%"
20.01.2026,"5.374,027","5.374,027","5.374,027","5.362,912","0,21%"
19.01.2026,"5.362,912","5.362,912","5.362,912","5.362,912","-0,81%"
18.01.2026,"5.406,905","5.406,905","5.407,847","5.340,359","-0,01%"
17.01.2026,"5.407,376","5.407,376","5.407,376","5.407,376","-0,01%"
16.01.2026,"5.407,847","5.407,847","5.407,847","5.407,847","1,26%"
15.01.2026,"5.340,359","5.340,359","5.340,359","5.340,359","-0,27%"
14.01.2026,"5.354,571","5.354,571","5.354,571","5.354,571","-0,72%"
13.01.2026,"5.393,264","5.393,264","5.393,264","5.393,264","2,08%"
12.01.2026,"5.283,422","5.283,422","5.283,422","5.283,422","1,09%"
11.01.2026,"5.226,243","5.226,243","5.227,216","5.226,243","-0,01%"
10.01.2026,"5.226,729","5.226,729","5.226,729","5.226,729","-0,01%"
09.01.2026,"5.227,216","5.227,216","5.227,216","5.227,216","0,81%"
08.01.2026,"5.184,962","5.184,962","5.184,962","5.184,962","0,92%"
07.01.2026,"5.137,450","5.137,450","5.137,450","5.137,450","-0,36%"
06.01.2026,"5.155,849","5.155,849","5.155,849","5.155,849","1,75%"
05.01.2026,"5.067,177","5.067,177","5.067,177","5.067,177","2,52%"
04.01.2026,"4.942,396","4.942,396","4.986,667","4.942,396","-0,01%"
03.01.2026,"4.942,862","4.942,862","4.942,862","4.942,862","-0,01%"
02.01.2026,"4.943,329","4.943,329","4.943,329","4.943,329","-0,85%"
01.01.2026,"4.985,725","4.985,725","4.986,667","4.985,725","-0,01%"
31.12.2025,"4.986,195","4.986,195","4.986,195","4.986,195","-0,01%"
30.12.2025,"4.986,667","4.986,667","4.986,667","4.986,667","-0,02%"
29.12.2025,"4.987,789","4.987,789","4.987,789","4.970,800","0,34%"
28.12.2025,"4.970,800","4.970,800","4.971,768","4.970,800","-0,01%"
27.12.2025,"4.971,284","4.971,284","4.971,284","4.971,284","-0,01%"
26.12.2025,"4.971,768","4.971,768","4.971,768","4.971,768","0,48%"
25.12.2025,"4.948,174","4.948,174","4.948,657","4.948,174","-0,01%"
24.12.2025,"4.948,657","4.948,657","4.964,283","4.948,657","-0,31%"
23.12.2025,"4.964,283","4.964,283","4.964,283","4.952,920","0,23%"
22.12.2025,"4.952,920","4.952,920","4.952,920","4.907,979","0,92%"
21.12.2025,"4.907,979","4.907,979","4.908,938","4.907,979","-0,01%"
20.12.2025,"4.908,458","4.908,458","4.908,938","4.908,458","-0,01%"
19.12.2025,"4.908,938","4.908,938","4.908,938","4.908,938","1,09%"
18.12.2025,"4.856,037","4.856,037","4.856,037","4.835,369","0,43%"
17.12.2025,"4.835,369","4.835,369","4.835,369","4.835,369","-1,19%"
16.12.2025,"4.893,604","4.893,604","4.893,604","4.893,604","-1,80%"
15.12.2025,"4.983,087","4.983,087","4.983,087","4.983,087","-1,03%"
14.12.2025,"5.034,974","5.034,974","5.035,926","5.034,974","-0,01%"
13.12.2025,"5.035,450","5.035,450","5.035,450","5.035,450","-0,01%"
12.12.2025,"5.035,926","5.035,926","5.035,926","5.035,926","0,26%"
11.12.2025,"5.022,760","5.022,760","5.022,760","4.928,578","1,91%"
10.12.2025,"4.928,578","4.928,578","4.928,578","4.923,319","0,11%"
09.12.2025,"4.923,319","4.923,319","4.951,811","4.923,319","-0,55%"
08.12.2025,"4.950,347","4.950,347","4.951,811","4.950,347","-0,01%"
07.12.2025,"4.950,835","4.950,835","4.950,835","4.950,835","-0,01%"
06.12.2025,"4.951,323","4.951,323","4.951,323","4.951,323","-0,01%"
05.12.2025,"4.951,811","4.951,811","4.951,811","4.951,811","0,48%"
04.12.2025,"4.928,358","4.928,358","4.928,358","4.911,088","0,35%"
03.12.2025,"4.911,088","4.911,088","4.911,088","4.911,088","0,90%"
02.12.2025,"4.867,180","4.867,180","4.880,715","4.867,180","-0,28%"
01.12.2025,"4.880,715","4.880,715","4.880,715","4.869,587","0,23%"
30.11.2025,"4.869,587","4.869,587","4.870,553","4.869,587","-0,01%"
29.11.2025,"4.870,070","4.870,070","4.870,070","4.870,070","-0,01%"
28.11.2025,"4.870,553","4.870,553","4.870,553","4.870,553","0,18%"
27.11.2025,"4.861,601","4.861,601","4.861,601","4.843,852","0,37%"
26.11.2025,"4.843,852","4.843,852","4.843,852","4.836,613","0,15%"
25.11.2025,"4.836,613","4.836,613","4.836,613","4.765,860","1,48%"
24.11.2025,"4.765,860","4.765,860","4.765,860","4.765,860","0,56%"
23.11.2025,"4.739,446","4.739,446","4.742,657","4.739,446","-0,01%"
22.11.2025,"4.739,916","4.739,916","4.739,916","4.739,916","-0,01%"
21.11.2025,"4.740,384","4.740,384","4.740,384","4.740,384","-0,05%"
