Fecha,Último,Apertura,Máximo,Mínimo,% var.
24.03.2026,"3.030,300","3.037,960","3.037,960","3.030,300","0,00%"
23.03.2026,"3.030,300","3.030,300","3.030,481","3.030,225","-0,01%"
22.03.2026,"3.030,481","3.030,481","3.030,481","3.030,225","0,00%"
21.03.2026,"3.030,353","3.030,353","3.030,353","3.030,353","0,00%"
20.03.2026,"3.030,225","3.030,225","3.030,225","3.030,225","0,09%"
19.03.2026,"3.027,536","3.027,536","3.027,555","3.027,536","-0,00%"
18.03.2026,"3.027,555","3.027,555","3.028,352","3.027,555","-0,03%"
17.03.2026,"3.028,352","3.028,352","3.029,055","3.028,352","-0,02%"
16.03.2026,"3.029,055","3.029,055","3.030,512","3.029,055","-0,03%"
15.03.2026,"3.029,998","3.029,998","3.030,512","3.029,753","0,00%"
14.03.2026,"3.029,875","3.029,875","3.029,875","3.029,875","0,00%"
13.03.2026,"3.029,753","3.029,753","3.029,753","3.029,753","-0,03%"
12.03.2026,"3.030,512","3.030,512","3.031,563","3.030,512","-0,03%"
11.03.2026,"3.031,563","3.031,563","3.031,622","3.031,563","-0,00%"
10.03.2026,"3.031,622","3.031,622","3.033,781","3.031,622","-0,07%"
09.03.2026,"3.033,781","3.033,781","3.033,781","3.029,726","0,10%"
08.03.2026,"3.030,775","3.030,775","3.030,775","3.029,726","0,02%"
07.03.2026,"3.030,250","3.030,250","3.030,250","3.030,250","0,02%"
06.03.2026,"3.029,726","3.029,726","3.029,726","3.029,726","0,10%"
05.03.2026,"3.026,823","3.026,823","3.026,823","3.025,221","0,05%"
04.03.2026,"3.025,221","3.025,221","3.025,221","3.022,359","0,09%"
03.03.2026,"3.022,359","3.022,359","3.022,442","3.022,359","-0,00%"
02.03.2026,"3.022,442","3.022,442","3.022,442","3.019,718","0,00%"
01.03.2026,"3.022,300","3.022,300","3.022,300","3.019,718","0,02%"
28.02.2026,"3.021,768","3.021,768","3.021,768","3.021,768","0,02%"
27.02.2026,"3.021,236","3.021,236","3.021,236","3.021,236","0,05%"
26.02.2026,"3.019,718","3.019,718","3.019,718","3.018,370","0,04%"
25.02.2026,"3.018,370","3.018,370","3.018,370","3.018,370","0,01%"
24.02.2026,"3.017,993","3.017,993","3.018,151","3.017,993","-0,01%"
23.02.2026,"3.018,151","3.018,151","3.018,151","3.016,680","0,01%"
22.02.2026,"3.017,750","3.017,750","3.017,750","3.016,680","0,02%"
21.02.2026,"3.017,215","3.017,215","3.017,215","3.017,215","0,02%"
20.02.2026,"3.016,680","3.016,680","3.016,680","3.016,680","0,02%"
19.02.2026,"3.016,031","3.016,031","3.016,031","3.015,876","0,01%"
18.02.2026,"3.015,876","3.015,876","3.015,876","3.014,760","0,04%"
17.02.2026,"3.014,760","3.014,760","3.014,760","3.014,028","0,02%"
16.02.2026,"3.014,028","3.014,028","3.014,028","3.012,104","0,03%"
15.02.2026,"3.013,174","3.013,174","3.013,174","3.012,104","0,02%"
14.02.2026,"3.012,639","3.012,639","3.012,639","3.012,639","0,02%"
13.02.2026,"3.012,104","3.012,104","3.012,104","3.012,104","0,03%"
11.02.2026,"3.011,146","3.011,146","3.011,146","3.008,983","0,07%"
10.02.2026,"3.008,983","3.008,983","3.008,983","3.005,064","0,13%"
09.02.2026,"3.005,064","3.005,064","3.007,072","3.003,764","0,04%"
08.02.2026,"3.003,764","3.003,764","3.007,072","3.003,764","-0,00%"
07.02.2026,"3.003,806","3.003,806","3.003,806","3.003,806","-0,00%"
06.02.2026,"3.003,847","3.003,847","3.003,847","3.003,847","-0,11%"
05.02.2026,"3.007,072","3.007,072","3.007,072","3.005,378","0,06%"
04.02.2026,"3.005,378","3.005,378","3.005,378","3.004,380","0,03%"
03.02.2026,"3.004,380","3.004,380","3.004,380","3.003,938","0,01%"
02.02.2026,"3.003,938","3.003,938","3.003,938","3.003,308","0,02%"
01.02.2026,"3.003,308","3.003,308","3.003,382","3.003,308","-0,00%"
31.01.2026,"3.003,345","3.003,345","3.003,345","3.003,345","-0,00%"
30.01.2026,"3.003,382","3.003,382","3.003,382","3.003,382","0,07%"
29.01.2026,"3.001,389","3.001,389","3.001,389","2.999,229","0,07%"
28.01.2026,"2.999,229","2.999,229","2.999,229","2.999,229","0,06%"
27.01.2026,"2.997,326","2.997,326","2.997,326","2.997,326","0,04%"
26.01.2026,"2.996,139","2.996,139","2.997,151","2.996,139","-0,03%"
25.01.2026,"2.997,061","2.997,061","2.997,151","2.997,061","-0,00%"
24.01.2026,"2.997,106","2.997,106","2.997,106","2.997,106","-0,00%"
23.01.2026,"2.997,151","2.997,151","2.997,151","2.997,151","-0,02%"
22.01.2026,"2.997,806","2.997,806","2.997,806","2.996,853","0,03%"
21.01.2026,"2.996,853","2.996,853","2.996,853","2.996,806","0,00%"
20.01.2026,"2.996,806","2.996,806","2.996,806","2.996,806","0,00%"
19.01.2026,"2.996,786","2.996,786","2.996,786","2.996,786","0,05%"
18.01.2026,"2.995,202","2.995,202","2.995,270","2.994,752","0,02%"
15.01.2026,"2.994,752","2.994,752","2.994,752","2.994,752","0,06%"
14.01.2026,"2.992,852","2.992,852","2.992,852","2.992,852","0,08%"
13.01.2026,"2.990,546","2.990,546","2.990,546","2.990,546","-0,04%"
12.01.2026,"2.991,635","2.991,635","2.991,635","2.991,142","0,02%"
11.01.2026,"2.991,142","2.991,142","2.991,191","2.991,142","-0,00%"
10.01.2026,"2.991,167","2.991,167","2.991,167","2.991,167","-0,00%"
09.01.2026,"2.991,191","2.991,191","2.991,191","2.991,191","0,00%"
08.01.2026,"2.991,068","2.991,068","2.991,068","2.991,068","0,03%"
07.01.2026,"2.990,311","2.990,311","2.990,311","2.990,311","-0,00%"
06.01.2026,"2.990,366","2.990,366","2.991,967","2.990,366","-0,05%"
05.01.2026,"2.991,967","2.991,967","2.991,967","2.991,967","0,10%"
04.01.2026,"2.989,033","2.989,033","2.989,033","2.987,627","0,01%"
03.01.2026,"2.988,621","2.988,621","2.988,621","2.988,621","0,01%"
02.01.2026,"2.988,209","2.988,209","2.988,209","2.988,209","-0,01%"
01.01.2026,"2.988,453","2.988,453","2.988,453","2.987,627","0,01%"
31.12.2025,"2.988,041","2.988,041","2.988,041","2.988,041","0,01%"
30.12.2025,"2.987,627","2.987,627","2.987,627","2.987,627","0,02%"
29.12.2025,"2.987,096","2.987,096","2.987,096","2.985,462","0,03%"
28.12.2025,"2.986,287","2.986,287","2.986,287","2.985,462","0,01%"
27.12.2025,"2.985,875","2.985,875","2.985,875","2.985,875","0,01%"
26.12.2025,"2.985,462","2.985,462","2.985,462","2.985,462","0,05%"
25.12.2025,"2.984,063","2.984,063","2.984,063","2.983,649","0,01%"
24.12.2025,"2.983,649","2.983,649","2.983,649","2.982,822","0,03%"
23.12.2025,"2.982,822","2.982,822","2.982,822","2.982,653","0,01%"
22.12.2025,"2.982,653","2.982,653","2.985,021","2.982,653","-0,08%"
21.12.2025,"2.985,021","2.985,021","2.985,021","2.984,201","0,01%"
20.12.2025,"2.984,611","2.984,611","2.984,611","2.984,611","0,01%"
19.12.2025,"2.984,201","2.984,201","2.984,201","2.984,201","0,01%"
18.12.2025,"2.983,870","2.983,870","2.983,870","2.983,760","0,00%"
17.12.2025,"2.983,760","2.983,760","2.983,760","2.983,760","0,07%"
16.12.2025,"2.981,745","2.981,745","2.981,745","2.981,745","0,04%"
15.12.2025,"2.980,572","2.980,572","2.981,732","2.980,572","-0,04%"
14.12.2025,"2.981,732","2.981,732","2.981,732","2.980,914","0,01%"
13.12.2025,"2.981,323","2.981,323","2.981,323","2.981,323","0,01%"
12.12.2025,"2.980,914","2.980,914","2.980,914","2.980,914","0,03%"
11.12.2025,"2.980,108","2.980,108","2.980,108","2.979,549","0,02%"
10.12.2025,"2.979,549","2.979,549","2.979,927","2.979,549","-0,01%"
09.12.2025,"2.979,927","2.979,927","2.979,927","2.979,192","0,01%"
08.12.2025,"2.979,640","2.979,640","2.979,640","2.979,192","0,01%"
07.12.2025,"2.979,490","2.979,490","2.979,490","2.979,490","0,01%"
06.12.2025,"2.979,341","2.979,341","2.979,341","2.979,341","0,01%"
05.12.2025,"2.979,192","2.979,192","2.979,192","2.979,192","-0,01%"
04.12.2025,"2.979,519","2.979,519","2.979,741","2.979,519","-0,01%"
03.12.2025,"2.979,741","2.979,741","2.979,741","2.979,741","0,06%"
02.12.2025,"2.977,867","2.977,867","2.978,832","2.977,867","-0,03%"
01.12.2025,"2.978,832","2.978,832","2.980,080","2.978,832","-0,04%"
30.11.2025,"2.980,080","2.980,080","2.980,080","2.979,795","0,00%"
29.11.2025,"2.979,938","2.979,938","2.979,938","2.979,938","0,00%"
28.11.2025,"2.979,795","2.979,795","2.979,795","2.979,795","-0,02%"
27.11.2025,"2.980,319","2.980,319","2.980,632","2.980,319","-0,01%"
26.11.2025,"2.980,632","2.980,632","2.981,517","2.980,632","-0,03%"
25.11.2025,"2.981,517","2.981,517","2.981,517","2.981,438","0,00%"
24.11.2025,"2.981,438","2.981,438","2.981,438","2.981,438","-0,03%"
23.11.2025,"2.982,240","2.982,240","2.982,240","2.981,957","0,00%"
22.11.2025,"2.982,098","2.982,098","2.982,098","2.982,098","0,00%"
21.11.2025,"2.981,957","2.981,957","2.981,957","2.981,957","0,05%"
20.11.2025,"2.980,423","2.980,423","2.980,423","2.980,423","0,01%"
19.11.2025,"2.980,184","2.980,184","2.980,184","2.980,184","0,01%"
18.11.2025,"2.979,894","2.979,894","2.979,894","2.979,894","0,00%"
17.11.2025,"2.979,881","2.979,881","2.979,881","2.979,881","0,11%"
16.11.2025,"2.976,553","2.976,553","2.976,553","2.974,940","0,00%"
15.11.2025,"2.976,412","2.976,412","2.976,412","2.976,412","0,00%"
14.11.2025,"2.976,270","2.976,270","2.976,270","2.976,270","0,04%"
13.11.2025,"2.974,940","2.974,940","2.974,940","2.974,940","0,00%"
12.11.2025,"2.974,919","2.974,919","2.974,919","2.974,919","-0,03%"
11.11.2025,"2.975,693","2.975,693","2.975,693","2.975,693","-0,03%"
10.11.2025,"2.976,718","2.976,718","2.976,718","2.976,718","0,00%"
09.11.2025,"2.976,617","2.976,617","2.976,617","2.972,505","0,02%"
08.11.2025,"2.976,125","2.976,125","2.976,125","2.976,125","0,02%"
07.11.2025,"2.975,633","2.975,633","2.975,633","2.975,633","0,06%"
06.11.2025,"2.973,831","2.973,831","2.973,831","2.972,505","0,04%"
05.11.2025,"2.972,505","2.972,505","2.972,505","2.972,505","-0,02%"
04.11.2025,"2.973,218","2.973,218","2.973,218","2.973,218","0,04%"
03.11.2025,"2.972,087","2.972,087","2.972,087","2.972,087","-0,02%"
02.11.2025,"2.972,614","2.972,614","2.972,614","2.971,156","0,02%"
01.11.2025,"2.972,127","2.972,127","2.972,127","2.972,127","0,02%"
31.10.2025,"2.971,640","2.971,640","2.971,640","2.971,640","0,02%"
30.10.2025,"2.971,156","2.971,156","2.971,156","2.971,156","-0,03%"
29.10.2025,"2.972,194","2.972,194","2.972,194","2.972,194","0,01%"
28.10.2025,"2.971,809","2.971,809","2.971,809","2.971,809","-0,03%"
27.10.2025,"2.972,809","2.972,809","2.972,809","2.972,809","0,01%"
26.10.2025,"2.972,655","2.972,655","2.972,655","2.971,694","0,02%"
25.10.2025,"2.972,171","2.972,171","2.972,171","2.972,171","0,02%"
24.10.2025,"2.971,694","2.971,694","2.971,694","2.971,694","-0,02%"
23.10.2025,"2.972,146","2.972,146","2.972,146","2.972,146","0,01%"
22.10.2025,"2.971,953","2.971,953","2.971,953","2.971,953","0,02%"
21.10.2025,"2.971,424","2.971,424","2.971,424","2.971,424","0,04%"
20.10.2025,"2.970,229","2.970,229","2.970,229","2.970,229","-0,01%"
19.10.2025,"2.970,411","2.970,411","2.970,411","2.969,437","0,02%"
18.10.2025,"2.969,924","2.969,924","2.969,924","2.969,924","0,02%"
17.10.2025,"2.969,437","2.969,437","2.969,437","2.969,437","-0,03%"
16.10.2025,"2.970,219","2.970,219","2.970,219","2.970,219","0,03%"
15.10.2025,"2.969,246","2.969,246","2.969,993","2.969,246","-0,03%"
14.10.2025,"2.969,993","2.969,993","2.969,993","2.969,993","0,08%"
13.10.2025,"2.967,734","2.967,734","2.967,734","2.967,734","-0,00%"
12.10.2025,"2.967,763","2.967,763","2.967,763","2.964,916","0,02%"
11.10.2025,"2.967,275","2.967,275","2.967,275","2.967,275","0,02%"
10.10.2025,"2.966,787","2.966,787","2.966,787","2.966,787","0,06%"
09.10.2025,"2.964,916","2.964,916","2.967,448","2.964,916","-0,09%"
08.10.2025,"2.967,448","2.967,448","2.967,448","2.967,448","0,11%"
07.10.2025,"2.964,137","2.964,137","2.964,137","2.964,137","0,05%"
06.10.2025,"2.962,693","2.962,693","2.962,693","2.962,693","0,00%"
05.10.2025,"2.962,677","2.962,677","2.962,677","2.961,475","0,00%"
04.10.2025,"2.962,546","2.962,546","2.962,546","2.962,546","0,00%"
03.10.2025,"2.962,415","2.962,415","2.962,415","2.962,415","0,03%"
02.10.2025,"2.961,475","2.961,475","2.961,475","2.961,475","-0,05%"
01.10.2025,"2.962,949","2.962,949","2.962,949","2.962,949","0,02%"
30.09.2025,"2.962,317","2.962,317","2.962,317","2.962,317","0,09%"
29.09.2025,"2.959,522","2.959,522","2.959,522","2.959,522","0,05%"
28.09.2025,"2.957,913","2.957,913","2.957,913","2.955,240","0,00%"
27.09.2025,"2.957,771","2.957,771","2.957,771","2.957,771","0,00%"
26.09.2025,"2.957,630","2.957,630","2.957,630","2.957,630","0,08%"
25.09.2025,"2.955,240","2.955,240","2.955,240","2.955,240","-0,03%"
24.09.2025,"2.956,163","2.956,163","2.956,163","2.956,163","-0,05%"
23.09.2025,"2.957,678","2.957,678","2.957,678","2.957,678","-0,00%"
22.09.2025,"2.957,765","2.957,765","2.957,765","2.957,765","0,02%"
21.09.2025,"2.957,320","2.957,320","2.957,320","2.956,758","0,00%"
20.09.2025,"2.957,179","2.957,179","2.957,179","2.957,179","0,00%"
19.09.2025,"2.957,039","2.957,039","2.957,039","2.957,039","0,00%"
18.09.2025,"2.956,898","2.956,898","2.956,898","2.956,898","0,08%"
16.09.2025,"2.954,506","2.954,506","2.954,506","2.954,506","0,02%"
15.09.2025,"2.953,927","2.953,927","2.953,927","2.953,927","0,04%"
14.09.2025,"2.952,891","2.952,891","2.953,560","2.952,603","0,00%"
13.09.2025,"2.952,747","2.952,747","2.952,747","2.952,747","0,00%"
12.09.2025,"2.952,603","2.952,603","2.952,603","2.952,603","-0,03%"
11.09.2025,"2.953,560","2.953,560","2.953,560","2.953,560","0,05%"
10.09.2025,"2.951,985","2.951,985","2.951,985","2.951,985","-0,05%"
09.09.2025,"2.953,397","2.953,397","2.953,397","2.953,397","-0,05%"
08.09.2025,"2.954,824","2.954,824","2.954,824","2.954,824","0,02%"
07.09.2025,"2.954,177","2.954,177","2.954,177","2.951,000","0,03%"
06.09.2025,"2.953,261","2.953,261","2.953,261","2.953,261","0,03%"
05.09.2025,"2.952,345","2.952,345","2.952,345","2.952,345","0,05%"
04.09.2025,"2.951,000","2.951,000","2.951,000","2.951,000","0,04%"
03.09.2025,"2.949,870","2.949,870","2.949,870","2.949,870","0,07%"
02.09.2025,"2.947,806","2.947,806","2.947,806","2.947,806","0,03%"
