Fecha,Último,Apertura,Máximo,Mínimo,% var.
24.03.2026,"1.627,029","1.627,029","1.627,029","1.627,029","-1,39%"
23.03.2026,"1.649,964","1.649,964","1.666,335","1.649,964","-0,78%"
22.03.2026,"1.662,953","1.662,953","1.666,335","1.662,953","-0,01%"
21.03.2026,"1.663,050","1.663,050","1.663,050","1.663,050","-0,01%"
20.03.2026,"1.663,146","1.663,146","1.663,146","1.663,146","-0,19%"
19.03.2026,"1.666,335","1.666,335","1.692,324","1.666,335","-1,54%"
18.03.2026,"1.692,324","1.692,324","1.692,324","1.692,324","-0,06%"
17.03.2026,"1.693,395","1.693,395","1.693,395","1.677,143","0,97%"
16.03.2026,"1.677,143","1.677,143","1.677,143","1.655,113","1,33%"
15.03.2026,"1.655,113","1.655,113","1.655,303","1.655,113","-0,01%"
14.03.2026,"1.655,208","1.655,208","1.655,208","1.655,208","-0,01%"
13.03.2026,"1.655,303","1.655,303","1.655,303","1.655,303","1,19%"
12.03.2026,"1.635,905","1.635,905","1.651,055","1.635,905","-0,92%"
11.03.2026,"1.651,055","1.651,055","1.663,006","1.651,055","-0,72%"
10.03.2026,"1.663,006","1.663,006","1.663,006","1.629,239","2,07%"
09.03.2026,"1.629,239","1.629,239","1.629,239","1.621,858","0,46%"
08.03.2026,"1.621,858","1.621,858","1.622,047","1.621,858","-0,01%"
07.03.2026,"1.621,952","1.621,952","1.621,952","1.621,952","-0,01%"
06.03.2026,"1.622,047","1.622,047","1.622,047","1.622,047","-1,10%"
05.03.2026,"1.640,090","1.640,090","1.678,889","1.640,090","-2,31%"
04.03.2026,"1.678,889","1.678,889","1.678,889","1.626,485","3,22%"
03.03.2026,"1.626,485","1.626,485","1.678,812","1.626,485","-3,12%"
02.03.2026,"1.678,812","1.678,812","1.770,188","1.678,812","-4,52%"
01.03.2026,"1.758,362","1.758,362","1.770,188","1.758,362","-0,01%"
28.02.2026,"1.758,457","1.758,457","1.758,457","1.758,457","-0,01%"
27.02.2026,"1.758,552","1.758,552","1.758,552","1.758,552","-0,66%"
26.02.2026,"1.770,188","1.770,188","1.771,501","1.770,188","-0,07%"
25.02.2026,"1.771,501","1.771,501","1.771,501","1.771,501","1,52%"
24.02.2026,"1.745,012","1.745,012","1.745,012","1.740,184","0,28%"
23.02.2026,"1.740,184","1.740,184","1.740,184","1.737,180","0,17%"
22.02.2026,"1.737,180","1.737,180","1.737,360","1.737,180","-0,01%"
