Fecha,Último,Apertura,Máximo,Mínimo,% var.
24.03.2026,"2.228,882","2.228,882","2.228,882","2.228,882","0,27%"
23.03.2026,"2.222,975","2.222,975","2.223,692","2.222,975","-0,03%"
22.03.2026,"2.223,692","2.223,692","2.223,692","2.223,428","0,01%"
21.03.2026,"2.223,560","2.223,560","2.223,560","2.223,560","0,01%"
20.03.2026,"2.223,428","2.223,428","2.223,428","2.223,428","0,08%"
19.03.2026,"2.221,757","2.221,757","2.221,757","2.220,856","0,04%"
18.03.2026,"2.220,856","2.220,856","2.221,853","2.220,856","-0,04%"
17.03.2026,"2.221,853","2.221,853","2.223,245","2.221,853","-0,06%"
16.03.2026,"2.223,245","2.223,245","2.224,989","2.222,512","-0,08%"
15.03.2026,"2.224,989","2.224,989","2.224,989","2.222,512","0,01%"
14.03.2026,"2.224,860","2.224,860","2.224,860","2.224,860","0,01%"
13.03.2026,"2.224,731","2.224,731","2.224,731","2.224,731","0,10%"
12.03.2026,"2.222,512","2.222,512","2.222,512","2.221,887","0,03%"
11.03.2026,"2.221,887","2.221,887","2.221,887","2.221,107","0,04%"
10.03.2026,"2.221,107","2.221,107","2.222,874","2.221,107","-0,08%"
09.03.2026,"2.222,874","2.222,874","2.222,874","2.219,846","0,10%"
08.03.2026,"2.220,603","2.220,603","2.220,603","2.219,846","0,02%"
07.03.2026,"2.220,224","2.220,224","2.220,224","2.220,224","0,02%"
06.03.2026,"2.219,846","2.219,846","2.219,846","2.219,846","0,03%"
05.03.2026,"2.219,084","2.219,084","2.219,084","2.218,388","0,03%"
04.03.2026,"2.218,388","2.218,388","2.218,388","2.216,188","0,10%"
03.03.2026,"2.216,188","2.216,188","2.218,607","2.216,188","-0,11%"
02.03.2026,"2.218,607","2.218,607","2.219,656","2.217,796","-0,05%"
01.03.2026,"2.219,656","2.219,656","2.219,656","2.217,796","0,02%"
28.02.2026,"2.219,260","2.219,260","2.219,260","2.219,260","0,02%"
27.02.2026,"2.218,869","2.218,869","2.218,869","2.218,869","0,05%"
26.02.2026,"2.217,796","2.217,796","2.217,796","2.217,044","0,03%"
25.02.2026,"2.217,044","2.217,044","2.217,044","2.217,044","0,02%"
24.02.2026,"2.216,707","2.216,707","2.216,707","2.216,313","0,02%"
23.02.2026,"2.216,313","2.216,313","2.216,313","2.215,306","0,01%"
22.02.2026,"2.216,102","2.216,102","2.216,102","2.215,306","0,02%"
21.02.2026,"2.215,704","2.215,704","2.215,704","2.215,704","0,02%"
20.02.2026,"2.215,306","2.215,306","2.215,306","2.215,306","0,03%"
19.02.2026,"2.214,725","2.214,725","2.214,924","2.214,725","-0,01%"
18.02.2026,"2.214,924","2.214,924","2.214,924","2.213,965","0,04%"
17.02.2026,"2.213,965","2.213,965","2.213,965","2.213,177","0,04%"
16.02.2026,"2.213,177","2.213,177","2.213,177","2.211,554","0,04%"
15.02.2026,"2.212,352","2.212,352","2.212,352","2.211,554","0,02%"
14.02.2026,"2.211,953","2.211,953","2.211,953","2.211,953","0,02%"
13.02.2026,"2.211,554","2.211,554","2.211,554","2.211,554","-0,01%"
11.02.2026,"2.211,803","2.211,803","2.211,803","2.210,501","0,06%"
10.02.2026,"2.210,501","2.210,501","2.210,501","2.208,109","0,11%"
09.02.2026,"2.208,109","2.208,109","2.208,793","2.207,424","0,03%"
08.02.2026,"2.207,463","2.207,463","2.208,793","2.207,424","0,00%"
07.02.2026,"2.207,443","2.207,443","2.207,443","2.207,443","0,00%"
06.02.2026,"2.207,424","2.207,424","2.207,424","2.207,424","-0,06%"
05.02.2026,"2.208,793","2.208,793","2.208,793","2.208,101","0,03%"
04.02.2026,"2.208,101","2.208,101","2.208,101","2.207,491","0,03%"
03.02.2026,"2.207,491","2.207,491","2.207,491","2.206,207","0,06%"
02.02.2026,"2.206,207","2.206,207","2.206,207","2.206,123","0,00%"
01.02.2026,"2.206,163","2.206,163","2.206,163","2.206,123","0,00%"
31.01.2026,"2.206,142","2.206,142","2.206,142","2.206,142","0,00%"
30.01.2026,"2.206,123","2.206,123","2.206,123","2.206,123","0,05%"
29.01.2026,"2.204,994","2.204,994","2.204,994","2.202,862","0,10%"
28.01.2026,"2.202,862","2.202,862","2.202,862","2.202,862","0,09%"
27.01.2026,"2.200,988","2.200,988","2.200,988","2.200,988","0,06%"
26.01.2026,"2.199,687","2.199,687","2.199,687","2.199,573","0,00%"
25.01.2026,"2.199,623","2.199,623","2.199,623","2.199,573","0,00%"
24.01.2026,"2.199,598","2.199,598","2.199,598","2.199,598","0,00%"
23.01.2026,"2.199,573","2.199,573","2.199,573","2.199,573","0,01%"
22.01.2026,"2.199,260","2.199,260","2.199,260","2.199,260","0,03%"
21.01.2026,"2.198,604","2.198,604","2.198,604","2.197,475","0,05%"
20.01.2026,"2.197,475","2.197,475","2.197,475","2.197,475","-0,01%"
19.01.2026,"2.197,750","2.197,750","2.197,750","2.197,750","0,03%"
18.01.2026,"2.197,033","2.197,033","2.197,033","2.196,466","0,00%"
17.01.2026,"2.197,008","2.197,008","2.197,008","2.197,008","0,00%"
16.01.2026,"2.196,983","2.196,983","2.196,983","2.196,983","0,02%"
15.01.2026,"2.196,466","2.196,466","2.196,466","2.196,466","0,07%"
14.01.2026,"2.194,970","2.194,970","2.194,970","2.194,970","0,08%"
13.01.2026,"2.193,307","2.193,307","2.193,307","2.193,307","-0,02%"
12.01.2026,"2.193,835","2.193,835","2.193,835","2.193,835","0,04%"
11.01.2026,"2.192,854","2.192,854","2.192,854","2.192,789","0,00%"
10.01.2026,"2.192,821","2.192,821","2.192,821","2.192,821","0,00%"
09.01.2026,"2.192,789","2.192,789","2.192,789","2.192,789","0,04%"
08.01.2026,"2.191,821","2.191,821","2.191,821","2.191,821","0,02%"
07.01.2026,"2.191,460","2.191,460","2.191,460","2.191,460","0,04%"
06.01.2026,"2.190,655","2.190,655","2.190,655","2.190,655","-0,01%"
05.01.2026,"2.190,869","2.190,869","2.190,869","2.190,869","0,09%"
04.01.2026,"2.188,879","2.188,879","2.188,879","2.186,876","0,01%"
03.01.2026,"2.188,557","2.188,557","2.188,557","2.188,557","0,01%"
02.01.2026,"2.188,235","2.188,235","2.188,235","2.188,235","0,03%"
01.01.2026,"2.187,519","2.187,519","2.187,519","2.186,876","0,01%"
31.12.2025,"2.187,197","2.187,197","2.187,197","2.187,197","0,01%"
30.12.2025,"2.186,876","2.186,876","2.186,876","2.186,876","0,03%"
29.12.2025,"2.186,272","2.186,272","2.186,272","2.185,605","0,00%"
28.12.2025,"2.186,250","2.186,250","2.186,250","2.185,605","0,01%"
27.12.2025,"2.185,927","2.185,927","2.185,927","2.185,927","0,01%"
26.12.2025,"2.185,605","2.185,605","2.185,605","2.185,605","0,03%"
25.12.2025,"2.184,863","2.184,863","2.184,863","2.184,541","0,01%"
24.12.2025,"2.184,541","2.184,541","2.184,541","2.184,261","0,01%"
23.12.2025,"2.184,261","2.184,261","2.184,287","2.184,261","-0,00%"
