Fecha,Último,Apertura,Máximo,Mínimo,% var.
24.03.2026,"2.134,309","2.134,309","2.134,309","2.134,309","0,25%"
23.03.2026,"2.128,904","2.128,904","2.129,008","2.128,781","-0,00%"
22.03.2026,"2.129,008","2.129,008","2.129,008","2.128,781","0,01%"
21.03.2026,"2.128,895","2.128,895","2.128,895","2.128,895","0,01%"
20.03.2026,"2.128,781","2.128,781","2.128,781","2.128,781","0,09%"
19.03.2026,"2.126,869","2.126,869","2.126,869","2.126,859","0,00%"
18.03.2026,"2.126,859","2.126,859","2.127,395","2.126,859","-0,03%"
17.03.2026,"2.127,395","2.127,395","2.127,866","2.127,395","-0,02%"
16.03.2026,"2.127,866","2.127,866","2.128,796","2.127,866","-0,03%"
15.03.2026,"2.128,505","2.128,505","2.128,796","2.128,286","0,01%"
14.03.2026,"2.128,396","2.128,396","2.128,396","2.128,396","0,01%"
13.03.2026,"2.128,286","2.128,286","2.128,286","2.128,286","-0,02%"
12.03.2026,"2.128,796","2.128,796","2.129,510","2.128,796","-0,03%"
11.03.2026,"2.129,510","2.129,510","2.129,529","2.129,510","-0,00%"
10.03.2026,"2.129,529","2.129,529","2.131,023","2.129,529","-0,07%"
09.03.2026,"2.131,023","2.131,023","2.131,023","2.128,104","0,10%"
08.03.2026,"2.128,888","2.128,888","2.128,888","2.128,104","0,02%"
07.03.2026,"2.128,496","2.128,496","2.128,496","2.128,496","0,02%"
06.03.2026,"2.128,104","2.128,104","2.128,104","2.128,104","0,10%"
05.03.2026,"2.126,042","2.126,042","2.126,042","2.124,893","0,05%"
04.03.2026,"2.124,893","2.124,893","2.124,893","2.122,860","0,10%"
03.03.2026,"2.122,860","2.122,860","2.122,895","2.122,860","-0,00%"
02.03.2026,"2.122,895","2.122,895","2.122,895","2.120,888","0,01%"
01.03.2026,"2.122,771","2.122,771","2.122,771","2.120,888","0,02%"
28.02.2026,"2.122,375","2.122,375","2.122,375","2.122,375","0,02%"
27.02.2026,"2.121,978","2.121,978","2.121,978","2.121,978","0,05%"
26.02.2026,"2.120,888","2.120,888","2.120,888","2.119,918","0,05%"
25.02.2026,"2.119,918","2.119,918","2.119,918","2.119,918","0,01%"
24.02.2026,"2.119,631","2.119,631","2.119,718","2.119,631","-0,00%"
23.02.2026,"2.119,718","2.119,718","2.119,718","2.118,615","0,01%"
22.02.2026,"2.119,413","2.119,413","2.119,413","2.118,615","0,02%"
21.02.2026,"2.119,014","2.119,014","2.119,014","2.119,014","0,02%"
20.02.2026,"2.118,615","2.118,615","2.118,615","2.118,615","0,02%"
19.02.2026,"2.118,136","2.118,136","2.118,136","2.118,004","0,01%"
18.02.2026,"2.118,004","2.118,004","2.118,004","2.117,198","0,04%"
17.02.2026,"2.117,198","2.117,198","2.117,198","2.116,660","0,03%"
16.02.2026,"2.116,660","2.116,660","2.116,660","2.115,239","0,03%"
15.02.2026,"2.116,037","2.116,037","2.116,037","2.115,239","0,02%"
14.02.2026,"2.115,638","2.115,638","2.115,638","2.115,638","0,02%"
13.02.2026,"2.115,239","2.115,239","2.115,239","2.115,239","0,03%"
