Fecha,Último,Apertura,Máximo,Mínimo,% var.
24.03.2026,1819,1819,1819,1819,"0,18%"
23.03.2026,1816,1816,1820,1816,"-0,22%"
22.03.2026,1820,1820,1820,1820,"0,00%"
21.03.2026,1820,1820,1820,1820,"0,00%"
20.03.2026,1820,1820,1820,1820,"-0,26%"
19.03.2026,1825,1825,1828,1825,"-0,19%"
18.03.2026,1828,1828,1828,1828,"0,04%"
17.03.2026,1827,1827,1827,1827,"0,04%"
16.03.2026,1827,1827,1833,1827,"-0,07%"
15.03.2026,1828,1828,1833,1828,"0,00%"
14.03.2026,1828,1828,1828,1828,"0,00%"
13.03.2026,1828,1828,1828,1828,"-0,29%"
12.03.2026,1833,1833,1834,1833,"0,00%"
11.03.2026,1834,1834,1834,1828,"0,33%"
10.03.2026,1828,1828,1830,1828,"-0,14%"
09.03.2026,1830,1830,1833,1830,"-0,12%"
08.03.2026,1832,1832,1833,1832,"0,00%"
07.03.2026,1832,1832,1832,1832,"0,00%"
06.03.2026,1833,1833,1833,1833,"-0,05%"
05.03.2026,1834,1834,1834,1830,"0,21%"
04.03.2026,1830,1830,1836,1830,"-0,36%"
03.03.2026,1836,1836,1841,1836,"-0,27%"
02.03.2026,1841,1841,1842,1841,"0,00%"
01.03.2026,1841,1841,1842,1841,"0,00%"
28.02.2026,1841,1841,1841,1841,"0,00%"
27.02.2026,1842,1842,1842,1842,"0,00%"
26.02.2026,1842,1842,1842,1842,"0,00%"
25.02.2026,1842,1842,1842,1842,"0,06%"
24.02.2026,1841,1841,1841,1839,"0,10%"
23.02.2026,1839,1839,1839,1837,"0,08%"
22.02.2026,1837,1837,1837,1837,"0,00%"
21.02.2026,1837,1837,1837,1837,"0,00%"
20.02.2026,1837,1837,1837,1837,"0,06%"
19.02.2026,1836,1836,1836,1834,"0,14%"
18.02.2026,1834,1834,1834,1832,"0,10%"
17.02.2026,1832,1832,1832,1832,"0,00%"
16.02.2026,1832,1832,1832,1827,"0,27%"
15.02.2026,1827,1827,1827,1827,"0,00%"
14.02.2026,1827,1827,1827,1827,"0,00%"
13.02.2026,1827,1827,1827,1827,"0,05%"
11.02.2026,1826,1826,1829,1826,"-0,19%"
10.02.2026,1829,1829,1835,1829,"-0,30%"
09.02.2026,1835,1835,1841,1835,"-0,09%"
08.02.2026,1836,1836,1841,1836,"0,00%"
07.02.2026,1837,1837,1837,1837,"0,00%"
06.02.2026,1837,1837,1837,1837,"-0,23%"
05.02.2026,1841,1841,1842,1841,"-0,09%"
04.02.2026,1842,1842,1842,1842,"0,03%"
03.02.2026,1842,1842,1842,1841,"0,04%"
02.02.2026,1841,1841,1841,1840,"0,08%"
01.02.2026,1840,1840,1840,1840,"0,00%"
31.01.2026,1840,1840,1840,1840,"0,00%"
30.01.2026,1840,1840,1840,1840,"0,04%"
29.01.2026,1839,1839,1840,1839,"-0,04%"
28.01.2026,1840,1840,1840,1840,"0,03%"
27.01.2026,1839,1839,1839,1839,"0,08%"
26.01.2026,1838,1838,1838,1835,"0,15%"
25.01.2026,1835,1835,1835,1835,"0,00%"
24.01.2026,1835,1835,1835,1835,"0,00%"
23.01.2026,1835,1835,1835,1835,"0,10%"
22.01.2026,1833,1833,1833,1833,"0,22%"
21.01.2026,1829,1829,1834,1829,"-0,25%"
20.01.2026,1834,1834,1834,1834,"0,00%"
19.01.2026,1834,1834,1834,1834,"0,00%"
18.01.2026,1833,1833,1834,1831,"0,00%"
17.01.2026,1833,1833,1833,1833,"0,00%"
16.01.2026,1834,1834,1834,1834,"0,13%"
15.01.2026,1831,1831,1831,1831,"0,13%"
14.01.2026,1829,1829,1829,1829,"0,03%"
13.01.2026,1828,1828,1828,1828,"0,04%"
12.01.2026,1827,1827,1827,1827,"0,13%"
11.01.2026,1825,1825,1825,1825,"0,00%"
10.01.2026,1825,1825,1825,1825,"0,00%"
09.01.2026,1825,1825,1825,1825,"0,00%"
08.01.2026,1826,1826,1826,1826,"0,10%"
07.01.2026,1824,1824,1824,1824,"0,05%"
06.01.2026,1823,1823,1823,1823,"0,00%"
05.01.2026,1822,1822,1822,1822,"0,04%"
04.01.2026,1821,1821,1821,1821,"0,00%"
03.01.2026,1821,1821,1821,1821,"0,00%"
02.01.2026,1821,1821,1821,1821,"0,05%"
01.01.2026,1821,1821,1821,1821,"0,00%"
31.12.2025,1821,1821,1821,1821,"0,00%"
30.12.2025,1821,1821,1821,1821,"0,05%"
29.12.2025,1820,1820,1820,1819,"0,05%"
28.12.2025,1819,1819,1819,1819,"0,00%"
27.12.2025,1819,1819,1819,1819,"0,00%"
26.12.2025,1819,1819,1819,1819,"0,00%"
25.12.2025,1819,1819,1819,1819,"0,00%"
24.12.2025,1819,1819,1819,1819,"0,00%"
23.12.2025,1819,1819,1819,1817,"0,13%"
22.12.2025,1817,1817,1817,1816,"0,00%"
21.12.2025,1816,1816,1816,1816,"0,00%"
20.12.2025,1816,1816,1816,1816,"0,00%"
19.12.2025,1816,1816,1816,1816,"0,14%"
18.12.2025,1814,1814,1814,1814,"-0,03%"
17.12.2025,1814,1814,1814,1814,"0,00%"
16.12.2025,1814,1814,1814,1814,"0,12%"
15.12.2025,1812,1812,1812,1810,"0,00%"
14.12.2025,1812,1812,1812,1810,"0,00%"
13.12.2025,1812,1812,1812,1812,"0,00%"
12.12.2025,1812,1812,1812,1812,"0,14%"
