Fecha,Último,Apertura,Máximo,Mínimo,% var.
24.03.2026,1760,1760,1760,1760,"0,18%"
23.03.2026,1757,1757,1761,1757,"-0,22%"
22.03.2026,1761,1761,1761,1761,"0,00%"
21.03.2026,1761,1761,1761,1761,"0,00%"
20.03.2026,1761,1761,1761,1761,"-0,27%"
19.03.2026,1765,1765,1769,1765,"-0,18%"
18.03.2026,1769,1769,1769,1768,"0,04%"
17.03.2026,1768,1768,1768,1767,"0,04%"
16.03.2026,1767,1767,1773,1767,"-0,07%"
15.03.2026,1768,1768,1773,1768,"0,00%"
14.03.2026,1768,1768,1768,1768,"0,00%"
13.03.2026,1768,1768,1768,1768,"-0,29%"
12.03.2026,1773,1773,1773,1773,"0,00%"
11.03.2026,1774,1774,1774,1768,"0,33%"
10.03.2026,1768,1768,1770,1768,"-0,14%"
09.03.2026,1770,1770,1773,1770,"-0,12%"
08.03.2026,1773,1773,1773,1773,"0,00%"
07.03.2026,1773,1773,1773,1773,"0,00%"
06.03.2026,1773,1773,1773,1773,"-0,05%"
05.03.2026,1774,1774,1774,1770,"0,21%"
04.03.2026,1770,1770,1776,1770,"-0,36%"
03.03.2026,1776,1776,1781,1776,"-0,28%"
02.03.2026,1781,1781,1782,1781,"0,00%"
01.03.2026,1781,1781,1782,1781,"0,00%"
28.02.2026,1781,1781,1781,1781,"0,00%"
27.02.2026,1781,1781,1781,1781,"-0,03%"
26.02.2026,1782,1782,1782,1782,"0,00%"
25.02.2026,1781,1781,1781,1781,"0,06%"
24.02.2026,1780,1780,1780,1779,"0,10%"
23.02.2026,1779,1779,1779,1777,"0,08%"
22.02.2026,1777,1777,1777,1777,"0,00%"
21.02.2026,1777,1777,1777,1777,"0,00%"
20.02.2026,1777,1777,1777,1777,"0,06%"
19.02.2026,1776,1776,1776,1774,"0,14%"
18.02.2026,1774,1774,1774,1772,"0,11%"
17.02.2026,1772,1772,1772,1772,"0,00%"
16.02.2026,1772,1772,1772,1767,"0,28%"
15.02.2026,1767,1767,1767,1767,"0,00%"
14.02.2026,1767,1767,1767,1767,"0,00%"
13.02.2026,1767,1767,1767,1767,"0,06%"
11.02.2026,1766,1766,1769,1766,"-0,19%"
10.02.2026,1769,1769,1775,1769,"-0,30%"
09.02.2026,1775,1775,1781,1775,"-0,10%"
08.02.2026,1776,1776,1781,1776,"0,00%"
07.02.2026,1776,1776,1776,1776,"0,00%"
06.02.2026,1776,1776,1776,1776,"-0,24%"
05.02.2026,1781,1781,1782,1781,"-0,08%"
04.02.2026,1782,1782,1782,1782,"0,00%"
03.02.2026,1782,1782,1782,1781,"0,04%"
02.02.2026,1781,1781,1781,1780,"0,08%"
01.02.2026,1780,1780,1780,1780,"0,00%"
31.01.2026,1780,1780,1780,1780,"0,00%"
30.01.2026,1780,1780,1780,1780,"0,04%"
29.01.2026,1779,1779,1780,1779,"-0,04%"
28.01.2026,1780,1780,1780,1780,"0,00%"
27.01.2026,1779,1779,1779,1779,"0,08%"
26.01.2026,1778,1778,1778,1775,"0,16%"
25.01.2026,1775,1775,1775,1775,"0,00%"
24.01.2026,1775,1775,1775,1775,"0,00%"
23.01.2026,1775,1775,1775,1775,"0,11%"
22.01.2026,1773,1773,1773,1773,"0,21%"
21.01.2026,1769,1769,1774,1769,"-0,24%"
20.01.2026,1774,1774,1774,1774,"0,00%"
19.01.2026,1773,1773,1773,1773,"0,00%"
18.01.2026,1773,1773,1773,1771,"0,00%"
17.01.2026,1773,1773,1773,1773,"0,00%"
16.01.2026,1773,1773,1773,1773,"0,13%"
15.01.2026,1771,1771,1771,1771,"0,13%"
14.01.2026,1769,1769,1769,1769,"0,00%"
13.01.2026,1768,1768,1768,1768,"0,05%"
12.01.2026,1767,1767,1767,1767,"0,13%"
11.01.2026,1765,1765,1765,1765,"0,00%"
10.01.2026,1765,1765,1765,1765,"0,00%"
09.01.2026,1765,1765,1765,1765,"0,00%"
08.01.2026,1765,1765,1765,1765,"0,11%"
07.01.2026,1764,1764,1764,1764,"0,05%"
06.01.2026,1763,1763,1763,1763,"0,00%"
05.01.2026,1762,1762,1762,1762,"0,05%"
04.01.2026,1761,1761,1762,1761,"0,00%"
03.01.2026,1762,1762,1762,1762,"0,00%"
02.01.2026,1762,1762,1762,1762,"0,06%"
01.01.2026,1761,1761,1761,1761,"0,00%"
31.12.2025,1761,1761,1761,1761,"0,00%"
30.12.2025,1761,1761,1761,1761,"0,05%"
29.12.2025,1760,1760,1760,1759,"0,06%"
28.12.2025,1759,1759,1759,1759,"0,00%"
27.12.2025,1759,1759,1759,1759,"0,00%"
26.12.2025,1759,1759,1759,1759,"0,00%"
25.12.2025,1759,1759,1759,1759,"0,00%"
24.12.2025,1759,1759,1759,1759,"0,00%"
23.12.2025,1759,1759,1759,1757,"0,13%"
22.12.2025,1757,1757,1757,1757,"0,00%"
21.12.2025,1757,1757,1757,1757,"0,00%"
20.12.2025,1757,1757,1757,1757,"0,00%"
19.12.2025,1757,1757,1757,1757,"0,14%"
18.12.2025,1754,1754,1754,1754,"-0,03%"
17.12.2025,1755,1755,1755,1755,"0,00%"
16.12.2025,1755,1755,1755,1755,"0,13%"
15.12.2025,1752,1752,1753,1750,"0,00%"
14.12.2025,1752,1752,1753,1750,"0,00%"
13.12.2025,1753,1753,1753,1753,"0,00%"
12.12.2025,1753,1753,1753,1753,"0,15%"
11.12.2025,1750,1750,1750,1749,"0,04%"
10.12.2025,1749,1749,1750,1749,"-0,05%"
09.12.2025,1750,1750,1750,1750,"0,00%"
08.12.2025,1750,1750,1750,1750,"0,00%"
07.12.2025,1750,1750,1750,1750,"0,00%"
06.12.2025,1750,1750,1750,1750,"0,00%"
05.12.2025,1750,1750,1750,1750,"0,05%"
04.12.2025,1749,1749,1749,1749,"0,24%"
03.12.2025,1745,1745,1745,1745,"0,00%"
02.12.2025,1745,1745,1746,1745,"-0,09%"
01.12.2025,1746,1746,1746,1746,"0,10%"
30.11.2025,1744,1744,1745,1744,"0,00%"
29.11.2025,1744,1744,1745,1744,"0,00%"
28.11.2025,1745,1745,1745,1745,"0,00%"
27.11.2025,1744,1744,1745,1744,"0,00%"
26.11.2025,1745,1745,1745,1744,"0,05%"
25.11.2025,1744,1744,1744,1743,"0,06%"
24.11.2025,1743,1743,1743,1743,"0,00%"
23.11.2025,1743,1743,1743,1742,"0,00%"
22.11.2025,1743,1743,1743,1743,"0,00%"
21.11.2025,1743,1743,1743,1743,"0,06%"
20.11.2025,1742,1742,1742,1742,"-0,03%"
19.11.2025,1742,1742,1742,1742,"-0,04%"
18.11.2025,1743,1743,1743,1743,"0,00%"
17.11.2025,1743,1743,1743,1743,"-0,07%"
16.11.2025,1744,1744,1747,1744,"0,00%"
15.11.2025,1745,1745,1745,1745,"0,00%"
14.11.2025,1745,1745,1745,1745,"-0,11%"
13.11.2025,1747,1747,1747,1747,"0,17%"
12.11.2025,1744,1744,1744,1744,"0,03%"
11.11.2025,1743,1743,1743,1743,"0,03%"
10.11.2025,1742,1742,1742,1742,"0,00%"
09.11.2025,1743,1742,1744,1742,"0,00%"
08.11.2025,1742,1742,1742,1742,"0,00%"
07.11.2025,1743,1743,1743,1743,"0,05%"
06.11.2025,1742,1742,1744,1742,"-0,13%"
05.11.2025,1744,1744,1744,1744,"-0,08%"
04.11.2025,1745,1745,1745,1745,"-0,04%"
03.11.2025,1746,1746,1746,1746,"-0,11%"
02.11.2025,1748,1748,1748,1748,"0,00%"
01.11.2025,1748,1748,1748,1748,"0,00%"
31.10.2025,1748,1748,1748,1748,"0,00%"
30.10.2025,1748,1748,1748,1748,"0,05%"
29.10.2025,1747,1747,1747,1747,"0,07%"
28.10.2025,1746,1746,1746,1737,"0,52%"
27.10.2025,1737,1737,1737,1734,"0,18%"
26.10.2025,1734,1734,1734,1734,"0,00%"
25.10.2025,1734,1734,1734,1734,"0,00%"
24.10.2025,1734,1734,1734,1734,"-0,12%"
23.10.2025,1736,1736,1736,1736,"-0,16%"
22.10.2025,1739,1739,1739,1739,"0,17%"
21.10.2025,1736,1736,1736,1736,"0,00%"
20.10.2025,1736,1736,1736,1736,"0,07%"
19.10.2025,1734,1734,1734,1734,"0,00%"
18.10.2025,1734,1734,1734,1734,"0,00%"
17.10.2025,1734,1734,1734,1734,"0,06%"
16.10.2025,1733,1733,1733,1733,"0,46%"
15.10.2025,1725,1725,1725,1722,"0,21%"
14.10.2025,1722,1722,1722,1722,"0,00%"
13.10.2025,1722,1722,1722,1722,"-0,61%"
12.10.2025,1732,1732,1738,1732,"0,00%"
11.10.2025,1732,1732,1732,1732,"0,00%"
10.10.2025,1732,1732,1732,1732,"-0,32%"
09.10.2025,1738,1738,1739,1738,"-0,06%"
08.10.2025,1739,1739,1739,1739,"-0,06%"
07.10.2025,1740,1740,1740,1740,"0,00%"
06.10.2025,1739,1739,1739,1739,"0,17%"
05.10.2025,1736,1736,1737,1736,"0,00%"
04.10.2025,1736,1736,1736,1736,"0,00%"
03.10.2025,1736,1736,1736,1736,"0,00%"
02.10.2025,1737,1737,1737,1737,"-0,07%"
01.10.2025,1738,1738,1738,1738,"0,00%"
30.09.2025,1738,1738,1738,1738,"-0,24%"
29.09.2025,1742,1742,1742,1742,"-0,23%"
28.09.2025,1746,1746,1749,1746,"0,00%"
27.09.2025,1746,1746,1746,1746,"0,00%"
26.09.2025,1746,1746,1746,1746,"-0,13%"
25.09.2025,1749,1749,1749,1749,"0,05%"
24.09.2025,1748,1748,1748,1748,"0,06%"
23.09.2025,1747,1747,1747,1747,"0,16%"
22.09.2025,1744,1744,1744,1744,"-0,06%"
21.09.2025,1745,1745,1745,1745,"0,00%"
20.09.2025,1745,1745,1745,1745,"0,00%"
19.09.2025,1745,1745,1745,1745,"0,00%"
18.09.2025,1745,1745,1745,1745,"0,09%"
16.09.2025,1744,1744,1744,1744,"0,09%"
15.09.2025,1742,1742,1742,1742,"0,07%"
14.09.2025,1741,1741,1741,1737,"0,00%"
13.09.2025,1741,1741,1741,1741,"0,00%"
12.09.2025,1741,1741,1741,1741,"0,23%"
11.09.2025,1737,1737,1737,1737,"0,29%"
10.09.2025,1732,1732,1732,1732,"0,11%"
09.09.2025,1730,1730,1730,1730,"-0,14%"
08.09.2025,1732,1732,1732,1732,"0,31%"
07.09.2025,1727,1727,1727,1727,"0,00%"
06.09.2025,1727,1727,1727,1727,"0,00%"
05.09.2025,1727,1727,1727,1727,"0,17%"
04.09.2025,1724,1724,1724,1724,"0,13%"
03.09.2025,1722,1722,1722,1722,"-0,15%"
02.09.2025,1724,1724,1724,1724,"0,04%"
01.09.2025,1724,1724,1724,1721,"0,00%"
31.08.2025,1724,1724,1724,1721,"0,00%"
30.08.2025,1724,1724,1724,1724,"0,00%"
29.08.2025,1724,1724,1724,1724,"0,17%"
28.08.2025,1721,1721,1721,1721,"0,03%"
27.08.2025,1720,1720,1720,1720,"-0,08%"
26.08.2025,1722,1722,1722,1718,"-0,05%"
25.08.2025,1722,1722,1722,1718,"0,26%"
24.08.2025,1718,1718,1718,1718,"0,00%"
23.08.2025,1718,1718,1718,1718,"0,00%"
22.08.2025,1718,1718,1718,1718,"-0,09%"
21.08.2025,1720,1720,1720,1720,"-0,06%"
20.08.2025,1721,1721,1721,1721,"0,06%"
19.08.2025,1719,1719,1719,1719,"-0,16%"
18.08.2025,1722,1722,1722,1722,"0,12%"
17.08.2025,1720,1720,1720,1720,"0,00%"
16.08.2025,1720,1720,1720,1720,"0,00%"
15.08.2025,1720,1720,1720,1720,"0,00%"
14.08.2025,1720,1720,1720,1720,"0,21%"
13.08.2025,1717,1717,1717,1717,"0,23%"
12.08.2025,1713,1713,1713,1713,"0,15%"
11.08.2025,1710,1710,1710,1710,"0,12%"
10.08.2025,1708,1708,1708,1707,"0,00%"
09.08.2025,1708,1708,1708,1708,"0,00%"
08.08.2025,1708,1708,1708,1708,"0,11%"
07.08.2025,1707,1707,1707,1707,"0,08%"
06.08.2025,1705,1705,1705,1705,"0,09%"
05.08.2025,1704,1704,1704,1704,"0,15%"
04.08.2025,1701,1701,1701,1701,"0,00%"
03.08.2025,1701,1701,1701,1701,"0,00%"
02.08.2025,1701,1701,1701,1701,"0,00%"
01.08.2025,1701,1701,1701,1701,"0,10%"
31.07.2025,1699,1699,1699,1698,"0,08%"
30.07.2025,1698,1698,1698,1698,"0,22%"
29.07.2025,1694,1694,1694,1694,"0,00%"
28.07.2025,1694,1694,1694,1694,"0,00%"
27.07.2025,1695,1694,1694,1694,"0,00%"
26.07.2025,1694,1694,1694,1694,"0,00%"
25.07.2025,1695,1695,1695,1695,"0,06%"
24.07.2025,1694,1694,1694,1694,"0,04%"
23.07.2025,1693,1693,1693,1693,"0,10%"
22.07.2025,1691,1691,1691,1691,"0,15%"
21.07.2025,1689,1689,1689,1689,"0,14%"
20.07.2025,1686,1686,1686,1685,"0,00%"
19.07.2025,1686,1686,1686,1686,"0,00%"
18.07.2025,1686,1686,1686,1686,"0,06%"
17.07.2025,1685,1685,1685,1685,"0,00%"
16.07.2025,1685,1685,1685,1685,"0,00%"
15.07.2025,1685,1685,1685,1685,"-0,07%"
14.07.2025,1686,1686,1686,1686,"0,00%"
13.07.2025,1686,1686,1686,1686,"0,00%"
12.07.2025,1686,1686,1686,1686,"0,04%"
10.07.2025,1686,1686,1686,1686,"0,20%"
09.07.2025,1683,1683,1683,1683,"-0,11%"
08.07.2025,1684,1684,1684,1684,"-0,05%"
07.07.2025,1685,1685,1685,1685,"0,05%"
06.07.2025,1684,1684,1684,1683,"0,00%"
05.07.2025,1684,1684,1684,1684,"0,00%"
04.07.2025,1684,1684,1684,1684,"0,12%"
03.07.2025,1683,1683,1683,1683,"0,00%"
02.07.2025,1683,1683,1683,1683,"0,10%"
01.07.2025,1681,1681,1681,1681,"0,11%"
30.06.2025,1679,1679,1679,1679,"0,04%"
29.06.2025,1678,1678,1678,1677,"0,00%"
28.06.2025,1678,1678,1678,1678,"0,00%"
27.06.2025,1678,1678,1678,1678,"0,11%"
26.06.2025,1677,1677,1677,1677,"0,08%"
25.06.2025,1675,1675,1675,1675,"0,31%"
24.06.2025,1670,1670,1670,1670,"0,12%"
23.06.2025,1668,1668,1668,1668,"0,00%"
22.06.2025,1668,1668,1668,1668,"0,00%"
21.06.2025,1668,1668,1668,1668,"0,00%"
20.06.2025,1668,1668,1668,1668,"0,00%"
19.06.2025,1668,1668,1668,1668,"0,08%"
18.06.2025,1667,1667,1667,1664,"0,14%"
17.06.2025,1664,1664,1664,1664,"-0,26%"
16.06.2025,1669,1669,1669,1669,"0,00%"
15.06.2025,1669,1668,1668,1667,"0,00%"
14.06.2025,1669,1669,1669,1669,"0,00%"
13.06.2025,1669,1669,1669,1669,"0,10%"
12.06.2025,1667,1667,1667,1667,"0,17%"
11.06.2025,1664,1664,1664,1664,"0,30%"
10.06.2025,1659,1659,1659,1659,"0,00%"
09.06.2025,1660,1660,1660,1660,"0,00%"
08.06.2025,1660,1660,1660,1660,"0,00%"
07.06.2025,1660,1660,1660,1660,"0,00%"
06.06.2025,1660,1660,1660,1660,"0,00%"
05.06.2025,1660,1660,1660,1660,"0,16%"
04.06.2025,1657,1657,1657,1657,"0,17%"
03.06.2025,1654,1654,1654,1654,"0,00%"
02.06.2025,1654,1654,1654,1652,"0,13%"
31.05.2025,1652,1652,1652,1652,"0,00%"
30.05.2025,1652,1652,1652,1652,"0,00%"
29.05.2025,1652,1652,1652,1652,"0,00%"
28.05.2025,1652,1652,1652,1652,"0,23%"
27.05.2025,1648,1648,1648,1648,"0,00%"
26.05.2025,1648,1648,1648,1648,"0,06%"
25.05.2025,1647,1647,1649,1647,"0,00%"
