Fecha,Último,Apertura,Máximo,Mínimo,% var.
24.03.2026,"1.926,612","1.926,612","1.926,612","1.926,612","-0,91%"
23.03.2026,"1.944,380","1.944,380","1.961,343","1.944,380","-0,85%"
22.03.2026,"1.961,045","1.961,045","1.961,343","1.961,045","-0,01%"
21.03.2026,"1.961,194","1.961,194","1.961,194","1.961,194","-0,01%"
20.03.2026,"1.961,343","1.961,343","1.961,343","1.961,343","-0,69%"
19.03.2026,"1.974,977","1.974,977","2.005,688","1.974,977","-1,53%"
18.03.2026,"2.005,688","2.005,688","2.005,959","2.005,688","-0,01%"
17.03.2026,"2.005,959","2.005,959","2.005,959","1.984,832","1,06%"
16.03.2026,"1.984,832","1.984,832","1.984,832","1.951,582","0,86%"
15.03.2026,"1.967,819","1.967,819","1.968,115","1.951,582","-0,01%"
14.03.2026,"1.967,967","1.967,967","1.967,967","1.967,967","-0,01%"
13.03.2026,"1.968,115","1.968,115","1.968,115","1.968,115","0,85%"
12.03.2026,"1.951,582","1.951,582","1.968,519","1.951,582","-0,86%"
11.03.2026,"1.968,519","1.968,519","1.980,007","1.968,519","-0,58%"
10.03.2026,"1.980,007","1.980,007","1.980,007","1.940,111","2,06%"
09.03.2026,"1.940,111","1.940,111","1.940,111","1.934,011","0,32%"
08.03.2026,"1.934,011","1.934,011","1.934,303","1.934,011","-0,01%"
07.03.2026,"1.934,157","1.934,157","1.934,157","1.934,157","-0,01%"
06.03.2026,"1.934,303","1.934,303","1.934,303","1.934,303","-0,77%"
05.03.2026,"1.949,386","1.949,386","1.990,094","1.949,386","-2,05%"
04.03.2026,"1.990,094","1.990,094","1.990,094","1.939,229","2,62%"
03.03.2026,"1.939,229","1.939,229","1.995,726","1.939,229","-2,83%"
02.03.2026,"1.995,726","1.995,726","2.092,876","1.995,726","-4,16%"
01.03.2026,"2.082,262","2.082,262","2.092,876","2.082,262","-0,01%"
28.02.2026,"2.082,412","2.082,412","2.082,412","2.082,412","-0,01%"
27.02.2026,"2.082,563","2.082,563","2.082,563","2.082,563","-0,49%"
26.02.2026,"2.092,876","2.092,876","2.094,575","2.092,876","-0,08%"
25.02.2026,"2.094,575","2.094,575","2.094,575","2.094,575","1,40%"
24.02.2026,"2.065,597","2.065,597","2.065,597","2.057,528","0,39%"
23.02.2026,"2.057,528","2.057,528","2.057,528","2.053,906","0,18%"
22.02.2026,"2.053,906","2.053,906","2.054,200","2.053,906","-0,01%"
21.02.2026,"2.054,053","2.054,053","2.054,053","2.054,053","-0,01%"
20.02.2026,"2.054,200","2.054,200","2.054,200","2.054,200","-0,18%"
19.02.2026,"2.057,969","2.057,969","2.071,367","2.057,969","-0,65%"
18.02.2026,"2.071,367","2.071,367","2.071,367","2.068,723","0,13%"
17.02.2026,"2.068,723","2.068,723","2.079,322","2.068,723","-0,51%"
16.02.2026,"2.079,322","2.079,322","2.079,322","2.065,222","0,68%"
15.02.2026,"2.065,222","2.065,222","2.065,517","2.065,222","-0,01%"
14.02.2026,"2.065,369","2.065,369","2.065,369","2.065,369","-0,01%"
13.02.2026,"2.065,517","2.065,517","2.065,517","2.065,517","-3,54%"
11.02.2026,"2.141,427","2.141,427","2.141,427","2.127,399","0,66%"
10.02.2026,"2.127,399","2.127,399","2.180,996","2.127,399","-2,46%"
09.02.2026,"2.180,996","2.180,996","2.180,996","2.166,187","0,68%"
08.02.2026,"2.166,187","2.166,187","2.175,938","2.166,187","-0,01%"
