"Fecha","Último","Apertura","Máximo","Mínimo","% var."
"Mar 2026","2.983,367","2.974,779","2.983,367","2.973,222","0,30%"
"Feb 2026","2.974,341","2.962,052","2.974,341","2.961,701","0,42%"
"Ene 2026","2.961,877","2.951,841","2.961,877","2.951,065","0,35%"
"Dic 2025","2.951,453","2.943,474","2.951,453","2.942,572","0,28%"
"Nov 2025","2.943,098","2.936,648","2.943,593","2.935,842","0,23%"
"Oct 2025","2.936,245","2.925,942","2.936,245","2.925,603","0,36%"
"Sep 2025","2.925,603","2.913,366","2.925,603","2.913,366","0,44%"
"Ago 2025","2.912,840","2.898,108","2.912,840","2.897,410","0,53%"
"Jul 2025","2.897,410","2.886,840","2.897,410","2.886,691","0,36%"
"Jun 2025","2.886,898","2.878,115","2.886,898","2.877,602","0,33%"
"May 2025","2.877,261","2.868,352","2.877,261","2.867,898","0,33%"
"Abr 2025","2.867,898","2.851,289","2.867,898","2.850,113","0,62%"
"Mar 2025","2.850,113","2.833,141","2.850,113","2.833,141","0,61%"
"Feb 2025","2.832,789","2.817,342","2.832,789","2.817,342","0,58%"
"Ene 2025","2.816,464","2.803,523","2.817,827","2.803,523","0,49%"
"Dic 2024","2.802,637","2.790,855","2.802,637","2.790,855","0,46%"
"Nov 2024","2.789,703","2.771,473","2.789,706","2.771,473","0,68%"
"Oct 2024","2.770,948","2.766,695","2.772,180","2.766,695","0,17%"
"Sep 2024","2.766,212","2.748,856","2.766,212","2.748,856","0,66%"
"Ago 2024","2.748,031","2.728,746","2.748,031","2.728,746","0,73%"
"Jul 2024","2.728,051","2.708,713","2.728,051","2.708,713","0,73%"
"Jun 2024","2.708,271","2.691,698","2.708,805","2.691,698","0,60%"
"May 2024","2.692,163","2.673,083","2.692,880","2.673,083","0,76%"
"Abr 2024","2.671,802","2.657,204","2.671,802","2.657,204","0,57%"
"Mar 2024","2.656,606","2.638,942","2.656,606","2.638,942","0,65%"
"Feb 2024","2.639,381","2.619,997","2.639,438","2.619,997","0,77%"
"Ene 2024","2.619,119","2.601,858","2.619,119","2.601,858","0,69%"
"Dic 2023","2.601,135","2.571,734","2.601,135","2.571,734","1,20%"
"Nov 2023","2.570,398","2.549,064","2.570,398","2.549,064","0,87%"
"Oct 2023","2.548,233","2.535,677","2.548,289","2.535,677","0,49%"
"Sep 2023","2.535,731","2.527,732","2.537,370","2.527,732","0,35%"
"Ago 2023","2.526,943","2.503,366","2.526,943","2.503,366","1,05%"
"Jul 2023","2.500,771","2.484,471","2.500,771","2.484,471","0,69%"
"Jun 2023","2.483,551","2.455,958","2.483,551","2.455,958","1,15%"
"May 2023","2.455,423","2.440,987","2.455,423","2.440,987","0,61%"
"Abr 2023","2.440,604","2.429,454","2.440,604","2.429,454","0,52%"
"Mar 2023","2.427,941","2.410,938","2.428,278","2.410,938","0,75%"
