"Fecha","Último","Apertura","Máximo","Mínimo","% var."
"Mar 2026","2.530,442","2.525,580","2.539,570","2.522,520","0,21%"
"Feb 2026","2.525,102","2.510,887","2.525,102","2.510,867","0,57%"
"Ene 2026","2.510,878","2.493,775","2.510,878","2.493,004","0,70%"
"Dic 2025","2.493,390","2.487,181","2.493,390","2.486,281","0,23%"
"Nov 2025","2.487,789","2.476,857","2.489,052","2.475,973","0,46%"
"Oct 2025","2.476,415","2.468,870","2.477,356","2.467,958","0,34%"
"Sep 2025","2.467,961","2.453,411","2.467,961","2.451,557","0,61%"
"Ago 2025","2.453,088","2.436,322","2.455,514","2.434,206","0,78%"
"Jul 2025","2.434,206","2.416,970","2.434,206","2.412,960","0,71%"
"Jun 2025","2.416,956","2.405,852","2.417,608","2.404,229","0,53%"
"May 2025","2.404,229","2.404,506","2.406,470","2.399,506","0,01%"
"Abr 2025","2.403,991","2.381,771","2.403,991","2.379,154","1,04%"
"Mar 2025","2.379,154","2.359,701","2.379,154","2.359,701","0,87%"
"Feb 2025","2.358,524","2.337,775","2.358,524","2.337,775","0,92%"
"Ene 2025","2.337,063","2.320,036","2.340,816","2.320,036","0,85%"
"Dic 2024","2.317,337","2.322,528","2.330,992","2.316,715","-0,13%"
"Nov 2024","2.320,316","2.294,246","2.322,655","2.294,246","1,21%"
"Oct 2024","2.292,684","2.320,119","2.323,885","2.292,684","-1,03%"
"Sep 2024","2.316,469","2.281,051","2.316,469","2.280,525","1,62%"
"Ago 2024","2.279,587","2.241,160","2.279,969","2.241,160","1,78%"
"Jul 2024","2.239,700","2.208,183","2.239,700","2.208,183","1,47%"
"Jun 2024","2.207,177","2.193,319","2.212,190","2.193,319","0,56%"
"May 2024","2.194,971","2.167,719","2.199,023","2.167,719","1,42%"
"Abr 2024","2.164,337","2.163,137","2.169,797","2.152,516","0,06%"
"Mar 2024","2.163,085","2.137,794","2.163,085","2.137,794","1,10%"
"Feb 2024","2.139,607","2.123,149","2.145,500","2.123,149","0,82%"
"Ene 2024","2.122,239","2.119,151","2.122,239","2.105,563","0,24%"
"Dic 2023","2.117,231","2.077,465","2.117,942","2.077,465","2,11%"
"Nov 2023","2.073,395","2.013,062","2.073,395","2.013,062","2,99%"
"Oct 2023","2.013,235","2.024,710","2.035,531","2.011,685","-0,65%"
"Sep 2023","2.026,308","2.046,820","2.051,347","2.026,308","-0,96%"
"Ago 2023","2.045,944","2.033,139","2.045,944","2.033,139","0,88%"
"Jul 2023","2.028,124","2.027,197","2.031,500","2.017,202","0,10%"
"Jun 2023","2.026,015","1.994,228","2.028,063","1.994,228","1,56%"
"May 2023","1.994,985","2.003,210","2.005,812","1.990,833","-0,35%"
"Abr 2023","2.001,993","2.010,647","2.018,599","2.001,263","-0,16%"
"Mar 2023","2.005,295","1.980,331","2.005,295","1.978,740","1,39%"
"Feb 2023","1.977,887","1.980,614","1.980,614","1.973,656","-0,19%"
"Ene 2023","1.981,654","1.962,503","1.981,654","1.962,503","1,08%"
"Dic 2022","1.960,562","1.951,562","1.960,562","1.948,090","0,51%"
"Nov 2022","1.950,670","1.897,608","1.953,160","1.897,608","2,92%"
"Oct 2022","1.895,245","1.880,096","1.895,245","1.869,724","0,86%"
"Sep 2022","1.879,105","1.892,103","1.907,788","1.879,105","-0,79%"
"Ago 2022","1.893,986","1.906,261","1.909,873","1.888,206","-0,52%"
"Jul 2022","1.903,906","1.879,021","1.906,651","1.879,021","1,35%"
"Jun 2022","1.878,548","1.857,721","1.878,548","1.857,721","1,05%"
"May 2022","1.859,082","1.840,205","1.859,082","1.831,515","0,98%"
"Abr 2022","1.841,106","1.786,322","1.841,106","1.786,322","3,23%"
"Mar 2022","1.783,570","1.767,048","1.794,446","1.767,048","0,96%"
"Feb 2022","1.766,578","1.741,352","1.766,578","1.741,352","1,67%"
"Ene 2022","1.737,500","1.738,599","1.750,183","1.733,402","-0,07%"
"Dic 2021","1.738,679","1.723,897","1.738,679","1.714,408","0,75%"
"Nov 2021","1.725,811","1.695,117","1.725,811","1.695,117","1,95%"
"Oct 2021","1.692,877","1.717,174","1.717,289","1.654,820","-1,57%"
"Sep 2021","1.719,957","1.760,296","1.760,296","1.715,379","-2,16%"
"Ago 2021","1.758,018","1.735,477","1.758,018","1.735,477","1,28%"
"Jul 2021","1.735,760","1.756,888","1.756,888","1.729,675","-1,50%"
"Jun 2021","1.762,281","1.779,028","1.785,540","1.761,766","-0,72%"
"May 2021","1.774,995","1.789,285","1.807,476","1.771,281","-1,33%"
"Abr 2021","1.798,896","1.830,702","1.837,436","1.798,896","-1,72%"
"Mar 2021","1.830,286","1.852,740","1.860,325","1.830,286","-1,14%"
"Feb 2021","1.851,455","1.848,448","1.869,424","1.848,448","0,19%"
"Ene 2021","1.847,896","1.823,457","1.847,896","1.823,355","1,36%"
"Dic 2020","1.823,177","1.821,745","1.824,513","1.821,119","0,12%"
"Nov 2020","1.821,080","1.800,778","1.821,495","1.800,778","1,19%"
"Oct 2020","1.799,719","1.782,040","1.799,719","1.780,921","0,88%"
"Sep 2020","1.784,020","1.796,331","1.797,930","1.784,020","-0,24%"
"Ago 2020","1.788,308","1.757,420","1.788,308","1.757,420","1,72%"
"Jul 2020","1.758,041","1.758,756","1.766,119","1.748,156","-0,14%"
"Jun 2020","1.760,527","1.762,175","1.762,593","1.739,803","-0,03%"
"May 2020","1.760,976","1.722,760","1.762,013","1.722,760","2,51%"
"Abr 2020","1.717,881","1.671,983","1.717,881","1.671,983","2,72%"
"Mar 2020","1.672,406","1.692,205","1.723,069","1.668,401","-1,43%"
"Feb 2020","1.696,687","1.720,479","1.723,150","1.696,687","-1,35%"
"Ene 2020","1.719,983","1.702,754","1.720,888","1.702,754","1,07%"
"Dic 2019","1.701,771","1.671,103","1.701,771","1.665,160","1,85%"
"Nov 2019","1.670,918","1.683,065","1.685,690","1.612,754","-0,92%"
"Oct 2019","1.686,408","1.711,382","1.722,695","1.686,408","-1,43%"
"Sep 2019","1.710,788","1.703,905","1.710,888","1.703,905","0,35%"
"Ago 2019","1.704,743","1.686,353","1.704,743","1.686,353","1,12%"
"Jul 2019","1.685,785","1.665,648","1.685,785","1.664,920","1,30%"
"Jun 2019","1.664,219","1.648,431","1.669,619","1.648,431","1,09%"
"May 2019","1.646,254","1.631,864","1.646,254","1.631,747","0,89%"
"Abr 2019","1.631,747","1.621,159","1.633,268","1.621,159","0,64%"
"Mar 2019","1.621,362","1.611,063","1.621,362","1.610,841","0,63%"
"Feb 2019","1.611,282","1.607,495","1.611,534","1.607,495","0,30%"
"Ene 2019","1.606,540","1.598,785","1.606,540","1.598,785","0,51%"
"Dic 2018","1.598,391","1.593,865","1.598,391","1.593,865","0,33%"
"Nov 2018","1.593,135","1.588,636","1.593,373","1.588,636","0,28%"
"Oct 2018","1.588,636","1.592,808","1.594,850","1.586,978","-0,22%"
"Sep 2018","1.592,111","1.590,400","1.594,167","1.590,400","0,11%"
"Ago 2018","1.590,400","1.585,303","1.593,208","1.585,303","0,32%"
"Jul 2018","1.585,303","1.578,924","1.585,303","1.578,924","0,40%"
"Jun 2018","1.579,018","1.572,290","1.579,286","1.572,290","0,43%"
"May 2018","1.572,290","1.562,344","1.572,290","1.561,000","0,60%"
"Abr 2018","1.562,897","1.560,742","1.563,451","1.560,742","0,14%"
"Mar 2018","1.560,761","1.556,759","1.560,761","1.554,725","0,20%"
"Feb 2018","1.557,678","1.548,347","1.557,823","1.546,582","0,62%"
"Ene 2018","1.548,119","1.538,793","1.548,879","1.538,793","0,64%"
"Dic 2017","1.538,264","1.527,126","1.538,264","1.523,946","0,75%"
"Nov 2017","1.526,809","1.525,922","1.535,782","1.525,894","0,09%"
"Oct 2017","1.525,431","1.530,914","1.531,161","1.514,377","-0,47%"
"Sep 2017","1.532,668","1.538,389","1.539,856","1.532,668","-0,34%"
"Ago 2017","1.537,942","1.532,123","1.537,942","1.531,279","0,42%"
"Jul 2017","1.531,465","1.532,901","1.533,015","1.526,675","-0,19%"
