"Fecha","Último","Apertura","Máximo","Mínimo","% var."
"Mar 2026","6.326,432","6.499,376","6.501,789","6.196,773","-2,66%"
"Feb 2026","6.499,572","6.161,465","6.499,768","6.043,844","5,48%"
"Ene 2026","6.161,651","5.876,594","6.161,836","5.876,594","4,85%"
"Dic 2025","5.876,771","5.862,902","5.901,287","5.741,085","0,26%"
"Nov 2025","5.861,248","6.102,435","6.102,803","5.802,096","-3,96%"
"Oct 2025","6.102,619","5.978,376","6.102,803","5.964,934","2,31%"
"Sep 2025","5.964,934","5.665,694","5.964,934","5.641,565","5,73%"
"Ago 2025","5.641,565","5.499,260","5.687,436","5.470,875","0,68%"
"Jul 2025","5.603,296","5.244,548","5.632,453","5.244,548","6,15%"
"Jun 2025","5.278,597","5.023,658","5.290,821","5.023,658","4,71%"
"May 2025","5.041,146","4.876,517","5.099,202","4.876,517","3,37%"
"Abr 2025","4.876,655","4.856,495","4.893,840","4.609,172","-0,24%"
"Mar 2025","4.888,284","4.955,286","4.955,286","4.787,981","-0,68%"
"Feb 2025","4.921,799","4.993,355","5.011,153","4.880,251","-1,21%"
"Ene 2025","4.982,302","4.974,650","5.049,513","4.873,762","0,17%"
"Dic 2024","4.973,769","4.907,551","5.047,968","4.907,270","1,39%"
"Nov 2024","4.905,397","4.983,229","5.069,910","4.864,884","-1,18%"
"Oct 2024","4.963,866","4.806,039","5.054,187","4.805,788","3,97%"
"Sep 2024","4.774,418","4.614,028","4.774,418","4.602,435","3,08%"
"Ago 2024","4.631,727","4.723,248","4.723,248","4.451,499","-2,05%"
"Jul 2024","4.728,789","4.746,250","4.803,677","4.682,120","-0,84%"
"Jun 2024","4.769,034","4.539,267","4.769,034","4.440,544","5,35%"
"May 2024","4.526,784","4.584,593","4.647,252","4.522,505","-0,69%"
"Abr 2024","4.558,200","4.739,381","4.761,021","4.461,841","-3,49%"
"Mar 2024","4.723,050","4.622,249","4.732,937","4.530,441","0,72%"
"Feb 2024","4.689,205","4.263,113","4.691,227","4.259,690","10,01%"
"Ene 2024","4.262,393","4.169,881","4.262,393","4.089,189","1,39%"
"Dic 2023","4.203,962","3.981,771","4.203,962","3.942,056","5,21%"
"Nov 2023","3.995,788","3.837,170","4.103,204","3.837,132","2,15%"
"Oct 2023","3.911,652","3.964,210","4.168,967","3.911,652","-2,02%"
"Sep 2023","3.992,231","3.930,555","4.065,195","3.901,135","1,42%"
"Ago 2023","3.936,348","3.996,857","4.062,342","3.813,628","-0,21%"
"Jul 2023","3.944,801","3.664,527","3.944,801","3.657,738","7,46%"
