"Fecha","Último","Apertura","Máximo","Mínimo","% var."
"Mar 2026","2.542,110","2.613,537","2.614,399","2.490,932","-2,74%"
"Feb 2026","2.613,723","2.480,508","2.613,909","2.432,456","5,36%"
"Ene 2026","2.480,685","2.368,840","2.480,862","2.368,840","4,71%"
"Dic 2025","2.369,008","2.366,333","2.381,043","2.315,643","0,14%"
"Nov 2025","2.365,763","2.466,050","2.466,401","2.342,561","-4,07%"
"Oct 2025","2.466,226","2.418,997","2.466,401","2.412,762","2,18%"
"Sep 2025","2.413,657","2.295,306","2.413,657","2.285,625","5,60%"
"Ago 2025","2.285,625","2.230,720","2.304,588","2.218,933","0,55%"
"Jul 2025","2.273,015","2.130,111","2.284,936","2.130,111","6,02%"
"Jun 2025","2.144,028","2.042,828","2.149,258","2.042,828","4,58%"
"May 2025","2.050,108","1.985,604","2.074,997","1.985,604","3,24%"
"Abr 2025","1.985,742","1.979,891","1.995,034","1.878,445","-0,36%"
"Mar 2025","1.992,932","2.022,908","2.022,908","1.953,564","-0,82%"
"Feb 2025","2.009,320","2.040,796","2.046,387","1.993,177","-1,33%"
"Ene 2025","2.036,362","2.035,743","2.065,784","1.993,228","0,04%"
"Dic 2024","2.035,465","2.010,837","2.066,932","2.010,557","1,27%"
"Nov 2024","2.010,037","2.044,358","2.078,896","1.994,336","-1,30%"
"Oct 2024","2.036,498","1.974,335","2.075,424","1.974,070","3,83%"
"Sep 2024","1.961,425","1.897,632","1.961,425","1.891,624","2,96%"
"Ago 2024","1.904,990","1.945,021","1.945,021","1.832,590","-2,18%"
"Jul 2024","1.947,383","1.957,059","1.979,927","1.928,480","-0,97%"
"Jun 2024","1.966,534","1.873,938","1.966,534","1.832,807","5,23%"
"May 2024","1.868,861","1.895,056","1.920,720","1.867,171","-0,82%"
"Abr 2024","1.884,224","1.961,609","1.970,162","1.844,845","-3,62%"
"Mar 2024","1.954,930","1.916,818","1.959,638","1.876,437","0,53%"
"Feb 2024","1.944,717","1.771,392","1.946,087","1.769,849","9,80%"
"Ene 2024","1.771,214","1.736,445","1.771,214","1.700,052","1,17%"
"Dic 2023","1.750,757","1.661,522","1.750,757","1.644,386","4,99%"
"Nov 2023","1.667,485","1.604,366","1.713,954","1.604,240","1,95%"
"Oct 2023","1.635,620","1.661,120","1.744,767","1.635,620","-2,23%"
"Sep 2023","1.672,976","1.650,406","1.705,420","1.637,940","1,21%"
"Ago 2023","1.652,951","1.682,043","1.709,251","1.601,638","-0,44%"
"Jul 2023","1.660,250","1.545,251","1.660,250","1.541,649","7,25%"
"Jun 2023","1.548,041","1.511,641","1.588,368","1.507,506","1,85%"
"May 2023","1.519,912","1.531,478","1.531,949","1.486,568","0,19%"
"Abr 2023","1.516,958","1.520,872","1.572,933","1.515,847","0,25%"
"Mar 2023","1.513,122","1.563,681","1.563,681","1.491,611","-1,66%"
"Feb 2023","1.538,613","1.643,323","1.643,323","1.528,602","-6,74%"
"Ene 2023","1.649,837","1.593,579","1.663,432","1.593,210","2,34%"
"Dic 2022","1.612,098","1.665,611","1.679,898","1.589,746","-3,05%"
"Nov 2022","1.662,813","1.551,008","1.703,460","1.550,665","4,70%"
"Oct 2022","1.588,160","1.635,179","1.668,824","1.572,166","-3,20%"
"Sep 2022","1.640,609","1.692,339","1.724,455","1.636,682","-5,09%"
"Ago 2022","1.728,646","1.744,655","1.823,127","1.720,407","-1,91%"
"Jul 2022","1.762,331","1.806,938","1.933,871","1.761,167","-1,90%"
"Jun 2022","1.796,484","1.713,162","1.796,484","1.681,800","6,96%"
"May 2022","1.679,507","1.776,089","1.791,919","1.660,066","-4,26%"
"Abr 2022","1.754,186","1.766,601","1.793,286","1.720,386","1,04%"
"Mar 2022","1.736,105","1.842,768","1.842,768","1.666,067","-4,43%"
"Feb 2022","1.816,561","1.867,833","1.982,682","1.816,561","-2,23%"
"Ene 2022","1.858,003","2.017,430","2.042,500","1.858,003","-7,91%"
"Dic 2021","2.017,578","1.970,330","2.047,543","1.970,330","3,14%"
"Nov 2021","1.956,250","1.993,401","2.051,752","1.954,442","-2,06%"
"Oct 2021","1.997,450","1.961,109","2.056,930","1.946,227","1,76%"
"Sep 2021","1.962,863","1.956,517","2.021,843","1.925,258","0,18%"
"Ago 2021","1.959,329","1.913,722","1.998,486","1.900,181","2,36%"
"Jul 2021","1.914,139","1.968,067","1.976,663","1.886,589","-2,18%"
"Jun 2021","1.956,774","1.917,199","1.967,870","1.916,081","1,77%"
"May 2021","1.922,721","1.875,761","1.922,721","1.796,720","3,28%"
"Abr 2021","1.861,695","1.856,520","1.877,149","1.820,974","-0,62%"
"Mar 2021","1.873,328","1.891,154","1.937,631","1.839,127","-1,09%"
"Feb 2021","1.893,878","1.908,616","2.003,399","1.891,841","-2,97%"
"Ene 2021","1.951,896","1.772,868","1.974,308","1.772,696","11,22%"
"Dic 2020","1.755,021","1.835,753","1.835,753","1.741,288","-3,89%"
"Nov 2020","1.826,103","1.671,003","1.842,299","1.657,262","8,95%"
"Oct 2020","1.676,047","1.648,835","1.772,239","1.648,835","2,03%"
"Sep 2020","1.642,638","1.714,435","1.714,435","1.633,538","-3,42%"
"Ago 2020","1.700,768","1.619,483","1.737,399","1.615,013","4,27%"
"Jul 2020","1.631,048","1.619,279","1.673,446","1.618,965","0,65%"
"Jun 2020","1.620,529","1.490,546","1.636,422","1.486,982","8,10%"
"May 2020","1.499,078","1.535,469","1.535,469","1.448,660","-1,20%"
"Abr 2020","1.517,356","1.416,172","1.530,773","1.416,172","7,45%"
"Mar 2020","1.412,186","1.675,715","1.716,345","1.332,265","-17,17%"
"Feb 2020","1.704,822","1.759,193","1.782,327","1.704,822","-3,06%"
"Ene 2020","1.758,701","1.708,418","1.801,905","1.708,094","3,65%"
"Dic 2019","1.696,714","1.747,467","1.747,467","1.668,589","-5,35%"
"Nov 2019","1.792,586","1.595,697","1.792,586","1.595,082","13,84%"
"Oct 2019","1.574,625","1.530,662","1.574,625","1.493,617","2,63%"
"Sep 2019","1.534,321","1.484,143","1.543,267","1.483,858","4,10%"
"Ago 2019","1.473,932","1.541,739","1.541,739","1.452,828","-4,40%"
"Jul 2019","1.541,722","1.514,438","1.546,283","1.514,142","2,03%"
"Jun 2019","1.511,092","1.478,566","1.519,158","1.471,464","2,93%"
"May 2019","1.468,026","1.519,232","1.540,471","1.447,818","-4,02%"
"Abr 2019","1.529,562","1.504,472","1.529,562","1.504,100","1,78%"
"Mar 2019","1.502,854","1.462,612","1.515,607","1.457,759","2,34%"
"Feb 2019","1.468,472","1.473,605","1.474,145","1.452,135","-0,05%"
"Ene 2019","1.469,187","1.430,970","1.475,276","1.420,753","2,75%"
"Dic 2018","1.429,843","1.436,486","1.452,202","1.413,193","-0,36%"
"Nov 2018","1.434,946","1.423,155","1.470,812","1.409,013","0,83%"
"Oct 2018","1.423,155","1.501,196","1.501,196","1.409,314","-5,26%"
"Sep 2018","1.502,159","1.554,126","1.571,759","1.502,159","-3,34%"
"Ago 2018","1.554,126","1.517,005","1.554,126","1.488,819","2,45%"
"Jul 2018","1.517,005","1.499,786","1.544,251","1.499,346","2,32%"
"Jun 2018","1.482,629","1.533,228","1.568,459","1.482,629","-3,30%"
"May 2018","1.533,228","1.511,516","1.746,590","725,940","0,76%"
"Abr 2018","1.521,702","1.538,750","1.544,524","1.514,045","-1,68%"
"Mar 2018","1.547,756","1.561,330","1.602,038","1.540,575","-1,02%"
"Feb 2018","1.563,740","1.654,478","1.654,478","1.510,255","-6,37%"
"Ene 2018","1.670,038","1.560,474","1.670,038","1.559,197","7,69%"
"Dic 2017","1.550,790","1.598,815","1.605,715","1.536,347","-3,40%"
"Nov 2017","1.605,446","1.565,842","1.605,451","1.542,459","3,03%"
"Oct 2017","1.558,296","1.527,192","1.558,296","1.526,903","2,45%"
"Sep 2017","1.520,981","1.520,880","1.536,657","1.492,290","0,43%"
"Ago 2017","1.514,492","1.544,641","1.554,746","1.509,230","-1,95%"
"Jul 2017","1.544,584","1.497,617","1.544,871","1.496,225","2,98%"
