"Fecha","Último","Apertura","Máximo","Mínimo","% var."
"Mar 2026","2.164,471","2.225,561","2.226,280","2.121,026","-2,75%"
"Feb 2026","2.225,735","2.112,686","2.225,908","2.071,659","5,34%"
"Ene 2026","2.112,851","2.018,004","2.113,015","2.018,004","4,69%"
"Dic 2025","2.018,162","2.016,297","2.028,720","1.972,889","0,12%"
"Nov 2025","2.015,825","2.101,695","2.102,023","1.996,151","-4,09%"
"Oct 2025","2.101,859","2.062,032","2.102,289","2.056,548","2,16%"
"Sep 2025","2.057,494","1.956,996","2.057,494","1.948,755","5,58%"
"Ago 2025","1.948,755","1.902,333","1.964,977","1.892,242","0,53%"
"Jul 2025","1.938,415","1.816,921","1.948,595","1.816,921","5,99%"
"Jun 2025","1.828,804","1.742,817","1.833,303","1.742,817","4,56%"
"May 2025","1.749,052","1.694,368","1.770,468","1.694,368","3,22%"
"Abr 2025","1.694,498","1.689,841","1.702,754","1.603,168","-0,38%"
"Mar 2025","1.700,983","1.726,946","1.726,946","1.667,599","-0,84%"
"Feb 2025","1.715,358","1.742,551","1.747,086","1.701,693","-1,35%"
"Ene 2025","1.738,777","1.738,605","1.764,178","1.702,121","0,02%"
"Dic 2024","1.738,381","1.717,699","1.765,411","1.717,436","1,24%"
"Nov 2024","1.717,027","1.746,691","1.776,055","1.703,743","-1,32%"
"Oct 2024","1.739,987","1.687,244","1.773,512","1.686,994","3,80%"
"Sep 2024","1.676,223","1.622,005","1.676,223","1.616,692","2,94%"
"Ago 2024","1.628,305","1.662,863","1.662,863","1.566,667","-2,20%"
"Jul 2024","1.664,894","1.673,520","1.692,959","1.648,778","-1,00%"
"Jun 2024","1.681,634","1.602,759","1.681,634","1.567,527","5,21%"
"May 2024","1.598,428","1.621,165","1.643,086","1.596,994","-0,84%"
"Abr 2024","1.611,909","1.678,466","1.685,726","1.578,286","-3,64%"
"Mar 2024","1.672,762","1.640,283","1.676,820","1.605,649","0,52%"
"Feb 2024","1.664,161","1.515,957","1.665,352","1.514,633","9,79%"
"Ene 2024","1.515,809","1.486,180","1.515,809","1.454,937","1,16%"
"Dic 2023","1.498,433","1.422,172","1.498,433","1.407,485","4,99%"
"Nov 2023","1.427,280","1.373,359","1.467,111","1.373,247","1,94%"
"Oct 2023","1.400,116","1.422,066","1.493,601","1.400,116","-2,24%"
"Sep 2023","1.432,220","1.413,319","1.460,171","1.402,625","1,18%"
"Ago 2023","1.415,518","1.441,063","1.464,312","1.371,614","-0,48%"
"Jul 2023","1.422,411","1.324,395","1.422,411","1.321,181","7,21%"
"Jun 2023","1.326,804","1.296,121","1.361,610","1.292,558","1,81%"
"May 2023","1.303,230","1.313,706","1.313,706","1.274,902","0,15%"
"Abr 2023","1.301,268","1.305,126","1.349,599","1.300,333","0,21%"
"Mar 2023","1.298,493","1.342,432","1.342,432","1.280,297","-1,70%"
"Feb 2023","1.320,929","1.411,347","1.411,347","1.312,407","-6,78%"
"Ene 2023","1.416,961","1.369,207","1.428,754","1.368,833","2,30%"
"Dic 2022","1.385,137","1.431,705","1.443,965","1.365,950","-3,09%"
"Nov 2022","1.429,319","1.333,762","1.464,399","1.333,412","4,65%"
"Oct 2022","1.365,747","1.406,702","1.435,528","1.352,271","-3,23%"
"Sep 2022","1.411,393","1.456,494","1.484,114","1.408,477","-5,13%"
"Ago 2022","1.487,761","1.502,177","1.569,291","1.481,218","-1,95%"
"Jul 2022","1.517,418","1.556,443","1.665,438","1.516,581","-1,94%"
"Jun 2022","1.547,460","1.476,274","1.547,460","1.449,130","6,92%"
"May 2022","1.447,293","1.531,150","1.544,734","1.430,638","-4,30%"
"Abr 2022","1.512,288","1.523,597","1.546,420","1.483,190","1,00%"
"Mar 2022","1.497,316","1.590,005","1.590,005","1.437,187","-4,47%"
"Feb 2022","1.567,414","1.612,250","1.711,103","1.567,414","-2,27%"
"Ene 2022","1.603,788","1.742,070","1.763,621","1.603,788","-7,95%"
"Dic 2021","1.742,222","1.702,121","1.768,218","1.702,098","3,09%"
"Nov 2021","1.689,980","1.722,783","1.772,726","1.688,835","-2,10%"
"Oct 2021","1.726,306","1.695,813","1.778,126","1.682,783","1,71%"
"Sep 2021","1.697,362","1.692,817","1.749,036","1.665,067","0,12%"
"Ago 2021","1.695,282","1.656,806","1.729,825","1.644,325","2,30%"
"Jul 2021","1.657,198","1.704,836","1.711,757","1.633,378","-2,24%"
"Jun 2021","1.695,085","1.661,791","1.705,025","1.660,726","1,71%"
"May 2021","1.666,609","1.626,747","1.666,609","1.557,720","3,22%"
"Abr 2021","1.614,610","1.610,986","1.628,699","1.579,505","-0,68%"
"Mar 2021","1.625,603","1.642,079","1.682,273","1.596,078","-1,15%"
"Feb 2021","1.644,476","1.658,132","1.740,008","1.642,739","-3,02%"
"Ene 2021","1.695,764","1.540,997","1.715,333","1.540,818","11,15%"
"Dic 2020","1.525,601","1.596,760","1.596,760","1.513,721","-3,95%"
"Nov 2020","1.588,396","1.454,239","1.602,545","1.442,169","8,89%"
"Oct 2020","1.458,656","1.435,799","1.542,845","1.435,799","1,97%"
"Sep 2020","1.430,431","1.493,840","1.493,840","1.422,998","-3,48%"
"Ago 2020","1.482,046","1.411,891","1.514,169","1.407,913","4,22%"
"Jul 2020","1.422,001","1.412,607","1.459,497","1.412,279","0,58%"
"Jun 2020","1.413,752","1.301,028","1.427,644","1.297,843","8,04%"
"May 2020","1.308,500","1.340,959","1.340,959","1.264,565","-1,26%"
"Abr 2020","1.325,242","1.237,534","1.337,140","1.237,534","7,39%"
"Mar 2020","1.234,074","1.465,209","1.500,562","1.164,390","-17,21%"
"Feb 2020","1.490,687","1.539,056","1.558,667","1.490,687","-3,12%"
"Ene 2020","1.538,655","1.495,524","1.576,936","1.495,182","3,59%"
"Dic 2019","1.485,306","1.530,616","1.530,616","1.461,246","-5,40%"
"Nov 2019","1.570,166","1.398,484","1.570,166","1.397,838","13,78%"
"Oct 2019","1.380,043","1.342,336","1.380,043","1.309,623","2,56%"
"Sep 2019","1.345,571","1.302,240","1.353,494","1.301,940","4,04%"
"Ago 2019","1.293,305","1.353,581","1.353,581","1.275,057","-4,45%"
"Jul 2019","1.353,593","1.330,429","1.357,675","1.330,118","1,96%"
"Jun 2019","1.327,515","1.299,663","1.334,754","1.293,221","2,87%"
"May 2019","1.290,423","1.336,253","1.354,779","1.272,709","-4,08%"
"Abr 2019","1.345,262","1.323,982","1.345,262","1.323,579","1,71%"
"Mar 2019","1.322,584","1.287,885","1.333,961","1.283,587","2,28%"
"Feb 2019","1.293,070","1.298,261","1.298,364","1.279,077","-0,10%"
"Ene 2019","1.294,394","1.261,498","1.299,784","1.252,275","2,69%"
"Dic 2018","1.260,529","1.267,066","1.280,780","1.246,232","-0,41%"
"Nov 2018","1.265,731","1.256,029","1.297,940","1.243,023","0,77%"
"Oct 2018","1.256,029","1.325,719","1.325,719","1.243,838","-5,32%"
"Sep 2018","1.326,595","1.373,225","1.388,673","1.326,595","-3,40%"
"Ago 2018","1.373,225","1.341,223","1.373,225","1.315,874","2,39%"
"Jul 2018","1.341,223","1.326,787","1.365,495","1.326,322","2,26%"
"Jun 2018","1.311,635","1.357,153","1.388,178","1.311,635","-3,35%"
"May 2018","1.357,153","1.338,858","1.405,858","1.335,086","0,69%"
"Abr 2018","1.347,907","1.363,661","1.368,647","1.341,278","-1,73%"
"Mar 2018","1.371,668","1.384,468","1.420,102","1.365,881","-1,08%"
"Feb 2018","1.386,632","1.467,853","1.467,853","1.339,565","-6,42%"
"Ene 2018","1.481,687","1.385,303","1.481,687","1.384,063","7,62%"
"Dic 2017","1.376,732","1.420,129","1.425,930","1.364,171","-3,46%"
"Nov 2017","1.426,047","1.391,642","1.426,078","1.370,466","2,97%"
"Oct 2017","1.384,962","1.358,125","1.384,962","1.357,816","2,39%"
"Sep 2017","1.352,628","1.353,264","1.366,752","1.327,647","0,37%"
"Ago 2017","1.347,606","1.375,224","1.384,008","1.342,950","-2,01%"
