"Fecha","Último","Apertura","Máximo","Mínimo","% var."
"Mar 2026","4.541,377","4.584,216","4.718,275","4.476,195","-0,94%"
"Feb 2026","4.584,339","4.604,568","4.604,815","4.438,008","-0,44%"
"Ene 2026","4.604,691","4.722,370","4.735,035","4.554,622","-2,49%"
"Dic 2025","4.722,497","4.783,773","4.783,773","4.618,684","-0,76%"
"Nov 2025","4.758,750","4.862,932","4.863,189","4.609,575","-2,14%"
"Oct 2025","4.863,060","4.807,718","4.887,810","4.742,797","1,30%"
"Sep 2025","4.800,876","4.728,470","4.800,876","4.692,279","1,29%"
"Ago 2025","4.739,835","4.635,172","4.740,086","4.556,730","1,05%"
"Jul 2025","4.690,376","4.392,562","4.711,230","4.377,518","6,40%"
"Jun 2025","4.408,296","4.308,062","4.408,296","4.270,987","2,29%"
"May 2025","4.309,418","4.150,489","4.328,439","4.108,836","3,83%"
"Abr 2025","4.150,599","4.151,704","4.181,465","3.912,604","-0,67%"
"Mar 2025","4.178,396","4.408,249","4.408,249","4.050,609","-4,12%"
"Feb 2025","4.358,120","4.614,711","4.638,434","4.358,120","-5,96%"
"Ene 2025","4.634,364","4.583,561","4.667,743","4.541,631","1,66%"
"Dic 2024","4.558,903","4.510,757","4.638,577","4.493,382","1,17%"
"Nov 2024","4.506,079","4.356,030","4.553,635","4.249,536","4,36%"
"Oct 2024","4.317,839","4.091,429","4.386,803","4.088,428","5,76%"
"Sep 2024","4.082,533","4.076,760","4.164,472","4.076,538","-0,27%"
"Ago 2024","4.093,571","4.097,302","4.104,063","3.865,498","-0,14%"
"Jul 2024","4.099,495","4.094,487","4.142,074","4.031,312","-0,32%"
"Jun 2024","4.112,617","3.829,243","4.112,617","3.773,979","7,83%"
"May 2024","3.814,055","3.783,433","3.830,377","3.701,299","1,63%"
"Abr 2024","3.752,832","4.052,763","4.055,701","3.734,621","-7,13%"
"Mar 2024","4.040,965","3.931,696","4.061,885","3.841,104","2,44%"
"Feb 2024","3.944,556","3.649,148","3.967,776","3.615,646","9,39%"
"Ene 2024","3.606,007","3.333,275","3.606,007","3.325,578","7,33%"
"Dic 2023","3.359,753","3.169,909","3.381,232","3.154,371","5,82%"
