"Fecha","Último","Apertura","Máximo","Mínimo","% var."
"Mar 2026","6.546,691","6.526,161","6.562,150","6.518,699","0,33%"
"Feb 2026","6.524,878","6.485,430","6.524,878","6.485,379","0,61%"
"Ene 2026","6.485,405","6.448,776","6.485,405","6.446,711","0,58%"
"Dic 2025","6.447,744","6.434,728","6.447,744","6.433,024","0,18%"
"Nov 2025","6.436,270","6.414,323","6.441,571","6.411,997","0,36%"
"Oct 2025","6.413,160","6.391,501","6.414,914","6.388,896","0,37%"
"Sep 2025","6.389,346","6.349,057","6.389,346","6.344,875","0,64%"
"Ago 2025","6.348,981","6.303,467","6.354,379","6.299,751","0,78%"
"Jul 2025","6.299,751","6.264,806","6.299,751","6.253,470","0,55%"
"Jun 2025","6.265,134","6.243,305","6.268,122","6.239,107","0,42%"
"May 2025","6.239,107","6.235,882","6.241,133","6.228,025","0,07%"
"Abr 2025","6.234,537","6.181,354","6.234,537","6.175,300","0,96%"
"Mar 2025","6.175,300","6.128,266","6.175,300","6.128,266","0,82%"
"Feb 2025","6.124,849","6.072,146","6.124,849","6.072,146","0,90%"
"Ene 2025","6.070,075","6.024,825","6.076,435","6.024,825","0,86%"
"Dic 2024","6.018,583","6.017,295","6.038,029","6.017,002","0,09%"
"Nov 2024","6.012,969","5.946,875","6.017,795","5.946,875","1,18%"
"Oct 2024","5.943,118","5.994,787","6.005,834","5.943,118","-0,75%"
"Sep 2024","5.988,125","5.908,650","5.988,125","5.907,962","1,39%"
"Ago 2024","5.905,878","5.817,088","5.906,946","5.817,088","1,59%"
"Jul 2024","5.813,461","5.737,264","5.813,461","5.737,264","1,35%"
"Jun 2024","5.736,194","5.688,753","5.740,369","5.688,753","0,75%"
"May 2024","5.693,233","5.628,443","5.702,198","5.628,443","1,29%"
"Abr 2024","5.620,942","5.605,904","5.629,850","5.593,614","0,28%"
"Mar 2024","5.605,420","5.540,615","5.605,420","5.540,615","1,07%"
"Feb 2024","5.545,986","5.498,963","5.558,091","5.498,963","0,89%"
"Ene 2024","5.497,186","5.487,822","5.497,186","5.459,706","0,23%"
"Dic 2023","5.484,317","5.389,703","5.486,109","5.389,703","1,92%"
"Nov 2023","5.380,934","5.254,668","5.380,934","5.254,668","2,38%"
