"Fecha","Último","Apertura","Máximo","Mínimo","% var."
"Mar 2026","5.806,563","5.889,313","6.000,016","5.334,583","-1,41%"
"Feb 2026","5.889,466","5.559,966","5.889,619","5.246,014","5,92%"
"Ene 2026","5.560,108","5.213,221","5.560,250","5.203,772","6,65%"
"Dic 2025","5.213,359","5.168,966","5.250,669","5.042,059","0,53%"
"Nov 2025","5.185,921","5.481,367","5.482,117","5.082,375","-5,39%"
"Oct 2025","5.481,514","5.354,484","5.528,493","5.274,898","2,81%"
"Sep 2025","5.331,952","4.953,345","5.344,455","4.912,680","8,53%"
"Ago 2025","4.912,680","4.783,912","4.978,570","4.709,596","0,82%"
"Jul 2025","4.872,746","4.421,205","4.889,171","4.421,205","8,29%"
"Jun 2025","4.499,561","4.285,132","4.499,561","4.282,063","4,44%"
"May 2025","4.308,318","4.167,553","4.375,245","4.128,560","3,37%"
"Abr 2025","4.167,667","4.141,580","4.260,909","3.889,712","-1,95%"
"Mar 2025","4.250,581","4.305,053","4.305,053","4.092,258","0,99%"
"Feb 2025","4.209,055","4.243,062","4.351,535","4.140,459","-1,05%"
"Ene 2025","4.253,704","4.299,242","4.309,779","4.144,534","-0,56%"
"Dic 2024","4.277,745","4.206,880","4.359,768","4.204,463","1,07%"
"Nov 2024","4.232,276","4.339,485","4.432,432","4.183,267","-1,62%"
"Oct 2024","4.302,067","4.181,693","4.479,324","4.181,462","4,44%"
"Sep 2024","4.119,025","4.030,782","4.145,532","3.952,214","1,98%"
"Ago 2024","4.038,966","4.104,704","4.147,811","3.847,279","-1,30%"
"Jul 2024","4.092,222","4.128,794","4.213,173","4.075,195","-1,81%"
"Jun 2024","4.167,815","3.937,571","4.167,815","3.814,811","5,45%"
"May 2024","3.952,478","3.913,525","3.978,489","3.872,962","2,13%"
"Abr 2024","3.870,193","3.981,794","4.046,845","3.788,039","-2,98%"
"Mar 2024","3.988,998","3.854,587","4.001,909","3.779,371","2,97%"
"Feb 2024","3.874,101","3.551,773","3.899,088","3.496,296","10,34%"
"Ene 2024","3.510,910","3.492,898","3.534,009","3.363,595","1,41%"
"Dic 2023","3.462,245","3.352,012","3.467,589","3.297,995","2,82%"
"Nov 2023","3.367,396","3.272,543","3.477,236","3.272,501","0,59%"
"Oct 2023","3.347,580","3.397,538","3.566,470","3.347,580","-1,88%"
"Sep 2023","3.411,788","3.361,683","3.488,278","3.342,762","1,05%"
"Ago 2023","3.376,405","3.438,524","3.495,144","3.253,484","-0,50%"
"Jul 2023","3.393,508","3.166,572","3.399,425","3.158,975","6,72%"
"Jun 2023","3.179,740","3.129,586","3.265,539","3.116,048","1,49%"
"May 2023","3.133,153","3.172,758","3.177,099","3.071,321","-0,65%"
"Abr 2023","3.153,725","3.190,940","3.298,984","3.151,632","-0,73%"
"Mar 2023","3.176,999","3.265,996","3.265,996","3.097,520","-1,11%"
"Feb 2023","3.212,615","3.445,753","3.445,753","3.193,290","-7,34%"
"Ene 2023","3.467,068","3.294,454","3.467,125","3.294,370","4,63%"
"Dic 2022","3.313,801","3.388,347","3.454,400","3.286,524","-1,12%"
